ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Educational Assistant,Special Educational Assistant,White Rock Christian Academy,"Surrey, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=95bde09c835fda7a&bb=yfQuPhtX8do7qqThOE5JHyQ-JXS3LXCqc0EYNzzfoVBRKlY5cNiwz6xnE8yRUtEwAIb1LMKmVM_ei9C7DJzFMQs9twg70zGhXJLe-tF76r0EoIq-WI5j6RlLk3SS7sNd&xkcb=SoBe67M3-yKEnQyVwh0LbzkdCdPP&fccid=dd1e447db312b6e1&vjs=3
24/07/2024,Educational Assistant,Educational Assistant,Prairie Land School Division,"Calgary, AB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=ce86bc70021e7099&bb=yfQuPhtX8do7qqThOE5JH2Z8pxAuVKlek2owUt_QU41pkso3NMzgpmsn5krl6CRKdZACkIc6nKiphxFbgtGqYVx5YaJoNYXBddM8ODV162gOREla7IhKisJuLOUN80PA&xkcb=SoDq67M3-yKEnQyVwh0KbzkdCdPP&fccid=a90cb72fbbf5fbf5&vjs=3
24/07/2024,Educational Assistant,educational assistant,THE CATHOLIC INDEPENDENT SCHOOLS OF NELSON DIOCESE,"Nelson, BC",Just posted,$23.00–$26.17 an hour,https://ca.indeed.com/rc/clk?jk=c7bd8c1e066b5cc1&bb=yfQuPhtX8do7qqThOE5JH2D-hWeOj7LQHyoUIYdUlFBryMJjlv6fT7ZPyKc8IoBwBc5AJjKUl1Q6JrN03z5BflNThR9J9qt7TtWo5D0UF5BvVKKYjgms6w%3D%3D&xkcb=SoB367M3-yKEnQyVwh0JbzkdCdPP&fccid=7d8ec51ff80f3e28&vjs=3
24/07/2024,Educational Assistant,Education Assistant,School District 72 (Campbell River),"Sayward, BC",Active 8 days ago,$30.15 an hour,https://ca.indeed.com/rc/clk?jk=94901b6e3a0d9ed1&bb=yfQuPhtX8do7qqThOE5JHxnJhFo_SuZACiQ22lvkAIebg0HN2cge-GBgEg42KmO4kxI-MTGowBuIZONitFX4Hhm1Iq2B-CCskb-VkfIQ7HibCT6zg7a00Hidgz0vo3O5&xkcb=SoDD67M3-yKEnQyVwh0IbzkdCdPP&fccid=422dabfa38c9cf42&cmp=Campbell-River-School-District&ti=Education+Assistant&vjs=3
24/07/2024,Educational Assistant,Special Education Assistant,School District #35 (Langley),"Langley, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=6fe02aed6070e2ab&bb=yfQuPhtX8do7qqThOE5JH087zAeFX19Od2OPtzC4kxm6QizFFyvz-j3dMCno2-EhhIA4s_dy72LMf2LsSD-3OyuCswR1GJTYEXPCfBBdgEyb0f-E94OUtGreuCUSO-UG&xkcb=SoBN67M3-yKEnQyVwh0PbzkdCdPP&fccid=14df757c40986686&vjs=3
24/07/2024,Educational Assistant,"Educational Assistant - Slave Lake, Alberta",The High Prairie School Division,"Slave Lake, AB",Posted 30+ days ago,From $19.07 an hour,https://ca.indeed.com/rc/clk?jk=b712cfedda50e1f5&bb=yfQuPhtX8do7qqThOE5JH0WXNZvRAZPQPHYm8y0V165jkXBhu2AehttEWW-R2fnQaEWThXqJi__TLkOAbgl5C1KxAG9Z1ui_qSjnYqwc1pe89jzfjrKg6my7REXwXTRc&xkcb=SoD567M3-yKEnQyVwh0ObzkdCdPP&fccid=f1ec1799c4512920&vjs=3
24/07/2024,Educational Assistant,Online Educational Assistant,Saskatchewan Distance Learning Centre,"Kenaston, SK",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=23043fc504f53e20&bb=yfQuPhtX8do7qqThOE5JH0lPeneKNIqNuzPXZTzLqGzu0vwZTzfV3xgZOU_v1VmDOguyaX5GXEKY9ODUo5y_6E0aury1kuvssZ9KL2487QavSCEAvVEbmy2dzXg_XAlV&xkcb=SoBk67M3-yKEnQyVwh0NbzkdCdPP&fccid=8ca0d0504a1081de&vjs=3
24/07/2024,Educational Assistant,Education Assistant,School District #28 (Quesnel),"Quesnel, BC",Posted 30+ days ago,$29.36 an hour,https://ca.indeed.com/rc/clk?jk=855bbdcd478bc8e1&bb=yfQuPhtX8do7qqThOE5JH_a8IaHZ3ySgKl3PrbK74UGHhEw7ggU6K8RbG7Pzb1dgbuTG3uMM0rOxOumRwVVcTC6kJw7yMGtFHklOzXQBlcBHrVqtAved_dKXodHgYD1x&xkcb=SoDQ67M3-yKEnQyVwh0MbzkdCdPP&fccid=3379038f837409b1&vjs=3
24/07/2024,Educational Assistant,Education Assistant,Pacific Academy,"Surrey, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=64c5767b9e67433b&bb=yfQuPhtX8do7qqThOE5JH6CI_pPPEJAiRdDNaLqyUDd1ivSF0SKNgZL4D3yzwlw2ZCHVlQ_7aNdWTx-qsCqv1-G7UEX1Im-ofFO2fznpgPn6i0zYSpvypEdLhppZU6a7&xkcb=SoA567M3-yKEnQyVwh0DbzkdCdPP&fccid=902747f99f6a167d&vjs=3
24/07/2024,Educational Assistant,Education Assistant,Heritage Christian Online School,"Langley, BC",Active 6 days ago,$23.50–$27.56 an hour,https://ca.indeed.com/rc/clk?jk=8f278a47524fd95c&bb=yfQuPhtX8do7qqThOE5JHxUC-P3RIpptc0m3ZzUxULOwd04dv-1ulV_72bmI61vXhdV2R9oprgzE9BeF-0M45Jvi3dlPcnXIy4MsLkn6IZfJ0_J5pVFwwdDyRkIyUxkY&xkcb=SoCN67M3-yKEnQyVwh0CbzkdCdPP&fccid=625a0e139d8380bf&cmp=Heritage-Christian-Online-School&ti=Education+Assistant&vjs=3
