ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Electrical Engineer,Entry-Level Electrical Engineer,Sargent & Lundy,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=bf0b322f013877a9&bb=Or1CPurSQWOkGiBXiPiNNboR8aWEmbyr0IrZ5YARLB0n4SWbMgAXF2xAzz8ReaZNd7uZpWZmdHsR_6ibyfjF6pE1JT_dQAPT-5zHSiX6dSB_TbdKZX_WnQ%3D%3D&xkcb=SoDA67M3-yMKE6xSUZ0LbzkdCdPP&fccid=edbcef7cb9967c7d&vjs=3
24/07/2024,Electrical Engineer,Electrical Engineer,Canadian Natural,"Fort McMurray, AB",,,https://ca.indeed.com/rc/clk?jk=a66dc56bed51fc64&bb=Or1CPurSQWOkGiBXiPiNNTnLo9Iu2dT_mtiyHZobuwwfTue_2AHyJmRBFmuwxs4Ch9rOwo5LIVU6okfKbUDNWhzs6w9oJxBGSXZZhsV_L2feT9XjcCnbgp8-f86Ss_lc&xkcb=SoB067M3-yMKE6xSUZ0KbzkdCdPP&fccid=c0bb7be52e9b90bc&vjs=3
24/07/2024,Electrical Engineer,"Engineer, Electrical",Via Rail Canada,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=7986acce3143a7dc&bb=Or1CPurSQWOkGiBXiPiNNYKmtcIEiKsAMVhmIx9Yenclu77P5xcoqEBLG5TPBtn8iSTTIoZdPW809mVrH1F_62BlmXqMIRu9SAKOIpFS082qLtIsaE5sFCIKbgRubClO&xkcb=SoDp67M3-yMKE6xSUZ0JbzkdCdPP&fccid=1ad6a43eb69e733a&vjs=3
24/07/2024,Electrical Engineer,Electrical Engineer,GHD,"Waterloo, ON",,,https://ca.indeed.com/rc/clk?jk=deabcebf51e40d24&bb=Or1CPurSQWOkGiBXiPiNNboR8aWEmbyr532DrG26VMVklEZq3O7NlesPbmLc8gHeoVzpBH33H4GYRCQIPTFlrVQO2xuxGpqfTf3W1MwWL0gCaO7tzAYpLVvgCNuM_JLE&xkcb=SoBd67M3-yMKE6xSUZ0IbzkdCdPP&fccid=25b9aa55f7b71e5c&vjs=3
24/07/2024,Electrical Engineer,JUNIOR ELECTRICAL ENGINEER,MPE Engineering,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=2eae94756bd04a20&bb=Or1CPurSQWOkGiBXiPiNNVwxGdn2SOGFW7KId0PKgRrbcSxRyGiYLzxRIRf5bshxejHPMbav5H73ueG0sEozJ3dctzf1vk8js9Zp-ArToX2PSyW8P5NpJCNec6LkZvjh&xkcb=SoDT67M3-yMKE6xSUZ0PbzkdCdPP&fccid=c46c692fb6927a3b&vjs=3
24/07/2024,Electrical Engineer,Electrical Engineers,Rho Industries,"Lynden, ON",,,https://ca.indeed.com/rc/clk?jk=ca6665a1628171a4&bb=Or1CPurSQWOkGiBXiPiNNU3SRoiwMSrK46R3p_0IUcbN6rp0lAK65ZvFsGHnM9DR-xV_AUu4G2J_itf9BPqblZ1xR47s2bmyYdAU6Euv6yL2u5A3V3lMLJMIoZyGAOSF&xkcb=SoBn67M3-yMKE6xSUZ0ObzkdCdPP&fccid=cb4681a6f36bee7c&vjs=3
24/07/2024,Electrical Engineer,electrical engineer,New Age Robotics and Controls Inc.,"Ayr, ON",,,https://ca.indeed.com/rc/clk?jk=1b03afd8b31f7589&bb=Or1CPurSQWOkGiBXiPiNNdszbsyzzySP4AeUTTWYedoTCs71eJSPfiYZ5AVjOfci_EgCzSPz9XuCT_CyhUEc-GK9lTW_irbs1JQSHiIjoMt1Uk94RyPA3Q%3D%3D&xkcb=SoD667M3-yMKE6xSUZ0NbzkdCdPP&fccid=86a9ad661539441f&vjs=3
24/07/2024,Electrical Engineer,Electrical Engineer Intern - Kiewit Industrial & Water Engineering (Fall 2024),Kiewit Corporation,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=e81a4ed033781097&bb=Or1CPurSQWOkGiBXiPiNNQmFerpe9Cm0wtbLpBJiJUsS8GkWeCN3Py3JssS6hDPF-3P6RDDV-73lkIASzD0DmkrzzrDHF1SJBey_xLauvhfyaL6Y1WwHL9WeZz9hVEVD&xkcb=SoBO67M3-yMKE6xSUZ0MbzkdCdPP&fccid=fd3e5b9fc7b91d7c&vjs=3
24/07/2024,Electrical Engineer,electrical engineer,Enginuity Inc.,"Halifax, NS",,,https://ca.indeed.com/rc/clk?jk=9cbe39417dcda66f&bb=Or1CPurSQWOkGiBXiPiNNUcnVdgtGyLQAQrmsER9Z3pm888WuxbnwV66LQGLSc0UYJYY9v5KuocF_CHM4zXf4_h3ntzNrqY9iGYaD8MBFXjpLbGvSMNL7g%3D%3D&xkcb=SoCn67M3-yMKE6xSUZ0DbzkdCdPP&fccid=b0f635ef805a0e36&vjs=3
24/07/2024,Electrical Engineer,Mid-Level Electrical Engineer,Sargent & Lundy,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=7ad20f4e29f22b29&bb=Or1CPurSQWOkGiBXiPiNNXG0ekAhHlCxSHyL4OedGN_5Qm0FLj1fbr4hXywU1WlFA8iOIA7BA6RBIu4O-6rpitZ1w5gr_f6D-5vzRikpLa31IouhxZC1iw%3D%3D&xkcb=SoAT67M3-yMKE6xSUZ0CbzkdCdPP&fccid=edbcef7cb9967c7d&vjs=3
