ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Electrician,Journeyman/woman Electrician,Boileau Electric & Pole Line Ltd.,"Pitt Meadows, BC",Active 7 days ago,$37.50–$40.00 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DLUVrgf1VHfXX15OCnH7Kixt6tRXev_S1odbg3mwoh2hs6n3-7aM1DG-S-dzezpvItLHEko4XVeqIMmGD0T7hYFYgFQv9l6swbRq82ETyth7k8-9LLqdDO_c3zN3hDqkUCyTA3nH31wTETbLMgrWVCTdidaCuTyl1u8hhCCrG3d0pwafT4CxatXhz8KbqQSyvzOnkmtijhvn21JeOZESYE03CUd5NsIU49dRYo29GKRFlEb0fmO_YWItU3EZrT79ZUxhzto2WFjBkW5H61UEysnY0-QtShRT60LblZGD7s6rVmBnIe08sDT5xUS_ybmvsk1qt018H4iLbIl9s_gm5JFGwOPTYkiX2S4wyKNi1WNwkEu4ETwf8FG5AnlLpKD8z--NYw87W6jXiDvw1u_YXdUIp7KDbQKujvb6S6bR5ueqdV6TAwXNzF-qDPyIKRfFCe77cxJiJ23qHBO8wKkOB41z8PpjMAu1F3KPhv3Erou2Bn_NVXyJ8hEwpXnA-pLx7wR_vGqbsWquk844yLFIjkjIeZ2NWkC88lDFvKflNUR-H7GP98XAD6ua2VrChNJ-Y2UCJ7B5G1lPzW9V3MPfjRwoFOu6GMJ3YhHmPxinmDQBrCHCdbxsLxMOfrZJkR6AWnUv-4oYoUBg==&xkcb=SoDB6_M3-yBQYCRSi50LbzkdCdPP&camk=nUmJqO2E8rgDI8hHlvMI1w==&p=0&fvj=1&vjs=3
24/07/2024,Electrician,Red Seal Journeyman Electrician,"High Tide Energy, Inc.","Victoria, BC",Active 2 days ago,$38–$45 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BB-1T3K_TcaHPacm3MwNbZcVUvtC4pcyO7-VloM1XlvUDA8WbSIvTcKDJlmo3S_4pdBOlaYvMp_Qu9qo2AWMRK3y9Dee5oAiuDQKlRBz1L5hFXT9c_NQnCLM4ApS9TOiN3cCKDZI_MAfI3bZvdiv0RP6lFeBZA0bpptVRx6fMfh_u41lJP0Sp714z3O-2_PrDt522eKe4v8VzI50EvGjDjIHYELS7cyMcpJd3mkXra7SAnHv7Ed-eVIimVUT_RqQxhUbhDyLGBsT6ByoASpnHTI4g46ZnR0jKRFyKJiScRkio4GoRhtkakWYXT_S6JHov2hpGnkxZ3vwpRgiozuohHjv0G6FSCx09fL3rxyJBSRjZEFlULtPF5hXRgI41TQmGoKCfsbLEdc1LbnNKxLjFvjEAUgAai8_2dDPNvUEjVZTHr7PdYUEfEc77-IVTmQxV3LhHnqJ3jUQ9hk7RooVj--KtdGfLpTHR7cOnMzP5J2yUcd3kgSK_3kbmD21-1ogIDKVAcC3rbvQ3dC0CHBFxe_Mc_3V6cQPNKt8sRiUG3IPpVmoN9nqYMCkRJJkIw7coLx-7mryhTAKpbvDxQckAzfgBzidXYY4melKcusH9AcHmSJnYXYll_QEKciEl9ckLRqgS_czT-lzw-NjWQRa4k&xkcb=SoB16_M3-yBQYCRSi50KbzkdCdPP&camk=nUmJqO2E8rhC99nrzvtzfQ==&p=1&fvj=1&vjs=3
24/07/2024,Electrician,Maintenance Supervisor Red Seal Electrician,Made-Rite Meat Products,"Langley, BC",Active 6 days ago,"$83,200–$99,840 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bm_KHEKOPZmOGlHeDZKRtG_y1dOgz76rK6j6ZVVn3UhgN1gC59GUi5YDuXa6MRpho-8lPCpBzizcVdhBPpVk4Yd1Pci7GPikmdrom9OOFLIfUIvDWrssqsorHHJ3PnXUbcPAxv0bVKtw5Cg8kk53WJklAOO2lCP8S7IU-2gERrt-cYZ_EtVuLvb2sfZ_7a_PD4cEnSPZ6F7cmXcGapgZDw7CDGovMRxuUv2Ri6-O7z7Sm81Cn4GADCSZ0YXkVGW5jzQvVmvUswqQP4Ev3T2PIECqsQ5qpPA1EQFr_aCxOXBr4v5u75r0UBNkUo0FG2X0WRLp0iFAL8g8ywnBo5sVsedEtbzTMGksiOMVy7Cz-xG9LmqXfbykzkolG4Y4YFDq7LvC8CErp_EOWy32wYf-av0l6IZEbaHg6vYe3c8pn15Jmdv-l-cWWIQFjxd5qcqRDQLGAgIkVca6MJn3vvHTCTy_s2Ma6-eN1gcIzFDl5trIIBlp5-umonO6WiHsI9AtoIoljO7EGtAAaopmHYi5M27l7BKBdh4OOPVIdsceYGm7SfAFy29IvOPvB42tHkLGOvNi8hGwH3BmHsVR_oVSfdvGskjHZM-n1-JDbyhWSORvVQB73TcRHCNdLHOf-I4wcCVuEHUe7-TkpLU5w3TcZtr70No3YGil0=&xkcb=SoDo6_M3-yBQYCRSi50JbzkdCdPP&camk=nUmJqO2E8rjapw6YI56tXg==&p=2&fvj=1&vjs=3
24/07/2024,Electrician,Red Seal Electrician,Integrated Staffing Limited,"Truro, NS",Posted 30+ days ago,$31–$36 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CVNznOL3sF8ECRNgalxwMH70PeYUvBU_dTGRWMF8k5e9fvhvEr5mfvhbFhAdVt--29fGzUxPURfvpB5tBLYmqJDfdcJSa_6QTv7o2f2MRcgA8Q--EZTBmM9wsYuHyrLaXy40ruJfixvM949Cxt2sCfWh8gE46l084Rdv2_XIKm9hcyk0H--G9ywL5G5M0RjLFa5ZlshBc_Q0VCO2sEEmjniMYujEtVcce-9wgUwmQ5ee_kwFecKJypiUwksnJuFWAQRFq_pyMmCW0_yUgqzygn1Uiy_kIVjShACD_KRXkvr08iKGBF9cO1SNtNiR25OiuKbcdX7brYVMyrYBSVHK9XEP4ok_sTMENMYGjvJY_RVkrDFWlxRG8t7uMNBfuCi-CMlVYn0FLn1a7VRcOiYrA8PuFij65OBcc5MsFdFLPRIfzUoTAJCoOgOsa79iJgGE19G2DPkSB4COPc7xSt_5TvbtaqaJ0Vzz_qBdLhN7XkU2wPScNtq5Fg1leXjXpxz1SA3RU7uvfNd-0iLCT9udwqI6hbah1HNhOAWMvRTO6g4VSOf7TngA5IX2XeybkWGNnLKRUlV74QqRDZNTVUayO4O0h_oXYQqIqQ18_9Q5qOBP5zUhpjP_qidNtpRiEwcGVrnYuL-iAVKH499RhEAnSs6nm-Zn5z8BivRH97Iq2AYQF7iksWlukt7jBldU3sp60gUCIiAHO9kRBdSX8rph6_0x6nWv2P2Co=&xkcb=SoBc6_M3-yBQYCRSi50IbzkdCdPP&camk=CPChkbYSGj9hItJAO9VCYA==&p=3&fvj=0&vjs=3
24/07/2024,Electrician,Electrician,Nunavut Housing Corporation,"Iqaluit, NU",Active 2 days ago,From $50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6gdqgt76I-Bj4FehHfAVjbWGz_In6QtnMYMyHmwqq8ULjyRso_93oY2hXhBiIA_RoGcz6JbhIQfITeQR42mzTOHCQd8erz5xB-EdXQ7aUOo_-bqRnKeUCw4tniYk-JlArelCN-b3OOfE_Qi1SJgi-aV2cTEFsy3Y3fb8OzwcdB7fazQeebS4X5txzzv0i0b9TiHZpbfXc5k0trm_nhgHmh5MFFKqyUOYHAGYuh1EkELU5nRt0m5ZP1Ri9jJMh2u11Lzdl-v6LLcxa5Hj7VfSqnLvtSytC1lnK5RGidGv7qRsa3JiXPBZ3egPxrEIljWIcwHZYEFxa1hV-46tRacEOh7o_W3YrmXd9XvTpgM1GvJF2Ep4XMaD_m-4FpK39AHSxDfd-uWEzvGr8ukjBFG9caaFeoO--xXCDw0srdoVKYmIqvDcUXxPiKgDg4y35Tyev8VKvxjuIT515BuGORXCdVYnaASLWoLykp-2AOg968_ho3tQ5FzSYNCyOccN7FjA1eo8PUuFBAJdnRuZUBwOTKf-DnCvQjYly_i27CfoB4Q9GbM1HqOU5ha2jRtTFpyLvf484F8YfcyVlb8HEXCc_CgLgXGUtx4pFmiqadoUyf3hN9p5INmS0&xkcb=SoDS6_M3-yBQYCRSi50PbzkdCdPP&camk=nUmJqO2E8riMs2RSTXpBEw==&p=4&fvj=1&vjs=3
24/07/2024,Electrician,Electrician,Suncor Energy,"Sherwood Park, AB",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=fc78a866a19deb2a&bb=weDD-vTvrGpSli7yXfg2zZoxxSh-CIrJw28jFzVMZNwY9IBojHHZ8B9QlL9Zdwbdia-xnq__r2wWOCo1hR7DyAGUGxOYQ0765NBWYs_-Am4dbUteisG36Oz_Pea8cyaU&xkcb=SoCS67M3-yBQYCRSi50ObzkdCdPP&fccid=7a16278a611dcbd3&vjs=3
24/07/2024,Electrician,Journeyperson Electrician,Nason Contracting Group Ltd,"Fort McMurray, AB",Just posted,$50.66 an hour,https://ca.indeed.com/rc/clk?jk=4b87284773011543&bb=weDD-vTvrGpSli7yXfg2zS7viHsVuHga02kWeS8P2yh7wdnyD6wzlvDIHxqyg2tCmia38-7pf6A0NDIJ1kg19Td4JNp9lA0rzrD51JKvxpKKvS4lwAPM5LzSZ84LonG8&xkcb=SoAP67M3-yBQYCRSi50NbzkdCdPP&fccid=49e516e13e0012c3&vjs=3
24/07/2024,Electrician,Foreman Electricians Wanted!,Stellar Electrical,"Edmonton, AB",Active 2 days ago,$39.50–$45.50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzwuHNeIYb9Ce4kW8h_BEt0wwtQQATWEQn1B4njrLN5rXqVURvYZiNa2KxQUUhFrl2Ov0FyZXGzM65md2nHC6ZBGQYTFUMjdU5MNXDknxt1qwkkhIz1pQQJixtMkyAoreCZ1qk_dB_aDG3BKzgRdcXuGMHdt5rJgvpwiAoMywcfrA2ykt73MIPqFvfhu9PO8t4RCsI4yA0NruVDwD5oCK8WvKhOm1IKSjmlimY4wkWkSbdVcXDSOT7DrAOXO-0REPN5qrRAQZpKeFxrl76hyBWaVVj8aer1hGYhAE4ueZOdMcsxQj4R79lboiKtdQu18n-2XHW072fHKpQ0gAr3SXYufI5Ahlh-hiAzfD6y32tbYQLXFOZrPb_NCTylczcxuP-e-ieESXp-GmkwvmJlmUGbSs3I_MQbe4VPqXrntgypxmyS3olE27k5Em1geM5Fh6GO-pezibBc7bfj8CIW2QUaOsvjdE6X_WPvZsF4tG2iXt6DEKUJRIX6obEt0Pk0XQnG7gejqK5QMfthc9N06w4yF_0oy4BoW8jGl_Orjj9YVOACTXirm_VEuwlQmICmqqT-WNQunMyCJI8lV38w0LBxpdY4-wu3TrP5VATaFqG0MNjetxifLpwos22MaBttrAA65IUaWKs1p_sEeRJP1Ts&xkcb=SoBP6_M3-yBQYCRSi50MbzkdCdPP&camk=nUmJqO2E8rgvco5PQR4aWw==&p=7&fvj=1&vjs=3
24/07/2024,Electrician,Journeyperson Electrician - Permanent,Orano,"McClean Lake, SK",Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=f952c81f3b8b1a2e&bb=weDD-vTvrGpSli7yXfg2zfIdsoNNsISkb7g44FFHinZRhMnLAiO1Uljzt4RpYSke78z2LxMKWbKkMJzTLEIQhZg0sWrEF1CfDLv5TdvZNQAtKqYTrhdupw%3D%3D&xkcb=SoBS67M3-yBQYCRSi50DbzkdCdPP&fccid=8c52cf0c49287a08&vjs=3
24/07/2024,Electrician,Service Electrician,Netco Electric Ltd.,"Moncton, NB",Active 12 days ago,"$58,000–$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A_bFWHFfda_W2RQC_os3ljAxE1qmXsUwS9mshIu3Z6QKrMrkp-bfHOFYCOgX-MvnDLvyr-L2D1nAmKuLK11H_HD0OhZdcmRaHLwEubbF_2F5Pb4kjc1PRs9512ufZIECUewKLGkmr-m8slQcLivdLgSuuFD_6xSmoxcCXqvdsPEgo1iGVLDCxC5cQ6g7ZlQ3ovcCKf9PvJIDEaiVy-AzsdXQvkn0qflOeL1BTM10H2oVMdbIZPBaJU0VN0PFDrJmXypGP5s82KjOWiLzwpaP_sDj4u_Taqq3OdzAZMayYF1DSpUtNaDbuMgodLtpIs1rmbmbA1qKctpEHYABE3Hyqt-Zr93Exd4rx6TVrM2daZg2wzwucaGjB6NKwmqSVLLfQqFBLWT8VR1qYp2MNkFCoHbMYA5rf4gENRVRoPjtzkPMRq6zJzOmkJz9Z1Fj_Mkc27UzQpe-C48FE8IwLyT1hZP8ZTvP6tqacwXMB1W8WKUKWrFLjKysvfhmefNHDW7aarxqM-Q5JwBxkVv2VK9kjS-CvHcXF0Dq__zRVSSaeQu9Z9_luNnk3h873C67M7kidrzxNYhfAVczGZpS_HNJY8pgXdOUyjLEVsnu9KqLU8_ecf48Xxo77UL57pPTITN0USWxGO1NeqfTaMBtzHNg0E&xkcb=SoAS6_M3-yBQYCRSi50CbzkdCdPP&camk=4HOcmqOLYrDpc2ROt3HmwA==&p=9&fvj=1&vjs=3
