ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Elementary School Teacher,Elementary School Teacher,Dzawada’enuxw First Nation,"Kingcome Inlet, BC",Active 6 days ago,"$90,000–$110,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DOMlpDZdRlWLjjt912ne6jKYGxotIHMEg_nedqc1csBX6ARSgx120V6euVys4CHp7lowFvyPVZMcs7n1Z-gBhpHcZHRcbqwSSx1ZaVqJzk5DwG5Am2ckldFd-z4nRoe9YrgDX7yeu_JmnL1EpiorH0HAqqF85cElMmaq2az94GX_8y36MQ6uHkCQSYFCxuRqgfPrmFrTkCE0LGqwezNXbHcMmyFgPtORJvbQblhn0SiNRcVMDK-vKt7gcZKc305VenEt5aV9TCk2gPtvRiE0ZJ4-56WIEmsYlXCjYaLEKVjC3IAgNqYtM_ygCHXS14ijxOsfV3x_hqaMQhjKhNAMc9t-pDemjYroPbZ7DKR6vXsjaJ8GPp4lCJnIpd22mdCsC85-xjdU6cKcI26dhH9HCpaxYB21Emx6vl_tGYvQSfiPFEX9G0OTWAao8lpsUT8tN-kWA212aRoKXoZpXNN2rpmd6KJktZEBnYzw4ElQzVYz0UDybbIQ6aBW1aF5Bq5nXoaZ3_bNik1LGH5gGThXz53JCca7W-h2mVqCObs27iv7IXaJfdTsbX4BHO3D4ko2izwNl_kvqCqLCTtn3OZLHNJ2SB9tcJGNOITVfJOlj_M7ry-DhwweUyJxcOt_SvdKyQPsaUwj2aFfaWlWPjZFzQQ7muIp-wKC0=&xkcb=SoA26_M3-yICd6SdWh0LbzkdCdPP&camk=nUmJqO2E8rh0GWwv6B9vFA==&p=0&fvj=1&vjs=3
24/07/2024,Elementary School Teacher,Now Hiring French Elementary Occasional Teachers,Limestone District School Board,"Kingston, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5kx1d843D7WIShCWKf47UeIUVFuopsvPMHQ-ye5hveS-gDkbusTPGIEtTDr6pzBG9DTg2rg5IqAbHVhPEveyY8BC0AyoJAwiplPpQgtUKe75GJIdjb57T1weB6Gyobk5cnQaQLqEY2v7XkoO4-tEtWlk2TOd5UUnhmG9xdlYttoG2TR3bWa54Pvsoc8sdJqHt4FC17BYr97gLKth-YlpVCzT_0rGQysr5Fl5cKalU7hdnJkX6L0T6echxN8JUra-XF2Pdc3pP0-e6_YF5XqABzz1Wy55lQptqIhilUB2_8sYJi3hiUCqjoepTVSklBmupz5yPhT6GNnPE4_7BgNApKkh6jHwgwk3W9kZXPT8OB8gAXig7JkSlWJ_6gYUn_qrii4WrjyrZWTjmPRGR2dVY4RcdAnHGVE9IhF-hBpJeu9j082qt_o0avdgwAWcE57-Qg7_6PheY0RtlyuTNFLGFeuRpEQoXpClj7U1Q2sxUfESBFe9lcMbao_lWR0lkKDoVbirI3thHanLflv_IRXXZsQCpdsW5FMKYiL-_GlRG7s5cHL1LRzlABZvGCpJt8ofQeuJRGuUSXcZ3Z54Y7IVp7cCA67MOsvw_vw1mnBQ3dY6TmGWYvGCLC1UEQ-mDbu2Or1NA5q6hftuONXkwr45tygEirSLzgINbwupnNdTYTaLv7Z6Albu_i090ohpLzzI=&xkcb=SoCC6_M3-yICd6SdWh0KbzkdCdPP&camk=nUmJqO2E8rhjxob0HRXmiQ==&p=1&fvj=1&vjs=3
24/07/2024,Elementary School Teacher,Elementary and Primary School Teacher,Haida/Tsimshian/Haisla/Nisga’a,"Vancouver, BC",Posted 20 days ago,"$80,000–$120,000 a year",https://ca.indeed.com/rc/clk?jk=c831164bf49221ed&bb=z7dx9141LG88rRC3MeVWNhC1LWSk0vF54m0ekLyP5TDQnzbWUwQliMsHHssLgrKaUpQ3fChDrod9okr4lC-vqTbIQ0yS9i7oiA6ky2yjNsf0z85uKfPv4gNV6F6S1MFT&xkcb=SoDr67M3-yICd6SdWh0JbzkdCdPP&fccid=ef6d208a5ec9c1e0&vjs=3
24/07/2024,Elementary School Teacher,Elementary School Teacher,Growing JK-12 Private School - Newmarket/Aurora,"Aurora, ON",Posted 2 days ago,$25–$35 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BH0s65X2U-w54r1qhTWsa9C2NznGqOjETVeNiqLk3BpZfAHy0EU0xF1JN4LWZtuDM-8gcKzEJZgI9_V_FFbyuCM-gXbr7C93Dk_LCkyD8dIsDHaWHUK16F2i9WraVYGQro8DyJV3bZTy1yV8tCJK2M-aPFKNiu2Pq2SvunPIi7YQAED9JCIjdtJt1njoZ0CZNKlqZIReNcdkgLTtFhk_sKz1n6lBZLwKn4NhP7Ug3f5ifdn1BNOd9bmSZtBCZe-BZLCXXfwiMYmqlMe5_mMCBbIM38uTViWUuziLTkfrE8ZnMYH7jjQU3rKFxbSSbY959TMhta-nJzURTm1vV5k2yC4edrW3OA5K48214iaU2NuFmxWliFOanRRg-InXpQijDZGVnRAyTp8rKTxlrc9oWL-LCPBNTz8l0_rEOnYdmoCeV2ltAu-pORP3pZPuHxF8zvRQtpMqE473rCxjWxMsLodrICExMz3FbLg7CEYwoNxzNqvNO_zYH-FXEkraEfhpz07cpKxyU17PXEyOkukQ6oLlbcKbn4CiY3hbZ2VhLKORYA9oX2Xj5P0cnlKYsYPdUM4J_MyOA7i8dBmh0hphxdNUY6oSJDfuhwRBa41DN2SpZqQxRKfIY6CHWJ0mHi1kIAqrvyBrvEv4G1f8dQth_K&xkcb=SoCr6_M3-yICd6SdWh0IbzkdCdPP&camk=G42KULXkIwOuBJhuc8KA1w==&p=3&fvj=1&vjs=3
24/07/2024,Elementary School Teacher,English Teacher - Elementary and High School,CCS Education Service,"Surrey, BC",Posted 1 day ago,$25–$30 an hour,https://ca.indeed.com/rc/clk?jk=e91a244a7e77fab6&bb=z7dx9141LG88rRC3MeVWNtaIJtKHi2DNgiqChmWkxi4Csn69K3Yu2ESRDYKDE8lm7SpFaVepj1Fy--rNGMWm3qq33Kl7Rf-lvk_RW03zPjmUowCHCbyw71g3iciokiax&xkcb=SoDR67M3-yICd6SdWh0PbzkdCdPP&fccid=d1d73854b86a00b7&cmp=Canada-CVC-Services-Ltd&ti=Elementary+School+Teacher&vjs=3
24/07/2024,Elementary School Teacher,Elementary School Teacher,Khalsa Schools,"Surrey, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=ef94053582585a70&bb=z7dx9141LG88rRC3MeVWNgz0ZfnkXhyVtInt0fbDsBSUb2w4132hGWk2k4a3X32WTaro3q7PQ5bYvPzu0CB2jhpqAs9m0XQc3J3k7nrOwQhfa4rzD4DpJb4fikQ0mY_W&xkcb=SoBl67M3-yICd6SdWh0ObzkdCdPP&fccid=d6081fae06242d37&vjs=3
24/07/2024,Elementary School Teacher,Elementary/Primary School Teacher,Nexgen HR Services,"Lax Kw'alaams, BC",Active 15 days ago,"From $100,000 a year",https://ca.indeed.com/rc/clk?jk=309e6fdeec541143&bb=z7dx9141LG88rRC3MeVWNjTZAbXmgkKVnsxsQ0ee20MgInHRiY7xO_q0lXAD_dTQJoFPSRPJkioJov79aqpM7_JRndQyHfl8kGvoyaW7d5mvDLTk_LUEVlLVBCg_oP2M&xkcb=SoD467M3-yICd6SdWh0NbzkdCdPP&fccid=66214c1a692189de&vjs=3
24/07/2024,Elementary School Teacher,C2425-21 Kindergarten Teacher- Cold Lake Elementary School,Northern Lights Public Schools,"Cold Lake, AB",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=e7ad5f3eb4ec86e6&bb=z7dx9141LG88rRC3MeVWNvZAs_j1lClwDCPNRNQ9cDqGFKAdRf1A6TE_d1jQrP4Z95zY4ou3236W8_JfVPhDewHisF4L_tYkjWHoRj8aEF6weonclavkxzf0HanlVDy2&xkcb=SoBM67M3-yICd6SdWh0MbzkdCdPP&fccid=2cb043d1885252f2&vjs=3
24/07/2024,Elementary School Teacher,Teach English in Korea! (Relocation Assistance),Aclipse,"Vancouver, BC",Posted 30+ days ago,"$49,500–$61,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6q7buNOwevWgKowBTyPHB65LXspMrc66F24T6REhpKW1VtsMd1yYsq27LHRvygpivb0wnc25OR0QJnWpAzaUO_TwWoN9TIxFoLHRbrtyZ4Wp-k-xi0BhsRHc-pZo9r3raH0-SY5BxGrSZLYmzlnmvFiPAhB3Cn8Oz3SiY1szUKzyFFV4fYK2O01F2Iqwh2cWyDVZNBIJ3VcBvS7Bj04UAvBupSSqE5IYLHqEnEhkXZpdgpo5M9Ij3kBIIwhkC_AP2OOQ9TVxt_sES1XQjiXYNlATy6eJ17yF4SpJ6Bx08R7YDfKTBzz90DOgDo0XatK-FGzPiYjxKUVP5LsXHVudm-kBY6pb3jy7aXwH7G_GK41_1Z-iLQfQFYwySkZplOmvkTkVQn9JcywWuL6of4M6G0jVjLQOsR0P_6sY3rQtRSv-GkitYsYg29lDBchau0O-UKQDVbn4l5vazLtsnC8-r50wxfv9C_eHl9Wo-Yo5B9-X5eR5J5AjDkpjNs6Xtpq5eqPtkCrGX84AXf1X90XrO0TJScwBj19m5mfK0wx9o5CeO9aT6xihqUSNzM6NVDHA-d8QDHknHXmCQhXSxWqhvvv8L7SHagJVDbx1QFA1ddtvHqJ4ze82yMHVDwvN7p7n5Ri2e71Kn-7PW0Sn3XCEahSBScX2weFSUV1KVqUuvdO9kxYFqdJAyoyKndE6xzuB13fUGuonzCg==&xkcb=SoBR6_M3-yICd6SdWh0DbzkdCdPP&camk=4HOcmqOLYrDPZkojpNJdZg==&p=8&fvj=1&vjs=3
24/07/2024,Elementary School Teacher,elementary school teacher,"Mole Hill Montessori, Limited","Vancouver, BC",Posted 5 days ago,$27–$45 an hour,https://ca.indeed.com/rc/clk?jk=56219156515b6ab9&bb=z7dx9141LG88rRC3MeVWNlToAVF1JdVfInwKjWGbr4PfFn2nzPbk4iztZkqfzQBh-QD_eH85-fTbMdY7P6bvA0NV7JFp1FKx-z1ln2rLqoJ1L4zXv6nD7Q%3D%3D&xkcb=SoAR67M3-yICd6SdWh0CbzkdCdPP&fccid=d4e8dc6e9399853c&vjs=3
