ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Event Coordinator,Events Coordinator,Sunshine Village Corporation,"Banff, AB",,,https://ca.indeed.com/rc/clk?jk=e616a3c43dd6d2e3&bb=GdleDGToVAzMm2IecQ4DROfX6F4KznfQFkzZKpl7qaHEOJborV7UlwZ3IyfH5F62LghSAoDj9IbMzc3pTw_Hb9J10lNhg4BEsGbYv7jUgvgDpNHZHBcOYcU1jQZxepMo&xkcb=SoBr67M3-yFTt3Q8GR0LbzkdCdPP&fccid=33a2cab01b5a6480&vjs=3
24/07/2024,Event Coordinator,Special Events Coordinator,Town of Oakville,"Oakville, ON",,,https://ca.indeed.com/rc/clk?jk=3ebf2bdd04e6f94a&bb=GdleDGToVAzMm2IecQ4DRFw67DASYlPCcEPV4800MuldwRaWP6PU9ul7AFcdgZbo0kuSONCWqIeBjxRmfe4R3--L-v1RfLENp_P6A3kQ_6IQr6fGeesK4cekeB2QSMTm&xkcb=SoDf67M3-yFTt3Q8GR0KbzkdCdPP&fccid=0ca031ed26c1951e&vjs=3
24/07/2024,Event Coordinator,Program Coordinator,University of British Columbia,British Columbia,,,https://ca.indeed.com/rc/clk?jk=94a65718b89e8d32&bb=GdleDGToVAzMm2IecQ4DROEQ3hjZOj2FCB4K_bYZ50l4-aoIg282KQzFtqgsoLDPAsz_ru3eA_9hwC4JXqCGMEx6-KAny44fzFsk1rDMhwwk1QPB82Pf-Vldu_uyXwfa&xkcb=SoBC67M3-yFTt3Q8GR0JbzkdCdPP&fccid=462e6068c17c7702&vjs=3
24/07/2024,Event Coordinator,Special Events Coordinator,"Ministry of Tourism, Culture and Gaming","Penetanguishene, ON",,,https://ca.indeed.com/rc/clk?jk=2266aaa8873ed85c&bb=GdleDGToVAzMm2IecQ4DROPH8KX3o5yzsQvp__le0ZlWRksaDkwc2I6-BSiehY2kB72nmFNR_Z-HL-S9_PhRfbIQcDlRh3VrSuBIBd3BgXyft4ioMFarpw%3D%3D&xkcb=SoD267M3-yFTt3Q8GR0IbzkdCdPP&fccid=841d459330c592e0&vjs=3
24/07/2024,Event Coordinator,Event Coordinator (12-months Coordinator),BDO,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=c7492019cf4236ab&bb=GdleDGToVAzMm2IecQ4DRH0LFcD9VvSSwmVZUmHlCLiX7Dl_5DEq62rxERXoxx5Ip-qmmhcF6h9Pvu4AhlAugkE4EtUlElxxAZPppLxyncwLJhWwhDh4_6xJyLjxYBZ-&xkcb=SoB467M3-yFTt3Q8GR0PbzkdCdPP&fccid=3639654bd4055c70&vjs=3
24/07/2024,Event Coordinator,Event Coordinator,Magna Golf Club,"Aurora, ON",,,https://ca.indeed.com/rc/clk?jk=4dd8cb037b3e2ab0&bb=GdleDGToVAzMm2IecQ4DROl1JDQSQ5NRwKZ34QqvVinIvFK0cr4V_z3k_UE-y-NaQprMK3lCAxMd6nY-CUUesUKT3XrzD7bl38cuyPsO2Qu0-zezvKiIYbSvMVXecggL&xkcb=SoDM67M3-yFTt3Q8GR0ObzkdCdPP&fccid=d596852eed9eb4fa&vjs=3
24/07/2024,Event Coordinator,Event Coordinator,CoolIT Systems,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=2acb564b1b9925e9&bb=GdleDGToVAzMm2IecQ4DRC7MnBkxfV9LouUUB-7wtfwHKR75C-BWZG0YujX_vUEeDGfZChsMfOG66wFbupzAPgY1yG0TBqAcomi2AesPjF1g-pxNTJxHYe9jAohczWUn&xkcb=SoBR67M3-yFTt3Q8GR0NbzkdCdPP&fccid=231a210c4010596f&vjs=3
24/07/2024,Event Coordinator,Communications Coordinator,Irving Shipbuilding,"Dartmouth, NS",,,https://ca.indeed.com/rc/clk?jk=3ec84b2dae08ed8d&bb=GdleDGToVAzMm2IecQ4DRH0LFcD9VvSS2OarJUdogM1FVnHZ4jruh-4SrmJvbJhA2Fi53uEDAV8_rnMtpqt8C57ekWXpiZSujFsal9AloZmWw5ysgGK3veUzs4h_dkJS&xkcb=SoDl67M3-yFTt3Q8GR0MbzkdCdPP&fccid=0ee1a1ec58403df1&vjs=3
24/07/2024,Event Coordinator,EVENT MANAGER,Hyatt Regency Vancouver,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=a1389cc8bcba94e7&bb=GdleDGToVAzMm2IecQ4DRK6DbHTsLPODePg8nEBnqW68TNuwm3kCT36aBXz1obYJkli60vDEGwrK6q7QhD5Ei4MJ6oHCKc8PLWMZ29OcKAjwUp7LlhCLPQ%3D%3D&xkcb=SoAM67M3-yFTt3Q8GR0DbzkdCdPP&fccid=b385273868d506a9&vjs=3
24/07/2024,Event Coordinator,Coordinator (Community Campaign and Events),Oak Valley Health,"Markham, ON",,,https://ca.indeed.com/rc/clk?jk=ecebd63d920d6ef7&bb=GdleDGToVAzMm2IecQ4DREOqIRrf_eUolSv1ezbfKoujKCEMyPBvCgRE8fSypfBEcSN_Df4YKgBlF6K63pdzGxvjsQvuZ2_X1Zs9JAfornf5YliGr8VB5LPs9skZH5Ie&xkcb=SoC467M3-yFTt3Q8GR0CbzkdCdPP&fccid=8ff89361485b4d90&vjs=3
