ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Executive Assistant,Executive Assistant,Township Chevrolet Buick GMC Ltd,"Summerside, PE",Just posted,$20–$26 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cmtalf1wSfkRcwlYsvpittbNvFgs252kq4d2WO8Pkhgl5sl49TJhkL0PnQSELT6YHP6OwdpTOt31uUMyjRnAqW3SHjdwE5TrNWcJ5nxIdgWGA5dDXgaWZdMIHyP-Wto7sV4f-lmKUZqllcQXDCjP0vz02rqmHUIR13649wVw4WbhZQnY6Auib5KhwE0dnFsl1213ynfTh8u17ZHDulhpdKYFCOvBvrWjzW9NDv4uCPGvolT7i3LhSbfuAiiEinKO9MhUIMvdAa87sgw4aTLDZNefONTExteWkz0LWt58I92sPl_HEhbKeuUfsgxHRN9kClUv3XoyQGnraSyT_wbhOQQ6AiXzLrQAZsoWhS4_D_lea0WI0Wvjcbu9mx91eco7yuGX2rL3NFNpeqKzOZbSMq2oXreyxlh9kSX6tXvHvaRgHfMl8BCx-5tw55AIKqnqlL1ur1BG6qpoGgLd8L3jJr_JWNlZIZcM-Hf3SGnsx-nFh71bqsjnlw_Jq0858oXcrleEJaCcW2ZkpHxcuP1igSCkGjBh-pzeIyONSLJgT9ZKGuDa03ttNSfUTYhStCCL00AvtonKOXjtqgX0B2WWn5etM78XHytMr18Fzs8cEpqd9rXyHxzatH&xkcb=SoBH6_M3-x5LQzgdVj0LbzkdCdPP&camk=nUmJqO2E8rhSAeYQRMKp4A==&p=0&fvj=1&vjs=3
24/07/2024,Executive Assistant,Executive Assistant,NanoLearning Inc.,,Posted 30+ days ago,$22–$50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Al1QVGkrYBH99r3NDXr8MgRspho1lRHzFgPzO1YLJHlif3TZ0HVz2R0B_G7zZl4SUTfFEpUV0Lbd80NCCNRQ75QTKOlf579tz87lhOzFGjVe4-s311VwALKbNk5T_u-ONixD69xhh63TOTaKW-BDkYPhC9EWYOSjcN678sebEcCkVPLYIWHJqWcg1ZkHLVLUvfS9QQtvc4z6zmhmkYW9WgNsZvDQjBjc5PFOySw_Mr7X1SQJKLj5YR1l8GGMkzwnp4sqZ65vkgdTLVrOo8USxnfImeS-f8HUV9K2lgaVNneRbQB4Vt3vPKLQ1n80N8ptKEfPva6O7Cm97BScEpZ8yNcO1YdKc38-TQ0bLJ5c0_gDqVEoxmMC2SnexEt9eApW-NbqUUlhlQI4n_LmCXPVUOP7WTyxiWlzFdWyplxK3bKEhgr0UYOd1CZ_POt7kmgCTGA7Z2gXEkRTD6sNoWK_bg7Z1Ov0z8UCUicu6qq0w2AL6iIBoYaPlvNbwdy85Wt0HWMUINlHVA9fAOG_0sdaWVfEU3voTkrpaIL4GjbM72x6VH2uTT4ve1JN6qWGguL3twNcuT4lZ62J6-O8KkxNKiZbZ7g_rtT4nBB-RUTwEZ63zaIy_wpFyoXuHfdtvMV4sbHwaifY8vyA==&xkcb=SoDz6_M3-x5LQzgdVj0KbzkdCdPP&camk=nUmJqO2E8ritSXCPR1BKlw==&p=1&fvj=1&vjs=3
24/07/2024,Executive Assistant,Executive Assistant,Lyackson First Nation,"Chemainus, BC",Posted 14 days ago,$25–$28 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C16H6Z-pw3-nlK7UNDMUGeMZ2C2ezgZGaNHmi0DNBM6YtOf2IquWLn_fO-Yp5-MiLc4Ci7GigpWakON-MMwAYEPxTi00Lj6jlx1htHFjVcwNIut_0IXNkGyGEcSd3Gvv1Qgbdj8Xbc-RQK2EZnmCeXUnKNbOnQBTtkQMNNJmw_vi1i4cvdT3psK3mqgUfOKjhBLfGJsw85PRG2_kw91pRTdrqUOb2wTbon9WXO4RULs-8JzbW61G0Irva-BN9CU3D_nfFe3XH6gbTr79-Z0SX3LYR9uCkpXaxlqwU6tyuwIXu3N-_HIVnO0nj2TPMWj4wGXOgukWi87_YTQxWj6h1g6c1_VIHAcis0fy-eqx3vSaZyLD4WQemRmkj5PjyueWMlS3U0wM1-VhSdcRypi65640WTjfLkR47mR8E1jkMmqW0ZcbtKXLvC7txfU0jtK-xuKB2lbM3EOIVCjGQCd_vN9RMszRIDqz3fonVtBS3HdeXrUD_8wLx_ryXrZlA8IzbS_Y9ncJeBgdBfDPgWrx-yPm54Q8c9kU4E3onhJuYkD6OfpjaCHVmE8zC2o2kbT7rW0zI-TP-NAMlL0cVBrnUX0ClrFvqQbj4kz-4S_PWO8tF16Th--XIREpf4mgWl16CUCMUPxNDT92qL0oscBYSu&xkcb=SoBu6_M3-x5LQzgdVj0JbzkdCdPP&camk=nUmJqO2E8rg2bUHzw02vpw==&p=2&fvj=1&vjs=3
24/07/2024,Executive Assistant,Executive Assistant,Confidential,"Kingston, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AVoKs6rbVMlwrlVZcNg0N64C1zwL6avsTpHWhhEeQYisS0CRY5CynQPVhWsZjs7Aa7OgxZ6ZZ6GfPcrf4JTaPxbKS4mCzvESEYr6OOuGfLZBHhBjhgnBzgJED4puAycxU6tjtwylJbyauSHSLF3MaRzCrKPd_qG6wauLsDVbxcvTLl6kz4T9jvQB6J_Cx8PfTe_pduEY-X7ZKGQH8K7tt2vZTfwktZY9yVzijJMPQvFdpT-YVppblDkWdQ0_qRKCkjNcBGXR-1kWbwkYPp3ef-mRSnoNfqScQMQ7SUgDjLWp2JgYrknfFKsCaQ0jtN3BPCmX7pXApazunFmbQaH185qKlubw5mpZttbs3B28LmaLash0AfZRlaxQ6ZKViKG7y2FGsSjspSrMJ_VCQMCj0VSqHryCXlzkiWSdsu3kPcNoNkp2LjT3E1roueTJpuilDZvAojCCwy69jHuhM2fQhVLTFHzLKD6H6dw-OoXOd36aI3qPbmvUAyHG_iOEfD-wt8yz1z3SeiUmmPQZGHuuRzZSkGs3r-cl53DMmoW68TzvdRJOdgNs0wi2qLEchkW7xTxp519aZs3_-jmhxIMJR_gpOpjlUWxeo0gqA7Wn3Hn79StuWYETN0GvLG_9eTPhyV95DvlX5jO_7zSAViQk_7&xkcb=SoDa6_M3-x5LQzgdVj0IbzkdCdPP&camk=nUmJqO2E8rhHkl30w1fXDQ==&p=3&fvj=1&vjs=3
24/07/2024,Executive Assistant,Executive Assistant,Emergenetics Canada,,Posted 3 days ago,,https://ca.indeed.com/rc/clk?jk=9c302e63f84fe33b&bb=i8WTmWJPZigMz8sK6Xz6RrcL2YdAd9fIsqSZ8m6m4g4lCv9EBBwSUFPdSNh-ftOMz7TBRVgkZvU_TvWgabxv0w-fzOsgolhZIfik9HugVdkcZtnHED70LKPQOq2d5u-5&xkcb=SoCg67M3-x5LQzgdVj0PbzkdCdPP&fccid=da0e2960ae8ffac4&cmp=Emergenetics-Canada&ti=Executive+Assistant&vjs=3
24/07/2024,Executive Assistant,Executive Assistant,AppleOne,"Toronto, ON",Posted 30+ days ago,"Up to $115,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DnzZDUtsBq5dlbqQ2UZE4_57aaJTHejNOUW-K58UET93I33obQav7R9pqfWJtLxTHd-TZy7E9yx4kZck0QEfj-VRNzcoHgQbe7DFObwvOi-o5gyv_MZSSf3cPllXAQn6tZIz_Fk0-lJDqRW9KEFA-GicKMvjufR7f6QzUHzvhfzcjdtKTWPBuDDed2KVAUbfjYDzpnS7ZeN-FvRafJ6PWbPMqnCMoW1_3rnUoc7JXa0wSCgq_txIj-OKJ5NFIcVDq6SwHtY6rM7OkZjekA0GIje945xId9XbobXL5nw6qyrNMpHgAVTES_kQm-GWNTFag7G42vL4asCOjpHn_AsG-xZEtUYqmyhK_KtvrLpkq14JxPrKbnJ-x8-SQY230Jrs4AaTCaN1BzMoYxKd8mE7t0C2ZXhWHHKVSCEDlylupixHvpGejlEHs_GnyNkyU5tvEWbEeYJJ6shlloHkxfYwXdODMD4a4N9CUhyTlgXftNwc7LHNvxbfL60qKnmBhlLkL8vROpcTOLAp-c0OFRzQVpy9x9U4LFWch_FCGGxzwhSAA9Mlko8z52YIxrgKvwfFlELyVxrvaI4fF5ofYdGmucf0G2j988UU0XOPx4eg8HSxF_if-ry2pzOymDMpJxQN_1ReUPH4ivSx8OO3RE__OO&xkcb=SoDg6_M3-x5LQzgdVj0ObzkdCdPP&camk=dUNjXzWXzoClxfIALC4ehg==&p=5&fvj=0&vjs=3
24/07/2024,Executive Assistant,Executive Assistant – VP (EA),Saskatchewan Government Insurance,"Regina, SK",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIDXNHh_9esrXxfqr4D6ZcKDle8PCG59xT6dG6_Ui2X7wYUE8kFCzI3aBOD_urvjdqvL2yqKJQUSOiCEfVbPzm7bIDXPpxys2ZzpgU_Ustn2xqO_dNZ7hBUSFb3RLFkWqVpgzSAdghZdRVJmeOFtL1rC4GuYRuoLS7DMVRp2b8sz_lLb0sAEQwwFI0SSBSvYZghjr_UOFKbZkD35v3El9X9zHiFjJy1lnq8jVTdKJ8hm7_tnTiGc9LLwysw4vYabZDJodJlaMynXK09TPa11rr54ULHfsTtj-2Si4t8GQFW25RLR-RtGGkh0zNrHuTrFh4fxC0vfmOPNFG1IitvJkP47YIMo8OkO7YbtacD1-3utiSPOjZSoq2pbGHyNjNw51RMryWFLYAkyAzIMTav-fhFq6OFfAE-FvuX4B1d3QiuL4w2nBzTvNq0OQ_jnD35Fjcb1XTES30FgoIF-ZlEVz0wrPmA9H4nrO61YEXREqx8su_vD-IvIxQoIRYF12ToZeMOoAp52sTjl49NXEDS2pvGdVIkFZfbBkDOCCl5Bq4DDKsv_LdwJCTGvC0Iwj3dxt0oTNbK7sbVZWvEoqBMY_iW-UYWRGZBj-3U-LIii9lMZv2PhD21WZfdrYq8hPlmnDlIWzxUle2kp3sTkEu0ploYVBsQj0qshp-srd2ZQWLsPtg0LkUUebd&xkcb=SoB96_M3-x5LQzgdVj0NbzkdCdPP&camk=nUmJqO2E8rjdvanM9p_sSA==&p=6&fvj=1&vjs=3
24/07/2024,Executive Assistant,Executive Personal Assistant,Good Pocket Studios,"Hybrid work in Toronto, ON",Just posted,"$50,000–$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DfukzZQUXDX83ISzz8hQs_Pwb51wgbgr_gZQ1QmPja77dulIoBnH8vAIsWbSVw4q5fzJBLBicSYUv-2EU91UbOBQSq0zCvmk9yOCpfbzV4QUy9ICLiVpaQbV5ef02q-UhIDBzSlmyCpfWRbps-VhCn3FdA15HrcfxvI8FIbyZY3Dlve5X82Q_d1F3CQd2o2A6v_sKIKByf-AOCfMWRsJyGwPRvxfXZFlboJ354_zalmrmKGIlXVc4ix5LDQY3t0AMPs20LiZ5VTBLvDpWbLwjNGMsp934Vjbf64fF1Q3b4HpJhBOlDYFnpRKaC0oemcHh2dzltdLL5BRsoiB9HmqjuHk3v2Itdlin3BAV4sNMhElXY8E8tAKjd7C9-HsG8ByLSMuF78K_7HpsLkruB145JMzGHwLSyYDbPPnLgK4ypCsJpApOi_qJwrTRyqYQEC62GvhXyI07sqE70qmPT395kvpGMqrjUY6RC3hY5eDDfBqM4b_Seg3BLPapcHxel8-O62kpICk-AyGZ71Ho7pGtKYstfMt1fci99RcyCjnAUv6lCs4ITdX-_aO6nslxgAA0aVqEOyS1tQCa6IonJzBYSWQd_ObuoieEbJ-XJag0qecI4TsrLnvBzGAL7DVkXG9CqZX8OOSLHXsxWYgAkCZxSRaKiLyNVRAxPrx1rnWsXmw==&xkcb=SoDJ6_M3-x5LQzgdVj0MbzkdCdPP&camk=nUmJqO2E8rip70l2LMBpDg==&p=7&fvj=1&vjs=3
24/07/2024,Executive Assistant,Executive Assistant,Gestalt Capital,"Hybrid work in Toronto, ON",Posted 3 days ago,"$55,000–$70,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DE1VZwkkiqKFLKNe_fduH8fNtl6bnIc6tPV7F1LMyoli7odSTkDqG9JTyPriA3kLa0GZUzG2XescxcrzzZZENV5bf1jcR3E5GF0ySPaGu-buySfXvH13u9isGrptyex1xVvlLSz7bPj1cIvMi_0WGQS3AxTzOJ2vc-feLWTu0K9cgSCHOgykvWoukuYZ_Uj1kzyfg2Kvn227Wwj1Nm1ov-irBdgwkFhrvPw6VZc7U71U9S3iJAML8je5mYJz2Slt1Enaj-H_4HgMxCkYLwm8LaR4LYjy4BZsZGhDKF77RTDtampWtWgWO96JTdGkQ7bAbw2liUo29WgqhzUggh5HQ_4sPBAGVitGRcDtXRyiuCj2NkuQhRnFnb0GgpkmAl0PG8nT1ZIGa8DbOjRVte9z09QZM-FriZffztgGGiXvQrjfb0bwdJNaPdh9tDT0Vxgoo61BxBhR3IQXcOnD0_oaeQ7Y8LJwd3BQicXNvMKChoRfjmumXQaPUBZX0axqQ0iKT5NCvxB9r39ywfsX2A3l2jFBRJPJvaZOtcIOKG9_P1q0pkbRhVzmzkEv5GkIzEoqcTxKwGaTWLXQBbEjP3q6PA6OqvB5OuGE81cZ-Z8hZ0owpcyW_ZYvf-5SocQTe2NCkUc2XGR_Ohug==&xkcb=SoAg6_M3-x5LQzgdVj0DbzkdCdPP&camk=nUmJqO2E8rhESkcFj41R9A==&p=8&fvj=1&vjs=3
24/07/2024,Executive Assistant,Executive Assistant,The Salvation Army,"Calgary, AB",Just posted,$23.24–$35.01 an hour,https://ca.indeed.com/rc/clk?jk=224f70fc56f0a747&bb=i8WTmWJPZigMz8sK6Xz6RhPoUjImoJfdW9aNAto3Cabhy4Cjf0eo1K7J98J_IN1p7sgrsUpDvJ-DdI0SfALHBxvsKY3qn7J-3ZbAZ1ayJbeQXGLI4-I1sw%3D%3D&xkcb=SoBg67M3-x5LQzgdVj0CbzkdCdPP&fccid=1478f375b56b55d4&vjs=3
