ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Farm Worker,Farm Worker,Jealous Fruits,"Kelowna, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=6eb0e122065ce93f&bb=7PW8yR38-kPK5kQwy0oYrN_NbR7t4rIR1ux14C885YQdYdS8J4CzO79p6UlxSFon4lsuwZr0xKH5NmuXUGjIGEppagGjhjb7S9F0LdA66OaFcUXaZnIDvIN_V4jadXFk&xkcb=SoDQ67M3-x44_CSAhB0LbzkdCdPP&fccid=99b8326a563d0221&vjs=3
24/07/2024,Farm Worker,fruit farm worker,S & S Sanghera Berry Farms Ltd.,"Pitt Meadows, BC",Posted 20 days ago,,https://ca.indeed.com/rc/clk?jk=5ff21e284bbe0249&bb=7PW8yR38-kPK5kQwy0oYrDV5GBrVtMxLeWjwgIlUb9xjkIx3uD56IvQhMXj30Ejki-RdQkGLqmpH0RitqV6mbQcyQg6VWincb2YNlUO-jiD3KspTx2n-cg%3D%3D&xkcb=SoBk67M3-x44_CSAhB0KbzkdCdPP&fccid=2df541259774fec8&vjs=3
24/07/2024,Farm Worker,"farm worker, fruit",Harman Sidhu Orchards,"Kelowna, BC",Just posted,$17.40 an hour,https://ca.indeed.com/rc/clk?jk=5ee5ee383a06c7b7&bb=7PW8yR38-kPK5kQwy0oYrO744xyqAXM_ykytyZvFt9YMw2mkUksgW4UBy87G0Ucr4Cosn0N6GSCOisXzJ-PaaPo86U8nB_qLQYXmu6IPt3CsxeOEo7NNUA%3D%3D&xkcb=SoD567M3-x44_CSAhB0JbzkdCdPP&fccid=f2d78b18bd491762&vjs=3
24/07/2024,Farm Worker,general farm worker,David Vos Farms Ltd,"Keg River, AB",Just posted,$18 an hour,https://ca.indeed.com/rc/clk?jk=6dbadd67a1b4fc76&bb=7PW8yR38-kPK5kQwy0oYrNLNw9phJVm_29ywnakJs6OoeQNg78_PeOWNxCdamTjef1-ls2uIk9pP4G5Acjyf_qdcWhS2I2REARiSZEAuyWTP1NhIxsevpw%3D%3D&xkcb=SoBN67M3-x44_CSAhB0IbzkdCdPP&fccid=e33acbe6bf20bcf7&vjs=3
24/07/2024,Farm Worker,mushroom farm worker,FRESH AGRO PRODUCTS LTD.,"Maple Ridge, BC",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=de47ede0792d6969&bb=7PW8yR38-kPK5kQwy0oYrLoCxYw6vblMbdEAnlrSOtSp35Jf_7NLDmtzVbbJlLLZgW_sye9COGapzcc5uOJqJQEAEsc8EA6-Qru6Y5YwIdr46D4sBhU_Cg%3D%3D&xkcb=SoDD67M3-x44_CSAhB0PbzkdCdPP&fccid=97a9da00edc4f8d0&vjs=3
24/07/2024,Farm Worker,"worker, farm",Greatland Farms LTD.,"Maple Ridge, BC",Posted 11 days ago,,https://ca.indeed.com/rc/clk?jk=c67c2a7f9a4af06d&bb=7PW8yR38-kPK5kQwy0oYrI502UKLtXUxRDqvhh1t42zkLAP5d0lsJpxEsuTk7P_JiZS4-Kc1A8GmfNClHvx2woongRIs9vawde7yHkJzKwu8UzTqJgp1Mw%3D%3D&xkcb=SoB367M3-x44_CSAhB0ObzkdCdPP&fccid=46fdca738f3461f7&vjs=3
24/07/2024,Farm Worker,"farm worker, fruit",T&R Brar farm Ltd.,"Kelowna, BC",Posted 6 days ago,$19.50 an hour,https://ca.indeed.com/rc/clk?jk=d7f73f521f910b9f&bb=7PW8yR38-kPK5kQwy0oYrB3J8Txx63htfLTfJbwFL4-snh3M6cnqpxeJNeg8-BUg2cWpxvGBiAogQXlZJXh4nqm6UvlnYTC3RrVevktP-UbKyecRJsDzyA%3D%3D&xkcb=SoDq67M3-x44_CSAhB0NbzkdCdPP&fccid=56e8a435641d757c&vjs=3
24/07/2024,Farm Worker,"farm worker, fruit",RK BRAR ORCHARD LTD,"Kelowna, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=f05d58c837df4793&bb=7PW8yR38-kPK5kQwy0oYrO0rYwreuNBLE5vv0pfuVfFPolxSi81MgzLChXGBtD8-7muvLXcm03euaL_GL3NyYq__CgkaDnnrt0g5jKMOo5PF6u7UX5ZB9w%3D%3D&xkcb=SoBe67M3-x44_CSAhB0MbzkdCdPP&fccid=9e9e0ec03f3b103d&vjs=3
24/07/2024,Farm Worker,general farm worker,Pennwood Dairy Inc.,"Steinbach, MB",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=7c898c315c83212f&bb=7PW8yR38-kPK5kQwy0oYrDV5GBrVtMxLL3G0mHq8rv9E1bH7gFz9QveA2TmeiEWKb7LGXkNXjdNTDt5OaXE-Kh-QJNUNo7HD0n-rs33udwDPrMMg1kgRhQ%3D%3D&xkcb=SoC367M3-x44_CSAhB0DbzkdCdPP&fccid=c5a014c2e6ac87b5&vjs=3
24/07/2024,Farm Worker,fruit farm worker,B & J Berry Farm Ltd,"Abbotsford, BC",Posted 12 days ago,,https://ca.indeed.com/rc/clk?jk=3e49e37b43497859&bb=7PW8yR38-kPK5kQwy0oYrAdRVK-BMvsnNBp3rJCJfm6cYhqMFnF40AeSKHhqaezsrYHc74KZSb_pzv3gCVHOG4pkeT2mhTYPJua8IDzLs57C3_Rf9O4S2A%3D%3D&xkcb=SoAD67M3-x44_CSAhB0CbzkdCdPP&fccid=b319287e01e04e0f&vjs=3
