ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Fish Plant Worker,"Processing plant worker, fish",Philip Ouellette & Son Ltd,"Petit-Cap, NB",Posted 30+ days ago,$16–$18 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CkSb3IkkvKQNIdkOIVbTVvz09UsCMykmvxf7C5m0IzRt3VMr0i34OUm8_p8R4zgGKHz8lR2fSfMp8rIHL6FN4eI0-vBoI9SRn5Q2XN6N9NG8rMsnH7OEC8G4XbrtpbPc6JkK-xw0R2PT1ETNjm2pqr3pbeWUgdTvDs7PD8wTecnbceC43TaO1gHZDITfVS9sq79rmUlLGqsMDUwgtv2-V9gjWvxmj0tSnD2W47CT6fAGSjYqNRddKnHE4AkL0Ge3__gu-N9NfbB7RqxhKPp8Op5WTHHiYfkjY4NVWdaw-3_usao0S2XJq5_qJ2_UT-CxFPzQ7ryb5OZ7QI2zILmsRo3udk4QnGI6Cd9kkGVQKntxMA7oP5A85X_hiJOsGWzkWhNyTPZK8tCSDy7MQWLMDvBrca-aBRrJN9te_cuwek_4mtxstJmBUq8WcbdKIASBb4A5rLBUhM2w9NibIZEVovMBxf3umfHQ9synzLzth8Id9xMO_eQdsk-e-s5tCV63Fag39xjGyhYcg4k4CZASsR_hUWHlPY2uw4rYnt73en5r22ta8fpIAZuyiGq8rk6lYKV2fK0NWhi1obSewJY-Erdygk3pmqWuMqJjy0Ime6OlmDeD7_e_ApgJY3ynHTDDzxbaEG1feVO6H0M4LrLcTh&xkcb=SoAX6_M3-x48zCydaR0LbzkdCdPP&camk=f416UQcMBpCupWZkldkidg==&p=0&fvj=1&vjs=3
24/07/2024,Fish Plant Worker,fish and sesfoods plant worker,Shoalwater Seafoods ltd,"Upper Clements, NS",Posted 1 day ago,$15.50–$18.00 an hour,https://ca.indeed.com/rc/clk?jk=865339ff3ac3e316&bb=MwHeXaID8P6Xnosdy3RBDlyNof63qaIf1b0QZPBiaX7BIW5yYS9JnUkMKzAeQwDqWMeVNZudcRb4A56X-aHGNDcq8O6Ewzg_PcV64AAGRyklfv7IT8J9d90L4KMcycWM&xkcb=SoBX67M3-x48zCydaR0KbzkdCdPP&fccid=e9c6362e1911ec22&cmp=Shoalwater-Seafoods-Ltd&ti=Fish+and+Sesfoods+Plant+Worker&vjs=3
24/07/2024,Fish Plant Worker,fish plant worker,CB Island Fisheries Ltd,"North Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=8671c953b439743e&bb=MwHeXaID8P6Xnosdy3RBDrDjL5ljfP_P5nnMckP1CBlDcjwnY7Gsb8F2twxahEvJPT1X7JqIok0_3sPz-h5n0YDnkFQ_JpEcM7276cD3ijh7Tac776x0Hg%3D%3D&xkcb=SoDK67M3-x48zCydaR0JbzkdCdPP&fccid=d3caa39dd22e8a0b&vjs=3
24/07/2024,Fish Plant Worker,fish plant worker,Kanata Holdings LTD,"Richmond, BC",Just posted,$17.75–$18.50 an hour,https://ca.indeed.com/rc/clk?jk=2215a31b3b4d1b3d&bb=MwHeXaID8P6Xnosdy3RBDuoXyXzhxY58AoHmGbMIq1syf5blC8Zl4FU2A-eQM0buk44LuJvwfCP4zD87djLPzJC56sZjsct5kGCLebLvKtGnWIOCu5iecw%3D%3D&xkcb=SoB-67M3-x48zCydaR0IbzkdCdPP&fccid=4d560336d67bd05e&vjs=3
24/07/2024,Fish Plant Worker,fish plant worker,Summerside Seafood Supreme Inc.,"Summerside, PE",Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=35917335a1fd5a5d&bb=MwHeXaID8P6Xnosdy3RBDmRqaRQgN9KlZJdp-A2seC_82XlyKHsAIjVY1a0JLBWPDhn222bXcRRUlWFgej7iaFWQWk0kwiIRhrRsbLJFqjT19zr3aUJ4NQ%3D%3D&xkcb=SoDw67M3-x48zCydaR0PbzkdCdPP&fccid=6bd82ba1dc49907d&vjs=3
24/07/2024,Fish Plant Worker,Plant Labourer,Raymond O'Neill & Sons Fisheries,"Escuminac, NB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=f4a3e9e614eb8046&bb=MwHeXaID8P6Xnosdy3RBDvegx_CJdwgc5hZXNvC_zh38aswGrt8R_o_JKz6Kj8Jm9SrdkQSpVsGX7cJmnQRK0fVENy7RBiYcj60nuhMEZmldZiwFAMPnVBMpV1kgqRIg&xkcb=SoBE67M3-x48zCydaR0ObzkdCdPP&fccid=0d157b34b1c051b3&vjs=3
24/07/2024,Fish Plant Worker,Fish Plant Worker,Dandy Dan's Fish Market Ltd,"Ship Harbour Pb, NL",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=3281be8cd20811f8&bb=MwHeXaID8P6Xnosdy3RBDn4nsg9LZksvmRzQ2UGYVBq18lIBLb4Y5yaytT6bqnNF-QGSJOSKmJLBuLr52zuScENmGZBB6yYw39e2296TVlAwEca7s4zsj5-qhoxBWnhN&xkcb=SoDZ67M3-x48zCydaR0NbzkdCdPP&fccid=cfeefad0bbfbb9e2&cmp=Dandy-Dan%2527s-Fish-Market-Ltd&ti=Fish+Plant+Worker&vjs=3
24/07/2024,Fish Plant Worker,Canning Fish Plant Workers – NOC 95107,"Bumble Bee Foods, LLC","Blacks Harbour, NB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=36b0a5ca5ea6bdd1&bb=MwHeXaID8P6Xnosdy3RBDiMvRn6t9sdreVtse53pHLhsBwNsIO2VxpTorqht6l8bmkQgCN987Mob8-gBlWNyGVHuYJkdJymvyf3bs0R77WrGVrfcT7YRtvHQlmx04qgI&xkcb=SoBt67M3-x48zCydaR0MbzkdCdPP&fccid=44965bb0c896445b&vjs=3
24/07/2024,Fish Plant Worker,Piecework Fish Plant Workers – NOC 94142,"Bumble Bee Foods, LLC","Blacks Harbour, NB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=021d24c58109578e&bb=MwHeXaID8P6Xnosdy3RBDuMTJLZJBA4mHj_H1VcO6i3SAKUSyIyTF06ZX31raVmmKCNndhcub9XI4NPSHm1UpwpcCa6xAAK361MecKk-VLkVJHg5eLOEqRjSQN9DoCUD&xkcb=SoCE67M3-x48zCydaR0DbzkdCdPP&fccid=44965bb0c896445b&vjs=3
24/07/2024,Fish Plant Worker,Hourly Fish Plant Workers – NOC 94142,"Bumble Bee Foods, LLC","Blacks Harbour, NB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=bc473d886907ee14&bb=MwHeXaID8P6Xnosdy3RBDh-EUNT7Y3F_NHrIFO7grFw23cm-6q4wYyhf7sKmeSM-WWOMMG0bG5hmbSWgIuBI8FWn6VxdKHBXYqJ-9dlDMf5eCK6OB4zfLTyGJ0oRKL90&xkcb=SoAw67M3-x48zCydaR0CbzkdCdPP&fccid=44965bb0c896445b&vjs=3
24/07/2024,Fish Plant Worker,fish plant worker,Ocean Gate Fishery LTD.,"Richmond, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=bfaed1fdad127488&bb=MwHeXaID8P6Xnosdy3RBDgcG10OFmhZjLlABeok1eoXNw2zuzfMvwdt4olFeY1vuRpGQpUFNO_4MARS3G962KBj8sZS_jnzTTbHt-n6KTQsym0hzfXwLeQ%3D%3D&xkcb=SoCt67M3-x48zCydaR0BbzkdCdPP&fccid=2a2964ef810ddc0a&vjs=3
24/07/2024,Fish Plant Worker,fish plant worker,Icewater Seafoods,"Arnold's Cove, NL",Posted 8 days ago,$19.36 an hour,https://ca.indeed.com/rc/clk?jk=7f88810818035eb0&bb=MwHeXaID8P6Xnosdy3RBDlI9r4Wo18dpWm7a22sPldgKPyOYBi1GKOsOKbPyceEwcfGO9YLAYC-dTxwMf357Jwe12tFye6uuVmlvrvj9MgsFn0Rl94LVbA%3D%3D&xkcb=SoAZ67M3-x48zCydaR0AbzkdCdPP&fccid=cd422a2f6f66e9b3&vjs=3
24/07/2024,Fish Plant Worker,Fish Processing General Labourer,Fathom Fish & Seafood,"Little Brook, NS",Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=fb493f2e22080ee1&bb=MwHeXaID8P6Xnosdy3RBDqKSErFHM8xR2Api0SDnqErVNmY0b2bJ5bZ0hlcoZ7_U6m9IPBkRKbVoklj4s3bOmDTYBKbPs0xMwEpNr24r5s9vhQ2gLbn33thXiQy0Ac9J&xkcb=SoCX67M3-x48zCydaR0HbzkdCdPP&fccid=878ade2405824c0a&cmp=Fathom-Fish-%2526-Seafood&ti=Laborer&vjs=3
24/07/2024,Fish Plant Worker,fish-processing plant worker,KILDARE FISHERIES LTD,"O'Leary, PE",Posted 6 days ago,$15.40 an hour,https://ca.indeed.com/rc/clk?jk=235c77278efa95d5&bb=MwHeXaID8P6Xnosdy3RBDuQ_CwxrNc8c2oDU3UoymXZ_UZcnfC0KQx8SrvlmBKN8YpMEuStMW6onA4pFPaCdmPHOHDlgWB0dauW5dKtgmD_5vNedJRei2Q%3D%3D&xkcb=SoAj67M3-x48zCydaR0GbzkdCdPP&fccid=ff12cb500b1ad3d2&vjs=3
24/07/2024,Fish Plant Worker,fish plant worker,Ocean Choice International,"Triton, NL",Posted 5 days ago,$17.70–$18.20 an hour,https://ca.indeed.com/rc/clk?jk=d83975f7b378078f&bb=MwHeXaID8P6Xnosdy3RBDik6C712ejuti6XNInCnpmONnXMMGzZrYFmTlaOKymBKhvyYA5JLyguih4RutHL0I6lQI3XoHLLTNhMJIHlz60Icy5WG0RtCdw%3D%3D&xkcb=SoC-67M3-x48zCydaR0FbzkdCdPP&fccid=b5286f650bcfe940&vjs=3
24/07/2024,Fish Plant Worker,fish plant worker,Sea Star Seafoods Limited,"Clark's Harbour, NS",Posted 30+ days ago,$15.20 an hour,https://ca.indeed.com/rc/clk?jk=074fb6499f771f9f&bb=N2LiRZ94vLvry4Q-ofy2W8cgHzof84thmMYghOorAQzwhGMQHmwG-Kd44W9bPJryTRxUMI7GldwrXVaKCSkXI7wx8ax5vCmob5yINXAws3sFTTCO-udNLg%3D%3D&xkcb=SoCg67M3-x5JDMRgj50KbzkdCdPP&fccid=cc8b3895c7405aa8&vjs=3
24/07/2024,Fish Plant Worker,"processing plant worker, fish",Variety Foods Ltd,"Harbour Main, NL",Posted 11 days ago,$17 an hour,https://ca.indeed.com/rc/clk?jk=e3dfe196814e9080&bb=N2LiRZ94vLvry4Q-ofy2W_D3DgJnWcfvnaV_FN6kYMcLhNmSPmRqFW_oq2mJuwDljNIH-V_rTE8AGDHL-WdY_HqyAHeqUUS_y0MEYaqbsg4iJUqEfq0_Sg%3D%3D&xkcb=SoA967M3-x5JDMRgj50JbzkdCdPP&fccid=a7ad40011af5db14&vjs=3
24/07/2024,Fish Plant Worker,fish-processing plant worker,Big Lobster Seafood Incorporated,"Grand Manan, NB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=0f612ddcafa37823&bb=N2LiRZ94vLvry4Q-ofy2WxST4QtSOCUVpuR_FTnadYdFsVO1Zdn4tm4pczLwUJpfhprJ_K0FGJlvbcdkk5R8nmz8JJXx_HVrlYHEaLVTR3psEYPQcqIDSg%3D%3D&xkcb=SoCJ67M3-x5JDMRgj50IbzkdCdPP&fccid=8d03d4d4ae09e5e8&vjs=3
24/07/2024,Fish Plant Worker,fish plant worker,Louisbourg Seafoods Limited,"Glace Bay, NS",Posted 30+ days ago,$16 an hour,https://ca.indeed.com/rc/clk?jk=642410b0e65313eb&bb=N2LiRZ94vLvry4Q-ofy2W4ujGwCoZKfV-WznFtjEaYY3vih5x2vYw6iBQORs3TzbBwPu8JTBLOcTuHqZDBBNvGI3EeSnDbkz94R1o2mxxqO3vybBTPiVHw%3D%3D&xkcb=SoAH67M3-x5JDMRgj50PbzkdCdPP&fccid=988442897c038693&vjs=3
