ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Fisherman,Retail Stock Associate,Gap,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=4014cf472cf2637b&bb=Qk-n6UZSHLYdSfQoPQzE_ZDEVjFDuGy-dJjLVLKQenFST20MsGm_L9i3spB6lv69wqENyW_r4_Xgl4uu2d_0RL5wUVoxhWWqJcKyqo3kkHGKFKEQn479NFLeyFhyIIiw&xkcb=SoA967M3-x48xtQ3hh0KbzkdCdPP&fccid=fce6a8fee1edf46b&vjs=3
24/07/2024,Fisherman,Seasonal Retail Sales Associate,Gap,"Etobicoke, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=0583971f305c0b69&bb=Qk-n6UZSHLYdSfQoPQzE_QAD5OB6UhObf5IBWeWhOy5i1dpElVKPLT73nXvE3QQw0hIpFnN6pQJnmnkHGA7wKts-DyPRfd8yWPoIT_sUfLegrKYWJhJp8qvM1L-gsVLZ&xkcb=SoCg67M3-x48xtQ3hh0JbzkdCdPP&fccid=fce6a8fee1edf46b&vjs=3
24/07/2024,Fisherman,Bookkeeper,E.R. Fisher Menswear,"Ottawa, ON",Posted 30+ days ago,From $24 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cxwz1JZ1BpAIhzJ2pV3vUpVtunLrOX5QlGqGglMgx9vDb1MMaFJFz-9i9k2LrDsFG318IFVHKv2ih8PudNj1K4aK-HtRkX8YxjG55gW49vbCuZDTL6a1uIMp7JU6DCVQEETrKl8SWUaSHiyG8nS1Wr-57rMQtmtL6ElzyzbE26gWyUgF1xcvwm1DisB2R2KHN1jHA8EIyPYO1NMh6DbVileSIqCmyYGHxvVEUIa9uLRHmAhJi57LJxpzsW62WLQGu5PXxS3MmSz1oI5IPrco6N9s_bw3CsopjpNiZ0mXZld74GY7ha7fU4qV36UBGLGh3oB_-d0x00zf5Apmur27RbVmFc0KZ3U-39tjRbdXLw52cbuE-jf1tRN0BmuE0USASRvXTRBLbuLckpmt95HIxUUastakRisi2LfKegK4U5N807zUW-GuOVlwA2ieHR7B-YERlvKDYCcuumKua_MVR8iO4uz-sGpFu6EtsZFCV3BazQY492qxgTgodM9jQckIR6WYifIbhFY2sPz2asldva7aQxlAxG0rCpOLOoPCGuSkPbKmTe2dML2oDEdFexFRxFB21i9obLb3Jt6SW7NJr29K6sPgsyB77DxC5f5_VWbA==&xkcb=SoDg6_M3-x48xtQ3hh0IbzkdCdPP&camk=nUmJqO2E8rgAC5B_8WyGMQ==&p=2&fvj=1&vjs=3
24/07/2024,Fisherman,Delivery Driver - Seafood Distributor,Wild & Live Seafoods Ltd.,"Metro Vancouver Regional District, BC",Posted 30+ days ago,"$3,640–$3,987 a month",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ai8eDyI-vghpsXYc0hg_NMisy2ryKSeBA6tWWAZFoMMNBJoqxYOe-L0pjYNv4UGRxcC8Dr9Hk9-sJrtVUTfftieHCer9toGYVuNsF2WQI_TT39e2tO2KjgTyJTN2gVffrGoNWS9kybZ-ZkHwgh4FbMu9GbwRC9mSKw9k5yEIDYoUTHo734j_dwy-XbOSqDR-wOBj3YLmPZxfhkaNlU39AhYKnTEqFXI_-h2qHgR713xM7i_beUkQfY_8FB2mP_4_JIWEZu4ry7mIsknRKRfpMZdMMT8ulD46goLaPbXrX_ldFQuNkVsSltVJpZblKXTmpqH41lEGVMDTx-ebWcaFD9cJPB_7I_m7kQSVNcC21Yia5eY7uhBf5gGM_cA5LViXeibRwN_CldXf2bdhQDooDdYAp1Aw1sUyUQuHqdDvO5Y4aC2su5nqoXcFqoYP5EM371QEXKPoRtdYeQdlTJPG1BpVlI4p0iQRe8DEK9vXwvAa5uKSkW8ASr3qIW6v78krLwVdhN3sVbMI466RfL2UbJOKjVsgUiidhxNt_ZtzRj0vGJpRdAoClAGBHsABJZj7ojObb19pE8hrrIf4mDp-lbCdOKBOu7DG-gMx_F6tFehH2IlKLqDa8W0Widxj0QJl2XZUGdveUGsk1eMACjD15K&xkcb=SoBu6_M3-x48xtQ3hh0PbzkdCdPP&camk=f416UQcMBpAzZ3-iX2LgxQ==&p=3&fvj=1&vjs=3
24/07/2024,Fisherman,"Assistant Manager, Product Operations",Gap,"Etobicoke, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=f3b781d1b2e0a86b&bb=Qk-n6UZSHLYdSfQoPQzE_T0nyGLM66REfRImPASDKe0I6yveo-Ccrlj9GoCcAMhu4vqvsAgxwvAVk7SsaYhCNJQS0xyPW5dKo6TajlhR1lGAVy50UOBwC__RTsnBxkOR&xkcb=SoAu67M3-x48xtQ3hh0ObzkdCdPP&fccid=fce6a8fee1edf46b&vjs=3
24/07/2024,Fisherman,Carpenter's Apprentice,Fisher Construction,"Cobourg, ON",Posted 20 days ago,,https://ca.indeed.com/rc/clk?jk=4ec509597c9df1e2&bb=Qk-n6UZSHLYdSfQoPQzE_WXtNkeqxtuTj7hq7nELCQpKvvzmrklnS4Y2h9J7d-hrh4iJMPFCJkjjrfq3rJeGp6ZhEaZFE7EQ0AJ0ds47PRj4lPaSa9vvFj5dTl0kcyuV&xkcb=SoCz67M3-x48xtQ3hh0NbzkdCdPP&fccid=405a69166f76cdf7&cmp=Eavestrough-Supply&ti=Carpenter+Apprentice&vjs=3
24/07/2024,Fisherman,Retail Sales Associate,Gap,"Waterloo, ON",Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=dc5e351551b5a316&bb=Qk-n6UZSHLYdSfQoPQzE_dIF1hnZSKzQz-fOBVQhUnmKbkP1P0t5kEHMqw_qsXuEcNThW3-8ZAYGnJHtNOTxXSmbaiP5WI3luSdLJNxTad-FFkqwAcK7gDJIFGjVMDW9&xkcb=SoAH67M3-x48xtQ3hh0MbzkdCdPP&fccid=fce6a8fee1edf46b&vjs=3
24/07/2024,Fisherman,Laboratory and Field technician,HV Oil Incorporated,"Edmonton, AB",Posted 30+ days ago,$18–$20 an hour,https://ca.indeed.com/rc/clk?jk=69948ac8a28659e8&bb=Qk-n6UZSHLYdSfQoPQzE_YCkmm7gwjXb8eS9RzkxklWfU4ftAmUuzubq6r5J-dgR3OEZVCgsnYEISfmv64HsgyCirBkCl52Gm1Ph9O8vF7paL0s_kgadVH_sxxWXGB_s&xkcb=SoDu67M3-x48xtQ3hh0DbzkdCdPP&fccid=6cf19ceb4f79c7bf&cmp=HV-OIL-INCORPORATED&ti=Laboratory+Technician&vjs=3
24/07/2024,Fisherman,Class 1 Driver (Quebec and Maritimes runs),Fisher Transport Ltd,"Truro, NS",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=2fac97771a9034a8&bb=Qk-n6UZSHLYdSfQoPQzE_d4kUXzHrbIeYd-wXXbHyDa_I45H9P8P3SqtC-DSptXl7ylLgYFvvQnhGIywSIo3pxoT3e5mmDlxMkFDJo66k07cIOFXgRY-UFc6EfwYo-xs&xkcb=SoBa67M3-x48xtQ3hh0CbzkdCdPP&fccid=104782a4116cbd66&cmp=Fisher-Transport-Limited&ti=Truck+Driver&vjs=3
24/07/2024,Fisherman,Home Care Attendant,Interlake-Eastern Regional Health Authority,"Fisher Branch, MB",Posted 30+ days ago,$19.37–$21.08 an hour,https://ca.indeed.com/rc/clk?jk=207ccf5c998ce39a&bb=Qk-n6UZSHLYdSfQoPQzE_bbFr5QlZWYxup_Smeu4jC9ciRCbEr95L2_wQ3u6LsR-qbQjAy9q6J0JVbDAlZllxzDjBkByhC4V6KYPxXcafZfh9glR_WOaFBJoLh-CO9HW&xkcb=SoDH67M3-x48xtQ3hh0BbzkdCdPP&fccid=baf700a1797b852c&vjs=3
24/07/2024,Fisherman,Jet Boat Operator,Splitrock Environmental,"Lillooet, BC",Posted 6 days ago,$30–$35 an hour,https://ca.indeed.com/rc/clk?jk=b3c098dcc22a315e&bb=Qk-n6UZSHLYdSfQoPQzE_YmWnrWNik-UH0Xw1P4zZ5buqVoh06THydXigEQWFlr4qOdRSlq5RMrx4fp93_nOfugaBso1cn4ax3TqynowLp8wbsrzzlfAwgKSvFppV9CN&xkcb=SoBz67M3-x48xtQ3hh0AbzkdCdPP&fccid=7a47deef7e09120b&cmp=Splitrock-Environmental&ti=Jet+Boat+Operator&vjs=3
