ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Freight Forwarder,Logistics Manager,Galderma,"Thornhill, ON",,,https://ca.indeed.com/rc/clk?jk=3f4eccf928b19671&bb=e5Nb9InFpu_yybkQwq0ol7oP71JrZtaUnGINdwnMrP3kzEURAhBbMIu0BTfBI7QWpUxYOmrn1F65e1i6CdLppMgSimnONPYZC0GDD_ZZIkUVQVVNFIZiKw%3D%3D&xkcb=SoA867M3-yfzvlw8GR0LbzkdCdPP&fccid=f747d980a7349998&vjs=3
24/07/2024,Freight Forwarder,Logistics Coop,L3Harris Technologies,"Waterdown, ON",,,https://ca.indeed.com/rc/clk?jk=6527adc13697da0e&bb=e5Nb9InFpu_yybkQwq0olzEsOOFtaCyqSEhYK_qpy8aNYR1yzcTyv3eveAIiNBotY8lJY2kk208ZAeqahQ8LfD6j0QCbTy1qHphg3ZitR6TNNyWEy4zGs55Z8c_9E8iM&xkcb=SoCI67M3-yfzvlw8GR0KbzkdCdPP&fccid=6c6be4ac01722b08&vjs=3
24/07/2024,Freight Forwarder,Shipping Coordinator,McKesson,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=4431358d3715ca5a&bb=e5Nb9InFpu_yybkQwq0olyNnd4gBC5ASqHShPF_Yn4SL89ztfDp8dhgKiRGd-QGPZZf5gS3tjpSW1xiPcAQOkyYl5zcdmGvXwHdcPP7yLhHGwYikAGkUNg%3D%3D&xkcb=SoAV67M3-yfzvlw8GR0JbzkdCdPP&fccid=a7c5036618407010&vjs=3
24/07/2024,Freight Forwarder,Fashion Import Logistics Coordinator,Simons,"Hybrid work in Quebec City, QC",,,https://ca.indeed.com/rc/clk?jk=2cbbd1987c03639a&bb=e5Nb9InFpu_yybkQwq0ol_J-DY5I6eJiLARVb7Je2aeSlK5HZF1YrOkdczh928QDfX9pBlGGt0QqohMVIZVhzLeY5nTZx4EvbzAkgQGldcsvPZeEvaTtWVAMWHP3fZUI&xkcb=SoCh67M3-yfzvlw8GR0IbzkdCdPP&fccid=531fd58226fcb73f&vjs=3
24/07/2024,Freight Forwarder,ocean freight co-ordinator,G.E. Forwarders Ltd,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=e8940e1da12754ce&bb=e5Nb9InFpu_yybkQwq0ol01VGKSJIA1driza8dL3cLvWIxMDdSJSMJyX5yvqnGCMFwxULhwGPOQyqkjGPrWDP6clH_rOQiAsxJvgw3fEuO6kPXCw2wnRRA%3D%3D&xkcb=SoAv67M3-yfzvlw8GR0PbzkdCdPP&fccid=c6bd3addb68e78b2&vjs=3
24/07/2024,Freight Forwarder,freight forwarding logistician,Airport Cargo Warehouse Inc.,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=f1537c9c9eb9cc79&bb=e5Nb9InFpu_yybkQwq0ol3Nbw-cvWKKjYRyfOHRr1i5Ho8M0v6GXiMaoXqqH_mtKTSf_C-eniJsb6wCKeORmMoGVxi326o987bu7lbNrzwRYoyNnvbidOw%3D%3D&xkcb=SoCb67M3-yfzvlw8GR0ObzkdCdPP&fccid=1fbd4c0289799b42&vjs=3
24/07/2024,Freight Forwarder,freight forwarding logistician,Alpheus International Inc,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=86f828c4d0bf3ee3&bb=e5Nb9InFpu_yybkQwq0ol53GZeqHhZ4lm7aRsYdbMd75POC-_iNDXLn6dwwh0-xCZE6VGtVKJI5g_CMtzioEQGY6kw3ujE-d4GYHTDkWlIQZL3VniZFQ9A%3D%3D&xkcb=SoAG67M3-yfzvlw8GR0NbzkdCdPP&fccid=c75ada231dcee0c1&vjs=3
24/07/2024,Freight Forwarder,freight forwarding manager,Great Worldwide Logistics Co. Ltd.,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=371058398e80c0f8&bb=e5Nb9InFpu_yybkQwq0olxbyFw0XonTJGvyoux76mtdBzy-p14yO1g1ipHISSVuKsgwxrqhWULdaR1IdqgWHa9tdqzUCBeAHZYb7SNwrlaXOrJNABRXYIQ%3D%3D&xkcb=SoCy67M3-yfzvlw8GR0MbzkdCdPP&fccid=33e13a1f2eaddffb&vjs=3
24/07/2024,Freight Forwarder,freight forwarding supervisor,Courtney Agencies Ltd,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=a76727067ab8bc2b&bb=e5Nb9InFpu_yybkQwq0olzYIAdGOmHNNDMGU32uUOfsAumo4TYgnRUfrOXIXBRWEDs9n8imFlKHr4MXUMWi-JqmzOKuRKN_U82ToiL68AnwsRV5eTurjRA%3D%3D&xkcb=SoBb67M3-yfzvlw8GR0DbzkdCdPP&fccid=b1969c8e4f9e83e1&vjs=3
24/07/2024,Freight Forwarder,freight forwarding logistician,JTS Logistics Ltd.,"Chestermere, AB",,,https://ca.indeed.com/rc/clk?jk=811522bf793a9d80&bb=e5Nb9InFpu_yybkQwq0olw-LO4pn2R4eLNhf5e5-mlUjjH6JOWnRVis3vYgJ9FDfEsj4tKZFQa8FWf1sBf1ITmXe03UIwgweZ1YJHLp6rx0Q-19I9jGtew%3D%3D&xkcb=SoDv67M3-yfzvlw8GR0CbzkdCdPP&fccid=16baef1cd4da15ed&vjs=3
24/07/2024,Freight Forwarder,freight forwarding logistician,M.P.A.B Transport Inc,"Rosser, MB",,,https://ca.indeed.com/rc/clk?jk=7c92f01183d57ad4&bb=e5Nb9InFpu_yybkQwq0ol5Uo_48sehHcmqdk_c9MSbG_IPb2hxNinFIKWjL4gWgyhFRTRL3dttXzsG4NK5w2GLS6VeHBxrmyyaAQGYxNwqAvCaaZvvUAPw%3D%3D&xkcb=SoBy67M3-yfzvlw8GR0BbzkdCdPP&fccid=afdb364f2e64cfe6&vjs=3
24/07/2024,Freight Forwarder,freight forwarding technician,BBE Expediting Ltd.,"Leduc, AB",,,https://ca.indeed.com/rc/clk?jk=85106a6870d8ab70&bb=e5Nb9InFpu_yybkQwq0ol6kqVgLSTP-oxLDH4K81ouizd7AAMoxNEP503Ct_nd8O7kDVtwUQkCIpHcQjV2IIFw4ETxqyIvsGhECJf4CYFp0rWtb1pFyKcQ%3D%3D&xkcb=SoDG67M3-yfzvlw8GR0AbzkdCdPP&fccid=a8359f37782a488b&vjs=3
