ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Geologist,Geologist (core logging),Frequency Geophysics Inc.,"Greater Sudbury, ON",Just posted,$35–$41 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D8Y527XyQTdTDwhCdhZny-TYWpFJ0rArDvvjpb9ub4co-sPhv1ha6WXSSKUIoJAz7d2oLd2WECDvqbheIqPc470sHPNkp58p3_f9NH6OA0wR2gqIqd4OFvRO9pm5KBfO0_L21IkH7Qp4K04wp0fPlFDV3aEjWbzd_goIXlmRWE0yyf05QFFQAcXgpUEOvBuAPNlVDSwk_NNj2nBkrfnpaXAfEPkE8YZBGxbeBFcnkfvUQqepWtN8V8cuCvICBMVRzr04H4fcqSrFGocoXaUY-IJf0a9IM21JpPBNSY9kjNQ36ETXDbBsGkvsNv6Q6VIib5uVRiL1bgHknU-x2XpI0RAAAHZGEqjS6UMa2zBbZJOR0xtslqO0l-0Yi3b8EjqrPVAirD_qD9UFfxQtVdLT-QhUR3xNavva6k2-3EiYmycrB7RCXal9YLgRrNqEjuY2DHqOYMHfgZwLf9NNY99whqn9Bgq0tqn6ktvws694D4crY6CZhP1qQuhydTnckFwPC0nq378qRQniDcWfaXURmI9y4R4raCwofM4qymatWZERxDiNH6uFDqiME_8ctO_njXXtAeOX_Q9MRlmGSWVk1CY2EfL0g7RlkVqJcU3CPXLtbolZpOD7dsCcteV9Rae98=&xkcb=SoCq6_M3-x46TURgj50LbzkdCdPP&camk=nUmJqO2E8ridRqCpcL3Z6w==&p=0&fvj=1&vjs=3
24/07/2024,Geologist,Geologist,Inline Group Inc.,"Edmonton, AB",Posted 4 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCV2dgJgQybhgxNY8ZQKM1lD326etfn4-WUN4nIzU73aWGx9MFOWaVve0zJ3iLcgsfUIzw56AwG3CSodi7LSq-1-llTb2s6W_-kQl3FGFnzshSgUma1vyM79gaObH3TTGJ0ANVBKIieozKU_SQyM7ec4id7AOe_fRdkwruienAnkFedJqcfDJFwXQ--eBHVUwMC4FGAcdKWMaq8NA-xJL-SPVZynh9aZLI60ueXejDr2_Wp1lNuY1EKvD4zigTpP_O1jLwbfTbeywIG721cDhBOsgQQZTYHWppP27umCcso-5L9Zl_-EoeH5GBb_2LcPQDAv6fjr-Bj4HFdpbEofPzccjJVzED_b0gs2QS9iQUL252TzvmmWVO_U6E37WA2u8osn61UT9NssOPh7fQWEX95Hvp3odJFi3df3T2A0K53GLv53SY4SPqpKVKdOj1wvoFr4uL0b4WuQ3pDpME0K1GvFmm5Y1TPD3lhK33_8sUVs0nnZHkqjNfTxxOPooh_0UFfH4fkhkesKatZQkbm8VfejsmymjI7s9pFlXe2JHSdenmCVeGWDlEgCl7JJ8XCp7ea3V-lAQDmRyngMToULAj89dRyWX7QJWlsNVGzSwbqbXsK0ArR-OuSYJzxEQFe4HqCUq9TrUrUSmVTEp-99PPIRwEVPOuuP4dBDWgdh3SrQ==&xkcb=SoAe6_M3-x46TURgj50KbzkdCdPP&camk=nUmJqO2E8rhXLo34NJSMUw==&p=1&fvj=1&vjs=3
24/07/2024,Geologist,Geologist,Levert,"Timmins, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BHjgBgev7FySd8mYHnknlLPmw0MDB9UCF-iJ_Sp8iCkngYN3als_f2E0LqHx14tPrv5r8cEz-gm0iafNlWw45C3JB5qT8HM7xUP97LA9tDZAboR5DB-vjz1jCzLIK02YJHUaZYak22imyXC2_KSuf_INjCQmPG_eaf1v3yztXoDSEaxib1EWM5aeOB-7WiNGXjIaSYbWZTkpDbPyWWw5wkfiCALmCz97PjC_OM76lshmzTpM02vpxAkfJK-Y5ryVDK_1Bzizhl5A5nTDkDCQ-XpPG8P9Lh7AYQGn0amRXEa8ELg1USdvH4FCFUBCK8zyT9ygWZVdbGPG9PO9by3pDX__PZ_oDjtAfBbYFZYN1970dpB9OXA-3aIZnWgvkTTEs3_yVLO29fwob_QR1MtFUptMcSzDH-7FX23-HshpLqL331tGvQFsO-RNFlsmAf8dy0XqgxCKeP7prc28_rtpwXKrgn03Nfnddrn7qPzEnCw3zTQaF9cI4J8t3Gvzj4pNg0P36-yw7U3bOv2bIW9XrBu5tIqhvMvN4IIBT0D9iJdPjhnHVY9mO68xaonRyByNcHatUu8CBGTurq9fICaCZVPiqLYol1edz63EXFVGMEo8cGtHkjjTmHQlBmbaH17gVWsskN4eJbzmn7NqCc1P7nSpUUhLFDDa-Q-umb7EyAAMB4K0Aps_7v&xkcb=SoCD6_M3-x46TURgj50JbzkdCdPP&camk=NFVmwABINBI5FxogZ-UsZg==&p=2&fvj=0&vjs=3
24/07/2024,Geologist,Geologist,MOUNT POLLEY MINING CORPORATION,"Likely, BC",Posted 30+ days ago,"$120,000–$130,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJUJOycR1rvA6sQUonrkQ_4rQ996g0c9EcP_J6J8pAMkBWsMPJn5V1pLQH3ltrh2pfU8aTUmhwHF8DSx7be-NF0ECkYPVoK1z2YbkxWrWq3rpx7O4W_PCF7PVQHjxo-BVpR3pNy3sOksmYCZFGOdgJ8teQvsjcwzGeQWBkJ1nNByJG9FqdlkFIFmJ07SVDMqpQtRZJh9ehOVA84s1_ObtfWbhki9Qxn65sgUIEHrDWgTU8DcBKPc242oLpsV6vcrScUXKSOl4WUbmN6BxOCd9GXlAi16R-Xmc-f9m-mNvV6I6TxBsher53x8jFZLLq3oYBxo0_yQX0e77FOcnDe_9SzaiXtIrp92_oZqWZvmLRhMNjfD7ODHPllt6fXg9bWiEDF29DJ8wqYV3j9k2OyYOtnu3_GdMwBEdgrhy5ApdHrxR1QY_FeNsDPqjHyuf6uSpD-sbyN03GAjmt_erZaZt9NrGQ0oKl8d2DwRGw3HjhjY61zHjE9IBkMIfBNQPkDXSxFbT_G1lr-tSKpdOBcKvigJ51tZvpZ8GIaP2A4cdr6LllpAYiYowfvq6Ekfb8cz2Hwroj0jab6ZzJwWmWpCE4rRyK_eCBfvYo6mIbgiDEB9Qx1qCcLEIZ&xkcb=SoA36_M3-x46TURgj50IbzkdCdPP&camk=nUmJqO2E8rg2lw9LHRIdsA==&p=3&fvj=1&vjs=3
24/07/2024,Geologist,Geologist-In-Training II,Dahrouge Geological Consulting Ltd.,Alberta,Posted 8 days ago,"Up to $88,400 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dg1dPxqyySNeBb34QMsnRDH9i0aYo-JMF6BXGWs_zlcKndobO-y6NTJ1WZRP0Z84eLULt5B0yUwaYeOzjz6FXisP9Xn8OSB3_6mRWiXxmUQG2YQMSYGIQkLGv4N8-86sFo28IcTqGwT-2KMSC8oGCJdUE10jOi7QJ1gS6TVlb2aNPlZRxTrofZhtJgxwxxAnBJL-rZnWZhSlavNPpd17_Z6mLxqzXIbo9X-VUY2tlljFZS7lANR72o2s0QFBo5nabP-7XvUUIjm-4-xRdvLuQm-bpv6P0QupcGoAvkFGiu3D_dnDrpqc5IM8wCYBZGBnCee0cIiKvM44yEpNXRi0B5bTJRck908lAF51YLXW-wTXpVy_XnRpsvM8sCedHba3mmnCvb6Ygmd08h_mWRL7wYeNH_vudYT1oByNxkyp2kiDCfCWe_11xXCezZ8GI4bGkDoj8WZDKqDaahZPHQ-t8PPYZDPDqIdIZuH2toItrgy5_E-Uk_4zLfjZGm6eAdHqrQ-vNBchHprwq8jbN6QtRBBdrYfhsK2hUAmzQFjaKxuaYD67yVqPp7XjfT8QPtYLd38qAKiEfLWojiwEUs4959Ta5FO0AFGrB6Jn6NMfUGcJ476_xbIPpKOv7QVo-Xozs=&xkcb=SoC56_M3-x46TURgj50PbzkdCdPP&camk=nUmJqO2E8ridqxEeWHIWxQ==&p=4&fvj=1&vjs=3
24/07/2024,Geologist,Geology Technician,FireFly Metals Canada Ltd,"Baie Verte, NL",Posted 7 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJQNiVHEe5324Dd9aqyF0QSRC8ZnS16aLu8boqhCQ4hEhOynru9XxofejAh402l2VBSyP3-muN96I32oTk2hUCvCpyX7ucC_BxPbk2r0TDAbTTlVHEM-S_Rfp2dzRAj8IrPCpVR5wU0tZJfd9ae4Qe6olwPlhRIVua5arJUIu8e_jzTOStyC6PirIh54k5JhXwkoJ5rRncwCo5x4Gnadk_UsKTYrHFI9hSgESza9uxBVm2jZk5CxT4vT1EmRkdAadfBm_7mYZ5kj96VmRLw5TyYu1hGgFoIcMfOUgne8zkJNN5IeMkFmVLpetap_e3ClnWLqP0-clkO9lLJ9XayCIpBXWe0FUmvRJe8j2_iyVBBXCfftDYAH-_Nk1stETKwcE0loUMsp05o0Cb9kZPvGZR1DwQD8vz8UUi2hEkZeGsYxPlwkqNw0FSO7utm2bnv0HDP3Pt9e8MgPK6YJMzcpgPmf-3qPieiO2Ntrc_XUkHDa5isXjmrMZhg207Xag5Y8kU-0t5tM8qmSWFQJimZY7enidrjFUMWBX8jVx0SoUJaYzb3or0uelpTVLOyIGQjdeN8ukgDLP9EVITcNMagGOdmVyApLKYdWl-4xp7AbVos5adn_HQ9Dwf&xkcb=SoAN6_M3-x46TURgj50ObzkdCdPP&camk=nUmJqO2E8rh8wAvZ7pgNtg==&p=5&fvj=1&vjs=3
24/07/2024,Geologist,Junior Geologist,VRIFY,"Remote in Vancouver, BC",Just posted,"$65,000–$85,000 a year",https://ca.indeed.com/rc/clk?jk=b5a8f1a01c78e272&bb=mwXzqurhGnOmxDWrkLoS8Rn9m6IDBu3tKXujPqrsRxuBYb8cBSlG5h1NQo28OoUusAYknl5uofjCEJh0EMTyGrNQOoXmSlDAhUpayi7U6zgHzlMNPKtpbIk9XuW5XGv5&xkcb=SoBk67M3-x46TURgj50NbzkdCdPP&fccid=8cfec8fbedcf1c22&vjs=3
24/07/2024,Geologist,Project Geologist,Canadian Natural,"Calgary, AB",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=f059f0ca02ff7d0c&bb=mwXzqurhGnOmxDWrkLoS8YwZLnfnhQZA9cZQ57KmPxOu1Ya3Kkos_Cbk44YhckWdNkLNcU6RpWa6wGwEB2ETH5O8HXAbY5idTBOXF5r7XpaqDcc1vYOVDO8EmT3nr9TQ&xkcb=SoDQ67M3-x46TURgj50MbzkdCdPP&fccid=c0bb7be52e9b90bc&vjs=3
24/07/2024,Geologist,Geologist,Vermilion Energy,"Hybrid work in Calgary, AB",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=9541b9e73b13c656&bb=mwXzqurhGnOmxDWrkLoS8aBC6hV3gV-xF8pLHv4U5ymY8yp9tiX7_CfNOnwsjoDE45EALap-OWOwVViZEfNxx7H_l7V-mhMwhNxuYKqMXPT-OEX76mUtCnhteh5-bYvp&xkcb=SoA567M3-x46TURgj50DbzkdCdPP&fccid=c2e9ad99139ee3ea&vjs=3
24/07/2024,Geologist,Mine Geologist,B2Gold Nunavut,"Kitikmeot, NU",Posted 6 days ago,$54.50 an hour,https://ca.indeed.com/rc/clk?jk=52f5a5577d792165&bb=mwXzqurhGnOmxDWrkLoS8WCV2RlPKZIV6rsclzh0XvuFNHqyjT1rlRDQJE8ChcolTfNXGo3hcgAU1_fRh6butq29pnkFkdlEeUkt3JftDy9qQdW3b0FGhqHNmLPE3PBg&xkcb=SoCN67M3-x46TURgj50CbzkdCdPP&fccid=a790598d8930959c&vjs=3
