ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Health Information Technician,Automotive Electrical Specialist,Falcon Equipment Ltd.,"Surrey, BC",Active 2 days ago,$35–$45 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dj9zVwNVdf0Kr3Q59M2jBloAZHTb9c9fVYKHIQuvYS2iZ2OBhmRW0xdiJW0aQFjxLSItBTsUb3PsDC-3bd9XAurP6xxYkjhXCfz3i13OZEDjYxIYITOuw4r-bXN_W8TOx_m0qHbCNRUpb1QtUHLJUHRPIw-Wrt0GOyemehl14dCw-IpfRpsRgLmBTMo7OYfAugpwUECxnlbONBqpGrblyZWIQvm3diB4lsIDx0x-yy1svDl424ttbz6SdvuB04fs8a8vsUXranKxY8sLc1eUfjbC7-ihsN_bxDTBnX6tqZdBx940ZhhwCgXdMEfUZ4qzNFOWknt039QQBF5zr484KFQP3ZhoDsw2svfQDFOVvL0yisFQSOOEEEseKfYsu_bg1APqj1E05aLt4v5SzcDG922S_ePTEp8wrBoUJLFd_YkCDZu7BFWyvIPU97VsDJNM1KGVVRv6RTGmYyj0KF8uSPiipB-dV4c91zCxzw9qljS7Z-xz1831o_iJhUvFfgJtlOQ5rTPhSg1D9BaU-ulljbf-85LQFQm77V3c8q8PVQe1Ehk7r_tg4PheVT9Z2yygdKyF3kEVfcki6YHeVO-nFX-LHX8YKNMRgv2G1Or4YIry4i7T7j4vIUcLdJGpSnGRKXGJh_LSewtgy0Ax0aXRsod75p6fEdthego182E6gPz8yLYompF4TI&xkcb=SoAH6_M3-yIOwsSsWh0LbzkdCdPP&camk=nUmJqO2E8rg_FZUl55rx7w==&p=0&fvj=1&vjs=3
24/07/2024,Health Information Technician,Health Information Coder - Technician II,St. Thomas Elgin General Hospital,"St. Thomas, ON",Just posted,$30.25–$33.24 an hour,https://ca.indeed.com/rc/clk?jk=c4a02d9dbe6ad405&bb=OUklzwlxh0T3dfwPQWeIzf183lDLaMY9u9ShiaV3jccEG_RpSOJ_hMV0lMZNkyCJUQ-gpMVFZn-KCVdL-T2TSxzKC1PoQoj7Kab8GefgryOGZpeAqwoQpbpTl_sQF92J&xkcb=SoBH67M3-yIOwsSsWh0KbzkdCdPP&fccid=476a123fd8ee3e3f&vjs=3
24/07/2024,Health Information Technician,Information Technology (IT) Support Technician,Ashcroft Terminal Ltd.,"Ashcroft, BC",Active 2 days ago,$29–$31 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9y2UG8mIVRw_ibv86pDONHGPTkvGu9AzEZC8_SjhxNx2CWlioYKvWkQhuxpKuQMRTEMcWiA6ttcs48DFEDrnVNfXMitShzRdbscPmRnkm2x0KrKQIT_kOG9r6S-BPP1BoWkIhynJRd_9IvkO7JLibFEsIeV589LVL8gMbYk3Ju65E2WfGZ0sHQO8jKw5gkujbozN77fS9WC73OKSt7Q-gSz6bq1ZuqDDm5k-yY3kD_oj1UzxXsQrmS0hRdtR_WnBBITiSBqHk668i6CyQydPupNcGMqOyTXkS1PbhvHSuIYEosrh8G5QyVAGCv21L0XsI4OjoGXhHLWGk_Bj-xAg1E6Wjvcv0AKCD9hhLWQhYGvEMe6HdEneOYvToWPdyZRsoUaA6MGGm2ONnEayp2MTtLwT-BNAl6XJ-zPHDIJvl-unCuOYahzNbuxPHuLtHV3FmztZG94LZFfXj52IX3dVSuuGdUxpkKPsPUH7JQIMbiJWVy-D-Nh0_qc175HOOqhL427eWy2vmdGs7z-aTgCg4cTI2lQbCX6y1tVU_EX7CqHNJX2FKCpBifYK8d0vlDuMSu8YDtUKTNmlMql5EuF3bLvjAaZrX6SI_mbBQsPB0LozLCbVpu7m3bHrRwfGJNI6N5olBogt8DuCWaNPjOGpk3O_n2alORzm1gChYB7-CcbB1JF_E0wBgrAhMd_j7XcAO3j9-pSH0fQ==&xkcb=SoAu6_M3-yIOwsSsWh0JbzkdCdPP&camk=nUmJqO2E8rgqI9BKFVPBWw==&p=2&fvj=1&vjs=3
24/07/2024,Health Information Technician,Gas Turbine Technician Trainee,TransCanada Turbines,"Airdrie, AB",Posted 26 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cl_MjC9YAhkz4iDLRoCGHHZSsN3CKerCnci9tfv8tamfiktUJmGUXEI-twIeVZrMTI6sqIrUhE-3janChIIDdzqNSmp96AKuhz6D-IwaWQq9oy5BFcbO76StwzW4wrC0UFxXrk-Ovd8GZC8Yc5gwVa2HOP5L6ileDfYTGXWvNc0n9cshLgAz2vUds7c8R4IJxYrqmYI8hCtfDMZd1Y4YlL_HeTrg6htmxkfmbUmr1Y0KuBSJWKBBjTu2yPgQqDhWpETZkV0p-XDAu1umBpF0URGWbNS_id2mmJXeVwtH6wkMkv8j97hjHIJ9OP99WqavaW46ZhenN925hiXB-3v4xbk1pf4XkzUtl0wtN3sJ8q7QHVXrxnvwJZIsAHvHtMx6kFEtMACfHdlOnRjfMQ1oqg3oqPmsYx1JXkUg1k5z3Gh_IyWVkcauuXyJsaCa7MChjYK5cmyS5s2KNRYFQZJCy2WWeAxtr-YVPjnWDqQog2G_S2xTzBSWO761y_gt_LjQ13iXtZsEsm5J-mjrMFKmsrgXVH04U3JGBwQQg2IBgiXyxxmS3DxbmekpOhe6AuaDZavJZo7ji8_9WVnq9rULvRjtbGFGTOdlWRsvQyRSBaRCmPDZdWS3cAP628Mw4nLdsI9knd4aB5EVCg4rrDfanp5m7_r8GNizbIatM1FQI5GH-LW5ehsIZEtznjtXJTwB25dzxZ5IhF-QQqvdnGg_HHKbUiodCUsb77eBa4DVSgP38gCG3ORxVRmNTVIVZVIbel9YLquE_SmFObMOz2_flG3hQk-ZEbvkvkmMb5Evn_FxZm4A9EwvImtljEzA1_Og7E2fxHHYrtL06Jirdq79SxvMFRY24I7bxPzymlaQZZI1FeHwQd0wX8AHVsiPzHrDk=&xkcb=SoCa6_M3-yIOwsSsWh0IbzkdCdPP&camk=nUmJqO2E8riB8j3wDYDSUw==&p=3&fvj=0&vjs=3
24/07/2024,Health Information Technician,Engineering Technician,Sterling Industries,"Blackfalds, AB",Active 5 days ago,"$80,000–$120,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CNS-tLYmcFXXdJszNzcgp-xT8Yipxv8Mj-_kcM_mqeHkO89aWs27yxi1cNPWAqMc11gWq8vL8OP8ZFrIBR7ZIXI-YP_WjrQNXbSd1e2dqiI6VN7ModKVHHN1yEh4wjdw6YDI1vfqL5Xv3dpGswTGDKn8pK7r9nNMQqXALO66g3u1sM1pM9izYyYkGNR_C2nNVx1iFElC9EtR0Cr65t1V8llAB4PELTz_vYBW6DCFXgwVbbqO3dbmqhFzBkCg7VuJoZ8ClIU38xP5t66pOKtAIGdH_01TFX3d2_M4FFX-j6tN4QC0_BH0mPU_AyVBXxfumUJK_hOQ9LZwUBTJxZGUwZyUfFQLM2vk_6YsgJEmtXay8KBDbMnm5ClgMveZIgfDCrbkkNB8iHFx59WVQS27a3FAs6aiUP_POQefTHDQNfAgorL6w4IY8jfdt8tt8dwBFtIak_F_i_UgBXCOOS68zLTPuXlnRwLqV6DxiE5I4UCRrbt0dwahBvg_nhYAZsWquvgtgS7oCG2fXdgQ5jDa-2cwymsI0rFpPchmGuWdoqdfAHsLX_Vo4fMn2IoB0wW4vPrn1VeVfwrJ0yg0_H4wF8yxKmYPue7jSMoZ_YN2OZwI_b_u1Pw7tLxv7ri-HDIAGSqRRnVuZ0ngm18GVPtqf5&xkcb=SoAU6_M3-yIOwsSsWh0PbzkdCdPP&camk=nUmJqO2E8rgS12mbi16K1w==&p=4&fvj=1&vjs=3
24/07/2024,Health Information Technician,Plumber Service Technician,Enersolv Design & Build Ltd,"Metro Vancouver Regional District, BC",Active 7 days ago,$40–$50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cd3kR9R42H2KrbeqoJG4HHaEubGAjZmlIfLGS0yCqskZJ5msei0JcbKfYy0ZDW8t8ANDVg_hNiih9G6cSUEBjmUlF0nyHTJTJyQSWHHr2luSRRyrVOeY2UHHjbhaySZ1Oc3tfqLodLQSCbrCKczJNlxWDOf2_h6S8WeXzJPk6H1BBzIckL54xkuE-vH2jZV4e01sNBndXHJ9vcUc0X71KzNkQVEJgDcZWUvnhFrbYpYfkxM2hRZRDGfIPgyffw1UjlXqbxohQwG556S3n4zNaEL5oCJccZkoIqZSAFroulNHHOmBOtfNmqZCsLYqdi6Wig8NpKNvDz3xdzYzcFwYSGludb5oj7N9rKpgZyOkttLT38L84K5S0MAYGB4HoaOkFzZ_AKNma-k5XSDQAjpLepjUBTF1q38u5NUCARItT_BcKQKNswt9AGeiYf6owglE9q5HIXb8qf7v88mMqNy0r-gLDQ0hOsmG6_ytGP1ujDxQrMhEcWEY54uR4D7u-UWkRN0eG5mC8d5Wv-VMk_VQiDIg6M3du-R2zf7rnoxNTCq_S6Qd2-SNrRvZVWHMtoEeiEm0-pFCmgFItH9QRkKWVfI28pvcHNIVB4hEOE7UZuxwD8Zi9UmJOiwcJOshCmiFJceZSRlw0qtu14SvnUIhOouOQ9Nfq--WhbJKXBc-zuHGe1RW5RW3eut4hfmXWmDRM=&xkcb=SoCg6_M3-yIOwsSsWh0ObzkdCdPP&camk=f416UQcMBpBl-FxYLbuw8w==&p=5&fvj=1&vjs=3
24/07/2024,Health Information Technician,Geology Technician,FireFly Metals Canada Ltd,"Baie Verte, NL",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJQNiVHEe5324Dd9aqyF0QSRC8ZnS16aLu8boqhCQ4hEhOynru9XxofejAh402l2VBSyP3-muN96I32oTk2hUCvCpyX7ucC_BxPbk2r0TDAbTTlVHEM-S_Rfp2dzRAj8IrPCpVR5wU0tZJfd9ae4Qe6olwPlhRIVua5arJUIu8ew-CC1n2qyzszLROpRx8UfiOdAxHBwPiGZe-PSXUPiu26x8txEDLdWpojF-beCF0oufrj07pIqdCRPGotfC89NEnBrg0cdRawJhAAS-Rp91cAlI1l-z1c5jgeKnh7joD6Ooeiph_Tx9LQLjQhDK_IcvFv0m_d116HgNoEhZU-7oE9VeoCd7x8o6d8p2U4MNEL_GWKPd5KRztSO25DGShdx8ijPN4FRN7GgS2NjGlEA9cplMOZ1iqfq_gF9A_B2avv8GWXBbq5ah8cVNU6HWYCo02qN0gsaTTPrB_YcFYHfR5RofXzPpxmRqcr3kYNy2Z0DjGbL8V2I-JMwb3N3Ec4wMJ3u4TrOGjXKePObpzA3RUq8C1i5IkisyMlKppmWkzL0He3Y8JuflPXIP_DtAMdv5GQNSFqo6uhMOV92QNGlJ37UgJUOzKHeFsPLqHJokIpfrEwd87OruZc6GD4yR2l8HfjlmhyqESbv8gNJ__P7cJ&xkcb=SoA96_M3-yIOwsSsWh0NbzkdCdPP&camk=nUmJqO2E8rh8wAvZ7pgNtg==&p=6&fvj=1&vjs=3
24/07/2024,Health Information Technician,Experienced Collections Professional (15821),Bill Gosling Outsourcing,"Hybrid work in Barrie, ON",Hiring ongoing,From $17 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CdZX9AvdY00rfyTugeguOfggTJiRRDpgewc_ojvsoaDAF7weSA7a5es-Mdy5_g02tm5tejv_1FFNRw5eMEGGW_CyfePA2VMlzjpt-Uj5kaSwaPtpPI-9zgaLavfYm33IjiCNKhG0CudQorxjczb51QY2ZDF3VzlmPnuzeCXhGAml2u-IXbKuYFWpDyjAdTscY3TqvC3XscweCPZbvYY2exroRImr4iSpVNhyLBQy0oNDIsvkjBJ-FlbxkWu34jwdc91VrJ5k4U89dhm2MgcCgTrUpWiVkP2tHBepQyDEM8eUCUbyyxfreNTe4pm9qNeGO-H4FsmI4q7t05Mq56JHl2D-1YAeDN2Wu611za6F-H2ugn5LBYkE57X9zXchXU0w_8EbbVLb-dThNAifWfsXFlUXfXj2kNfhvcpugwKqRit7Kgoueeb5NYTEU7hyGI2AsZyyH0xwQaNI1QOFFfLfTeSZpieiNeV_DUdaZMrI9wKYQbbSSwE7LDz_V9jJbk5tYkDlns4dtd6a2Z-DsR84DFfW5MwdbdV3c2iIwESXwQa63FxaP0q43esBW4G4hpDwbSpipIXSqpH8CzUFSU6qxJn-vV_QnGKWfWk3WZuNJw01dX6MBczJwkc3Cgw9-pbrJ_BimmHI_fpo9l2RfAkFExLelhzj46LtmGFl0ISmsGY5LwK-ljUIrhIDmuTa4FCkD-3ma4FvUq8zkYk64iygib&xkcb=SoCJ6_M3-yIOwsSsWh0MbzkdCdPP&camk=xqnMBGaf-K83mgLXqThskQ==&p=7&fvj=1&vjs=3
24/07/2024,Health Information Technician,Junior Network Technician,Nature Fresh Farms Inc,"Leamington, ON",Active 5 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKJwu13IAKS-4Jr7lvL8eT9aABoHuymb2tViO5lTyriQY5kTxuhkoRA04eUVq3qKoJz__4yKhTAh-2Vd12NQ-kN3zqaIEilRUR1_MQ9Mw2oLnszz7LO_kZnrd6rRbPyyRgogGA7rLwmgLphFbD1_pflvC1grd2i2LmqiZjSXlWOdFlOkdR11wjy2YVXmb--6usbc8Hi_ZGLOeh6wnzMn_7tY386rYRNLAvEl9aDTMdwIYma2qO46_lrN90hqp-Hqz5GCCBjqIMTywPGH_6yDJtmqept3aEWb9z7ITmRpd4CDzShbVqDFsKmOff5G6Wd20x1_8vITQh9s1i_mHksXRn3dN5KwBMZT_9ZmraYLmQdbM70zpHYp_xfS5aiDTccmAT1TXZFLjWe4_S66slY6FbWnGGeOnfih5OmWaoMBWMuxIih6j-J1AJo4_EYXHuFbsXW4q7uYRpdfJG2Tyl_YBK5wZGnhRr5poJQBsJp0lh2uuVrCQMgFDZMv8e_byeqQ7_BG3nmEMCh8rLc44R-yMExCETjz_jN_N8lu8OB-5j0DMVcdwB0_NcZSaf3rMIBJOSWDGCPN-cD0-Z0LSVqM-QH_WzwbpA3ajxImi89sz4JkaCngbOtmxMA0xet8y5qy-c053f-aTgpTcLxJxw0B_duW0WzJwYrBMZIC4NmuGN7y3qaiyr7MTLHG9UYRHVWZECIXmQF41peUtMXGN_O9ksfK5CPai6nvfdfngQ1rdh9TDZAVA3JXgR8Q1GydkvqbRLPg4MWaipTVJiQDp-afout8Ma1XZlnlFGQEqrmOvTczJdlv1ADRlrZC6HPF1vpTgxph0G2b-tIzL4VJjySys2kYeQIyJQ_EMQCVP38kDs7PCCIsvOVFOfLmPyiYFnzVwbG3wc-mtMEPzjI6uvkATd&xkcb=SoBg6_M3-yIOwsSsWh0DbzkdCdPP&camk=nUmJqO2E8rjkCaz4Nu5jiQ==&p=8&fvj=0&vjs=3
24/07/2024,Health Information Technician,IT Technician,Glencore,"Timmins, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=5e0d5b7fb07dcff6&bb=OUklzwlxh0T3dfwPQWeIzU3_kGSWCdG5aTc99ASZWfZbaMMoBWp_vUvYgt9F5xxRY-q8VOQb-7ZHwcTLU9-VkrnpDTGyHp9I4C0jYXubbbar-VWBap6X_IfOp6dcWA7c&xkcb=SoAg67M3-yIOwsSsWh0CbzkdCdPP&fccid=6901e0b310c614ec&vjs=3
