ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,High School Teacher,Elementary and Primary School Teacher,Haida/Tsimshian/Haisla/Nisga’a,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=c831164bf49221ed&bb=r1SkxnFcYV3YIbFR1RSkuGkpUCvmxHnCo9ZBNadF0m1rM8gqdmNCAimgqtxQcRuKi1LNhUSzD2iVmck5I4FAhzxX2JIAWyQGvTHliikx6PvK3NDcFQ9WMT_4Ia8ASG1R&xkcb=SoAw67M3-yJA8aRSTx0LbzkdCdPP&fccid=ef6d208a5ec9c1e0&vjs=3
24/07/2024,High School Teacher,High School Social Studies Teacher,Haida/Tsimshian/Haisla/Nisga’a,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=118659a92854355c&bb=r1SkxnFcYV3YIbFR1RSkuJuJdIHsyjmXVWC8Pog82RNY3qGbofA1h0dJHbh2lGaehb_3HtUFMpk_jAqx9iGSXJ_wd0Ik4ZWXMUP4-Gaai3k3K4iqygJaeaajr4PqyE6l&xkcb=SoCE67M3-yJA8aRSTx0KbzkdCdPP&fccid=ef6d208a5ec9c1e0&vjs=3
24/07/2024,High School Teacher,Middle School/Junior High Teacher (1.0 FTE),Lakeland Catholic Schools,"Bonnyville, AB",,,https://ca.indeed.com/rc/clk?jk=f2bb673d66cdd22d&bb=r1SkxnFcYV3YIbFR1RSkuIMmOWZEdygLCDfH1mGcDwhyMoS31zZNTlZOgL5wJFh3T8OI2to48-TOH2UZtplcGo9W_8KPzbEU7QBbejCGWu7FvrgegQyWWWaTG078g2TQ&xkcb=SoB167M3-yJA8axSTx0LbzkdCdPP&fccid=5beb10a0345589df&vjs=3
24/07/2024,High School Teacher,High School French Teacher,Christ the Redeemer Catholic Schools,"Okotoks, AB",,,https://ca.indeed.com/rc/clk?jk=d37573c4d2bffe51&bb=r1SkxnFcYV3YIbFR1RSkuJuJdIHsyjmXyc8xEkeR68VAB-cLr0KNa7jlu9Y1ncboZ6LfYer1N9JAXF2SxRhKHnWDXEtTCa4UGUXGvrD1Nlw810D-rxMVjLYR89vc2Azp&xkcb=SoDB67M3-yJA8axSTx0KbzkdCdPP&fccid=4eb5b752004603a1&vjs=3
24/07/2024,High School Teacher,High School Teacher,Mountain View Christian Academy,"Terrace, BC",,,https://ca.indeed.com/rc/clk?jk=0d3a8004e6d34887&bb=r1SkxnFcYV3YIbFR1RSkuJCmHTELYLRQDdkpY3w_32MOBqA23Xx5sICfVMRbHyz6SF69oPtSYiHtpqTumAM7jGNg_wlNi6AwQm6gf1JWAOsL-UpJOBHL_bWId2cWKfVX&xkcb=SoBc67M3-yJA8axSTx0JbzkdCdPP&fccid=4a2a579c78ae1157&vjs=3
24/07/2024,High School Teacher,High School English / Language Arts Teacher (Permanent),Newfoundland Labrador Hydro,"Hybrid work in Churchill Falls, NL",,,https://ca.indeed.com/rc/clk?jk=4e5ef18c67ce3e9f&bb=r1SkxnFcYV3YIbFR1RSkuDk8Dwg5vj3LDc6Hhu4Zy9Nt0B3rOELiOPmoMjIdXpIATKuVaJxwas9b220QdQtz9tOWKtLQr12PFuFiNXG-qy4z8TJ2fMvogkMjn8MrWtIX&xkcb=SoDo67M3-yJA8axSTx0IbzkdCdPP&fccid=e6772b7cb8f19f1b&vjs=3
24/07/2024,High School Teacher,EMT24114 - Teacher - High School Humanities,Fort McMurray Public School Division,"Fort McMurray, AB",,,https://ca.indeed.com/rc/clk?jk=3e617e6533d32f0a&bb=r1SkxnFcYV3YIbFR1RSkuH2ETtnwJgTFc5lPwk_BN0TFtK8fns6xZ8Ri59sWwshlp2gNC5Gm5isobHJeGoEl8vO7bk-jGY5SM7E6sqpHto8Fc9AmBnNIYEUf4KJxeEbC&xkcb=SoBm67M3-yJA8axSTx0PbzkdCdPP&fccid=b57ce514935f5f05&vjs=3
24/07/2024,High School Teacher,junior high school teacher,Chinook School Division,"Frontier, SK",,,https://ca.indeed.com/rc/clk?jk=0c0f5f8e12141541&bb=r1SkxnFcYV3YIbFR1RSkuF9OOn7aASMPH67wBQbUHyOisHOPBnpk3l7GFjQmb3rXMGoEPpZ8h7U45SoKvkoVb-SyXaUP5UwcIy_LmEV_BMzASMpvm4yXjA%3D%3D&xkcb=SoDS67M3-yJA8axSTx0ObzkdCdPP&fccid=37ccf6d6501e5363&vjs=3
24/07/2024,High School Teacher,English High School Teacher,Columbia College Society,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=f6fceab937c002c0&bb=r1SkxnFcYV3YIbFR1RSkuFVty3Vyzo7v_23v9RWCuI0RAWFfjx13e8Z8Yd2ZnLYHqkRbj5JzQU9uo35wkJ2jwr272WOuC9sd67p8isviIJDwET6dt1L8iBOdRx1RIp9n&xkcb=SoBP67M3-yJA8axSTx0NbzkdCdPP&fccid=840d5e41aa6d4003&vjs=3
24/07/2024,High School Teacher,High School Teacher,Phil & Jennie Gaglardi Academy,"Comox, BC",,,https://ca.indeed.com/rc/clk?jk=a7beb67199fe1ba9&bb=r1SkxnFcYV3YIbFR1RSkuJP0jgbeRqAMpfZZoqMvjK54W0cjjuc-7zfqgKBnKI9BujebtzmxWkvEO113J8PuZ0jTCHXlImczn67MZHHVqLbab317KCeKZ1OaNEv1fuEP&xkcb=SoD767M3-yJA8axSTx0MbzkdCdPP&fccid=b1870dd0d16c5e68&vjs=3
