ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Housekeeper,Oil Burner Mechanic,Iqaluit Housing Authority,"Iqaluit, NU",Active 22 days ago,$44.99–$53.34 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfXC77iKZi9j-3HU5cNNbujtgG4vf-Xbaq2fwEF9fdJcgTvrFk9l6No6-dHUuu3EicNeoA820gu5gNWc0N1XwqNVjWMVIBOhHQQrgEt3UupFLfYf2jwt7UL2t0H9kHm5YuAzPXWuf_lF2M1u2xOjUjljSv4WMImlaegQGykysc0Z8PW2Y8E_tdn0jywvChPAB9XUBqABsqqC-bLbSOFq3aEw5blmA_-r7gilFmn1RwENdwrERvoEwXVN6gNbEEAhHOgDSbf9lptX-a546tkzJQ67yahzH-VbWJsA9h8tiFpa_ZTrmuXDEq72tpWLqcm9yQ7Ao0mNCI_ZkmRYs_hTi-W3clRKiMrCUsmpChZ-XkerfeXkVwjZUgt4wAe0f9hhA-cOGlq8N9dNNn3wlEe-g6Dbsp-yQTDBpNExSJF_53zSTnbrA2xHf9HtmfMwTGvCuLN98IQYp-4JJELC-ywxWPlwDpOXFYoTj6v6gqSQjywPzq5UjpxBvAdCD4GitZcfBgpex5XIZUltXfmac57YJIE8tFoNF_TTTZMv91onHfGpMdGjMRNQJhVSWZ5LudoKRaWNWO-793fvF3Iuj0LKwfl03pDEkdu_7yMrrpVUtdArW6PZsTxKoI6R9dIOabC8rvspXng5iyXQ==&xkcb=SoDB6_M3-yFV02RSTx0LbzkdCdPP&camk=nUmJqO2E8rhcd_PEPCG5jg==&p=0&fvj=1&vjs=3
24/07/2024,Housekeeper,"PSYCHOLOGIST, SPECIALIZED MENTAL HEALTH SUBSTANCE USE OUTREACH. Relocate to Prince George BC",Northern Health,"Prince George, AB",Active 7 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARFiIgCmcwNdHvLTOA4cTVBou1YiVFhkbnDv2vEgBKwd9hD_KTUvm1FdAKnu_TfdG1eJ00ATKU_urUM4j_Q_WyWNtEQHkJGMI36sQjdefMwTI1qMZNXkNBJds3h7ROUxsRJq3eUwDOP0TW_jcQ9DeiMl1GRF-eRyzo9w4una1H5jdRQW_0JZ6CC5xPlzJFZtj4zj6qu104hPWv6vGrGM0LTAw8w9KmECE3yLOrV2Yv7WejD1bdHhSATaWAoGW1aApUFN5VAiyTmY7k0DoPhEnghZ3Nl1iTYH8IPiMwfsLpIosrC2XgKuDDDiGMzfH_klXVR9JNxDb4mpyXV7WAo10eiAgDK_Tyzq9e28mlkpR6v7x1WQAdL03mgZDq8FX9gJ7GYLRfTF2VB7TfM6vbXDAhZ-VUVfc-BDp8mIpU8BjAfLJJL1bi4SRqEPWJj4u6OoisfLntbIcSTtI64Gcmp6qgsDIf0b1erJQoMIPN7vSOQzBKluWu0W4nMh1Q66gLDiaVD7FW1DuaKPnyyxHeeFPseRW0r8v5K6MFoCI7e1WGmsM4rq0nJlZmSrrIp8SbKoaprfMsTv8GJIOo9ujdiHyfBfYA4bpbBkraFgAHL25ZnQAkN36raToehkatMoiTnpk_9Gt9IrPNFygShz78KQXo3QTwhjZFKd6gkaMjxVdSoWtAiAgjn6fbDhGgagYahc4pVZZ8Sb3J2qARiiJatZkK&xkcb=SoB16_M3-yFV02RSTx0KbzkdCdPP&camk=nUmJqO2E8rifTjnFiejOhA==&p=1&fvj=0&vjs=3
24/07/2024,Housekeeper,General Helper/Housekeeper - Snap Lake,Horizon North,"Yellowknife, NT",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=c6af7952b699d897&bb=x_YRn0PbwuLLLH7if9AqSXFfsCDeByN0OuPE28vQ9P71ckdlquK4a9oFE4XOSKzMsk7fFs-tThG8Rn3kw62lZq2E_pil6VWN5Z5jLpkssGXYzSnsizSCwL-ljNZl5UIU&xkcb=SoAc67M3-yFV02RSTx0JbzkdCdPP&fccid=a5b1e2048a41968a&vjs=3
24/07/2024,Housekeeper,Housekeeper,Sir Sam's Inn and WaterSpa,"Haliburton, ON",Just posted,$17–$18 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DvbhPiqIej2Q8pa4K1yragV661bMC0zCcNMrcNEEizmnd8xoUfD0rUiUXJ3ITWuD1erbpiLQ3qwdGuYgUhP3CBasHp7-WQDV4janZggyk8jXCWeGgtgEvSnE4a2omeA699Pm2GEY6ACFPcHQ8felQWNHySyBbKiZ_gd-QXe7NLvS3elBo2jz9gUnvshHMr8AV39xuA4nPFINxJ5lBgUEsWYeYKKREAwN-d-CHAVNPRKSbvsyUtJtAdM9v2WEvrND5J7YZL3TeWtPJ6jtXgKyV7EbvFxLrjkrh_8eXGBSJ3EplhuNAddNBH1OUFnRrWWI9bRwxvToHXBg95e8Jvwk-0xMptcTKE51lPb86iM0u92_jIhy1p0XyypvZocdSQkGuio9TBsyvFnlDTceJU_eoJzNXtC8eaLttQK5VqnuTq-6PS_tP7gGz3qoKdLU78KoKYO_PlY8YKhmsmo_L8wtnj-UPEWYV9igGdP5-gRxvkHIe7HTz_bOLVmTAjnCyaOA4Wuc540dpLbbBAxWAc4eZdalvuT8VyUyVVt9hqqdI5Qb7LIzEKItoFW1MsPLenaplyqxXiQJxRkzw6cFZd9ICVdIEGPzeQrizlrAf9SaT7N_dA9rBSu013IdxUL9NMnRDXPXwbg7TbAQ==&xkcb=SoBc6_M3-yFV02RSTx0IbzkdCdPP&camk=4HOcmqOLYrBzaCwqSZMx7w==&p=3&fvj=1&vjs=3
24/07/2024,Housekeeper,Certified 310T Mechanic,New Flyer,"Arnprior, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AAbzdPB1wrC1a3aRuWsy86EHaoEaZfAA_ChCxfflIMW3rYgSLcvjw6GddvHox9nUcpIeEGcz-ma0NpeBPPx4T-RaDzpgSBoIKjkJXM-SUtrhccatFgvs0RsWfTgN_b8BHA-8M8hia2719DnXQsJsM4mT9Pz6V9ee5QjSR8wcayGWjvo_GPLZrweuQM0CI4pRrcEntlDhu7qLI2jf5sMqjY5ZKZ1kI12tWxDhCehTFN2n695X781ioE6H9OEVUl52Ga2k357qTabL9lrsj0es07VrYvQMCyqiBzSG8hJp9gubGYUQ6PMpyhAltKMM4hystIBJ0b9370Qo-hibdUtUGAKY9KJaAqJKljyR5IUxKkPe5vqD6RS7q5GGKj2Bwnf_QuOQYSPhoSXWIyOnXK24sh-sA6nk6uL6YbBRrUA0rUxi_ds8GVdm-gpkgui8wywq-a5GFC7FH-S6CdY48QXu0mN-2ta3m94puMsy5bkTGRMZgDiBSCff02IFMDa6Pt2u3d2M_E5_8lUmIQxErW12DwrYzx0J9dCG3cPayr8rxqQZ2VDafnjVwVb72AeaxENr9LsnzHYRZ9fzZu-04kkmcaY-qCnj1NbRA=&xkcb=SoDS6_M3-yFV02RSTx0PbzkdCdPP&camk=nUmJqO2E8rj8g1SZSFEWjA==&p=4&fvj=0&vjs=3
24/07/2024,Housekeeper,Environmental Services Worker |Cleaner,Interior Health Authority,"Kamloops, BC",Just posted,$24.34 an hour,https://ca.indeed.com/rc/clk?jk=0aac3531f05c94ca&bb=x_YRn0PbwuLLLH7if9AqSeaAWu_QbwHVxIJAIzGg8aYg7TRpXJtxJPUrRi2s0Am9XZZ-7hQanSTomH8Uq5PBnt5CJ2ZU3nVx1n4kn_K9eysHK4SXNMmVMDTFcmBeDVne&xkcb=SoCS67M3-yFV02RSTx0ObzkdCdPP&fccid=819aaf068231c6d3&vjs=3
24/07/2024,Housekeeper,Registered Veterinary Technician,Eastern Passage Village Veterinary Hospital,"Eastern Passage, NS",Posted 30+ days ago,$25–$30 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9JH7siMZS-jYGHfle-VahiKQI7YwCGRkZZmGorzG0xABqq6jMH801YaZjpLevbdtwfOzhPRhLfdzB9voZroMCkfoKad-BqXBAdOOd1lhkJS3n280uUiohKXMmJ6QPc8lTsl7xhq4Cllzsz0CwWvSOKyFyQupPSGADlu8C-mPctQyZLxAZFTRVN0-IDjoQ-NtmFUQUBSHzWpcMo0gDdkmdlgzS_rqksaFqLVJJ8F_DxAqliuSxO6h6eLrKQ8epHywaSkYsjNUAD4zF5ZdEdchGMcBsYqXk6zvT5hVgHR7JPwecxSEa6cu0kTxjOoj_7sn3e7sNs9erMOa_7RIF6FbgLLJqa9x_jd-cbCBMqGvAhO3fCuc6QOPDDij0zljS88WCyAxJPfDZI41E3B8ZuAFuTYs0h9rEhlbYTk_6ReddcyihkmxBt6DzWqWSfzyifiTfL7T1k35JnCERYmjICVM4lRSEzbr8RQixjlXxan0JW80cP5MJIdG9jNtUFcSAWKkdpMqicyfaMYnrc7shiKQxdPKc6_-4CjLOWPSXqszostow29g-nfXOK8Mtqjlsy_SlaiO9e3GS0p0gRxcbKv0q92n_Cq6pA-wBOLgKcTNbD1DgQIFPTnXTOt5mAMwhfg0XMWr3fAhvexpbS-yS_UEF&xkcb=SoD76_M3-yFV02RSTx0NbzkdCdPP&camk=4HOcmqOLYrBzkFE42rIIrQ==&p=6&fvj=1&vjs=3
24/07/2024,Housekeeper,"Housekeeper, Full-Time",PARC Retirement Living,"Kelowna, BC",Just posted,$22.06–$22.35 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AGmyFXGW9gzTtT6-fkwJxsD4nvRiVzmuzVssHXp-B2mQ7SXP2fX6z9JCQgHtvLmphWHVZ_DKFh5SL0Ob87qeoJGEAeFmrpLFhhootNn7QOlZ_xpy5eYikQwiymKBifNL23yFumkR9Kd6KPj_3yqhATU45w43akxInZDl9KOtEe80yv2tIEkHiB6JySEUH8MjLxuDs4-lAk4WikQpNLWK4lptITXiYb--t2svyBhMwHkfRvy2Zjv19OdSwAVnLNjlP8gMjMCUheQF4Bk4X2WfDzs46JlIu6nY4Nt1IVwXonctuHmXWkj9z0pwm1I_ZpXb_bfWXMGylYBW9cjG6fxW1_woblgZHMta3nuxfbtleJmLpZt2tsi1LC-5xgcBobpEHPStfZVlJBuCqHPjdLgQG4kIVUOMWE6vDCW7cG5fm8Vli4faaUi-_E5eCwauo3wJR3zx8v7IzLQmtFF6uZrfl-HMZK9vVo2ONp1jiDzrYCQRPC6ZSnd5f60t6rns0kQcwO3L5asvr-VvT3PNZtUZituXPORmUk7d2gdCGGbJP4W9a6krNJDnpUuhqFEcme0Uvt9ByKWLV9aqFmeZ_LvQaJeNaVUXErb-IcQ7E3-8ZuNvjTz9CeqT7f0gU5l4ChmIhRvxoM5aR-cqYL2GQKvDpcjGlsud50Mj8aQsAJHgaDwvok1z801lh7xLIqtP3s0bLDJU3i8DSB-qIa5pX7PCm5Xsm_eO9Tgdyf2aj6oRTeqgTKmuMwaXLfuhiq7qpmmUXikzAbZ8ZUUQys3sJsVHiaHeYvFTHm47iZMSAQT9YqVw==&xkcb=SoBP6_M3-yFV02RSTx0MbzkdCdPP&camk=G42KULXkIwNujFEMrbh3XA==&p=7&fvj=0&vjs=3
24/07/2024,Housekeeper,Customer Service Accounts Rep 7 - Vancouver Casual,BC Hydro,"Remote in Vancouver, BC",Posted 4 days ago,$29.69–$32.60 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AHNHQQNOHLWtoW8WHxcjvUFHz12EfcISIvFlxdnrjO6uXlNzXaGD1WD9DjZ4pzbSMxgXh6wq6gWUyoRjdVSutrLm2GJZu8fhxkH7oa9PRZtOfLTLchPjz0vEZ_xBLFBwOaxVosq7sRIQHckcSbLIjY2XPimfco_cvwuRi-CUneYjf9P4_ZuKqUvcUKKhKCc56vXJhPGsNPV2fMoo8NBITA8cynl52o1x5oC3ljmZj_VzOFV7CHKqaITJXMr2PqoAFau6TEep73re_oYGhBmO3R-c5sLJJzpRO5BypWbvCyzbHLyzcC7o8HJ_l650Fo4V24L6R4xQRf8l3OCFjfyss4ulJCDskmB5wvWxIoVsC3xDtfdsA7hkNYakFiAOueEAAyjicvYGAFA7Wohz5zK05RUNxYBSB8WLuhFMNvqYGpmaVa1aQrUbwbf4r_iv5qTcXXmyde_iL0DgHcyLQsWx_F31GCSXIu9JWgqXovfgyZnjmRUktE8Yboru1jNIy46eQAnk1uad3rzx_gR-KmaEUPiUaQ9RYXts5R-I3vYHzbFpVx90ui48wkq0HESlDIMek4RF3RoQJFs3LKJ36RXBM3G41lKjn4W5tT8vX6GwQnLW4cLB26o8a68M4H_avvy-vcjcHXjHO5P-itY-NqCAMvuw3xzHkmn6mdDlaqPoSsx3qMZb6uGh8jNFnaWwrjFmsB__LcG85OU6Z7mGt1CJ7kwAABLQvxkNv5ZO_8EouYHCiSUjHB-Oee4g3JUU-ASq3Wzipr_wXau5K_Tpzlsdc3iiMAiiz_PvqCoBfHm-bqkzrIJxqorcYOOjqSO9t5U1giEziSgC3O_yfp7USFxTMMknitjdyNsUi9ewLB8xJ4xAIA6mIYPRGI2Eujtj1F3G1vF4bZLxTXDF2d518SVYN_6WpduwWy5SUqr9lVmt2vhWYyamELu5DrRTTqFNQtxmXyOj0SYD7HWaR1nF4Laexy8XjoCOicZYdatzEy5pPSpDbkN2VL0RKKN4hL7N73Ey-rgynWbpX7fA==&xkcb=SoCm6_M3-yFV02RSTx0DbzkdCdPP&camk=4HOcmqOLYrBow5dmFyZXuw==&p=8&fvj=0&vjs=3
24/07/2024,Housekeeper,Housekeeper/Room Attendant,Miette Hot Springs Bungalows,"Jasper, AB",Active 3 days ago,$18–$19 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DDmvGRc2ivgbd8kySSMv5j0t99SXo19ZY50VvYq2Q6Vh7I_6lo82306S3niTupLrtAGdZtpAuVGXW4ysOn_pi4bDTR6zGVZkAJ81zQnD2lTl1dmbfaWSPc7yBE9OC25k-PGYAo7Bls2pFgcoJjZ1YbaC_FaJMrdY8KXDiWHUATltBK4i44bvvuslFTZrGHS7hhOWC5vFPg149JC5P3q97BIxe3VljWvrehZHzeWdvMEXcSZspyt5t1iIqfIFFUuJ3WgkOB6xvTBe3sCIWLXaTUQzPCwtfw3h5IB4mE5uj2c3UgUJ7j58ephqXrwuasmYm4UjUOCs6Xw6ovYei6ZvV9TamIqOoM_2FzsVG4rl08YnSR1xunvEwpVyY4jboaV60yjGHcoQCn4mjdDj8ySBxotCbGH2GwZcgAlE1z_rWGkaypYHq-W3L5o2fwBGVftqitY6QInFdQ7KTy3JiBNvCfUNI8KVXCd9OOZfeXBdSP9LC9YM0uk8yUFj_i1psT0GQcI7DDrXnM9gP2TNJ4lDRnQnJOPBYrLUm5TpsdWMIj0KpOC9iash6rPm0tf23AYriwZbKxD0BxCiyTsbcNiJVq7Pf-jM9ySAaEkX8Bh75wMLMTWtA8sHSguMiw_r6L93xgmvHaH91Oqw==&xkcb=SoAS6_M3-yFV02RSTx0CbzkdCdPP&camk=aSqGVPs8WEnuIjcOEqtMbg==&p=9&fvj=1&vjs=3
