ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,HR Coordinator,HR Coordinator,Humboldt Electric Ltd.,"Saskatoon, SK",Just posted,"$60,000–$75,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D6xJIhBsNsrUExbVH9PCCdoh1NiXK9ypV8xcap78EdJOmFzKcokhQve8hLxnapjAeLorOH2i9wVTTC7q9EOrJCF8DxPekUsN89hGRfzsgy5_mQvq0cDAOwb3i-UkF2EkCaIzcpM9zOFJdQ9vdc92ToYY3bcRRPyBx8DgjQmOc55Uk0cYUhR47KrHhU2WCuVpXQMFbel2_QF6mpqni0mYxQ79WXobPi6PCw2WYREn-TLaFopo2EQcP2SGkpRI_AlywNrhOQ_8kBnF9_k43VuWJjJfcb8QeExuo-bNSdIyPTlKR06JjIdIMSJ9Lhojtmp3wwFRRzj__uNtWa2HA7uttyU0iis_VEiO8vM5U8cJ9coRaXleLfb2n6q4QAhtC-484UPEQSa8Ay9tldGDwABsr7QnzK9gf8rk0QxPuh2r7UYfzB_zT6IumXU49uJ7yiFQkRny4aFtYi8EkrpfXo-1BnBXzwXcNBnP0ZTmWxR17wqMGmyJHUg9Q0aZcy5vdETa1TFRIT4gOJSUqkPMXvuJCAwuBqmidB4X9uMdsTt7Xa5urLuQ2-601wqrWdDQy4LjYqdJmwEqPAZCSGw1k0SWCpwgWvPxxWQzQJIn6BblqxTBMLSDSGt0KHuxCfamB6YXU=&xkcb=SoDH6_M3-yGLcRyAhB0LbzkdCdPP&camk=nUmJqO2E8rgVMUjJ44sVeQ==&p=0&fvj=1&vjs=3
24/07/2024,HR Coordinator,Admin Asst/HR Coordinator,Plant Products Inc.,"Leamington, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQS7J8RzXLCPHW_BtP7z9W0YaIRpTxuiaqx42CPPak0RDYLuikxmC3esFDzbDEePbAQcBqlvAptm0yIeC-L4MnD-2oToeB_wupknFzpsi8ICdImIZXIkZC0GPF0x13xDPKQT4K0fzitKHEUDB9RUx_Nfc34iEeITjjX0p7ZvkD2iwsMQRbwnT1DDrPttrdH9lv508a56dCmzubiX-3x8xDRRP2iOHIeJtNYRXv6bEPhw9TOc-5J-SO4nASRrZiZHXBLJTR5lTOAG9zfnwHv8nvPNKYTrbahSJ7veIzWOVccINxwzlijkzw8WdZzliciFYshHgGZCCuIG6MebIo8IBArMLOw1pBw4pFAyVwp2Ut00Oeg_1E94H-vbQkmWNbhXnCwlZ3SdP_85ekNsTVyNKN9mYqxKEdzZWXX95aapUTRwA39NSukv6Fi2z-QVaoShrR0tA2gts1NF3kb4IE96muuUEuWSQMWVX3ZyJeeTLnrJjYfKkoCyCECqeNuxjzxNxakjAoJfbIErybPpbvKCn039upq9GCVzYAU_R-QrNh1Lv9biIbDA0x8_zHirPiEHP53ABboPJXENEK1mNUQPNXKssKC5jseil_ZPXRS8rUU1YTQlN_k3z3khoGl5cv714NlJpzKycMxA==&xkcb=SoBz6_M3-yGLcRyAhB0KbzkdCdPP&camk=nUmJqO2E8rjPIcPemunHnA==&p=1&fvj=1&vjs=3
24/07/2024,HR Coordinator,Recruiting Coordinator,Figment,"Remote in Toronto, ON",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=dfd64877a12b4c32&bb=LV2xFJ9MrKHUHDhxlaAO5a6I8lCSMMANDQkhzKf3bRMWis31e5AIn9ln89R9Fn62TE3DVyTr-6FqK2OlOejpTQtOz7SE_tqRWhLcWLp6bZFuGr1NOZYBg-HEV66PFNTW&xkcb=SoAa67M3-yGLcRyAhB0JbzkdCdPP&fccid=97770320e8923811&vjs=3
24/07/2024,HR Coordinator,Human Resources Coordinator,Ontario Financing Authority,"Toronto, ON",Posted 9 days ago,,https://ca.indeed.com/rc/clk?jk=92a761cc83fcbf86&bb=LV2xFJ9MrKHUHDhxlaAO5dZcKlc7erhLc6NSW1Es4OGCKo5U61e0f8J2EyFjCf1rFi6hRAt2dymS1k3jKVU-7Y7O601YXJX8bPxNvfDRH9Oys39-WHZNFA%3D%3D&xkcb=SoCu67M3-yGLcRyAhB0IbzkdCdPP&fccid=c4c80d09d3ab053b&vjs=3
24/07/2024,HR Coordinator,Human Resources Coordinator,Sunshine Village Corporation,"Banff, AB",Posted 2 days ago,,https://ca.indeed.com/rc/clk?jk=5923cc64728e71f4&bb=LV2xFJ9MrKHUHDhxlaAO5c-JIy6YIAK7HHIvT9Y56-H5oRIb_uFoDul1QCxPCCzD2elMAl-HR-fs7sbs-H_yAd_wXUoeLFD8i4sU0Tpq7ABwbQ77CqGHXh16tS-rzW9-&xkcb=SoAg67M3-yGLcRyAhB0PbzkdCdPP&fccid=33a2cab01b5a6480&vjs=3
24/07/2024,HR Coordinator,Human Resources Coordinator,Martinrea International Inc.,"Vaughan, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=e262e5777b2f2f90&bb=LV2xFJ9MrKHUHDhxlaAO5X54hQONRcRSYBS7kOjcu_4CnwUWRXzokNkjiKZuQvR5HQF_TQ5DgJYf-RQAeu6TaeUmrEuTXqGSiNwJU85wZD32k-5O8RNYHP_QLWpTnoFz&xkcb=SoCU67M3-yGLcRyAhB0ObzkdCdPP&fccid=bcc5580d28695cac&vjs=3
24/07/2024,HR Coordinator,HR Coordinator,Ace Beverage Group,"Toronto, ON",Posted 14 days ago,,https://ca.indeed.com/rc/clk?jk=b04dee8229afc4d8&bb=LV2xFJ9MrKHUHDhxlaAO5dttdSS6JjTiua0-nYR7qc1VrLaO-NIkH3e7ppC4bWG45MHCdphWPLT_YlAv4EvPeY9VGvoYEKmTtRE5M8tyYX9NcfK6kr0mzcov29kCqb2d&xkcb=SoAJ67M3-yGLcRyAhB0NbzkdCdPP&fccid=d6d9f0f12d22ba46&cmp=Iconic-Brewing-Company&ti=Human+Resources+Coordinator&vjs=3
24/07/2024,HR Coordinator,Human Resources Coordinator,Legislative Assembly,"Hybrid work in Toronto, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=5796b2219de36da8&bb=LV2xFJ9MrKHUHDhxlaAO5fkC_SmIuy7B0RdpDka__vECXUVbhm2k_gMMcYxIEmb6RGw0letlvssImNHN8AK6z4_yEWUAoxwwiGiPRBfY_pxpA8YN2ynQdg%3D%3D&xkcb=SoC967M3-yGLcRyAhB0MbzkdCdPP&fccid=721bcdde526959cf&vjs=3
24/07/2024,HR Coordinator,Human Resources Coordinator,FG Deli Group Ltd.,"Langley, BC",Active 7 days ago,"$50,000–$55,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJ7mXUx8L-XgUWnjJbdG-VJQLcHFHu8sC5dGi-uJWwtC8Bu0VfwhIhTytq7JC8XSmInmPr5lqZzBHyH8k7WB0zDuvdPUGHv2FjlOknxqQvHzTy2F3ABJJM2YFddi0yKHLfAji1nN58WyYmlZae8HB5FLKmy9Kbud2kT9hhdVKEoNT5nhMxhrm691a42YjczJ3Bz1eKI2dSGdBIK45c4H2bJSZdtF1IoVK2aFk2FqGzhFPLlN0j3NxcJMey4ZrnHPkQbFWdzyJgJV-gJ1T2dwohTXRBc1d10OnxNFGqJj2tRiKkvGuVBXdLAGurJRI8yC0HwsHM6M38BZ8qQglfeZqd4De543VqJB4oSTkeLXHHR0wU9Ue2ZZ120azuqKD_iZ1ufmY3mXf7Co6CdZIC59scNNORO6GmihYbpt1aJLyALqt6RPMIL7nBdF7dEHNW-NGVp3pz7yhUm3uBe0u08Mpq6kUYEFSrCpGA7btGCmhn4kGDEHQxv9J1ltrh1kOFPeWcOWDBqfyDtFn1ZFnRYavmHcLDqgTUIpkNb7d1BJehTSD7cK4HBTeA2liMorqgngB8hBLbG5ojdPRxi_muybn9EDAOIIe12sZXvW9kI6ZNNW9XFMIwqVNg42WaD0JbOknnwm6jfNZjoosHDV6oijWGgiz58G2kLHMVUZM6TYarkc4_e8EI7bPaLMox6kXgSxAW5k5pup_eQnWi39GlgfbXkQcST9nDkkJX_4f8OqYLK1k4JChbcjSsrMEWY3zD9TqTknEWWa_W19lZURsVPcMOU_cIo2HJd8tsThaZeHJ-M_53z7eXbnkEClctd3ESZi8h7lLX8x8wiP1TrXeIAEo4B5MzNTRb2TcSt6j-ptezvdUTtSVAigkDNWXMVkMfmRZZof7rbKOiYJ2vdBSoB_yuUS1VQkl-F1A=&xkcb=SoCg6_M3-yGLcRyAhB0DbzkdCdPP&camk=nUmJqO2E8rjBBKwOxXN9Eg==&p=8&fvj=0&vjs=3
24/07/2024,HR Coordinator,Human Resources Coordinator,Lantic Inc.,"Montréal, QC",Posted 1 day ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CZHJiTdPWCVyIgL8OBMz-eFLTMUCp1hO8iZOs3AR7qPCjxD53kllfg2ZsPNmbdpinqI6ThgAb2H-c0tTgAVFxJyH0anh9HI8TCaOW8a2FdSDuWO_ff2eBoBrD5FcsHKabG3MClvb4qConhCYxgnfBdgewytleKlCFuBalRILM3H86k1UmA-p_wzBeS0t4rftp7xf_RGK4ns71y7gAY-sY97GVczYKeCFaJtNCPfVfFEXTLk5Umhq7GuncA8EK28iye4TS06SBV65tDjtXjNfqvExf8EcJ_OQm0Goi2t-6_dtcXysTf4tRIQI--LGbs_2LjO42RYNj1ytU5pWbIM2Q3IFCM9f2Qq6nyouyu8d5GkbIsn80NbmnZIZ4huUxlLrp6D6eheenHVuO5RGJ31ISW5Q-BrL_80HRsFAE01iAkWXIFzr25KyNvNDjms28BU4v8uLEYkICZsjuUfxF-1ILfRTQTOUoPzuz929E30fTKmmGoo7Lx2bsDzlC8vy5KnpE0arn5t585NnGHu5HFpR8YNgxA3tF6MEp077ns5DOw--C19iggemjPporJ0oHpPyWSueU-XQrIS7Rnp6EYuxvUglt7PNKq0CIwIWVN2rsUVdM8VN-25gw4v1GMBkTD_JwAxB9LduSotdZ29TUi6sJTlH6Ffo7AELE7Vvs69HOVz51sxQB2hxV2jYoQKwOEccYg3DiY8DahMhP2nr0QNX71eqgbfdnb2_w=&xkcb=SoAU6_M3-yGLcRyAhB0CbzkdCdPP&camk=nUmJqO2E8rghjM04b-NYPw==&p=9&fvj=0&vjs=3
