ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Human Resources Manager,"Manager, People Experience",BC Ferries,"Comox, BC",,,https://ca.indeed.com/rc/clk?jk=cc48d1b34ae9f0a4&bb=JIbmfea5_B5EPBEmflhea6_TBKQEC325dANm9otQClSMY1OoHBEpRQEvUrZx1RzmBMtLopD1V3ZLFiEIt90ais8Rxpfmpsj4g3NH06rwlAP9O4SzijWxYuSf-9Vw8BjY&xkcb=SoDX67M3-yFhjExSXB0LbzkdCdPP&fccid=f041e48fe88e993f&vjs=3
24/07/2024,Human Resources Manager,Human resources manager,McDonald's,"Lévis, QC",,,https://ca.indeed.com/rc/clk?jk=999426c58ec2e5bd&bb=JIbmfea5_B5EPBEmflhea5KOkpw59jPwXcrKNBU37X7n0uDXJkxPhLqxjs3tedJvDJGd-josYfT-woCyqjZ5xLUYpKeZlnfrJpQEwgMf2qE7oA0gTnzkvg%3D%3D&xkcb=SoBj67M3-yFhjExSXB0KbzkdCdPP&fccid=f753bb1a40104d82&vjs=3
24/07/2024,Human Resources Manager,"Manager, Human Resources",Intact,"Hybrid work in Laval, QC",,,https://ca.indeed.com/rc/clk?jk=92b632f8fe744f14&bb=JIbmfea5_B5EPBEmflhea4bWyXLnsJWN9z4-_4aflQgytC0NWmOz1XYxZ3udDmK20gN2fmqvxExA6dBJsPnjIANWwMLV0s6TkyysnFa4yjNfMTy25vgCFFY2IE5vvSHa&xkcb=SoD-67M3-yFhjExSXB0JbzkdCdPP&fccid=a614b30520ebe6c9&vjs=3
24/07/2024,Human Resources Manager,"People & Culture - Manager, Workforce Engineering",Aritzia,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=410f5d383c2fb403&bb=JIbmfea5_B5EPBEmflhea2-I6P0c8dTCkGiobNKUFrKAUCZnovF9Uxnush9UWzZrQSYf_B4SkRm5_2S7zuRk6oIQfRVrFrp-I32bFtD-DNs5H5fWKy2gzJHY551A90IX&xkcb=SoBK67M3-yFhjExSXB0IbzkdCdPP&fccid=230bf53df7c46c1a&vjs=3
24/07/2024,Human Resources Manager,"Manager, Regional Human Capital",MNP,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=eeb92456f28f88bd&bb=JIbmfea5_B5EPBEmflheay2pGytK-uTyj9PwHGywUvGsNXoUWOGWuVYaG0Z9OA6yGupVEUVieNX4uRJU28fTjWAzgRLWMsYGIX2ybvBwi3v-K-dID4B6oVs_SUQR79az&xkcb=SoDE67M3-yFhjExSXB0PbzkdCdPP&fccid=b8ee7f714bcca05b&vjs=3
24/07/2024,Human Resources Manager,Human Resources Manager,InterContinental,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=d55996eac8dcdd6f&bb=JIbmfea5_B5EPBEmflheawk-_YxYqDgu18VeaZLO5Q6rpNcy2D1l9_zDv8mvAuZ7tD5j6fgQDUoUEC-uxj8LQXP_VkGIXJOmzrvov-hGfYzRykMI5-XIYA%3D%3D&xkcb=SoBw67M3-yFhjExSXB0ObzkdCdPP&fccid=f4d2651abe93eab7&vjs=3
24/07/2024,Human Resources Manager,"Manager, Leadership and Organizational Development",Island Health,"Victoria, BC",,,https://ca.indeed.com/rc/clk?jk=441fe9fee757fe35&bb=JIbmfea5_B5EPBEmflhea5GYmO39Ap5QKkQlUAtHnMteMHhSwpi2ogMNT1VrwQKm5emqf0bRTpwHyw-7AQPVwt7S1YJlmkdpceU-ifFDxrxYMj_mzIJ7TaQpNoeSDCIA&xkcb=SoDt67M3-yFhjExSXB0NbzkdCdPP&fccid=139e079044c36dab&vjs=3
24/07/2024,Human Resources Manager,"Manager, Global Inclusion & Diversity",AstraZeneca,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=0439e5285baf3f44&bb=JIbmfea5_B5EPBEmflhea4-cQpKBFFCav7o5ItefbgXuel-tDvYp-379xOHlxQ-2Pr_28-UY-JSQVZH8ejdat-zqsr7FTUGW7Sjb-dbxB9SvJa8bDqV7sw%3D%3D&xkcb=SoBZ67M3-yFhjExSXB0MbzkdCdPP&fccid=003656df63cede32&vjs=3
24/07/2024,Human Resources Manager,Manager of Human Resources,Wellington Catholic District School Board,"Guelph, ON",,,https://ca.indeed.com/rc/clk?jk=b8c9f12016ecafd8&bb=JIbmfea5_B5EPBEmflhea2eRhdIDd24JkKkzc1_7SETMAPOUqEDSRjllVQ7DaelmOayIdwAM5_rPP3P0ckHipMVI-rmlRJHNiKUl-E4FuulkgM1hiZHhgDRr00E7Oeek&xkcb=SoCw67M3-yFhjExSXB0DbzkdCdPP&fccid=27ea0387cf2c65c7&vjs=3
24/07/2024,Human Resources Manager,Manager of Human Resources,Richmond Public Library,"Richmond, BC",,,https://ca.indeed.com/rc/clk?jk=db34b21454e47a47&bb=JIbmfea5_B5EPBEmflhea1_kZylRmLXNWT5Z-h_HS9sKACVI1SrUl03cwT8gybSHq3OzAg5cDPs9Ej5u3AyEQh083juc8IisuiVKleYkFdu5nW1GQYmZ7cgj0vx_Hk8ecvSAGSyPHH4%3D&xkcb=SoAE67M3-yFhjExSXB0CbzkdCdPP&fccid=acd121c677bd2243&cmp=Richmond-Public-Library&ti=Human+Resources+Manager&vjs=3
24/07/2024,Human Resources Manager,Human Resources Manager I,Cintas,"Langley, BC",,,https://ca.indeed.com/rc/clk?jk=d73446698038b192&bb=JIbmfea5_B5EPBEmflhea_YYPhOZ2RJr4CydpxmzR6J76Bqk0EKd5V3dMiTtEqo-TUArlMsJCM_8acDZAu3TTRwyY0IVgJJZhNUsf9dV0tDwUsY2DV7WSA%3D%3D&xkcb=SoCZ67M3-yFhjExSXB0BbzkdCdPP&fccid=75dddf0a132694ba&vjs=3
24/07/2024,Human Resources Manager,"Human Resources of the Future, Manager",Pwc Canada,"Hybrid work in Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=fc2128f2eacbb6ea&bb=JIbmfea5_B5EPBEmflhea2Vj6uI2JkEq4yTuQs2O6AzbL_Klk3FD-0v92qNvQPDhQdu9GP2zqLXV4xAtTVehOi1oQxLtyDvcKjdQ7UWIYQISTtzecs3t-A%3D%3D&xkcb=SoAt67M3-yFhjExSXB0AbzkdCdPP&fccid=bc231debd1021588&vjs=3
24/07/2024,Human Resources Manager,People and Culture Manager,AOT Technologies,"Victoria, BC",,,https://ca.indeed.com/rc/clk?jk=1f28ff519e3b634a&bb=JIbmfea5_B5EPBEmflhea5P3QneN3Sx8_tTr_e2IHq_OS3_2QhSiS3nuER8aXBEq6YvO-1vlT42hY7QcpVHFxkoRYBME71FJwgoEh3WJ9CnLYgzH_pc4-o-b0oA_puoG&xkcb=SoCj67M3-yFhjExSXB0HbzkdCdPP&fccid=c7fc53359e8ae1a7&vjs=3
24/07/2024,Human Resources Manager,"Manager, HRBP",Scotiabank,"Hybrid work in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=9249859907581eca&bb=JIbmfea5_B5EPBEmflhea0Hxa0ig-7G2AO0_3dD6Qe291XnDXaeWwx6wPRf3Gh5E_LYDZO7VpTDFxHtOaDYOpi4pdmy6aO1K8yHS0wPL_buSvAD_7MmZQg%3D%3D&xkcb=SoAX67M3-yFhjExSXB0GbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
24/07/2024,Human Resources Manager,"Manager, Human Resources (Back River/Goose Site)",B2Gold Corp,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=6064c89af96dc438&bb=JIbmfea5_B5EPBEmflhea4bWyXLnsJWN4sLfJWOxv7QL-j7JNQDxmIUg_BuJ-QAba-_Dfg7Js5K4Fs6aiTJq2YbejJg4oNv3o3KNSNKnC_vgDWeCr39gAIEdCuRHlG4b&xkcb=SoCK67M3-yFhjExSXB0FbzkdCdPP&fccid=b3aded76d0660603&vjs=3
24/07/2024,Human Resources Manager,"Diversity, Equity, & Inclusion Manager",CultureAlly,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=6227c6603ecab11a&bb=jgVTxly21RniOnxDNAdSJrhUBkcZ_z9Nte8h-4udP05KG6lOviPN3Ed2ibK9xMEqB60_sJvUUafK9FsblGP5pIdEg-2UMnPLA2B9sgo5hXx5FxF2U3owjbZp4TVeXPR1&xkcb=SoBb67M3-yGPtCysaR0LbzkdCdPP&fccid=b5919c4d2e8ff14a&cmp=CultureAlly&ti=Diversity+and+Inclusion+Manager&vjs=3
24/07/2024,Human Resources Manager,"Manager, People & Culture",Coast Hotels,"Vancouver, BC",Posted 3 days ago,"$78,000–$88,000 a year",https://ca.indeed.com/rc/clk?jk=3018dc022ac7fb0e&bb=jgVTxly21RniOnxDNAdSJmiHiMYm29urOycGHcIu8zkN5vPoetyNMYF19CfrOQYs2cDsMoBiE5VT3775enAknEHjWiVRGar-fe3qttOtxb44-BE1UCXWSiHVBVA7HCSZ&xkcb=SoDv67M3-yGPtCysaR0KbzkdCdPP&fccid=5cbb27c2d01f7c0e&vjs=3
24/07/2024,Human Resources Manager,"Manager, Human Resources and Volunteer Services",Cambridge Memorial Hospital,"Cambridge, ON",Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=e065bbe14d78ab99&bb=jgVTxly21RniOnxDNAdSJmo4080WdFoDWzZnjSqxVc-M05ZCPyHz9-Q2Dlf46HuUGhI-rjb-jna12ZW7tbSlbBkW4FLHlmwIjDZ9KD9PnvDsG17_XrH3JHfEBTWhRzuq&xkcb=SoBy67M3-yGPtCysaR0JbzkdCdPP&fccid=b3ac828ebac7814b&vjs=3
