ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Industrial Engineer,Civil Engineer,Canadian Nuclear Laboratories - CA,"Winnipeg, MB",Active 5 days ago,"From $103,200 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7-2mynDH716AD8vM-6JgrGz3nWmkT8SEvnjiZEx6pvzPeeng-eecxMcly8r7pTCx8TPy1O6UbYvnkq-1Ys61XfmZLqL1CC0KSDWa0fWjcMYrdtx7Ae3xM22P_tfE8wb88lpuPQN87c9hEDQ7c5bpo3jkQpZDfkgbtKyDQmYeMLDgR9a0wGT0351kXW47lH9lUdGV7uBAoOAHcV6z3Y95qal02ei5s4qF_0XSHOD6T2mCUa3v3XdDk4fCdmAYIlRtrWVrhcLymiIJgNP1lxNMjHFJkOqUIlkRUF4RXY5mFb_AiaQw8fRU_Hw2GCvP3-LfuW0AUxmjP6_NDievyxWOgMdcl9uwgrRLKxu8nw3KZFBSkFirSsdZaCV-u0ME7WBFnY2CuHT8p6x6oI6Yh8bkStOftwe0HBs9uuc9O-SUaSWjQKBKO3bchUjGcuRbeRw8JuYghej8rDZwGwFIzqw6NDw_Xtp8J7G0hdQEjqLrhp2txrb--RqHTxs61Gwr8mRmiLP28eemxMadnxB_6PtBL0u8ACofGnEz5IUPnDCF2nFQ917t5LW7gS38OX-J4toW3tgtBnqZPx_5Cx4YqgM-RBVE4qhbLHzkknsTElVSenF-_O7t9xYU21hai9NGw7csyJNg8xmScc-yM7GyU6STISyMvzoZJUPI5aqq0ohNR62Nn38BfAjPuj9KpVgQNKchgarnSScBCBQ==&xkcb=SoCh6_M3-yMQXbAF8b0LbzkdCdPP&camk=4HOcmqOLYrCgGU0vTwmxMQ==&p=0&fvj=1&vjs=3
24/07/2024,Industrial Engineer,Maintenance Technician (4th or 5th class power engineer),Gate Gourmet Canada Inc,"Richmond, BC",Active 5 days ago,Up to $34.12 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A0pk08-W-J0DRaeqPENEYmm4_ncRhUaXrgR79ivVUkMaTswPHoDY0PFkP6r0xnUUDSrK6BU4rb4m_xNN5scR3wcllPyCHVAWgiiZyNtQCSFDctHjccLmJUmyNFIppaO3xh7-a_-eg6O79yDfxtYki8KTycWuANUPe9nqQtPTcmGG9X_8BP_lGd_leIvukAMwHeExAuoQRlVNlVHiXM7samNxhtx2L0SeonNCQmhz13D4CHjIJYSwbU8HKewrxy6IamNC6WHWoQElNZvwcD-qPUwncaezqJAVW4T2-_X29RtEtu1pvYKJaM88d3QCBCrhkEw3Lgd-ySFI_GZ2SkF36ihSApML2OY4aNxwdpHW46metQgRHUHwdd00KsHyiyw3b3i9dLOLVCQO8pffwsgV2nOGsitZLPp2SHVQUbkWoIUHEMrluBg82pBb4GifkzTJt0yxFFL6zLo6CVjjCydvdiMifgVGHPsZ2c7V6iMyh0dldDHm6EAsj88wrB3AYwf4DGV0sQSa3B71JOd3r5UCCXnkScAmqy-0DYV-4OFBDDuRVfdUd-_ohi9snlJKqz-zmdYZsQ5DMlvXdHuoa5oSgEYXejEa9LRPCOxuGfk5-KH7KX5H2IQk8enaX1kod4maq_TswGoLHbN_8Rjieq29ViNeEL3sUr1tonLohE0UKr0a-QjiLglHOXdtm0CYCLZMitOxlKGP859Q==&xkcb=SoAV6_M3-yMQXbAF8b0KbzkdCdPP&camk=nUmJqO2E8rgabspL_GPxig==&p=1&fvj=1&vjs=3
24/07/2024,Industrial Engineer,Electrical Design Engineer,Delco Automation Inc.,,Just posted,"From $65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTzzG-p2HH3UqodI9Lie0u6EA9Qq6q-ScLEBprJ0PbJsfJL7qPKQGsQda5b6V3_dk2nPImL3Jpak4ahJpehF2CZACrucZBuLW3J9V1tahOZ6ROssWYWXjAGBd1lg3ORRmmiY0fxeparcte_1zy5-LAY99Gs9uIb__khcJJropJZb7YWq991szghPDirTxgd28m_2sTgsyz-WhYOqqwbHGYrIIoBAglxpiVELRmUCgXPUAvGmNR6CyGzgiIFwufWeF5j3ExBWys_U3Zx3Ez_KRmd7m8hBXzNuJW_V-MjxB6M1-d2DvcqeXyRaGO3nhlFFNaH6CtuhzCtVbBouo7NFv3XutavWGVgSrqeB3vgTstJf1UhVCYBmhDYgWvHJu0BPQjdWBP5covJ5Hgx5lFcXHATdj4cwWgjNMcZTRuylMLmGFBGh4aqTq8Gdkp6HZSuG6jR_u5Po16Mt-Yvh79Cazc2BHPwcGFYV726BKLrNtH1eo8hsj3GgKVMoBrIdaCaphPNEgDuch6tL-z1IzFZtUgVeYl0VKW3XbIucuulBhj-jRof6EN70JZtTsqHS368AjckxPr8Bynzhtz7SoYq4y6_JXrwIqn7goH71W5C9G4cm6VbgtMS2F83ntZ-ctRQgJ1P7uUaFVRfu3wb1JeWodZBd2-XRingE5pmVq6gbgRfA==&xkcb=SoCI6_M3-yMQXbAF8b0JbzkdCdPP&camk=f416UQcMBpARI9ZlU0dqtQ==&p=2&fvj=1&vjs=3
24/07/2024,Industrial Engineer,Millwork Project Engineer,CCW Inc. Architectural Millwork Casework,"Waterloo, ON",Active 8 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BIr_DrSeIjQ0tSrlSinUf-vidWM45Esbp4oFwWAHSEqNRlsOBuAJUwZyiozU392PAPdp4mb_BLNHXNDQCgZ8jo2XpMbinsxlizkAd3Y8tyaf6BBBJqM5pYRUWUuLFt6N0qtxhIAlseMuPDL6COrS2iYiHbQvZDdziO6Y58C2Oat2xQB2l-Xj2vHPN6-1s5Gz155Mi8MuIaSfWG4Ekm8mqwZ7yMuUkseJNMcKZ8BXWElBYCzju78Ir1Sg7B1ABWNCqW8aT69idxHdR1VnDu9nJW6fM6q09NmP7RAJK-ypLqy5z_R4Ag5LgS5UEHXmjBtLb8Owr8y9ie8RKTr5RIplF5B4vEQob6btR_wBkpbyjaCFGSD7fdqMO7Bw9WfTOlwKt6delmLaYXRK30SL_32mRzG-Fzn3R9veFYV7OIiL-9nIPkOj1ljqodK1I1TFzDnLT6uCYOomqqatWajfPKFYL8wSfFP8DwwD3qig77DqGY1J0z55M2vnpSJDDzUTwKJmKbKHO3ZiZGdHQRnC3GPODEo3cyjlB0X49rxHDD_6m6epvuTFl4WDYYdCB6K0b5A9KIxSm_KF6qLQazqCV0o7hzCeIuEXYefTbbxY22yggv6MpCLsPZfkaBlkZ85BB5Rf16frIwVa0nTfc8e5e3K-zP&xkcb=SoA86_M3-yMQXbAF8b0IbzkdCdPP&camk=nUmJqO2E8ri4JVJrcF-92A==&p=3&fvj=1&vjs=3
24/07/2024,Industrial Engineer,Senior Electronics Engineer (Sensor Technology),True North HR Consulting,"Dartmouth, NS",Active 5 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGKiYwDqdwlRIMvDie_4qhRWXZBOeNzFUoZOFSX4-E_SXrRiG9pk2VIyz1UMm8IsJUKxQPafddRqnu3mC7_ePjaqHT2P3d19StFQZLG4YhExguhnQGdBfEWTXVpUYNVU875NkZF7L011PIKg_vvd_VvfqztIWIxJHR7A0cLgS7VGmmpsYM-8MmzhRLjwW0Q3Njg6o1flNxkOjueYIyJZxpID9OTM7D1m80NMj4spX8XwCjm_WDyNB3_rnNK2r1OjkqqTr467J1GwaEfiZVexablSIzaBzZrJa_21uLGun01nXyRK8uxdExO6MUCkxdhxGlT4-yKIDT4ywuPlu3Obsvvrf-3YwuqDU4zecOiV30DIv2GBJPRZ9m5EwSIQjWQa7QKYNXL6GGnt2qttkJyVYrkw1QiL4a_KPUxdYu9SVq1bAqxwL4opFbUk7jl-izMuNQhYtXmCbSxX6rpelGqg8er2AZj3bM5qLshHlhSJuun6AttUI-da7etcPlzhbAPLHvcF8OFAuyLJ0C5dqUhCipW-d_y2PSA3bWtkZoN-JkbmxNFwLcQf-hD3jvXldvrYNVy4KE8ZKZ5cJN1LU0OlM4e_8oVNSTDPDUgqOjKOQe5L3_5hMbkIeymLybhzVbbxkM214uDt4y3NFavHJRbkB_JUQoVm1jAYC7gadBqC-m63_Uzvidd9_JwZQBHtAYqf4p5EfZ_YMP1stHMQF634Mni0SgwO90Q4k=&xkcb=SoCy6_M3-yMQXbAF8b0PbzkdCdPP&camk=nUmJqO2E8rgBDF0hz8lkJA==&p=4&fvj=0&vjs=3
24/07/2024,Industrial Engineer,Senior Hydraulic Engineer / Designer,UMI Group Inc.,"Guelph, ON",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DKXB3ZHUniulpGAV1_EEnphGvHWQW0yckLDG09kv2Rpc0lNwOaYU4O4wiqy-ryKeZymND0WoQQYm7i5xuiFrbkEkIHFvGcjc-m9AfwtORdmgxJxP-YaKSDDAJg4PzvDxhhmgX3b0lsWSrB8r0NG96LgOQLJxoJuaSM-6M8tRpliDKRpqXkv4S7WVltsexpqHBzQru5gYj8LF4XBOpFNJjsMr1sU8i5iLq5paEisIp6l03ztUzkc0AMCIkCKXyty4i7WO9qMsMJ-NDVYOcUhsPiapJ-1qYctASz_3jksF__7ujrRu9-e5ud-f7EC-G6TeMkABGwTlrXL1uj3YNXSXCaL5XczC1y2qffTTH6U9GQOYBhgKtfsqymeFDRpjMfRDuQ2cF8KhcxZvxwtbymNJQ-LMSbdGmGByQIAsZI68GJv14aKoaMk1VNkHmDCEUsjJIi_kkn74Q4m9guwb0ZJ6TouRHqVpr_vQYXq025xlXRqBE3A4zNDDzDOoO5YeP19kyBBFNy6Ce-vsrPOFYCCtcRraWoBFCa1hszZRiKtbBQGH01NtREjG2OoyNX7pnMkKF4NpqpVk7hY0ZOxSBG_XKmJBTOqzD8DZgDwrXkwisGcwcAgp6m7XPwa_p8t0ZhwKtiHd6F5ELECH8JCC8nhyHgFcIlwBMAgNs=&xkcb=SoAG6_M3-yMQXbAF8b0ObzkdCdPP&camk=nUmJqO2E8riMf8TlsQkhrg==&p=5&fvj=1&vjs=3
24/07/2024,Industrial Engineer,Chemical Engineer,CatSearch Inc,"Vancouver, BC",Just posted,"$90,000–$120,000 a year",https://ca.indeed.com/rc/clk?jk=a172c13c364bad7d&bb=peqj1DwfI5LhitCJ9ZDl8W4T0ajLPyw_umNQ7CLst3M6HjjEiP4_VFqjZ1mIbKBddA-fS2tTqv1A4bOe5mI4bY3a5mn7ggZymuAjiB20VS-W1GaSrRvPOoi2GOsxlXP1&xkcb=SoBv67M3-yMQXbAF8b0NbzkdCdPP&fccid=d4a0192066e5e809&cmp=CATSearch-Inc&ti=Chemical+Engineer&vjs=3
24/07/2024,Industrial Engineer,Industrial Engineer,Cam Tran Co. Ltd,"Brighton, ON",Active 5 days ago,,https://ca.indeed.com/rc/clk?jk=68f369eaf93296c2&bb=peqj1DwfI5LhitCJ9ZDl8dX9mvwVMrObkDYcLu4KakuOBZjMSJN3qb5_qftPrhWTiHII9LkgRtdzJ0kD_e9oJrwCr2hxuLginPLk9qyZRku5bsoLL4Z-jw4g6xaxo6je&xkcb=SoDb67M3-yMQXbAF8b0MbzkdCdPP&fccid=735410f2bd35bcc9&vjs=3
24/07/2024,Industrial Engineer,Junior Project Engineer,SCOVAN INC.,"Calgary, AB",Active 2 days ago,"$80,000–$100,000 a year",https://ca.indeed.com/rc/clk?jk=5f0390d92a9c3dd2&bb=peqj1DwfI5LhitCJ9ZDl8dtRmbg2Kz0OSlHuBqFVbMsR3ZiTcFPBuNiULxQsT7DvqnZxbh8SS5Us-tvDi76gbwRaBRQSou9Ort5h1yK4gCYDUgKd7P0NRt53Wp6MLZuJ&xkcb=SoAy67M3-yMQXbAF8b0DbzkdCdPP&fccid=6673e6afb265339e&cmp=Gemini-Fabrication&ti=Junior+Project+Engineer&vjs=3
24/07/2024,Industrial Engineer,"Project Engineer, Maintenance - Mechanical",Vancouver Airport Authority,"Vancouver, BC",Posted 30+ days ago,"$87,926–$114,912 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BB8uP9wchsy-m1Yi7P6_we2v1hMb8_1U_bFiGerLvtBoGZdM7PApiGeF6WaVOPdUQ2PBiLfTz1RisxR_fy3UexmPSWe-Le_SoZY4qdbyxTA79pl2sxfK7w0xPL1FaKd1uu6O3RNUFfSScrZrIANgBSOpsi3NhrGwldsLeRGCZLsgBVD5FWeGXiABRS9B7SDkNHElBmPniIq2u2y9lRXKfcL0VmtpFvM_WLn8DEYFzzPgEOtLBQbLfFAhmPPiQk9mm4te-trpPmKIIvOyHpQeWjtXMTJM37H9KI8Zgl49HUJ8MJImbQXfbya4butXIPOL8_Vg1sv0L26LPDFSfC4Za3DKUW896Hhsu1p3u96ml1DBubrykd3UbmY146aXKHjO32OphxZUcgde_G5jLNJGjP_YgjK6URAtTJWzKtUsnZJWLHp0SzfqGlWhYJ8zV8nkjGOB7wBQu3w8ma-XAiD4sqodDAcfYm0p-zR1gm4UDd6Ul-khnJqywib_7HKfcUt1hOc-kJtcCdA4vLptKskA1K8q-THpI3t4LwReQf-iL3OoPSxRPIAKLrOI-wiMt-tLXiVUzhpiqpsELs_eXryu90majNRS564Mmo6mn1S-V_XJyFdk-5TZEUjRSQSziHKl8V1r4Wx2OQM5IrscGAZuF-uGng6C13-5CMZ6AwANs3-2o1Zk3K9eR3nMNHNJfLK_Ej7SqkC26bJu1RdIQtFZ9Yl_1mZnXXbLw2mX3TX43AIp_ikKMkazGSQN69-dNQasbE35Pj7LZzlfNG_nTNOYluM1ZGxqb18d5WvYbVonWyVPkc2ONdcUJDBUHObCODd_G9CeiUvTn6BQ==&xkcb=SoBy6_M3-yMQXbAF8b0CbzkdCdPP&camk=f416UQcMBpBxl__HzYGWiA==&p=9&fvj=0&vjs=3
