ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Industrial Mechanic,Oil Burner Mechanic,Iqaluit Housing Authority,"Iqaluit, NU",Active 22 days ago,$44.99–$53.34 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfXC77iKZi9j-3HU5cNNbujtgG4vf-Xbaq2fwEF9fdJcgTvrFk9l6No6-dHUuu3EicNeoA820gu5gNWc0N1XwqNVjWMVIBOhHQQrgEt3UupFLfYf2jwt7UL2t0H9kHm5YuAzPXWuf_lF2M1u2xOjUjljSv4WMImlaegQGykysc0Z8PW2Y8E_tdFFlcKpls4l-EKYGBsrtO0Vuuw2Cx4KStC3BxS7xcHbwzxER0jOSLzM0SKpCMhWsvkOI-DRmZpEftwQl2B2zpv89hzdzLJamzWkj2u1vHhLT6N4LSc6gC1WgFQ95vxrV4ct75t0T4Owa7DwHocMcGBcyU28WuhJqgujhq6aERNIt8jn4V-_zW4SgV79PzNAvOQuv3U91DGoc4OWaaDLiem8t9Qr0bCxggx06Cd74e_hw4IJIyEM_ds_nxIV7rSijACwtuU9x09UksPSATCitdZEpqBZjTeculw2a5TzozEs9tXYQq6CcgY1vnmty-nRV9slu9erNXuuiA2coduBNu2-0U5SVvJh9mX841erNtFWgMKVrYCN70E0HjBnCKsmCftI0Fg-svjQLk_iadQwBk4BU8flYTqhY70j7nTMACCKfvNLoibuGlOk1UI-bOE_3dGHlY45x1E_QfovuFj4jbCkcB7zJhMo0G&xkcb=SoBI6_M3-yFYQdSsD50LbzkdCdPP&camk=nUmJqO2E8rhcd_PEPCG5jg==&p=0&fvj=1&vjs=3
24/07/2024,Industrial Mechanic,Heavy Diesel Mechanic,Oakes Truck Sales,"Perth, ON",Active 5 days ago,$32 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DYzBb4tRWV6c_Uy6iBl2eH85x2vmG0pM8euzzVbmn59afwr5dyETFfiN4muLXymBr8j0oFf81ZxNflzu4XhDtIz1QXxVWFzF72UrofklwNe8nSDrnQ3ShXjKL22m9wR222LpHJR-7tG-bXjDAoDd7F8wxXK1uA8AkoHWLXNc-H7qdHEnYPLKxmcYcFVBh8QNymtmW8qtLrg28TJtluy9rEeltj4zWexKs1XOnJebCQ45e0sgfHtrQz1b98cHS-FDSjke0z9JUvR6JgDW6ydfsZyVD0ZasglYkz6bGnnba-8W4vV0sO0qI687o3_sOujqZ2A_LvJnD0xlCKSwZpOgc4ZHNGiDueYBQu13oU2pOKN_JVKiEXZzmBgzyXm7BaKqzOEupHLAOBLOcmeLLI-xOMJqR0bl4-FLQC1Gk4O0gPi3czTKMmm99cPtr6AJnz2nY1gX4Ft9mJHQnFwaUmVINyJEWWUFFwb21HwoTVq4WDBFZzjGunhpD9SpHIZCOQOhIA652Jq1wGRe5tdpK-eGus8WFEiONFUhgbH8Aho3rfpC4MLRRBqiIpURxfvB0RpSArY4E9xQJgRJqp5SDWU6QiDB-XXkI3_0X8AqKzg27QaPLjsbEIRdec1tFZDDkR05sHEgbl8xjSkJRDI9OZ5rtw&xkcb=SoD86_M3-yFYQdSsD50KbzkdCdPP&camk=nUmJqO2E8rhTlAgFeYzD7g==&p=1&fvj=1&vjs=3
24/07/2024,Industrial Mechanic,Journeyperson Industrial Mechanic - EST,The Mosaic Company,"Esterhazy, SK",Active 2 days ago,$59.33 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bz7CR1-Uv_nlMuFH0Togu_iLQMIpIEM2M02CkaFnVWWRaAoyOsySxvDrySDkfS12Iil5XCtSb6pd07iHvpmNj_ug6Q4KylnM7xonm02YpJXQri3yo8u0Ep8T9sS8Ip0NvCgVvdKvF0ek1hI0raOGBpuSC320LQ7FkrVFCdmYMiU9h-gjif1fX2UP1qf0XoxohM3OIagRtRI7OdeHMxCxXTZS57lLIyejtJYAvNcLl4w8gUpbfKJnXIehS2VXcArXW58Rl9M74bDD7HFeDaZPV1rHs0TvMvRIW0J7blJniYmOwSjk5DQRw9eYnjBd8jSHimmrx1sk8dUltOGLqbzHgztzjzCReEP6ib6zOPmc9VEoxQqwi-DP_pNYRZOb0xVnNut1g_64pzttY8WGjtRg8FfcqWKjqR-UdhkYi1umay4ZEhTYk3ju2LUsJ11RaFBGJWOEhzpdOi5iiMM1V4JRcrf2kdZxfoIHqSWYxclzVCIGPqvsy6DMuLh6YmRExn8Rgo4_kQMOV0XT7sdI8o2RPeMuRGsRPujgEs51afONqr4GBU-dil1kLGHzTKjbJXnzDz-naUumJUkHMOOetbRXJ3Nv9hIj1PJgF3g9ghuQxMiFTHlOwt0HCH-UjgOtx9YWIdb8RDdRMN1hWwiPikl_SNvGdzLvYxDrCOeaIqDh81-g5i9RHytJ1gIUsrs1PC--lUSgn4NbEMVUNmER_6lOYUlygP0-lglbNEtBc1rkqDsZGn5n_sWgUE&xkcb=SoBh6_M3-yFYQdSsD50JbzkdCdPP&camk=f416UQcMBpCqeU7H9i8afQ==&p=2&fvj=0&vjs=3
24/07/2024,Industrial Mechanic,Millwright II - $42.00/hr,Arterra Wines Canada,"Oliver, BC",Posted 30+ days ago,$42 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKuK6VI_trJeaBlH-8lpgXDQWwpmChzbZH8tC6hm4o7znPAwQPPd2_Y_7ZZaIE1vuzEO8T-gUi9yfHkJ5RHF2bOdCTkqIxZOofjQIG0gkkYJeByzXV8FEQ648EXBdaYhWDTJ0fDBxA9hUc3BkIdUaMoALAaZRijEWuOK97DlPYbcolD94QvT270zx5HiS8_uY6t5rA9-JF8De8z_ChKscnS3TgL598hN7aJhgUWAN0LthPb093EFY36JUyNgRFK2emZlVG7Oy-qWdakQIGcscui8d8xj9LEoMlRHbt8aOMwEoYb5j7WEaP4pGBoakWBDtSY24zQ_tJiyRlIqvgyDgFTMR51U7omdg3n7Dk_4ITGaaoO_qcDeIwyDWDt65pMJ5VJwTe-wjjVPdhS42vt1b_jaDuN35P4zPgr2Zx43mv29_JLap6De8t9Lc3LGf-AtFC8WSBv5p5GmebAeXfvdpARscCQbCqQSoWBwNpuPzP2stBKD4xziamp0Fus6wMUoDH7B4Ogi93nHwzdO6HJovKKglsz0B81v-3cZcoxCB__3Tnn_2ng-0Kb43j3bItgYmKkwZCg-Q6oK8-G-jZAqvjRNJxD9MK8P2NPPQTLNkbzawgjdaQ2Lq-SOw32NLxq0BQixxz1wOdrrgQkx5h8z4qrbCEbs1Z6PPob-TQkDeZJtCpavF18e0ur5LFKvctfZR6tgAWFK-m-Mq9kqviEmeKcii1NGite-exnNMVG7vtCOuy5cSTc33WHaICFyDFYMa-WtkHZnDCWYTkyZqexGuR&xkcb=SoDV6_M3-yFYQdSsD50IbzkdCdPP&camk=NFVmwABINBKEtGeC5exWHA==&p=3&fvj=0&vjs=3
24/07/2024,Industrial Mechanic,Licensed Millwright,Vuteq Canada Inc.,"Woodstock, ON",Posted 14 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BuLfr8taB2sowAiR0pSUEB8uLW62xKOLTV02DSF_i-V9_9TckD5vtmP5KQh6KTy2ES5pVXCb-AwpStfReR27ILMInhzLbze8_A5dbgYUgmXH2rp865ci9mbZzUXaboDAh4wHm6PZIFNiI3b-GlI3c_bEvxifecl_HiolSfCHVb0iswB6Owl9atZ5W4Rw4xx51jgoMvxIFnLfCF4rBga2TQCRRlWQzWB6y73Q6Vvn3MBfLSBFR46gKICdKHiternBLyS3blyLRrl58F99In8xDwqvuE5R06wZvdE--V-chEGnu_UfsSa1B4Aqx0d9ee_L0HjPmUF63CJFl9eYRBZe2fJlCRoeFkDQ1uqcHPxwEJcD3-OcTlkWW1j2bSgXhbzDu4bk6hIYLaMgnTVE7PW-1RBw8OAV77HHPxY1jKnKnw_CqMM_ZRB8_3w4pwFs3GiG8iC5xep4cIAiRyVU1xpZcecfo1c_eF9znJ9ETOGjhzEFNZqT4Bl9ZWeyeNeL5cFgbfKNWFeD_c37y_rwVh4W85b_ZxRlFwJB0rwBXCt85bUgo-XUcJ_QYBuh7dx6ap10K0Q6M2NFOelP9i_ml30d0Wc3__cgC3Es1kaxo9o1jol5grDrgmyO9dkbGqbGH_pDsVl_qcCpvZdWzN8LwoDw1TcYXorfsIIR_AUJijJ4CaWdEoRLu_3qOJ6zFkQjgE9OioV4J7Ng5a06dorLP6DZdBJAHFoYtMEp37ZU0v4-Ied_QmUG1f1WD_mGO7f5re8_qXCe51D-ed91-0l5IHQUwf4Ri77opgmwzCAgjx1xgSfGAutG-jojSeiweKmAH83jHw-gk6vcYI_Fx-DFyg_J-kJ4Jh22bkUwaoe98wmiDBDMn6FlaFs8IcKScAvo5lJwKjZNNc-0RJwKLLiZpjFobZJXIBv9RMeWKDCRAbHQVAXg==&xkcb=SoBb6_M3-yFYQdSsD50PbzkdCdPP&camk=f416UQcMBpCE4INfxWhuxA==&p=4&fvj=0&vjs=3
24/07/2024,Industrial Mechanic,Industrial Mechanic,Horizon Health Network,New Brunswick,Posted 1 day ago,From $27.19 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxZZxi2xBaOqn5KVVlBG84XmzsWf_Www7xTA937HetFhlazxZvvcaaWGLKWiOFvyR1KrAiRwPX-G8sYudKV5cBpYoLVhpKl8jcnnJoGIE0f_OczQhzeXHKmbVHc9nkTmI78qYAYRtBZAWrV5m7xMmudbksfbm97buV9LuPkiVUBAMYwEDah_e8jR_LR3_xqlAfDwjpbRfYupDzqfwUIUcZMlb1PtbZPgOvJrsRcjBp6Uuhwi8IqX3gAO6nj-YtbA-rliLomPEUQm1sYK7Dk6S39czVoq0PdcrnVdumGL8UmNog1pwCX3KgJEO6UlFkr5XantBj12VoiKVSaPFoF78MIl50bAfZ7SkL8SVKGKDueMqgyGliQed59br5LT528H7ZemQS-QaC_yonZ6j5C7lafvbCKT8w4-qEcre8rLzfY_P3JqG_21OlbddJda4rpmqb2MQlmgKBIZMMkul8IqhyLDgC7UqKA3tagpOlMeRjALQ0B2_ZOGeq03y2V4x1hpj48fhI3Huq4FHBtAzMF9OkgRUGqDp-Rbby-40zlrcOx_aBllt86_97rwoIObaLUrsI7bJde2ml6H3Z_as7cNDHgDtRFbKlQ3ZG0EpoWa65eAHBB72bVEgiWgATGhaz6z_oi2FLpdHi4TYFLoSLw2_14LEHgZ1VZEE=&xkcb=SoDv6_M3-yFYQdSsD50ObzkdCdPP&camk=nUmJqO2E8riBU29Tffrtrg==&p=5&fvj=1&vjs=3
24/07/2024,Industrial Mechanic,Millwright/ Industrial Mechanic (Temporary - 18 Months),Saputo Inc.,"Calgary, AB",Posted 15 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DyYvlsRfpVM5oNzC108Qe52zOx054S9iBQd4-pSKG2_61aNxEm-KjZ9GXOUPGs_kiqNmptEZuclleUQ7P6nGvarZmLHqa9NJzBChlqfTQS65sNiBboMQRs1EokFIBLEstfVDyqqhtG2dWhTIImq4EorRyAjIQ7VeHGClkgf5A2eKlTXmrqYJBPlZlBss4YhmxPRqCnb9pJQjquo5_gfyMtPKH-D_CcHUO5NpxWHa1Q8bqngxc3ujdrydtMRAy5Pe4Vo8hvnsPE4bF2i3jduqVd5jvY5vzK1b-wCor345W3DSNsQHvbq-woRuFXWpP_xtLtzxR31T8DZP8rMyI8nC6Ibqr47OGN_oGerNXUeqEJ8usES7Axk8SjDm0A8ciGEly5a_Ky5Ufr50EHsrZ7jDUiJYzxmFK6ak_5ZLeZg3UJvvIlNWgT7PTZ7xkTsiaXO7qGELLcz6gbcg3dSl531yYul04EMMiRXXUjFQK_mOeboJM5_j9wgBdRh3R51AOm-JBWFolj89Jfl_LALT2iQGna6HRuwDD0DxCovKa1tPz6bhqXtCofDzlSVbpMb8gYbi-4wrM3XZXb-7iOjiUBvYaWZ-XmHIWvMsqx2-B85O35ZNz-DkOylET6MfHUWmyxWAaGYKRYhWzr1DAnV7bv6jVMZoasnovYZPg2jNubI-UL2PoooloSjQailuuYeoxWQBQNpolkeSw6de9s0SXHgCYEhJ-TIDRH1pfKkil9kkJ2Wcviqd3IB6FUpQhHXX8GYpUjZVV3QiG7kU68vfDFCcqHNflAnXIajpsrhctZf86DFVaV9IIQJfVydxsggJBJfghCAQ8DYxZGfa4Zb0x2bVZG45O5pTSae2MGC0DT6AqaTUeduakIsawEQAi5ZC18hdHRdqJXm1gRVSdlctFAvwypQvnM4e5BCcl4y3D8m0bZzsIF0Fcm_fcsSMstHnW5cRkQ-QtfCEFbxBmr6Qk8nd_uqR5h3Y9Vya0=&xkcb=SoBy6_M3-yFYQdSsD50NbzkdCdPP&camk=nUmJqO2E8ris7wIqd7RKTQ==&p=6&fvj=0&vjs=3
24/07/2024,Industrial Mechanic,Industrial Maintenance Mechanic,Cavendish Farms,"New Annan, PE",Just posted,$26.11–$37.30 an hour,https://ca.indeed.com/rc/clk?jk=f473119947dba321&bb=mHC2_wR-nPh9jBVUiqJ-Ik4Hj-qLfr_53HuLilOt2HUEYnB6HelCl8kVrtJ4kjH1y7LKt3bJhCG7VcPlTsdJeNKIlULUPn4zzOnlOJ3ly14moXbNFCfX_1UdGVOKZJZE&xkcb=SoAy67M3-yFYQdSsD50MbzkdCdPP&fccid=cfb19cd4432c9176&vjs=3
24/07/2024,Industrial Mechanic,Industrial Mechanic,Ledwidge Lumber Company Ltd.,"Enfield, NS",Active 5 days ago,From $35 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D9HHtH49nqOSKeJJrb8ve3NvPbMVJ1wL0OnjZCnyFxuGSYJMECxrqyoW78i_qNosj_9K6Vv2k0gCM8FHOH-DZ7HOuo_DMw0gmAFn81BbEacSaZtPUsWuqtLff6Sl3W-QE4vlzEqUFiPYJiTWXOge_YVOJrdpEN7ni65mgKslYnEj76qELzpSU2M8wEZEjlyyHtjwRRGGC5W_7ipn0wZXoZdl2ae0E_gJWYCbftfDqVJBbSOZWdQtQobw4dlihdHOWIheTKoto-pInjm5BWiaC6bpklOGIumDg_hIl9hb2ndnEbhQFP24VpYFH4t4Iq7GnDFGCleY3E0h24XRGRUmwWwlepEZlxSl9_RESUAUYomLuqrs0ZKx0lyDdCJvWJpVrnK4kcS5sQ53aK2L89rtlhl5J-5fmZq8QlIM0_wUrMPdepOPMgk8I4D-YaKO_9ewSIUyR9yppxzAvETU6uWGYOqUVL1xKPUpgba6UoI0V1jLEPL4D3xG7C3jRmk4xpKOo_bCmLSemKK0GW9Al3UULKv7KI16twmvRWC8voSq5DAHrPNyvBjMK0EvuAGfStapZ-4DWMfgCxR0zuF56OdovSZ01e9RzKzlMkkMOlVp8q7U5wj05vP4ciRMnRXoEzk0I9pnCI1dNFPbws09zyboBCOCgwoVyQOs0=&xkcb=SoAv6_M3-yFYQdSsD50DbzkdCdPP&camk=nUmJqO2E8rgycerZB6t1_Q==&p=8&fvj=1&vjs=3
24/07/2024,Industrial Mechanic,Mechanic,Hewitt (Brockville) Ltd.,"Brockville, ON",Active 2 days ago,From $25 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Du_emUV9GoyZzKITWS7tKLDENgEIz-xRbVLMKsAC8GZpxomoSkdGLkzjjaKTy39gdz3--LkqMk6BpBLz4bZqkrhZyCkDXUIVjbu-iiw6-J05dmIexmrXwEqfUTEQZVN63z7uhpiZt1UfYqyinwNd0QNkf9QwJO0CAjgVZDlDxlfzJy_r9w8fi-4DR_63bohNYgBooNv0ksRnn8z11RFQwaS5tcafFlqBKz_MwueTxxUAxjfBh5hS2W0WMXKGoLadKlAL-17x8tmGIWKz_eb9bmN_Wh93RGiymHHsFDl8PVCUMz1s2dLKWHaTJpixKGyJi1PqiLDFSgfRuXLdX7DDp2PMJAieo7DLJGyIsoSB0tRNk9V3uHjjLroCIRlKfQc0tdE73ABCE2m8FTo6AwaXKjTNwoglxakpgDH9UP7WTBOylhf-6UJuI1_hcc1pfftB46TJ8l8DtMHgIut6VYb_31T7BPCYmSvV-FkOr7-ZWCsYjODER1UIpZN9RZYHjgwrF8n4C-Fwye23o3wqT9KFebRQBQpjS6D6Pz6cLPM1HuRhmMw5F73X9zK7FADRYt_9u4DSF_qXwm1va6CxNZKAr7wDe_KNHkhu20b8fLJkShYxGSiEuUNoTTsSyIK2vQhrk=&xkcb=SoCb6_M3-yFYQdSsD50CbzkdCdPP&camk=CPChkbYSGj_y-rM7N--hmQ==&p=9&fvj=1&vjs=3
