ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Inventory Control Specialist,Specialist - Inventory,Printful,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=c65ac3bee05eb19b&bb=Zmn8mCuT8EZuKtuYlVMNvx-ylQgHYtELLwJsB1RC8DMLKj9CGTdZX_5Q8ybuibAcxZd33vXoC39wHih6CvtWYhvvC2J8RL_BD2-yqKJYlyZtFytk-WH8mDTvxaqwAhlV&xkcb=SoB167M3-yfnnnRSSZ0LbzkdCdPP&fccid=d2bbffce93bb8645&vjs=3
24/07/2024,Inventory Control Specialist,Lighting Specialist,Guillevin International,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=f637a561236802ea&bb=Zmn8mCuT8EZuKtuYlVMNv_kDUIU0cRda8Uc8_TNorfxbetBTrKv-Lry_X3KwmUbocYdNIm0Fc8BymDlsdGZzVS14bT9aDSGpiQ3KCChzixsBbzZVQOtMkAWBKyaRLHsk&xkcb=SoDB67M3-yfnnnRSSZ0KbzkdCdPP&fccid=0fbd0c1d05ee9a02&vjs=3
24/07/2024,Inventory Control Specialist,Inventory Control Specialist,Ceva Logistics,"Georgetown, ON",,,https://ca.indeed.com/rc/clk?jk=186e45edf17da569&bb=Zmn8mCuT8EZuKtuYlVMNv4dqLcs4r9RuMGXYpBJp6xbW9cMzy-SZC-bYljOJ7hP_wF0L_ODshbSca3vXa6JgwsRTzNBvmtmxOhykLq9UH68Dlgun_Q04Hg%3D%3D&xkcb=SoBc67M3-yfnnnRSSZ0JbzkdCdPP&fccid=9c837fd8e4030f81&vjs=3
24/07/2024,Inventory Control Specialist,Inventory Control Specialist,Orbia,"St. Albert, AB",,,https://ca.indeed.com/rc/clk?jk=23133bcf0a588aeb&bb=Zmn8mCuT8EZuKtuYlVMNv8P4yfh5jnKlEQFHYmZO01U7RKjlM5wkYwuPeuE2jumsrAKAFJvnQ7xjO--P_jOzKSXqsNUPywtNSvwxelMzZDhRsjmanPlAGz939JyWnt5w&xkcb=SoDo67M3-yfnnnRSSZ0IbzkdCdPP&fccid=591b5a3dda75eece&vjs=3
24/07/2024,Inventory Control Specialist,SAP Inventory Specialist,Mondelēz International,"Scarborough, ON",,,https://ca.indeed.com/rc/clk?jk=7903cbba1d6ff872&bb=Zmn8mCuT8EZuKtuYlVMNv8F505BqJmsp3EELzbvbn9bZaQfbLeC-fe_6BRkmUhWcssd94C4ecltd0eZhxfGbEyeutU3MlG0w_eiIi3QAB22-Aw0qIQxTn9ToUEQqTnpV&xkcb=SoBm67M3-yfnnnRSSZ0PbzkdCdPP&fccid=0ba2244fbaa16b6c&vjs=3
24/07/2024,Inventory Control Specialist,Domestic and Transborder Specialist,DHL,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=5874fbd13db0e5ae&bb=Zmn8mCuT8EZuKtuYlVMNv2IrPMVhaOI3tDsl-OBZeGD2hp0txL73e3qixgzGN2LDLC8RVUXdglQD7OfiQPIlbMS5-DczCeRa53OXiiD9LCeLWTqo1SRo9w%3D%3D&xkcb=SoDS67M3-yfnnnRSSZ0ObzkdCdPP&fccid=5b8d10630cb111eb&vjs=3
24/07/2024,Inventory Control Specialist,Inventory Supervisor,Sunshine Village Corporation,"Banff, AB",,,https://ca.indeed.com/rc/clk?jk=481c363c94d52e8e&bb=Zmn8mCuT8EZuKtuYlVMNv_bmfUBRwCemlObCZUUbHNadH6ZQkXiW92YecQ5SSAr1Ykw0-0cBEeHx33FIZTcnxWY268vdRuNl3YzJl1g6FBxBcGmCBJ-xleDSqKIbJwkr&xkcb=SoBP67M3-yfnnnRSSZ0NbzkdCdPP&fccid=33a2cab01b5a6480&vjs=3
24/07/2024,Inventory Control Specialist,Supply Chain Specialist,Ocean Sonics,"Truro Heights, NS",,,https://ca.indeed.com/rc/clk?jk=77235ef7c7fe175e&bb=Zmn8mCuT8EZuKtuYlVMNv4s_3gpUNjwJ8bKsCCABP6dbgJyzltHRWuif092--kl3hWSemIUSXr3qMWV0xwO8gOQmFg3cWju4_GoWCNn-8CrjY9D62ybPf5bcfQZpJfWf&xkcb=SoD767M3-yfnnnRSSZ0MbzkdCdPP&fccid=533d8cfb5c70e18a&cmp=Ocean-Sonics-Ltd&ti=Supply+Chain+Specialist&vjs=3
24/07/2024,Inventory Control Specialist,Parts and Inventory Specialist,Cargill,"Camrose, AB",,,https://ca.indeed.com/rc/clk?jk=47189bab1adfaf12&bb=Zmn8mCuT8EZuKtuYlVMNv1IUC8e76IxyZ6DQ_S0I49JAP_BmnJfQv8pmJNsu4bMgrTgADWUjaFarm0VUNlUmelW9ECgQvXyo1fLxWUqX5rjW3GUdCHTU-Q%3D%3D&xkcb=SoAS67M3-yfnnnRSSZ0DbzkdCdPP&fccid=d7d9a8241ba2f3ec&vjs=3
24/07/2024,Inventory Control Specialist,Animal Care Specialist - ACA2 - 105,BCSPCA,"West Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=8fd60fce973c9014&bb=Zmn8mCuT8EZuKtuYlVMNvx-ylQgHYtELb-Fs_VIB6KflIwnAZpPrKR4V7jKFTG8CFLGubVsZnozStTZu__r2MB0s8TFXtZ84kslaeAgItFKNb13NgTZxzjgZtiO0MBDr&xkcb=SoCm67M3-yfnnnRSSZ0CbzkdCdPP&fccid=8bc79ee5fda6153c&vjs=3
