ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,IT Project Manager,Senior IT Project Manager,Vtech Solution Inc,,Just posted,$90–$100 an hour,https://ca.indeed.com/rc/clk?jk=4f5096d4ee0015fe&bb=I-3HVopjP2QiyK5P3bmzQ8Kf52RYM2BczX606HA9fpaqUAZDWZLSGZF6EJvbrruuKqpaoPqN9Mv4AzkxtV68zfO79e8zWO5OfUPxpQB_jc95nRq3NhkCxWngZgMndGoJ&xkcb=SoDS67M3-x0usFSQNB0JbzkdCdPP&fccid=82d9e87d3691e549&cmp=Vtech-Solution-Inc&ti=IT+Project+Manager&vjs=3
24/07/2024,IT Project Manager,Senior IT Project Manager,CMHC,"Hybrid work in Ottawa, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=ac686f9cd6b469e5&bb=I-3HVopjP2QiyK5P3bmzQ2AMM9oQD1mkIPBBLmSmEqAnVJX2xOvrRQP8rEn6h8UrgmmgfwTLExfQZdlb7lWQNggASHwDJm3dsFDShkM5EQBxJXVfOcfpVPuCZ-ekC3l8&xkcb=SoBm67M3-x0usFSQNB0IbzkdCdPP&fccid=3d8817f3bd507153&vjs=3
24/07/2024,IT Project Manager,IT Project Manager GOA 0365,CCI,"Hybrid work in Edmonton, AB",Just posted,$80 an hour,https://ca.indeed.com/rc/clk?jk=3aa52c4296102e1e&bb=I-3HVopjP2QiyK5P3bmzQ8neDE957ECnEBcdtaDgC19VgabCasJxOSmgj7KggbkmrXYjWjLfphoIkf_X1Rqs_GeTeSi_IwPaXbicGYRobnG7jOS0iG1LVnPGR3dp-2ln&xkcb=SoDo67M3-x0usFSQNB0PbzkdCdPP&fccid=fe035e6c0f2d190a&cmp=CCI&ti=IT+Project+Manager&vjs=3
24/07/2024,IT Project Manager,IT Project Manager,Bulk Barn,"Aurora, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=a0eb3f37cfc340cc&bb=I-3HVopjP2QiyK5P3bmzQ5Wv_DA0Cqv-GKLViNXubgejoYn4Nmt1YJoVTHGedPI7T3X5RKI5bRB4AmVrwMTst_kkramGAZXY7HJqbqLIpZulxOuEVNydtrPC0tFERpOD&xkcb=SoBc67M3-x0usFSQNB0ObzkdCdPP&fccid=70110a1621ea5398&vjs=3
24/07/2024,IT Project Manager,"Project Manager , IT",Via Rail Canada,"Hybrid work in Montréal, QC",Posted 12 days ago,,https://ca.indeed.com/rc/clk?jk=ef69bfec6584873a&bb=I-3HVopjP2QiyK5P3bmzQ89df7S6Wj2WwoA5AMklWAR-STyEh1w6mvTQY1jY_D_ONCHT6WoENv3-qNpQ0KQynDe_cnnoezfT4uP3UNya7ByTawULIMJqfPp_efLyuqmx&xkcb=SoDB67M3-x0usFSQNB0NbzkdCdPP&fccid=1ad6a43eb69e733a&vjs=3
24/07/2024,IT Project Manager,IT Project Manager,AutoTrader.ca,"Hybrid work in Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=28a96f044e7a633c&bb=I-3HVopjP2QiyK5P3bmzQ7OaLYe_r4JCLwBbrCV7WYa0-XCSShF7T6qqsdmElX12JBawOJIL5b7xaqEzi_lZKEwp6-uz175MlMSqCzJ3DWBc8_sr5QUVGovIeflceeK6ttlQzJQe3e0%3D&xkcb=SoB167M3-x0usFSQNB0MbzkdCdPP&fccid=b3568b43a02940b1&vjs=3
24/07/2024,IT Project Manager,"Project Manager, IT/IS",Avenue Living Asset Management,"Calgary, AB",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=b2d06ba639d6c2c0&bb=I-3HVopjP2QiyK5P3bmzQ9amCSbXW0M9iewnrce3TO5hSYHzOBZO_bA-mrz5LU67nixJ8CG-5shsuG3a6XAu-dY4pR6madb44eljvFQLpcF9wFDRVYxYCkbrRACwbCWzYZwnYER3aDA%3D&xkcb=SoCc67M3-x0usFSQNB0DbzkdCdPP&fccid=8ea14f5b77f077a0&vjs=3
24/07/2024,IT Project Manager,IT Project Manager,PHSA,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=cdacbffe62893ccf&bb=I-3HVopjP2QiyK5P3bmzQ5Wv_DA0Cqv-_ZhmlTV3FpWI6svTKaFTeh4CrN3IgdUq8fH5UsNbN92MAZE-L0sNcraQ6__GmrZAJTW-veRXDIcOGjn2ztWpkA%3D%3D&xkcb=SoAo67M3-x0usFSQNB0CbzkdCdPP&fccid=f66f721a44de3765&vjs=3
24/07/2024,IT Project Manager,Senior IT Project Manager,ThoughtStorm Inc,"Hybrid work in Edmonton, AB",Just posted,$80–$100 an hour,https://ca.indeed.com/rc/clk?jk=f2ed23d6724536f2&bb=I-3HVopjP2QiyK5P3bmzQ-amWY8t8WsGHfqrIgYFQXF1zcUFZCCCpSIXEWuozBjiHA51HI_5LVdtnpkc1JHYj67ilXcaeG5e40-oOIqfWTZbjdV4WF9hCtdaHfmG-0QG&xkcb=SoC167M3-x0usFSQNB0BbzkdCdPP&fccid=4415c6aa6a505d6c&cmp=ThoughtStorm-Inc&ti=IT+Project+Manager&vjs=3
24/07/2024,IT Project Manager,IT Project Manager,Redlen Technologies Inc.,"Hybrid work in Saanichton, BC",Posted 15 days ago,,https://ca.indeed.com/rc/clk?jk=635994d679ed9841&bb=I-3HVopjP2QiyK5P3bmzQ014WdbULMeJCC-iowUvVn5ZjbLKB9XN8JWqflMHfzL5XhmFHs04LR74FzLQOq0D4896ShD9Wy5fYiSKz8hSssdVGjEcBAj8qlybXRvX8cYo&xkcb=SoAB67M3-x0usFSQNB0AbzkdCdPP&fccid=0bc2db0193877842&vjs=3
24/07/2024,IT Project Manager,Senior Project KM Manager - IT,Na Oiwi Kane,"National Capital Region, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=86132f78ad9e48d0&bb=I-3HVopjP2QiyK5P3bmzQ7Rl0kT5ZGS-_dZxatqg0_qNlMAeAIG-KDdBGrQGYRvkVk339VfUB2mmf9gf0C7dovCzg5xLJF1m8wCjLISzXCpQP7fD-G4Eb0_qSJHZU9GV&xkcb=SoCP67M3-x0usFSQNB0HbzkdCdPP&fccid=d3c6e90e8fb076a1&vjs=3
24/07/2024,IT Project Manager,IT Project Manager,Heartland Farm Mutual Inc.,"Hybrid work in Waterloo, ON",Posted 11 days ago,,https://ca.indeed.com/rc/clk?jk=c8b0eea6b16ab1d0&bb=I-3HVopjP2QiyK5P3bmzQzG-D1b34pZye3nIiKmGpLhGnJplPed1B-XmYZaL4BK3kiqTAV5_oqXz-VNiaP4pLglPxZQnDtAZtaea0woBV5wckq4sOOymWCA8FLM28ywR&xkcb=SoA767M3-x0usFSQNB0GbzkdCdPP&fccid=a45ec34697774b3f&vjs=3
24/07/2024,IT Project Manager,Senior Delivery Manager/ IT Project Manager,247Labs,"Toronto, ON",Just posted,$40–$45 an hour,https://ca.indeed.com/rc/clk?jk=cf0fdd22893e050e&bb=I-3HVopjP2QiyK5P3bmzQ_v1wO2WxZVDqVL2etPixfItg7I4NaT4W007Ulhb2EYroklcqs-Wgeji2xa-BX0kuNnHSysMXy8X50Defo63rHW-8QdTTnisATXuqIgh2Jtc&xkcb=SoCm67M3-x0usFSQNB0FbzkdCdPP&fccid=a9b8ab2c62a35ee8&cmp=247-Labs&ti=Delivery+Manager&vjs=3
24/07/2024,IT Project Manager,IT Project Manager,Charter Telecom,"Regina, SK",Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=c39f15a933415f9d&bb=I-3HVopjP2QiyK5P3bmzQ_sio7mT4RW6dPaMbOuo5I6SWYXODPfqKfCZ_ZumzlAlLNc1wrET2bTsoDO4PlkNKJ0Hm6nRF6JcmCKZ5v-otFp54Im3OwQNJMeCQkpdhiE-&xkcb=SoAS67M3-x0usFSQNB0EbzkdCdPP&fccid=60b38ba4ba6b69ab&vjs=3
24/07/2024,IT Project Manager,IT Project Manager,DNSnetworks Corp,"Ottawa, ON",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=79851619ece62c9c&bb=I-3HVopjP2QiyK5P3bmzQ4gRnaOlQttAXxdkBIdNqrpbrQa_k8dhro7HcJzvWJ1D0rTkA1ICZyx5qYAGU7EyJsn_neaJ3aA-AbriP_r5W-Oe-VaulCa0siy_BZLq9QcP&xkcb=SoA167M3-x0usFSQNB0bbzkdCdPP&fccid=3a90525b07bff3f9&vjs=3
