ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Lawyer,Junior Corporate Lawyer - Toronto,EY,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=424263c0cf833bc0&bb=45T_Bj5FBBvmxAswSzDmKWG2PSRUU15Znf1Tk9DtofRHZQk8T1zxEjkOTYArd9p-KE9Ie5kfWR2lTHnZmRJQxjAktEbu7s26nxUL1s2BPFTkRVZdzOLRnZKIqnC8hQ9X&xkcb=SoDm67M3-ybgZhQ8GR0LbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
24/07/2024,Lawyer,Transaction Services Lawyer (Bilingual),"Osler, Hoskin & Harcourt LLP","Remote in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=f47d52cd10dc85ad&bb=45T_Bj5FBBvmxAswSzDmKWZM8eFDPVdwTMIarh_8tq0nCFifigJLliZoeak-KTUo-H5Px20hSLUbPy-xl7g0fhLmEVgwQOdHOcJBxqwXnNAOqpFDKtGwmD4Akp5Aur8A&xkcb=SoBS67M3-ybgZhQ8GR0KbzkdCdPP&fccid=2b5cf5ad72a24df4&vjs=3
24/07/2024,Lawyer,"Associate, KPMG Law",KPMG,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=be4fb137a98f6d24&bb=45T_Bj5FBBvmxAswSzDmKZKLm7Y_3RpSL_9VsffmezbApfP8A90lptMAB1deZHSzYxfRcqaqq8yFjqCIJDofukW8gyd8ezjavGrpRLMbme2Q-aXbWJswcw%3D%3D&xkcb=SoDP67M3-ybgZhQ8GR0JbzkdCdPP&fccid=2dd390c3a48a7ed0&vjs=3
24/07/2024,Lawyer,Axiom Lawyer - Ontario,Axiom Talent Platform,,,,https://ca.indeed.com/rc/clk?jk=80a95a2a02aefb72&bb=45T_Bj5FBBvmxAswSzDmKdzO-3OlqMy4Hau4JN_sQklDe2x3vNWX8Ie12MhxnnBLo0Es40Ue0F4G2GfFVmxeFWL9rmN0eF96PIBZA1V4ZDW4B8abjM17jAetdYjXrWAa&xkcb=SoB767M3-ybgZhQ8GR0IbzkdCdPP&fccid=c7f2080e53cea26a&vjs=3
24/07/2024,Lawyer,Junior Corporate Counsel,Livingston International,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=2401f8e73666d8b3&bb=45T_Bj5FBBvmxAswSzDmKeKgvf4AcfpRAjP4CGBpOla4y-hhJRlVMrHDpX7YdmLEuuPwdikJu8h3sMyXGuqHJPh_jAn7j7Xsuhh5I5vOh7dIR_gHDqDDYUoMZUm61aRY&xkcb=SoD167M3-ybgZhQ8GR0PbzkdCdPP&fccid=5a667636bd591ce3&vjs=3
24/07/2024,Lawyer,Legal Counsel,Bayshore HealthCare,"Hybrid work in Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=55592a86a409faa5&bb=45T_Bj5FBBvmxAswSzDmKUOxTaFdcTXPfMtaqqHnebxgIEZ6K57N4Is8-LuHDrQOpSS7irQdqzSv4_V2MgRcG4MTEdnnw-5p7sYVrpbd8k7wdK00qLzfD7Cn4M2wEyx6&xkcb=SoBB67M3-ybgZhQ8GR0ObzkdCdPP&fccid=35be63b10340b18e&vjs=3
24/07/2024,Lawyer,Litigation Lawyer,Kidston Helm Ross Lawyers,"Remote in Vernon, BC",,,https://ca.indeed.com/rc/clk?jk=52dc8473426b637e&bb=45T_Bj5FBBvmxAswSzDmKRgYLWY4qRMqctZRnhbP-7ZP8R7C3RYN1OJVdxobmSJaWa-ZDV_SW2FI3Xr4XhBnV15y2769nKQU78MQvAI9Q_fLr9ZpSt5GeJBdWOJQLm2B&xkcb=SoDc67M3-ybgZhQ8GR0NbzkdCdPP&fccid=6c6531a0dfee694a&vjs=3
24/07/2024,Lawyer,lawyer,Gupta Law Firm Professional Corporation,"Brampton, ON",,,https://ca.indeed.com/rc/clk?jk=8bdf3acb892c040a&bb=45T_Bj5FBBvmxAswSzDmKWjiP6GhL__KNtS6tQ_mV69j-UzoX34IEZULjdSJoFC74ZkAyjlts4cGdUWgH8sYZMIRJklvz9JY6eMTgkc-7bcJmq9CX3GMGw%3D%3D&xkcb=SoBo67M3-ybgZhQ8GR0MbzkdCdPP&fccid=2f712b66f18f7a9f&vjs=3
24/07/2024,Lawyer,Crown Prosecutor,Government of Saskatchewan,"Regina, SK",,,https://ca.indeed.com/rc/clk?jk=1e386e2d95c88c0d&bb=45T_Bj5FBBvmxAswSzDmKWjiP6GhL__KPRnY9uc4Js5BSk6n-lqaRG19CQOj_jvyY8EOnFLOAgeXaStSBL8o-CDb_U8_hGbxzsDHtigaHgEC4p5QsM3Iig%3D%3D&xkcb=SoCB67M3-ybgZhQ8GR0DbzkdCdPP&fccid=46b05e24085a766c&vjs=3
24/07/2024,Lawyer,Litigation Lawyer,BDO,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=3f9346ce54d1cc0e&bb=45T_Bj5FBBvmxAswSzDmKVPoWYJyN5Uvx7EFZE-4KLjZ61gWN6famgPD61dDER3vl1PiympJwkR3rVxyKkLrIh-kDF3ruS4RC0qZMtiQXEl5owFQw7mBgQgZSdXZRM6C&xkcb=SoA167M3-ybgZhQ8GR0CbzkdCdPP&fccid=3639654bd4055c70&vjs=3
