ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Legal Analyst,Strategic Initiatives Analyst,Government of Saskatchewan,"North Battleford, SK",Posted 7 days ago,$34.03–$42.64 an hour,https://ca.indeed.com/rc/clk?jk=f6b204c4766d43dc&bb=mag3L1AQoeIp2f9pO5dk23ComzaBf_DM4x2PUYh0Fna3gR9hbzOPSEVY9ml1AZ9NbOAPJdffW0cd-Iw61BURyndqcDPLAqs2Q6wqP6QculrVMdDABMnkAQ%3D%3D&xkcb=SoBz67M3-ydq9xRSi50LbzkdCdPP&fccid=46b05e24085a766c&vjs=3
24/07/2024,Legal Analyst,User Research Analyst,LawDepot,"Hybrid work in Edmonton, AB",Active 19 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ati9CBX3dNGgGDTojOBSBuI6o1eqK_gXLxJKJdjVJNNAiAmI2L1D9By0ZOaKsBkTNgFtTrGhUB2KSJ_luSQIeksT5CtpYSqr9UDuJh-ym2nPKivxzeBz1NpVw4L7enjkEiAcKNzYJRtD8arLGQmV6gdG4FGQ8DjK0DyXhKJZjBjSGkEULHwgZ6H_4nXJ-cr-FN5x-6R3VhCSbucqaIQY_rRSmiw8VVB9xUXGffHN3sto7k4CqVo34t3pJM6HBtGPAwFeH0A2mwfMIF5ATvgr8rPYToGRC8ZFM_FT5Euqdy3jQmOU84HMHA1ULouwRxknpFruG2ZS83D8nFI6oW0f7VHEzJXNNpbDSiWOXQ8vCpN3y7NzSQM2ET_Jj0afhrGzzKb8iayaisRuv_zl6LwG5SbDqzWLUTqk_oXMSJLP5IioQ4ivVgYkR9QlZt_cx0AraDgeADTvkIxq1YS-COViM-a3LiC4XFxjdgvRu5Dyhlt-VBJAGvqhxKzy9l9M9aM3PDn_8kS-eTWp4Xig_OWHLMfAC99QrEd60LMoXrotdBnAo6OmI_vo4Wa1VH8uY_YYz57upzywHiC4Kjwu03nB9NzmnjD9mO9SCS02UZJWoLawVz-vO0hMfDbSCIEkv7VMyhR0eRftYX3A==&xkcb=SoAz6_M3-ydq9xRSi50KbzkdCdPP&camk=nUmJqO2E8rgaVWvoIMKaRg==&p=1&fvj=1&vjs=3
24/07/2024,Legal Analyst,Bankruptcy Analyst,"Innovation, Science and Economic Development...","Ottawa, ON",Posted 7 days ago,"$61,472–$80,867 a year",https://ca.indeed.com/rc/clk?jk=8ae134d6a92589a9&bb=mag3L1AQoeIp2f9pO5dk2y2tsaWczXV4vYTgJr7WU1euEXVB7mYIY1Vh3v863znNr-S12JJfl3iTLkmHolHavbueOkq5AVWGFDvuVy4pNwvNWmCr3Imj3s5en-mcy7ts&xkcb=SoBa67M3-ydq9xRSi50JbzkdCdPP&fccid=0d35a9b04120f436&vjs=3
24/07/2024,Legal Analyst,E-billing Analyst,McCarthy Tétrault LLP,"Hybrid work in Toronto, ON",Posted 11 days ago,,https://ca.indeed.com/rc/clk?jk=2a18401af24dc09e&bb=mag3L1AQoeIp2f9pO5dk2z18ZMapClec8dOQKRBUsrJjHM2E7Lv0azuTXLtoB5Vgym5ofgQ-xAHByUqoUZNJHXueWVZma1dBnBbEa51TBZBoIDuNWTfhPE3KSqMEiq1V&xkcb=SoDu67M3-ydq9xRSi50IbzkdCdPP&fccid=d0d487f928f6241c&vjs=3
24/07/2024,Legal Analyst,Compliance Analyst,Canada Guaranty,"Toronto, ON",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=a513d8784fbf2fd1&bb=mag3L1AQoeIp2f9pO5dk25-T7xn1fFrjosJIO09Pa8nV9yF0cEMy5Z7OCWk-aKNW1JTLiWeACbSCDo7N47JaBr6WcysWh9Z0_svCnW0BdQRzIqgi67pFLTOuUNu5Zhvx&xkcb=SoBg67M3-ydq9xRSi50PbzkdCdPP&fccid=27b9c2a55ec02158&vjs=3
24/07/2024,Legal Analyst,"Analyst, Forensics & Litigation Support -Anti Money Laundering (AML)",MNP LLP,"Vancouver, BC",Posted 26 days ago,,https://ca.indeed.com/rc/clk?jk=5156cea34dfbddeb&bb=mag3L1AQoeIp2f9pO5dk25xXimgGv9DLixGntUf1GwrsemnnxTtw7ReztjIuTeqakOkq_aXpgImso5eJJWPoRoDZP885EiXUYRBFjT-KdQUa3U1DyM9xyjBhJElGcLi5&xkcb=SoDU67M3-ydq9xRSi50ObzkdCdPP&fccid=b8ee7f714bcca05b&vjs=3
24/07/2024,Legal Analyst,Business Analyst,Gowling WLG,"Ottawa, ON",Posted 8 days ago,,https://ca.indeed.com/rc/clk?jk=616a909788dd4e49&bb=mag3L1AQoeIp2f9pO5dk27EKko-3Ad9coFRi6lbhkBE79NyJaTE-qlh49eG_snEL-Yo-3ZBOCedHzoIyfxv5sKFSwt1e-sWazQjugI1avndIdZnOGqc0LuxaaSZYuDIW&xkcb=SoBJ67M3-ydq9xRSi50NbzkdCdPP&fccid=efc2213aea431503&vjs=3
24/07/2024,Legal Analyst,Compliance Analyst,Mount Pleasant Group,"Hybrid work in Toronto, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=1752e823f1ed7fea&bb=mag3L1AQoeIp2f9pO5dk259Tkn06BQHHq2pO-SC4-xtE1aKtSGtzq-hEMbRmyWItM8a5YMc5wUg_vreq9SiAdXhO03BQLGGbK-FQoe6mmzc5Oe5cayUuRW9l7dD7P2b8&xkcb=SoD967M3-ydq9xRSi50MbzkdCdPP&fccid=94bb91a5c5a1719b&vjs=3
24/07/2024,Legal Analyst,Billing Analyst,McCarthy Tétrault LLP,"Hybrid work in Toronto, ON",Posted 11 days ago,,https://ca.indeed.com/rc/clk?jk=55149fcd25ffb2e4&bb=mag3L1AQoeIp2f9pO5dk27jBcRaoKOkJPzzhZFBhBScmlE7YR6hwzKcAxwIc35WpAy1vEoD34PiFiMUaHLRWrOuv7tt5eVFARJCFeUUSIk-UhUnWkf4TKWdj8q3kbw1f&xkcb=SoAU67M3-ydq9xRSi50DbzkdCdPP&fccid=d0d487f928f6241c&vjs=3
24/07/2024,Legal Analyst,V.I.E. Compliance Analyst- H/F/X,Société Générale,"Montréal, QC",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=139b47ffef1ed1b3&bb=mag3L1AQoeIp2f9pO5dk259Tkn06BQHHQQVTk0pH5DzeLFq1c4RXYMcqilEAfMD0c5m4tL5_6ATKkNR6vol57XhMc4e_-Ju_QQk2EnwANqIilQtX3Ae6EQ%3D%3D&xkcb=SoCg67M3-ydq9xRSi50CbzkdCdPP&fccid=df6948c9b8da6236&vjs=3
