ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Legal Assistant,Legal Assistant (Bodily Injury),Definity Financial Corporation,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=21b656757c86c412&bb=1fpgelvoSbR6IpjJMcYn8uYk_mSJI51SqXUUVKNA0az8QOr7ieMs60LUJDQgGA6uDORdo1IMhUM7zELWvZmhfwa4rPCuKe99fc7y69Za-5ld0qW1gFzrVqq5qd2SkR4M&xkcb=SoAt67M3-ycdHVgDej0LbzkdCdPP&fccid=236ef8b5fc73dcdc&vjs=3
24/07/2024,Legal Assistant,Legal Assistant / Paralegal,Aviva,"Hybrid work in Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=69ae30fd39a90af8&bb=1fpgelvoSbR6IpjJMcYn8kGDAgmvBST3ypWt7jZzpkDBH_xxfJz3FWMjVh0Mr4VINiycxc9bss_gNo48dj2N3ZebRaUOqi9csTzYaA0MKT6wEKTkOEXSfA%3D%3D&xkcb=SoCZ67M3-ycdHVgDej0KbzkdCdPP&fccid=27e4fac26c899190&vjs=3
24/07/2024,Legal Assistant,Legal Assistant,Government of Alberta,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=16b272b90cb4d63a&bb=1fpgelvoSbR6IpjJMcYn8tkoXv4hEHNqCMVvLpRL6yi0TbVMBHvivAZnBXGysNPetL9HAVTJ3ntsqMNNgjrYMQRqWJlYhoRnHNH8036vSvrGHDFBATj43_gvpKF4UL9G&xkcb=SoAE67M3-ycdHVgDej0JbzkdCdPP&fccid=06eb55e7689c0bc2&vjs=3
24/07/2024,Legal Assistant,Legal Assistant (14-month fixed term),British Columbia Investment Management Corporation...,"Victoria, BC",,,https://ca.indeed.com/rc/clk?jk=aab6b1148532e37f&bb=1fpgelvoSbR6IpjJMcYn8ip1phTxyLurgkTavbTgYCuVCm5Lj9GNfrccJW0MQLMNDO90Q1H2JKyymj4te31QIa5A9B0iuTiGPfwToWBxScXy7EugpA_Yfafk73nTxm3O&xkcb=SoCw67M3-ycdHVgDej0IbzkdCdPP&fccid=b6c48b02cbfe9184&vjs=3
24/07/2024,Legal Assistant,Legal Assistant,Desjardins,"Hybrid work in Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=f96faa6889348e8f&bb=1fpgelvoSbR6IpjJMcYn8qE6NB3gw5b6OzYMyGj76FutrmS7bjjqYUlIw8c0reYDp_zJ0RxXwc7WIx0gjeaa31ncKogTA8GLtX9Q-bdgDId2eTxJQR6o-2K27aLWANr5&xkcb=SoA-67M3-ycdHVgDej0PbzkdCdPP&fccid=d1e5df65baa8857f&vjs=3
24/07/2024,Legal Assistant,Administrative Legal Assistant / Intake Legal Assistant,Legal Aid BC,"Hybrid work in Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=febcbec6671b5a66&bb=1fpgelvoSbR6IpjJMcYn8oCZeJIc8GQcA9QMcJvVV18_1fw9KyMypC3MbDgQPOzNStZDNM9DkxLEMYfGCBoVI0HwEmfFY0nSWg6MwPSX_RVwWlBLdxmGCf_ekxoUgwMagghEMY2IVfw%3D&xkcb=SoCK67M3-ycdHVgDej0ObzkdCdPP&fccid=86fe361209cb4a20&cmp=Legal-Aid-BC&ti=Legal+Assistant&vjs=3
24/07/2024,Legal Assistant,Legal Assistant,Regional Municipality of Wood Buffalo,"Fort McMurray, AB",,,https://ca.indeed.com/rc/clk?jk=60c29bc8d77ff660&bb=1fpgelvoSbR6IpjJMcYn8qDOhTPCaXUakTywp-6V6Un_RYbROB5fyegsqCa58I5C9CUg6Mh5rU_6KLDL1F6G0-X2PIzTtM0F67q8d7OBXVgQD40JUSHUOLIgoVJAC8Lg&xkcb=SoAX67M3-ycdHVgDej0NbzkdCdPP&fccid=1e1576283a82ee8d&vjs=3
24/07/2024,Legal Assistant,Legal Executive Assistant,EY,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=5ad7cc7038ea58cb&bb=1fpgelvoSbR6IpjJMcYn8nZQhRw9dIL_me3GmtCCQT8ch833DwPDlJD4_LIDiuklQSGdoJzqHhrPxa5gNhpEKfN1a09s1yPU0y0Po8R0liLXxfrsp8blawPIfgWaFTg_&xkcb=SoCj67M3-ycdHVgDej0MbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
24/07/2024,Legal Assistant,"Legal Assistant, Business Law",Miller Thomson LLP,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=b283dde9bfc7bcd3&bb=1fpgelvoSbR6IpjJMcYn8pHm31jpR3k4LfPP5bQCfx2MLWMihMt1H3jnCVQ43vKJD-6JrPc4TZ2TbOd-T5UBUhVd3mMo5x1niceeTlJzkW9o8vN9AfBfXXpd0slWWIzG&xkcb=SoBK67M3-ycdHVgDej0DbzkdCdPP&fccid=9d669399a0b61e9d&vjs=3
24/07/2024,Legal Assistant,Legal Assistant,KPMG,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=7af6c32cd6671162&bb=1fpgelvoSbR6IpjJMcYn8gNBcQbht70FcvOHtxDMXbodj3_WH1oRSs_IxE9udGKiObsGM3aoc6eTfOcnbV-GSsLqSxNhS_RIUS3gEOlzez-Apwq_U8Om2A%3D%3D&xkcb=SoD-67M3-ycdHVgDej0CbzkdCdPP&fccid=2dd390c3a48a7ed0&vjs=3
