ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Legal Clerk,Law Clerk/Legal Assistant,RM Sotheby's,"Blenheim, ON",Active 6 days ago,"$38,000–$55,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ar9KOWCKTOGQ-IrVxTIJzvAzT0wc16wW81HdeuYAa-yzOeHc745HTaFGr-PGwEEhgkVTlFmUEfpFnPcajk2albtjWh6J8d4BePbY0AcRZoQUXJcKR2ioIo6b341RVNhKiClUuGK_kmYgvsJXAPJRwv6PG6bPERMCWzi_tTvR8L1hnsLEE6RZAKF9gSRhhJYn7u-qbgFdO4HQjcFO6HD9nkyQs0echWlUphx7YLQTEaVqsMRm1HatRFkinvmF0XkR0msfye_x1Dm5DENBjof24PIiHTEeIT-nk24nrKtpZNkj7h11PHRdwzKqXYp9uoMf5EEWpF-HyOCiCVBK1WmCUEMNqJVti4Vt1tZOjs_srj2kX11rz_vAKjM6xQaQ9nHgJZZ3HDnPqsWiuryg547nHrNTmYDW7F9QnWvjddON83JH8_8rrIsRWTXq2ga2JxYwkrSDkFnb8DpFJ1uCkKwuna08qrMqclhEpUPCDJBXKogNIQs25HWPqHA5RaDKSHBbntsUkgU1-2QvGVo9NoLhPlJn1ejOEuhLJNEW6wjsvizqLirsHflCOYjX-zHxCmavtkEX8hFSTauXwShVNAdOwZ7iLX8GNOidx4oDkBA-prdS9GWmHRT_HrFRPYB-I0m30=&xkcb=SoAR6_M3-ydua7RXdB0LbzkdCdPP&camk=H-lBaXMUocItZWPehbw8_g==&p=0&fvj=1&vjs=3
24/07/2024,Legal Clerk,Legal Assistant/Law Clerk,Cambridge LLP,"Toronto, ON",Active 9 days ago,"$50,000–$75,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BrVc_VHYGsZuI__9f3k5JjT_dBGBvG0RqV_X70xj2bVz_qyzO4X2VtIQmGdipL_OldpdsrvTvVZ8THNzIXGdMppDyLC-LUjnt9HPCg-sWD9ISA2-8RV0cnrUlDGRZJ-l3tpMRCfnFJyfG8RKsAV_dwHgIEKp_KkfOwc8fdc4U5_TBKTUVMHP5CihJGyvgebyAKlQnlj1dUxw9YZOEM4xRcpSEh4wFYn4KWFH_kg1qPb37tUTak3Ou0mrt2E0XkzdkeVXgUxeeEGCtn27CsbpAt11I13Vub8uGkcl5_DElYNUYgy0m8tX2WdCekLSnIVByNRkAJfmVY0BTzjRXEibaLFQHyVpy3a2O4D6cckrwttiCBT92IESRPOTx7i3sIn3TDdGiIB3qQ8Xt7wE1YwHraJ_G81uHI0rYIeNW7knTDUBkNdgyROdw6zjmQtcsBJ9rCRpv5UC4HT_xTJ8VZbAjk8BbFncAKuwflkKDNjYvqMgG5ikxkWjVf0cOmdoIBAHxZAV9v5ZPgThIVkIQTVaUGBbX9L01J4eDls8yF09Bqc6SCZ1doaN__AUR2TmJpetSHOmFjbtSrwjXJMjJ3mJLcMBzw3pEL1voDjifpG96n0yf9LISdeVQpDm6wlUd8Rl2uJQJSHFGTv8CMeJp_WeeyROIPMVFW6CQ=&xkcb=SoCl6_M3-ydua7RXdB0KbzkdCdPP&camk=nUmJqO2E8rhITZsqx8euZQ==&p=1&fvj=1&vjs=3
24/07/2024,Legal Clerk,Legal Assistant,French & Associates,"St. John's, NL",Active 2 days ago,"From $45,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BpQ2KJmzs_5vZNDsnTtAd0HdO_89jnXOxscOy6I3hzeC1NR5xTLxItQsTVg36gxevgNOdOnelOyoJS_6qCvIIQPNTu72_mJ58c1viP9Q9A5WRFNex_o40HPjXDzpwVbxmZp2aAT-Dn7ffxBw7FR22G21gKLnamkh6PaVA-tI0UqRCYnsXdxkmm1XO7QD4NtWM3UHdfJ9TyjML5-tBsUHmDNdRopNnc470dn9ElAD-6rqd7PS8PzMJd78fUVG47Qiac0VJqjc8kRjkdWMiFezSCrbd1t4e0qKSv8yxxvCx8WizthYyVM94XUl-UMhhMu5OgTkeXpQ1FiQ1wxqTKbtLDRUQfeXWnNSV6-qfu-r3152H8-tDIiLwBNawyJ6PDl2YOQ-6v_BJwx2ruCE9mk1PxHm9ulA9OCFEbDwq07zEKLikhQq9kFRGMkKWBSTvNjamYi9Txib4v9DRYFs07gjg-sEuwHQtFuCLXM-8ux7gt9VX-s8dE1oJQcdVPcn42HnLMc8MNtahcLsy_OMmwbcJFKmxCBoWmQ1JSVJ0RfeKjzwBlW8L1FejX5QfLYt8xTSi7Nbzb7yz7ezjzp1_hjr33a0DiQ3AjWpraz5I4liX75G1le51xRa8uAcf_GTeEtGY=&xkcb=SoA46_M3-ydua7RXdB0JbzkdCdPP&camk=nUmJqO2E8rhaWbwKDuBB2A==&p=2&fvj=1&vjs=3
24/07/2024,Legal Clerk,Family Law Legal Assistant/Law Clerk,HGR GRAHAM PARTNERS,"Barrie, ON",Active 7 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DpncheAoiIcCmtsV0QtmL9AotLq1y4-rN09qOtwAGKy-joqiwQw2rKXR51VPB75NiYHgBENCRI-PPWHQUPCEVsOJtKexZ7HZXCP6npRf0Itzz9MCYYb3D4z_4cS0crKKv6E1bzBGYHCYAiNVhiW9DNBezmy2KPlk3_pZWNAfcCc9C4SqBdHZpo34wcRcoL3yXf-q80eWZoJx0Y5JZI6MY5YI_GB-wN75wUSwW6rndfixwhIojiWbbtoo-HvvLxLia35AZFX7O5iiOo_djj7Ucmr17zN2kD_mFvIK6ENkJdVu6VuPdWrhonxmVzW0laxY8IEnOC85NuWs-GJ2QaFg4Oi10gYFtz8CIckcIa9w9netL5NV5FSt2A6AKp6Nt7EnUvPvViN61qdgWITdMcxrwCGMPEOa4--Vclmv3vDKq37UGafWBhsO50l-Bp_kp1IlTFzyI9RUgXovDL0NSIhKX-ATdwvgEcuaqQ0KeOQpiVc7UPjrjMkKfrNmh4lYipNZgnt0EijR9WHOaw5bfwNDVTEiwe9qH1GKjF0NwbdrbU_B8VEjcDvwBjWkAUl_lz1Otv83FfEJR4QegR-_IkFEfXcBZrFUku__Hu9W1x3GlImC6NPXmklpkBye7E39-62QLMsUQuUXCel3mwo9mpchW7q-1aonc8oqc=&xkcb=SoCM6_M3-ydua7RXdB0IbzkdCdPP&camk=nUmJqO2E8riZstRjjZNWrw==&p=3&fvj=1&vjs=3
24/07/2024,Legal Clerk,Corporate Law Assistant or Paralegal,Crease Harman LLP,"Victoria, BC",Posted 30+ days ago,"$50,000–$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CP0Yg9uvXLuPhuR2VbZe1A3KojRp-z-twBnAeFeUG9gR-wXrK1BzuCJ7HGSzDoDJnR1rUYjTC6VllQszeXxFZdwWxk0UobVkwrGiyp2T8JsI4xb-MVtHrCwSghww9bI7ihPqC4FiaBJNyf6MgZ5HbXficLUu0PjrxKzW0RvaVDuHM5jrHx69FlyD6ZZvzNQC7Rrg35dl7m6NW9E56gvJaN-S-jYbKPtHt9dHNT8qgSydfyl-kfHBIVgiApHnEsdL6_ZG3kKG0FXlPqY-zsrH18Bk7eqPNhy0lqOcnv1Z9xYxLf2t1JmjBEja2Rrndp4sz9zWGPHfB9NKBZwQqqycwjtuByeYO4BhY9i65d2QLnVbpluiS9-CR0iH8TZ2-g5Bs86nwzzqPEvsCvf-Xui6NRzRh7YTkDWe8p77TrUTBh6dxQCSXSWVBMDVr70TzhfShFbyHllh-lF6W8aEgbXrrf60hZCUbm5QH1B2dw_fp3vdYwq02oLS8Qk5o_VdLaPejp7mclY6Co3WUTiFozDkaB7cHxZnBrfvw2tKuAgwXi7Uf597vCU4H_ZaIdcDa5OOSJAFpozKxoVvcTCluPUJe-HzwX2YuXTf8bKiq5S3AvkTvNqKoeJenb09Rn_aJmpuhOzGhS_Pa2Za3IT20W1aqypLzalzG4ghQ=&xkcb=SoAC6_M3-ydua7RXdB0PbzkdCdPP&camk=nUmJqO2E8rhmw7576JsreQ==&p=4&fvj=1&vjs=3
24/07/2024,Legal Clerk,Litigation Legal Assistant/Filing Clerk,Gaertner Baron Professional Corporation,"Toronto, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=afe8fdb8c66b5fab&bb=RwWRcGpItTUkeeeECnnbi3R1oscNIeJO0rYXljT9EPKTz7VR0QOzgH7Z3hCCx9rHkjm7TvWqPhKGZzPmD6oMCdwpC3pkp4649k5SYoF5fkFuWtjeGv_sHeTIcLlXN5MF&xkcb=SoBC67M3-ydua7RXdB0ObzkdCdPP&fccid=1ef62962a6189219&cmp=Gaertner-Baron-Professional-Corporation&ti=File+Clerk&vjs=3
24/07/2024,Legal Clerk,Intake Legal Assistants,Legal Aid BC,"Hybrid work in Vancouver, BC",Active 2 days ago,"$55,189–$62,968 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CHHKI_uH3HEAcWZmrf1lsjHHIPEfX5u_1fe8SAx1_NeedkyJWl9qrpCbzdQkZkoHHBh53M3wXeZ9_U_0-eAJsNJ8zFtx-LHIzWISzuaje8b-9XPHuGFJFW5F8w7MmbXtpfCLh6cAyZd3RvM_BtkpfxVFEcFn3Vz09o4JYh9dieKnMf02_RADW_0vlmDEoywHCzjM6jJk4oFEFBpLI_HWl5T6Dzfnbqb3DdjD7pvYi1oFjHBT9Qmboc7e3g_OuBFXDk_R2D2zM0-MzOfru-hWt95P50CkjV0jOsYzzZUA6CvJT4m7IjVMvkkB9A3ziaC41mcnCUT48cfnY4sDAIj_XNJFz5wUPNPuSx5i_5Uq130i7Ot3LUbtOdQK-RgVu03dpMquN6Jne8b9Y0gIEyc2wy5ne7vc00DaJwaPxfeFckHiaGxNeId3rp4y6cAV3WPXnJcWQ1KgHPgCJkWMtMZr2GvWW9aOQN9aL3OqhTxs9qnqtigIpkuXfChCkMwrVx5rFHfW9oNhvNOJ3PjRPB1MCPXpVT6r6zdsym_Dginy_l1yJqSy4Mc_-cWjxz2jYsqVf8z1rB5KolVa9AY9C0SgoDnZB7QkYTnqNLrbe57zd4n3dleR-qXNfTCNHIwIONuvMX5n-vU2ISxsek5mRLYkRX6T93ex6RTggdP3_xc0p0Jw==&xkcb=SoAr6_M3-ydua7RXdB0NbzkdCdPP&camk=f416UQcMBpCHx_a0tkjjww==&p=6&fvj=1&vjs=3
24/07/2024,Legal Clerk,Legal Assistant / Paralegal,Aviva,"Hybrid work in Vancouver, BC",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=69ae30fd39a90af8&bb=RwWRcGpItTUkeeeECnnbi9FkFCc941suFsG1RrybgnA55eIZrp5LUZtl86sZgJp4jSMwJEihpTQ8P5eFO2StEwkrqTjFod-yBCPMBvs1WIfcEnKSziOvfA%3D%3D&xkcb=SoBr67M3-ydua7RXdB0MbzkdCdPP&fccid=27e4fac26c899190&vjs=3
24/07/2024,Legal Clerk,Legal Assistant - Real Estate Conveyancer,Robbins Notaries,"Courtenay, BC",Active 6 days ago,$20–$30 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AhmAZGTLBYAF00MDMzLXr19pTaSDEDO6ZjxI5jQrI5J-jagZOHeXwIHinn4R6ph3zgLbIJd_mdLgxTCCiDwJvUNnAGBWZRiec-ZUHxOV2eeKPQEUvozaUXy0BAAre7Se-MtnbvKfVZWWo9qNYj0p_wIxnccGzi06dgRqxf1S-Rt_wa2XZuBCpeBzq8dxlo-L2aLs-SlL9QABw6N99NL1gGC1hd622HABhuiVXB-Jw5uXSDOSYqIoqleYRfeKqNXXbit7b8xWcJuOzHZQo55KhjnPxMfKK_NyDlY97lSg39VLEmJUfxcit6pug2-IbDoDpvqzsINLmtDyMYjsZ3m08L4x4PmmQL3S_RQtx4ID5rHSoGuG-vzD3pBdFTtaiApvYhady-imiLZ4IOv3JPjstoZ8I82YCb-6iFNXgNNCdxI1mAhERLD1y7x9VvZVUY2ueNGu3EEHvGRNqk84DohE5HnQGVsSYfrVEpryZfg2fBWhH2jJZ7cPHvaiqpZ8brKa48Y-Xtb2JCS-QD_3OeMC1hrBDMCNhLDB4RynTfvtcLuTX80FjMVYoVw7m_8_Gf1vphkNVDoHfiLrEeIV04BcJ897taMWgGyDXEYb5WcvPqXuXYlHFbz1NWv5DayMtqV0qVX9IiwP_7c12Xmmd2FGh1&xkcb=SoB26_M3-ydua7RXdB0DbzkdCdPP&camk=f416UQcMBpDEJr_TKbnUZw==&p=8&fvj=1&vjs=3
24/07/2024,Legal Clerk,Legal Paraprofessional (Law Clerk/Contract Specialist) - Legal Services - Regular Full-Time 2024-9713,Sunnybrook Health Sciences Centre,"Hybrid work in Toronto, ON",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=4fc64237fed172cb&bb=RwWRcGpItTUkeeeECnnbi01p7Z1R5BXV1yxJt2ug87Qkl4Ok9pTzX502RAiYOXwd0P3L9rmnUYoTCFwP_Hu1F5Amy8v_o3xbm15wG-uIyHsH2I9dHc74fMx_ahUU79h-&xkcb=SoA267M3-ydua7RXdB0CbzkdCdPP&fccid=2d88a9c34448e1e0&vjs=3
