ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Legal Secretary,SENIOR LEGAL OFFICER,United Nations,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=bca3064369f72a74&bb=PTcSiVJvm2CdflY-eRI8SNwkUB01f7WtnrtpFPdxlBAAghx8V68sftsfk2yc0T_4VCnrjtXegKVUIzOmoCgz_ekv5pGzkoyzbYp-Ebd8K4mpXyKRhDTLbA%3D%3D&xkcb=SoBH67M3-ycZ7XxSTx0LbzkdCdPP&fccid=65ae769cb89830ec&vjs=3
24/07/2024,Legal Secretary,Corporate Secretary,BC Hydro,"Hybrid work in Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=fad8e2663938bd2f&bb=PTcSiVJvm2CdflY-eRI8SOdPS73yKLvl-WU8cKPX8sOWe_JCTNWJ0_dG0oszujQgXRwlRPFieKAFxFSgDpRjCDqFYhxnrUWPo5jYcpi99WmjhbY2jh2xHSXIswZl7pZD&xkcb=SoDz67M3-ycZ7XxSTx0KbzkdCdPP&fccid=faec17211a77ac07&vjs=3
24/07/2024,Legal Secretary,Legal Secretary,Ministry of the Attorney General,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=cfa7b7369e217563&bb=PTcSiVJvm2CdflY-eRI8SHkDBDFFMt0mOgHKtI21569lS1Xh587SQ6y_q4ppJmXzvrSYi-boXCSRD4RlIxfZK2xOTJFIVeJw_Kz5ecJZyIq6_Jqj9-JpLw%3D%3D&xkcb=SoBu67M3-ycZ7XxSTx0JbzkdCdPP&fccid=e574dee64b66829e&vjs=3
24/07/2024,Legal Secretary,Team Lead and Legal Administrator,"The Travelers Companies, Inc.","Hybrid work in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=232070e5ddc0df55&bb=PTcSiVJvm2CdflY-eRI8SKn3RmLwucMF3xAEjeJHvKUqJexDG01Jr0XGututFwFAjdk9XfWvUF7t5rnSJ447mT8gs5HZZ51Z_KgR8cQNVAEibR-HHMTNpdwdqM0R20uD&xkcb=SoDa67M3-ycZ7XxSTx0IbzkdCdPP&fccid=614604a6208fa23b&vjs=3
24/07/2024,Legal Secretary,secretary (except legal and medical),AYAT MATTRESS MANUFACTURING LIMITED,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=dd98557238b3264d&bb=PTcSiVJvm2CdflY-eRI8SB83hyEV-sf0IcWcvzyEpWuauiw-8fGldmU7gz3R4nMqmVwyWFu6gBScWqEBpdgVpkJYtS2Zkx9J1XPieWcrsBmJDDNsuJKQvQ%3D%3D&xkcb=SoBU67M3-ycZ7XxSTx0PbzkdCdPP&fccid=5659213860e6d087&vjs=3
24/07/2024,Legal Secretary,Judicial Assistant (Legal),Courts Administration Service,"Ottawa, ON",,,https://ca.indeed.com/rc/clk?jk=116c355c68b0ddd4&bb=PTcSiVJvm2CdflY-eRI8SNr6qihn849gyUrx10MRB5Zhs9dd4OkmrefkL9eo3MoZkAQho7UaUfCKg5FDK__liXHW935QyBd31NesW9ylm5t-Rax42OvKR3MQzZ2-12fM&xkcb=SoDg67M3-ycZ7XxSTx0ObzkdCdPP&fccid=a950158021069079&vjs=3
24/07/2024,Legal Secretary,Legal Counsel Corporate,CPKC,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=9cb85a139eed6a11&bb=PTcSiVJvm2CdflY-eRI8SLSbGxg5RnLZpfKD0FA-rihjAIZaO43DHWOTAZ0bLc5lcNGF8_KzBpcmMxOzx8QFUru5JEWlpQwoaJ10bp6bJ0Iq7TiPafG4mSHo--atpgG_&xkcb=SoB967M3-ycZ7XxSTx0NbzkdCdPP&fccid=e16e92d37ae2c851&vjs=3
24/07/2024,Legal Secretary,Administrative Assistant,Hydro One Networks Inc,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=b46a9ebcc24e1bda&bb=PTcSiVJvm2CdflY-eRI8SBpmEsNS8dFcDIXt_jhqZQH0GL4SOE-ANXJU2OjFKRW3CAODJfga7ogUkLKOA_HTI5hsgKXss4vLTKArCi8shinL7WfFUneszX669X8DdU5V&xkcb=SoDJ67M3-ycZ7XxSTx0MbzkdCdPP&fccid=1f9a409b34da3bd7&vjs=3
24/07/2024,Legal Secretary,Legal Counsel,Capital Power,"Hybrid work in Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=fdd29be1a15b1af1&bb=PTcSiVJvm2CdflY-eRI8SLvLjjtfFDKmAMeKL81wKa8BJoMiEDlfzlLBaPlPb6XM4abHw2RwHsRNXKc9qPEmqa0MVAcBPw8I4k4dlem2j2gXC3QfVK7-eGBlJo0i6OYu&xkcb=SoAg67M3-ycZ7XxSTx0DbzkdCdPP&fccid=ead7cce38300db8a&vjs=3
24/07/2024,Legal Secretary,Legal Counsel,International Air Transport Association (IATA),"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=5e9fc735f51706c8&bb=PTcSiVJvm2CdflY-eRI8SOOh84qPIx1WPknNIkbmSLMHLIwjpMtLRrff7pPsQLmxDC3Nz7AFch_td7IJ8ALlhlHQEqV_hhiyPNw3rNfJIMplcmEVVsoD4UczKi5j6mF_&xkcb=SoCU67M3-ycZ7XxSTx0CbzkdCdPP&fccid=46ed94960404385d&vjs=3
