ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Librarian,Digital Asset Administrator (Digital Photo Librarian),City of Calgary,"Calgary, AB",Posted 1 day ago,$34.33–$45.94 an hour,https://ca.indeed.com/rc/clk?jk=99fd741e6a62f6a5&bb=3aQThxuLQs-M1GNhfGb8Pfxol-59k5arfZk13egSMsafWBvVWyF31UWM96pmSAGGoLE6j8NH-002gslvLMyoxIS3lHuTxySIW9LJJCwAwri5r3uzSvc5Df7f1QNisWSF&xkcb=SoDD67M3-yLSKCRgj50LbzkdCdPP&fccid=4fac8d665ce49365&vjs=3
24/07/2024,Librarian,Reference & Instruction Librarian,Dalhousie University,"Halifax, NS",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=91da44ff3f220440&bb=3aQThxuLQs-M1GNhfGb8PWTWRiJ2j6KO2zRKtsK0X8CB9NZK_zZlfxh6JFWc1rQVCr-oNnfv0YoUv7kIUca-nO1GaXhyenLEHMUpxF0ngIJhRRVxsqYwpgL8KEwvrHkS&xkcb=SoB367M3-yLSKCRgj50KbzkdCdPP&fccid=9986a6606e2479c3&vjs=3
24/07/2024,Librarian,school librarian - secondary school,THE CATHOLIC INDEPENDENT SCHOOLS OF NELSON DIOCESE,"Gellatly, BC",Just posted,$24.07–$26.17 an hour,https://ca.indeed.com/rc/clk?jk=e3a3daed71f4acc1&bb=3aQThxuLQs-M1GNhfGb8PcsltW_BIiOlolZi6V4xVfHRn2c4rRI61g2Jh6jqmRQwyic-FU_TfvEVIbjn8WmXvLWX6jf76QCfzecfBJ1Fu4AS9yzCyjzBAg%3D%3D&xkcb=SoDq67M3-yLSKCRgj50JbzkdCdPP&fccid=7d8ec51ff80f3e28&vjs=3
24/07/2024,Librarian,Receptionist/Administrative Assistant,University of Victoria,"Victoria, BC",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=5f5a94e266e54439&bb=3aQThxuLQs-M1GNhfGb8PUCpP8jq0dLAMt5D8HNp5wlvniLiOkiLlKmtLya5fWkkiM822sQSSnHziX-7ypTVi8XQobj8fUWbqEQXu3jdHZ2rhMn631v5sjiKv_AJPbjn&xkcb=SoBe67M3-yLSKCRgj50IbzkdCdPP&fccid=95737967a35b2629&vjs=3
24/07/2024,Librarian,Library Assistant,Simon Fraser University,"Surrey, BC",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=eda204400ba9b528&bb=3aQThxuLQs-M1GNhfGb8PY7Br3v5CjuKc1SjWgSoCfObqna2XI1BDD7q5MoYY2R_WgT6Yjz9OatRfKIsRxbI2fX9VqOfH5JXJ7flQyJSHg_WXzXyHfdEKENHXfVZXLg_&xkcb=SoDQ67M3-yLSKCRgj50PbzkdCdPP&fccid=fc23f15253f7bf0c&vjs=3
24/07/2024,Librarian,Librarian,Southeast Regional Library,"Montmartre, SK",Active 2 days ago,From $18.05 an hour,https://ca.indeed.com/rc/clk?jk=07a4e3bad81808aa&bb=3aQThxuLQs-M1GNhfGb8PW2ZIibK3souHy9-IK1adFQonLgNSs90oCnVI_SGKE3T_SZKtDFgJ7MQTicHmxKD1SEjCnRKXgqYpVIYFUaKjbXMgB8l62OhegBMGZZvz8Bm&xkcb=SoBk67M3-yLSKCRgj50ObzkdCdPP&fccid=9fa410b2db8012a7&cmp=Southeast-Regional-Library&ti=Librarian&vjs=3
24/07/2024,Librarian,Associate University Librarian - University of Alberta Library,University of Alberta,"Edmonton, AB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=3c861049ab67fb4e&bb=3aQThxuLQs-M1GNhfGb8PZrsFz9TufeiAOWfYo1R6osJzK_FgJgk_KyxPzSa8p6ACwtu730KfFZQG7OTOPCHR7hzLP8MC62VtM_DGe9w8__LDdw_CNHAdw%3D%3D&xkcb=SoD567M3-yLSKCRgj50NbzkdCdPP&fccid=09ac3ce4d9d271d1&vjs=3
24/07/2024,Librarian,Teacher Librarian,School District #35 (Langley),"Langley, BC",Posted 28 days ago,,https://ca.indeed.com/rc/clk?jk=c1fa020b1be47c45&bb=3aQThxuLQs-M1GNhfGb8PdLj8JQ6gcWduP5uhybnliUE_otPYU68SsMqlaVNMVuRxliEBshNcmzx4v1jWdbYlBbkgj6_LSu7ylVgyI5xPC349KlfJmZojYVUWnJOZ2rj&xkcb=SoBN67M3-yLSKCRgj50MbzkdCdPP&fccid=14df757c40986686&vjs=3
24/07/2024,Librarian,Librarian 1 (Adult Services),District of North Vancouver,"North Vancouver, BC",Posted 20 days ago,$39.14 an hour,https://ca.indeed.com/rc/clk?jk=ad50adff67d5ee83&bb=3aQThxuLQs-M1GNhfGb8PeB2iRwDiwPvjk0ZAJ_pRkMmOPr4LDOSDDjZLuJz6gF6yjiCjys_1xkU5_xg3EuH_cGDu910hUhHtuDyIZnpEAc1SZWot5Bv_GPW1hcrS4P7&xkcb=SoCk67M3-yLSKCRgj50DbzkdCdPP&fccid=3ef32d310a420c34&vjs=3
24/07/2024,Librarian,Reference and Outreach Librarian,Government of New Brunswick,"Fredericton, NB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=73dcf35950c7ae83&bb=3aQThxuLQs-M1GNhfGb8PVavW_Q97GSbghDymAnBfWrRfhfFlYqAIE0TqYAkP6Hp7D17SRwvwwvHRX8e42FIp7du2qJEt0NJhg7Qj1cKiuSHbTMkTtGlB9DvM9ZpxCtK&xkcb=SoAQ67M3-yLSKCRgj50CbzkdCdPP&fccid=7ab20b450831af24&vjs=3
