ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Licensed Practical Nurse (LPN),Licensed Practical Nurse (LPN),Qualicum Manor,"Qualicum Beach, BC",Active 2 days ago,$31.89–$40.15 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbYUcE9dCNdpm4HpC0R-zrGS3gic6KnswAHe5IslKLSO8tTfNyjxeCXAyYokOrfFz_swOfRri2uTVEzS6oquc7Eq0dQIgh8-ArvGTJ_CKlG-4NCb6R0un47_FQOGUt1ipQ5bUSGSJbnEjKjVAnIeOvemmBHzBH0ifsk3S6VtI1uq2-NvPS0gJ_5t9NDJmm1m0TU4xOfwUcVLh2x7qssdk84Rmi6h8PfZw4S-qy6obNOj8B1V_C5m1tU9J8_6ard4KmMjXY4u1yAJ0Ur5OqZ9JiG4xxjzpHIMSvkDDxZqR8pGtyfPkMlcRskJAFQf9-ng5NNWOJDCjXNfLoY82t07g1YLPH64fWbCF6cACxp437ldwdja171lyKaBnkLS_HPObnX8CzA5IkqzjNsh12mQid66fm1SRxKi7BycWcMQFh_318mj0eZxgMp-MFNh4iM8vdbMw6xxUq315tAU-hL_jfzK7VT6gV12NkZEtLdDYbvF6sNPXI9ZZOHTV3CWZH7K3niLgSQ0qiCd5QdhhJBPmMIrwMsAtsS3fcvzBYaMyrAKCyZ7zXjzFwXOTSTc2zTjN6xawAKJQtWWV96911B8jr68d5nh-r7IO_txwnXsM8vguDyL4h9dPvnsRZtQgDrcdmdWFCr_eQouswSkg7RJr58inzzjJMQXNV3_IGPUvRlp5LmuldSpJ4&xkcb=SoAz6_M3-x1Am6SArh0LbzkdCdPP&camk=nUmJqO2E8rhz_VVG7oE5KQ==&p=0&fvj=1&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Licensed Practical Nurse (LPN),The Vista Senior Living,"Esquimalt, BC",Active 2 days ago,$31.89–$43.65 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CCgAyna9HsYmYdJHiUcBCrJZL6hEqgdthIoyM7steIRLOUrgZp5bL4eIqREWhvIB0gRiLZNp6TVLsJoBwlExMiBXfn241lPZvxtSH7zLInb7ob6OlQwZ0TDOBDrFEMvG64QrlD_-gmFCaIt550Mzvwp_m4Rydh7N4F5_SXg1xn0E7pvXeupZptgGBDmX276a1_mTvLzxQWxwEPCJuHQjBIQZ133XNDOZsJpX46ytjr8pGtFtNu1Pfi9lj428aPiCiSjx41rx1Vf-GBAYAFkIp1CN02DAIKaKdXsNronKTGKRoIbFEFkmSpYanOWN6gBTwyrDYjBFISiHAfs5E8KdYl4GGIJVVl0qdZj7yE_K3kPD-Op8BtiqsZ7paz3F67hRJyi1Yxrcv6WjI6NbHiVH_FTetpdK147GU2DT6xgdd7gJ2HgSHJhjm3WZD5Gqt728dGSg7i5YAiWFFU0azjfjj1Qe2YucPVSlwygu9fhHwj8q7jNvA-tQTfTD2Vv_TRgyrIfB0pHsCAETkGTiFoTsqj-HI56rN9YMNYhs0Cue3kfl5s6a5UCUIKwqQHcOyeHCb-LPqU-pIZCL9lOvTJU4qRWk1b3N1GoMeTO2f_kbk-jGCjNRxfC3hScOXHLZ6LWamBOAm52EN4ohDT_jvaUWZ6eGg3itv8g9zmVtJhMa4MkKnptToIDe_7&xkcb=SoCH6_M3-x1Am6SArh0KbzkdCdPP&camk=4HOcmqOLYrAeqQpRaQVpGA==&p=1&fvj=1&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Registered Practical Nurse (RPN),Wiigwas Elder and Senior Care,"Kenora, ON",Active 8 days ago,$29.38–$31.98 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CWKJufvECSrvme8Fg1omibyCLvZTth2mFxvGgR1YnbHcfnrD7WfybUoiZuVXzT8HaR2E3GtDFiwNRx5l0F_NhgfDU-RJK5cQb2lCgLVs1sln4vE6SN2AAPtzs-FubCQKFGkL_UpgutahBptNXsW3vAN8VKIXPZJ7UFXTjAbcmY6sOIanZpznyNCT1jp5AfAs9cia71HdAvhJiInMoWdyQmJOmnAR193nLjiWsOTm-uTUNzziCZTQVGmhuIlbQf9wQDn6w8nxLs78j5Ak46RHqzscL9sj7Piy2baWFVyHZUHgfmcEEt24GiUgv6PCRXHUnWW6tVa0BilhwZoRen6pclO6EByaNJteZIogbDRZcb_AhsD8B-thG7wFpMUwP1ImgmV0I9HOpSrQR6LDt9ZF0sxOCahndwIlECt9MjC4tXQD_qm0_uvLnGtZT4uAftbW2gfjfulvcw5xGq3lCga3M4xNdAYOuwblWKq3-LiveV3kXe4U0KOFd9mLYmH-fN1_quxiTFr8Vx33GPOk737pdDnRnAUucpTtw0LtHtw7_wB_vWoVKuLfsEbEzDNXUWXuATe1FF6cjJya5nU5IKtpJoa8eg7xfqFb5_8Cjvf6sWTqRtTUzJmIuSre33LVg7W2fZ8hK_3bX5lpA3JlIvpwPcIxDHh4SzzXa1mt7NPnQ-r4M3l8jYbxyG&xkcb=SoAa6_M3-x1Am6SArh0JbzkdCdPP&camk=NFVmwABINBITKKOaID5L2g==&p=2&fvj=1&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Licensed Practical Nurse (PWLST),Connecting Care,"Stettler, AB",Posted 5 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzbE1bOdQYe0xukVGcX5gQC98qZLECSUdMC8VMmZHLZK1sexcYYrWPFroYBzmTWcW5nK0YiziU5iWeeD2xaKlMGYVaqR7aNmESKAMvARFmlmCOCZhwo5GMO-tFu8xnoW78j4WxwbzlLmDlyLZjaN2dTJSzaqulyssznXbxLxOZBKUoU64rhplOhHPxMTFefFdVi40wbDrvRTbGUpvpNYRDH70pZlPTAfLsKrOEpxDl5Q6AfMKojl-2LZ7kBzqHrSBtzLea9cce_B4ABVs-0MyImy0fCuXHqnDOYR1yvm5kpWIE-ruW7A9lk_ZbQDSp6w9hP9wIJJXLYSrqEYUNbKdWrXq2RG7NM2G2mgGNUXm8kzFKiPqg3ZMyVfLbZ_o7fdDuX6tlY3kB0EjjrdSPJBMUI1x8azqSN5AkWoJPUVE9YsGwuxf-uP1l2nx5F6t5YTHsQ_Mf5smOp0_E0b36zcqxfsLp1NMfrCG9YUSLj5IjtZW7YGopr0mTr2wGfTSMmgDTsm9iJzpTnEsa97WpfJ3yOhQ9MknUDxJdYvIoBZVbRKQYXDWoVN88Uu_bZmCH14UcfzHz8o3v0layWygDacnAC1iQUbfYbjzPWgl-zW2fAXDicJbbwj_3MxvofBMJoK6E-PGzy-t8-2TJbvBRGcvvUY4T9fhKhWwCb1rDTjw90jzbY0M77WLecvLrU7fiZwN2WQmHSJ9NvX-wwFMaEtbkYFI2mjMuHXErmzFA95dTmNnniwublIuMcWlH_JolcbQ=&xkcb=SoCu6_M3-x1Am6SArh0IbzkdCdPP&camk=CPChkbYSGj-RTx7gry4WmA==&p=3&fvj=0&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Registered Practical Nurse (RPN),Brighton Retirement Living,"Brighton, ON",Active 2 days ago,From $26 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B45i6nADMYIaZrywUJD8EE8_xtIU7q8hmfCud8Mp1JeVM_yQMAObXRnrnqYNr0icDJG7HYJHBYo1Oo_ndbCQlPKFJ9488EB1nf774300e_6EXkL0nFHkRRPdSzfwO6AXRDztTw_Z0azgsmI37XgFiTW6Fn0tknMri98fMRCjWdS0kh_c1alS3teQ8cUk2iLfD7o5plqqHYyo6eaYe_JIvWdGvKCAcwq5VqU2pA4UF65jorJiw4ZDwATuKTn9LT6Q_xWx_wNdJs90wm2tm5vR4pX5KiTITzQMF8L6hB2MyF__WxVvBCbFDyQaId6OifO_ex-AqCkRgaKYpkOMoz7sW11SAwmxB9hnyPaLE5AK-_3wi2XTVss9yQlsqK094-3NXYwdPaqbyOclH9Wqv_NlGAFTSopV1yCg_rq1WZKB6vnzZ_YxnfrmsZZReASJlOYUiAG0Kwisg3vQ39D0-S8F5nbyw7QVCNmUNWjb9DGM34ZH8XqD-rAnL94ivIvVQczMT3plizU2aSF0ZFMch0mgt6kwB1UW7_4wtUr7cwsKRatQ6xT9sEEjnqWiXoky6qq98RU0EwQt1gO-EhcT2SqHnMqLoNNeNPCzn5kf3riA73a9wLP4MVwTfK7tMIY2F3bb27ZC-TjZ0zamjO5BEDV9TADf7kzvGMLV50tK126p7yacNO1V1IrCOi&xkcb=SoAg6_M3-x1Am6SArh0PbzkdCdPP&camk=nUmJqO2E8riMsGSlaAf_2A==&p=4&fvj=1&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Somerset House Licensed Practical Nurse - $40/h FT,Amica Senior Lifestyles,"Victoria, BC",Posted 30+ days ago,$40 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpgzXIIx242nHRBIm9kI8316lKnwLQ962buVQ3YDhg_U4Of268RgltYt2BEnEhd3Tf265lUzq88ecRAqhr0jbl5NaWiA9nxsgfgPpV4Il_Z8OJ_BbQHwTNxWTV1bZD-JvpiDWjk8gumAzGLqZqVQqYZyg6XkX94ntXEoNfLOa-VpOLnOEmbZgKSLJnXwwBq_dSVv7OiEsVr7dzG12WLj-pCTKKIxuLaa2IDbkKgYBXiVaTNoX8DmaghMlJktvUDnTHxPrt7IBBIsYf3AQDohrlYSxKOB0bBJan_tKFV1XTgN6JirnE970l_A66k4Lflu1-1qfV3bIpARYtsBzKeyB0gHWsIF41hfNGQpJK67DETKE_hWjZyXtnBUQ_FcWyQzL1mych9iijl2dt8Uokn6cwSM2Lz_N5ilC9Nt-Zf9NRPf2xkTfPrAqzjA7uHCZBpLnaHOmVU2JNr5xbDYUlYKdahHY-qdZP4McUvDDdZ7KAqghHXiV2Hv_lBDY9Uh5xn3EYZMKAPymDOnz1c65nXCdhgjtQ-qglpfzjN6haRA1ydmxxRjJxjEXNPPSgXPSQhAa3faOolzktsTrLfjzCPACwN1qM-arAE0wopknajvi08eOJbXcrxuBsneeZs9d7m5GDO4ciIYCrmAOCqc5DSeeteJetxC_mGcZMBu7JLgNKJUCLliG34mJvErYU9JmUmuD6xPZTBwNh76rv7Aa3UGcGlcFkqv1an1ckcbeRgmnoA6qMEInY7bOXDllbhZmTUWtYtgOvR3GfTInpT3I6fL2sc7LYeIVuEv3Y8EOFk2kLLs99Mahywum_dYPwE362ZgramSxUJ71GhgSkqwPlOaDXRxVFIht1FQ2xLl5UoG4pmtGu7k-pO7tzzyCUqNMMq5ZUJG2s8niBEylyjWenojBkt3cvTcqAAkYBqNG1DmwUOXAJG85QrBNbCjLkbYq2uxUTbaVm20ylbHh5_2_0sQbk3c7TzsGyViKg-XFDsPdB5wAO3zC1m-MLvzSqWA5Te0Zl9T3wbL_TOfC6nclfrEiS&xkcb=SoCU6_M3-x1Am6SArh0ObzkdCdPP&camk=NFVmwABINBIvZ9cc-Ll2TA==&p=5&fvj=0&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Licensed Practical Nurse - LPN,West Coast Seniors Housing Management,"Maple Ridge, BC",Posted 30+ days ago,$32.84–$44.96 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D103KLkfpfpKsKR-NPxL4rbt8Ds_WeIT0kIx0Qfj9TVlQ9Y6mHrM7AUiv4AtUbBVJsPGFb4jljmggxOWjyYV_S-pO-BCMF9mJakwNjD_wZcTGC48iWzDI2ZAOSeqA8E6eDH_M1-cEH91x06ib8emiioW-o0f40pD9IzL5VXKKUzQ_XlRaQ3eO1EKzjg2UI6VY7mhUbRnxxe89-ZE3-u9fSYw-VFQUbLVR86fn6_y5ipoSEHCnVK56EmXUdr_LWEqHzOHu85eCQNdjYMZTrcuLHV7ZKscY48B0EM2hBGevmlZmEspVcCjb8M7QfLeuFOKfihA1m5r4SZqu0tzzbQxVgUUuY8aEmMOx4hzJqSQsAQwSGp1nf_O7MxYZ-rh8b3KqDMipmxJ-A-aXqIhqD5xArLrkX-Ebv0AzK1P87LRor4_HnsQ-PPhhg-2ZfNtQSCwQ1_o5bP6UcO_FoLjwCW3g4-4x1gcYbj24mvt5xMJpDCg2zU3mXayvApZzpFDQtMT_Nus7KcPbBfvUOHqQvxxtScEBDMkEylAqF7bRG5t-YNl2BK44aQRFN6dBwdKO6O3amgPPOaaTXmiy9duOVGvYTRKg1-ruWPHJSWCvApJCPunyu54fHqQ5ryz3UYECow6TrdMR8SUc9UMM0WmvERTQwTORW14SahaTh7MtsX18cjwRiCHXeHLSJpuFtRzKdc_6u0qZBdld2utOoNEhU6KIDnKDDsJE-de1rSmgkCLEdl2LGn9f79b6BBSOni_T7db-Z7OuMDXmNzF9ZE5jvMMFnKCP_Qg5frrp0tIEexCKP9avKjxTBBqGBp55rLXe0O8G9dDVmJN5WQUJrEFdZFNf9-Mn-qXuXLklR8rO8yatra9MRejtLKWZZxdLhrf5KUuzym_zbHzpU1pElMZBmpPbn2_RCIwnOwwgJ69TS_evLzjiOjZsf4AwYh60r-t5f_J4=&xkcb=SoAJ6_M3-x1Am6SArh0NbzkdCdPP&camk=nUmJqO2E8rhJrjqAAxU6Fg==&p=6&fvj=0&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Licensed Practical Nurse (LPN),Seasons Retirement Communities LP,"High River, AB",Just posted,$29.27–$36.85 an hour,https://ca.indeed.com/rc/clk?jk=d364df180d255e74&bb=PlTXehW1GswOYkTqVvAP-rr8jKPVtGIoorO6scWoYBaTP3ioNw7T2TrpwRCV5fGtk7s_X_zuEEEHKxBWhyOM-iZuA45dJrIJMKSAV0AdMHfgQVEOL6icwE10mj30LL5C&xkcb=SoBJ67M3-x1Am6SArh0MbzkdCdPP&fccid=e5b8d3d7c21d26c3&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Beechwood Village Licensed Practical Nurse - $40/h,Amica Senior Lifestyles,"Sidney, BC",Posted 1 day ago,$40 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CpgzXIIx242nHRBIm9kI8316lKnwLQ962buVQ3YDhg_U4Of268RgltYt2BEnEhd3TIrZvxXFEfBl1ZBYYBwioyUEVMH9yPuaZd9nmuRr_KIdaycgyyDnWiRY5s8S671tGffObfOVADjdnfA3jrG7y992tjqgvgOdyyAXVvmF9GiIdxfGw4aQVe_B2rO28XqhTD4iztZHGQOuNGKg-ZPPxl1s23VEZmDj-OzK1HCPjxy9fex6j1TdwKa-FDr6R6szhhTk9Sx3XnXvItGWI9rXJJuVOQehtuJRkekX-ioZ2zQRRtAZ0nEd_09MkEVSRYIaQTjpoPbBcIEq6BN_1t72jyJUtqA3tygR_3vyGJnpDR0AbD1gRtVH4sGYnDxFLhfcH8cF6fJwbPsqyRxQ14EMBwLXBubduMae4ovt-kafXsTD0ErRu_xxqKcYfef8d-3c6a84vKWmkCGQWqITLntG4uyDq2ZXRklwSr_WVC-c462TRY7y1ek45KLLPmG7YtT3ax7I2d6hcIki5sYhIyu0RBQXed5Fok-fLXKZv1fuZlkzSnS5T9Cj1pmeyuBZBwBM310AwIT-kH6GIdR44j9gVi8IqSs_bMfoQIHWUQGjDNnBR2so42WwO1yARGa68wMDsJa_G-SnIJsYfoSVPDE6qIK-_7C_L0mlcguD041FGEA-l_A4GBLTiXTpwARDsPER1U1Ef7_a9Wtsu2NvonMt8kdOKUhKrCmTk2LmCjXDReHivw9sfIaAmToyUBoey5FJgCZBYyYuVCWCRgbJDOMPrMnj9BLNPYl3q9BVJoKAvH2-aGmGNrTMyfSRZWQ_FJRdFZxn0lcPj60liZNXoVEA7nGfD7R1PIfrrbWixS6Fb2SaVWh5Lb0e_bVAeELP6aclr6HZOtPLhtNmiXTpwxkSwxW2K9t5IFI5AgzSMOasYeUGEbppRVB1FvQIxfDJp-zW350LP-J1SkSS97gRaYLk-RXDLWpWMU_W1V2diowMDwlGJnfCstRmS6iTeMb5RT70D0mM8CqskyeU9-hLfkhpf_&xkcb=SoBU6_M3-x1Am6SArh0DbzkdCdPP&camk=NFVmwABINBIvZ9cc-Ll2TA==&p=8&fvj=0&vjs=3
24/07/2024,Licensed Practical Nurse (LPN),Licensed Practical Nurse (LPN),Think Recovery Inc.,,Active 3 days ago,,https://ca.indeed.com/rc/clk?jk=a179926b02b5e543&bb=PlTXehW1GswOYkTqVvAP-ohRxPccddtsbBLZb8Hlie_hab10-i1jFLRmcpvDt0OHrr7DUBLN_PNgmZo1GzNE7944txUoaZ35o6In7ySrQA5xbSJeluNRHBXAx076r4PL&xkcb=SoAU67M3-x1Am6SArh0CbzkdCdPP&fccid=8dde16f87772d986&cmp=Think-Recovery-Inc.&ti=Licensed+Practical+Nurse&vjs=3
