ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Logistics Analyst,Supply Chain Analyst,Uline,"Mississauga, ON",Just posted,"$75,000–$90,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDbTIDkwBzWT7VevyS4K-QQgcomtvvVI0EMXsYmDGzefJad1z3jp5USKFPwnMJgJ1MZyNLJaG1ptaaC7quAUqwH0SI9xdFMoePMJ5s4pQ3CyG6P4fYNnCK12EF-8-HSJj9gXWhRf7xvwAh9bnXJgnlcuV3PyoRuhaS9s26JvCZDXcgWML5sJmYMMuR5U7vTPql7H_BkpDx5c29Y2cfw_vXFYgFzclQ4Dpzwz8BOqZ35_zM3p5ELiDEzM2iNHCb_nXqd_PJsaafeypCdQtvB9NuHI02uwrMtthwx1f4Bviqgi3LsNpoAjwmRZRJLISytCtHmu5u_NOsiqN8g6cyQMn3UwE7mvAaJSit0-AziqkwYsCi7NQKSV-vg7XdCr33B_xY9WNTOfuZS1UzAra6HCvBhuchCvgPbS3ctl4ZeoUtHafu0yTEHnn3iYqAirQN7A2am5yolePWBurIqMs5rPAPwBDzLs1vfhm-u5C_uvCHSEDMi2felTKKwkyjhEpydBMjcW4EPlwXMPahOkpWMoWsUElxh6XnNqcHZ8oKV-oqLX7gCgi7N-lXzRwR2WmTvZKem9h4KB2Cyg-TqV3UyYrQwPDwJ-eZ-MbiRs9Vgn3CWL0FZ4SCTNVrKPv7zf72NWfRkezD7WXKnfNomv8whC6Smrg1yPCHd-DKmrWXXzNRsO0&xkcb=SoCL6_M3-yQde3SKB50KbzkdCdPP&camk=4HOcmqOLYrAyqCkFJQRTRw==&p=0&fvj=0&vjs=3
24/07/2024,Logistics Analyst,"Pricing Analyst & Inside Sales (Air & Ocean Logistics, International Freight Forwarding)",Sealion Cargo Inc.,"Hybrid work in Toronto, ON",Active 6 days ago,"$55,000–$70,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D0rE1Nx-4Anbcoq5Z2fq5PmeWm7AJRW_C9s3twWP_i7CkN8gSJg0EIqJcn8wxAZsxtjwqf5lVhBldbiSmuUUiUDtvUkif4ha1iJkPdeXHcgbbHjMr2j5a9vojQaWLBsHxu8tv8RX4rIdYZeobm2jOGHKN1X9iOLgJED7s2YYLJS6NfK8_obGl_7EviPll5Bkhqi1qJOtbCdvzkOLsJlt612L_aGgNATgOHLgoFMX6ypJcN4aItNxEklLvoRUCPppAvsKMRbk2oveD2e-d9E8RmeYh8C1d-Z4obWhM7YfS9kex9elk31I-A1xzPxSCdFKevmoF8MmpCnVYVhypFIS14wmgIU8U-pKiK4zGhnFF_lHYkY6jxocbjJhvbuQ0pnFPGlorORIsXMoYzoYLywwmh61MzdQAohzJSrjgIh6kDZTVIaIKeh6tRdYj4xpwDLSr9wc_t0jt4OaIU3hru7vGlG0hxuSjyEJCV9UAZjDeV3NEJRXSkcKUWkfwNzXaBb3W9kce8xSAPXxCDS38HmSDaoeG2X42sQc7_8s-zEQCCMhPrpK8KMs7xmi5heFw6ZaM5MgnFBuKDg3f7ZB17JD63N3JrX8AV7dn6GZ7k4xqVwdQjTLDpRkBL6OG1lPeAHVV9jw4Wbtr8HOkp2NirJVWqDY_nutB5tz1-lXGibk1rLpI2xqLOt0IwLbI6b40vKalOINuHD8bWxWYTfYCc9R_z&xkcb=SoAW6_M3-yQde3SKB50JbzkdCdPP&camk=nUmJqO2E8rjWvAOR8RNnjQ==&p=1&fvj=1&vjs=3
24/07/2024,Logistics Analyst,Logistics Analyst,TJX Canada,"Mississauga, ON",Posted 13 days ago,,https://ca.indeed.com/rc/clk?jk=8d96b55e8f53b8b4&bb=tqNuy8aHWq86K3Qfwp5GbelBzk-NPDBaGZH12EgqiN_zSIRC-EAeI7L2d8eM4gErN1icXSMEGKMZdoto4vSGRzYhVSzVE0v4hOoxxlK22iGvs4_1aOc4guHFXJcW-8qt&xkcb=SoDY67M3-yQde3SKB50PbzkdCdPP&fccid=cab0fdd6f253a1ce&vjs=3
24/07/2024,Logistics Analyst,Logistics Strategy Analyst,Honda Canada,"Markham, ON",Posted 28 days ago,,https://ca.indeed.com/rc/clk?jk=3f12019105e9e800&bb=tqNuy8aHWq86K3Qfwp5GbRiSgRBZ5wUDsc0ILTo2dNWpfmRd08RCe7jhVl8OSaxh3pgla_6Xz0KgzCbima-lswHHlkDYnRKvL_NK-nmrYUuY9g05B_YyMAd8kIiMzwWb&xkcb=SoBs67M3-yQde3SKB50ObzkdCdPP&fccid=5f460c65e642e29d&vjs=3
24/07/2024,Logistics Analyst,Supply Chain Analyst,Gordon Food Service Canada Ltd,"Hybrid work in Winnipeg, MB",Just posted,,https://ca.indeed.com/rc/clk?jk=e0e08df545c27ad1&bb=tqNuy8aHWq86K3Qfwp5GbbiAmtBLAi8AkLwf_p96PxCw6sndXpbEmUoAisDuubSHLo0IyxyTcdq-b6jibX4jMuIRzkZMz2nWqsL2kH0DriL1tjF6SXUsHw%3D%3D&xkcb=SoDx67M3-yQde3SKB50NbzkdCdPP&fccid=e83f337650f342f0&vjs=3
24/07/2024,Logistics Analyst,Senior Logistics Analyst,NewAge Products Inc,Remote in Canada,Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=55db636c681deef1&bb=tqNuy8aHWq86K3Qfwp5GbcHoE20edQkctXk_FQFeDaXORuNkj4WENhxZUg2iOK4_UM8HRPtrtPvJuDklFVPU5nUQFvpj-yGCMEwk5y22OUzAMxlPKBdV4PFquzPuA7sl&xkcb=SoBF67M3-yQde3SKB50MbzkdCdPP&fccid=ef5bce301063d6ea&vjs=3
24/07/2024,Logistics Analyst,CATEGORY ANALYST,Groupe Leclerc,Canada,Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AS5WgcKGg0T-AFfHqThM8kjtChZGVN8I2E9xfTF-tgyKj13dxszwL2ewKS2d4wFmzZrJKO0Yg9ZsFfaE3adFk_qZleO5a6GEwpzrMd1nJDAyKndPQDTD0N08jaPFkeJvmMoZPfD82AGdjk_e_jlxgsf-TfP3kHEHItKWnaSFpoEWcZz7eZiMH2yqMa8yCblhq_OHw9G6C1t1uU1VboWIH9bb8GLUU97DtODhxOEqy_crF8JcoBsgATI3rPIvDgZvgaw5gIENL99nJ7IMsjQONp086Zf6uFRQodQmxemulDUnBTbmNBMI_FELGpkpfohbqY0DHi10SWz4rQmolHTgcxhNyvwEXgYtdDb3PJbkO3JphwAadcPVhzZCodLmNgnWOBhaWaVmU2NHyXlBovKD948y2lEfzVf0sLJIb5qWLUYp-uQyOyHLZvAt01xn95X7-340JrNIFDyBUMn7nGt8Mza2H6pMHxYw_7LcgbFXymju5cVBziouhG5mhBqQqyL5P_j9VvAER1-kHscGJvDgSzdL8lveCyE3JrKZFLbE4iP1yZiHfrFGKtBoJzzq5IVh425ylObv0F2izKVus-7tzgu8tjLSyCON5aXTsb9bDX5lp296ylFC8C2d3fd642lSyNu_O1OtzvpCeTv7FNZN_WTKohSVjDQCGIhQrD05TVzubEOUEZWLNd-Mkk6OeFGkE=&xkcb=SoBY6_M3-yQde3SKB50DbzkdCdPP&camk=4HOcmqOLYrA4eooppD-sGg==&p=6&fvj=0&vjs=3
24/07/2024,Logistics Analyst,Analyste des prévisions - forecast analyst,Globe electric,"Hybrid work in Pointe-Claire, QC",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cr5F2M773tL4a6pEs-sd9bZxaAdvy7QQDVh25646lR33-gdQtL8OVy05WteofhLdZQ-zd55h5ucaXOltT7uT6qdNNXvEOSeb6l1ySqmRPgw1lSD2ugGv5QNb9MqxBfbXKcY6XhAb9VICtct_tkZb8xRbqQHaFr38M8uz8EQViXvKgJSXi1A5pNndtQ5BKPF3Vx7S0wgT_4Q_IaxQcaHhWeqZ1ugUtEEih4NYQi7zyLfRRb4AuHvgG_J-5dEFXOP4OvUpOzpj84Xh39c4pl04C8itiwrPwong36BQ3c39-OyhAfJZ91-fbBTlWBJfYsu2l1vxFgQI0TQ1xmM2uBA43XfJd1wyZOw7eNEC04w0ZMTXZXxf_PeiqgnxJQxiH3X_kEHeaUGRyTzqRN9b4r4p7qwysJLzl4rXKybhEYCLVcx9lch66wbWJxruG5VueXoHzeomPq1m98FhlN7LVwD4AgU1ntkcjPsmlB37wj2JfnXt52uveT6vpPbt68KCSDuiajERUjXptBbSVW4KnOvMY2vmlW9AkjtYBps1_5JIZozRqt84Kvw51E9aVA1-T8opVVeDcKUxtQNMKOk9-owPeENzyfCPGvJz0Pc-U-5S5v-27IKDFazLHTkzhIC47V9WSCmMTXLWmnnT9QvSZPGjjmrJNXYQjjU6rBBHePws98hg==&xkcb=SoDs6_M3-yQde3SKB50CbzkdCdPP&camk=nUmJqO2E8riMtMGJe2qqFQ==&p=7&fvj=1&vjs=3
24/07/2024,Logistics Analyst,Logistics Analyst,Labatt Breweries Canada,"Moncton, NB",Posted 18 days ago,,https://ca.indeed.com/rc/clk?jk=d760b6ae3e87f7b6&bb=tqNuy8aHWq86K3Qfwp5GbTnqS54jzLJlBc2GTW1hf-SdaoSotgQ2dmVKzY8FzhhTR0KVZ-vlrqTZWYjO2xzHfq-FBHyWfkAgSNYdnDMm0b3Sc2RqFbDYWQ%3D%3D&xkcb=SoCF67M3-yQde3SKB50BbzkdCdPP&fccid=f7045795da27e66f&vjs=3
24/07/2024,Logistics Analyst,"Analyst, Inventory Control 1",Coca-Cola Canada Bottling Limited,"North York, ON",Posted 12 days ago,,https://ca.indeed.com/rc/clk?jk=ae52fef5512b9886&bb=tqNuy8aHWq86K3Qfwp5GbT0MoqhL3CW-Gj0hv3pLETdm3MdGckqbn6xCMdaspvlncNDgLDIIGKZdOO38byO2XDOkqx6V2KxqfBweWWMAFLGD0v5kJy3aOD-Kkh-epygc&xkcb=SoAx67M3-yQde3SKB50AbzkdCdPP&fccid=d836e94cec8a7fbd&vjs=3
