ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Logistics Coordinator,Logistics Coordinator,MAPLE LANE LOGISTICS INC.,"Richmond, BC",Active 2 days ago,$17.72–$27.92 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D1gloeZjV8tk5aqxywO3Vqc9dmNDPLAnGwlcBEJgA5p1NcEBb8qPhuatCqiI_JrqDetin1RZXEWiNvofpFNzXo4FDYPpYTbvsmBrGuTpfPABV5p-_CwxsSiU5EHrv2aCN2Vptc0elBtAlAkk4ZgZQ7BuRY5jJMCLbebftpHjYt1xtJftb8GnNY10Up00C58sQ3ZZ2A2vTHFCUuqB0rPmOkhd0ZTXaN9SdePmmxP9Sp6g2jjUgpFoorfvXLuOIqOIBAXbX1QhW5QVohLnXSJvjHcZ7m-_FgxrtiBI9GR7xHibjY-zV6D-0vcJWFoxrjiDljuFQTmk_f2WwDVc38q1YBBpUpIjuOV_H9AlNeXx_phMgBuKD-QazLPXce8D0j8AXW_PsZ86v424MAsQAVXmqrozMpuk7JiOPS3a1al5-aqLul9kAssnlN7AcXiQdLG-MlXjUEfl1AqC-asj8Bl55aI85aTY0JScJ39wDRN5-MAVZt5np_kVlCWh0Xjo6OoS2GUIe2ZOMogx3DgchM7RVf60xiQB4ClBv5CxbHCVsf7qq8pIQKMuxR6ByNqoFjHkM3d1s2wP9zwnw5k3O0Jdc6FNmy1C7fqoh4qfrMl6gAjUEHy1hA56eDqmkt0PY8IpeaVSJ5_zTBQg==&xkcb=SoCr6_M3-yexzHxSTx0LbzkdCdPP&camk=nUmJqO2E8rgSmsIDsO4z3A==&p=0&fvj=1&vjs=3
24/07/2024,Logistics Coordinator,Logistics Coordinator,Continental Store Fixture Group,"Surrey, BC",Just posted,"$45,000–$55,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bf-_u4BZzv6N5DCE0GFAUthNbJWnIMIF5WH0wgZfQuTFZXUMZ7b2GJIy-DDN01toDcL_DJCou3XKTE3jNGhlox5w0DzoGOzUlVagHbP9PRpu6UaP7z4cTLc8eDkKtdfGoXTHBY89qQYGY8DgZ1UFWDNebOmYrJoQpMbiu42ms2Tn9P8HFBMaPfbKDv3_DvwIo_qsZlOcuBu4nyfslNGTIYtFbWo-pIYm8RGysTjX5m7I6az6Ep7gxKmA0c3fLJWQ1IOrmI_bMpwlpsM4t-B7WabNhhOBb2C11EALEkNRsy-9VZs67S1iDxKtHWU1KOxOao4fkwVXnZ6HwlA6pOgVq6kT0818zYiFoVYKD3g256_6I0Nr9TQDyDan3vBEOLL-NLqiVl7sCvlMxTKU2zU8AKOKYkMoZXnaw36cEp_-6ltWgMEqvPSe2BK4bgjZ-SeQCCoO6Ca1pqLbTLEAhS-FMV3rLkN8SXnm3qjkL5NNXeMZ3HtPIwZzBVvuYA5-cGJ0eGfdrc8q9DZALgb4-nIRnwXIfLlPuA4wRfzZZCzUmPEY8pKHEQrwr0yR4pruAeLe2wqUWSPUwP6GA9YEGbEp_Z8RLaD1QcrXTRRFWV4Mj0vP8xfU8R6cfvbXzOwN7YLQbvtekQv8Rvfg==&xkcb=SoAf6_M3-yexzHxSTx0KbzkdCdPP&camk=CPChkbYSGj_myod5YdbSYw==&p=1&fvj=1&vjs=3
24/07/2024,Logistics Coordinator,Logistics Coordinator,Millar Western Forest Products Ltd.,"Edmonton, AB",Active 5 days ago,"$57,525–$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D1yBWUyPkSVyM1wFsYWkO8ge9wH54oQ66vSykYNmXUxy-meNdMFkvrDweL8poVcZDqofr6kQRzW3bCppxVFnqrSZ1kcohxvAClt3KLwJNO5fkgPRIilRE-T_JkJ0PUHtk77ceerfvgpi0UGI_VJ3qZVojOZHLHq_3iuhllN7PnNzTug-Okvs29z5ctbXuhEK81eEV-wC0Ox_edNe9PkXYqes3pddjqvL1m4VNZdTtF1WQiDxezzU-hvdvCK28XAEF30uP_vyWSRwXYGI_COHP2JLigl_SUo3auAwFljiwyxLqUuwiFA2Ve7UZ8d9Fkg0CYwH-LD1OS0I6AL5wZ9nK73gnuhJYEgAxhebfDlzGGwNVhe_dpweGZspjiqjXRW6YtAMIBgv0YIEvOkfTXB_1w0VuXph0sLbSNa9YiJBCv_XOAx0CC8HJ6wPCTneETknJHMHlkK2lc4gWKXdXeK0kNNTDXAU1pVU_0XTYDOzJDYBRR79oLP3qnBtII0ZKESisdNJQgTdIqT9fLnaUkS0nCdqlxQLH3XoZiNJ3dy1NWu_LpHoHFsaa3YguGvtRr25iMLnE2qlmOzvLVm6e-MzO6QFpmRn5zWJ3XKdR-erDlW74-4vAO5KusTkT2BETN7p0=&xkcb=SoCC6_M3-yexzHxSTx0JbzkdCdPP&camk=nUmJqO2E8rgOFsil_vPClw==&p=2&fvj=1&vjs=3
24/07/2024,Logistics Coordinator,Logistics Coordinator,TransDriect Feightlines Inc.,Manitoba,Posted 4 days ago,"$45,000–$63,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dvl1gMmMmreN1yfcCWLqp1DFfjSEWapvjgFplhqY_Z2qVraWj0qkO0qfWiGfg-iOvH3JwbgQyWKK_XxRbukkHe8InuJD5VM4O6UFDjbDP2Lkvt6_giw1jHp1lJmueq6y3Gf0OA-GheaN5l0gClSkLm3qe8mWrdC-i3n8fy39BFLPhbPj_7S-Mi3beIIy8DFNJ4pS1LJ2LH4fAeLwcV8vzGPpmBNzuCVimCW0jeXitrqKiOaCafNb91cQ6FiB_Fv75XKrdJRsRSKbaiN7svd-sWz16lMpjJlti84uW0dToGk-9nRGFnd68y2hWKjRdY9jHudmfHMmJv9aJfCJdjTtZsa-tBsbwqyKzcMS9f3j157Yef3X4QcBL-HmJYeawFkWDx14fq8KhsZ3fZRJV02CisRqTvEEb8X8BZTX6-7v_7W-anEc4Rxi1uAKt_hMCqlioUmxZo9bpn1T3--5L_bAD9NSENObY-HDhF4VeOnlKrMvAmJ6cYnJhSeCYOFAAHC5aaMI01zDtvAYPhM1VmyjGx8l0AIb1px1hl2HG1vKe7tws0UOZRWIIA0MaMnh-MsUlRAXyzofqeetW8d1DNnP9TCorheLTx2Zvp_uPQtyX4tb2wuj1kzcML7i7O1jTDDQzMvaxpozTFmg==&xkcb=SoA26_M3-yexzHxSTx0IbzkdCdPP&camk=nUmJqO2E8rhjj7dY0E7SRA==&p=3&fvj=1&vjs=3
24/07/2024,Logistics Coordinator,Coordinator Logistics Operations,Suncor Energy,"Calgary, AB",Posted 11 days ago,,https://ca.indeed.com/rc/clk?jk=03a3cae848549061&bb=HYHg1EG6kC1AR4SScm6v_2dAjsj05xOKBoyYmyM6uVxr_4ZxtorNkaR9RjGvbHTPZJOEQWfcJ3bF6cRsuIUF5x8k6A8BKQnHHKEKpR2JWrPgTNcc2f98V_mP5ac-tm0g&xkcb=SoBM67M3-yexzHxSTx0PbzkdCdPP&fccid=7a16278a611dcbd3&vjs=3
24/07/2024,Logistics Coordinator,Logistics Coordinator,EZOPS,"Remote in Grande Prairie, AB",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=5035810e6ae7d325&bb=HYHg1EG6kC1AR4SScm6v_22YE6lO0fTvCl5vRb2GPR7rnNVKkbSkMHZzsTnW24KVc0VQ09TKAav6CjtZjF9h0p0uRglNn9H_bQrkX-ANYwVggc530Y4bcwVeRKWvyTKH&xkcb=SoD467M3-yexzHxSTx0ObzkdCdPP&fccid=83b453dda033f016&vjs=3
24/07/2024,Logistics Coordinator,Logistics Coordinator,Raven Force Couriers,"Edmonton, AB",Active 2 days ago,$18 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AdCWYVwdfieGfnjeKzt3yS14P3CnJiT8L8kvKtofwrKn29vMWrtUPrFib4zzIi4kxcOz48i4M5wj4jna0Xv_u2EBZiDYAiEcKo8eUnRQ6UPsJbh1gqUAkTblceEXBoo_RifqanZ99ew-3keZsdHQeeOZUQEq-MvuaI4kXAV44QdbgQT8XmGvMYVW2s8rFCWbZkIH7apjPbsW2OPs1I1O4Jaqhkt1B0fyAMtA4QOYWhr8v8I1UxsPbcD5PCW4hNNEp6a2zDKgU3RScBA03e6AYktS34FU7Fy8LA_YL5Cn0uaioXZCOehRBlILfJZNQ1zIbhr-J2tZU4ZsX5IgU7Dur892EZT8kLhWlHkjKVqAAaWNgXdxbmZtsOmDz1IpTaM_cC6Oh58S3tfLOgC9kLN2mdr5yhcxrBAIH3oUodBunzqpNGRCs7Ksrspd8nJpYw1BtPpIzIdIqZyAgsRayGIZRj1mNk3ebugUv5h8lJVqiKskqw6gVSd1UYTJcGBaF9M2T-Y0GTovomAqaNJHsSuEgPAJFt5JtOcMGEwvia5ixxEGOS6mtZo8m_JdBTTObypyZ_sRVCF9HzJvCs-_6IQcP91wZ-ulLeYPAlIbXP79l9o4F2gBYdF4343MqD-Cpy1WXaeAk36TAyVg==&xkcb=SoCR6_M3-yexzHxSTx0NbzkdCdPP&camk=nUmJqO2E8rjpYc0QgY-ywQ==&p=6&fvj=1&vjs=3
24/07/2024,Logistics Coordinator,Logistics Coordinator,B2Gold Nunavut,"Kitikmeot, NU",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=b12d859c6c3b9b59&bb=HYHg1EG6kC1AR4SScm6v_y84zg1xTZzQiB1EDaBSTkZV6v_W89N5eG8IqVaygvDVUPyeiLBZoYWIbMfKVRv7ZHhtt1ikmjniX0YVmCzd404Q_fTNuH74wVxeV8sQoMUE&xkcb=SoDR67M3-yexzHxSTx0MbzkdCdPP&fccid=a790598d8930959c&vjs=3
24/07/2024,Logistics Coordinator,Logistics Coordinator/Long Haul Trucks,Okanagan Containers,"Castlegar, BC",Active 2 days ago,"$85,000–$95,000 a year",https://ca.indeed.com/rc/clk?jk=dbe63bd62443fa92&bb=HYHg1EG6kC1AR4SScm6v_0jQc7EsboKtwQtgH68sDfdGlp9OzILFVQpgW1JjYkuVmlIXoeQKPbocH9rUkJfdwh80WYmohU1kbtdzzvN9ek2kp-MjC3pbb1mdy-d9oWiI&xkcb=SoA467M3-yexzHxSTx0DbzkdCdPP&fccid=b7c6f4cea0c11ac3&cmp=Okanagan-Containers&ti=Long+Haul+Driver&vjs=3
24/07/2024,Logistics Coordinator,shipping coordinator,Atlantic Roll Forming Inc.,"Berry Mills, NB",Just posted,$28.90 an hour,https://ca.indeed.com/rc/clk?jk=10bfb1b862ccc342&bb=HYHg1EG6kC1AR4SScm6v_1baT-yVh7Xam_xoEFUw0z2b9fmIIplxPZIvVDLp0he4-NI5jpYXnemPHqo2pdQsoJz4mHIYD6i2G-dThWInDS_LQ2uNNkRaYA%3D%3D&xkcb=SoCM67M3-yexzHxSTx0CbzkdCdPP&fccid=56818776530a7734&vjs=3
