ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Machinist,Manual Machinist,Clearwater Defense Systems,"Langley, BC",,,https://ca.indeed.com/rc/clk?jk=85e4069f146cd35c&bb=FRkxMRhRb0V3ATwCCKiC4QqHjMYLTDUjOqv3ACi9sybkSYMMlRWVtUBcm0uTOwUFYZ7lfT5JUB8xy5eba8CS9nVOM00FNECxVRb3dQt-SdUbLBEoSWJOm00p4QasOE61&xkcb=SoBf67M3-yF49dw8GR0LbzkdCdPP&fccid=4121cf01948be0c3&vjs=3
24/07/2024,Machinist,machinist,Crawford Machinery Ltd,"Whitecourt, AB",,,https://ca.indeed.com/rc/clk?jk=fb46ab4e8e2b24b1&bb=FRkxMRhRb0V3ATwCCKiC4TT1sPMnkPYQRcyYbn5jv1SNt7-mPwkayRIrFC4wM3EzsJgPaR2WPacG9ljCuH1_q8j80s1XWG2tpHAUY5me8D-lcI9HCuDr1w%3D%3D&xkcb=SoDr67M3-yF49dw8GR0KbzkdCdPP&fccid=e4d51597ed00c452&vjs=3
24/07/2024,Machinist,General Machinist,Linamar Corp,"Guelph, ON",,,https://ca.indeed.com/rc/clk?jk=5578ad91e7ba570d&bb=FRkxMRhRb0V3ATwCCKiC4YJLlHhPl_qeQjzVcukFiHdl1-58gHrFYlnRBSNzAtWVnHVv1OgcLxniN5WDqK4-1ctUF1PlPq8IhHfMeq0OnvFKNHII0223vXsml08TxJQl&xkcb=SoB267M3-yF49dw8GR0JbzkdCdPP&fccid=106637296587374b&vjs=3
24/07/2024,Machinist,Experienced Manual Milling Machinist,B.J. Machine and Tool,"Brampton, ON",,,https://ca.indeed.com/rc/clk?jk=024e7216871bb466&bb=FRkxMRhRb0V3ATwCCKiC4chcSYZpesU8720LZv4R74eRmlEfinWMfGE-mvZ61ytdotI0s2MhokuYraXEt16V8ALR83afmZPe1vgPpDewyxrMOG-CLpBXl0D0gkVg1Qer&xkcb=SoDC67M3-yF49dw8GR0IbzkdCdPP&fccid=cf4e953fc14719d4&vjs=3
24/07/2024,Machinist,machinist,Posi-Plus Technologies inc.,"Victoriaville, QC",,,https://ca.indeed.com/rc/clk?jk=5264e38bd34a252d&bb=FRkxMRhRb0V3ATwCCKiC4a0tsFy2YXysvmh3N9igU8dSnKIzKeymKB2HbMb4KA0krhzKTO9x5goFO-vDaNMHp55wh6hx6N54KPV5VKHu6agjw0Xf51LGmA%3D%3D&xkcb=SoBM67M3-yF49dw8GR0PbzkdCdPP&fccid=0d6cf164ea512d21&vjs=3
24/07/2024,Machinist,machinist,3vimatech Inc.,"Maidstone, ON",,,https://ca.indeed.com/rc/clk?jk=e7ae2cfc9d62d7c0&bb=FRkxMRhRb0V3ATwCCKiC4YjaZvbXPqxp7iToUGYbNuBy7sKVerFIYzboy2Ai52J85jKUsy14oBjc8c0XG-OzGLtmcZOyd2pRcmSJqPxK8RbQvcwah5bDuA%3D%3D&xkcb=SoD467M3-yF49dw8GR0ObzkdCdPP&fccid=32e4ce1679ffce0e&vjs=3
24/07/2024,Machinist,machinist,Techtronics Machine Works Ltd.,"Musquodoboit Harbour, NS",,,https://ca.indeed.com/rc/clk?jk=e967cd3f2c1bee13&bb=FRkxMRhRb0V3ATwCCKiC4aUXWYFxrCn0dAzehFFaxBpsWtLAkD7VJkHFALeqDTSE2PvkCiu8BxTD2_mlzUxD1BFhiq4nQGwg03D9HZA1OvdXVdBOUqwoYw%3D%3D&xkcb=SoBl67M3-yF49dw8GR0NbzkdCdPP&fccid=5f5646817bc9abad&vjs=3
24/07/2024,Machinist,"Machinist - Medicine Hat, AB",Goodyear,"Medicine Hat, AB",,,https://ca.indeed.com/rc/clk?jk=815ad58ed07f2c39&bb=FRkxMRhRb0V3ATwCCKiC4QtzU5YlnYcgPTC9LAX73Fy0rhxq7aeGJIVzAerQS-RFmSSGbIaxJ87hWAaCIB0718kVqXSTmfKLEFrZuVEHbVQIWATvXsBINAkzvwaO0NEc&xkcb=SoDR67M3-yF49dw8GR0MbzkdCdPP&fccid=e451672f561ffb08&vjs=3
24/07/2024,Machinist,machinist,Western Steel Works Inc.,"Deer Lake, NL",,,https://ca.indeed.com/rc/clk?jk=0b12636938c8841b&bb=FRkxMRhRb0V3ATwCCKiC4dPl54Hd4F0nr8s5iLhTMpRL8LpZUSSi_Lt0vGlTPx7rV2qpqMM8Ek1q0PGdxMXLu7uTBRqkSnEqdqjDMzailmk7SR-HqjzQaA%3D%3D&xkcb=SoA467M3-yF49dw8GR0DbzkdCdPP&fccid=07ef7c2c7e1e65d7&vjs=3
24/07/2024,Machinist,machinist,Roger's Electric Motor Service (1998) Ltd.,"Bathurst, NB",,,https://ca.indeed.com/rc/clk?jk=21d97735478af0a1&bb=FRkxMRhRb0V3ATwCCKiC4chcSYZpesU8mwoy3SrTox_r91pE5ncTe2twIYh84jf-o2h3jSZekTjulj_5WzsucX45kDrqPBJXQkAHOVmXThtAk9tjq5OyXw%3D%3D&xkcb=SoCM67M3-yF49dw8GR0CbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
24/07/2024,Machinist,Machinist,1300-Applied Industrial Technology,"Kamloops, BC",,,https://ca.indeed.com/rc/clk?jk=506475e7f09c51d8&bb=FRkxMRhRb0V3ATwCCKiC4SkRkZKnIAbLD5ruXxbIN40H7mVBm4nh1mumlHg4ArQDBcwAb0Dcs4AJXGoTGfCRglNXlCSzn4iuZ7BHJdOb9wHKowTaCbc0Qh2K7BzU1KZy&xkcb=SoAR67M3-yF49dw8GR0BbzkdCdPP&fccid=e9d60c2d312598b1&vjs=3
