ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Marine Engineer,Marine Engineer,Wolverine Terminals,"Prince Rupert, BC",Posted 11 days ago,"$80,000–$120,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlKrQraXIiXualB_B-rkp0C2KOm49v2NZHjznuf0YRWu0DQSJRPevcdrEtz02VcPPrsea0pROb65d3alG3I6Py9QgsAg8oWZNk7Ajsu0xxiwF4ia88RUpFXZSWYGpmd52cWbXybX46Vd2HBEu5f_Ed_vnbI1NJ59QNKwCG2CNmcJnBha9j_jn4Yz9I2mcZcFuldGVkoctE2YC0YlXRiQ3be9vUM_MXE5ggkLbXyvRs_Y1tB4fNvdHUapxKoTEdet4uVG_mWiZqdAIEiT_qBmWY463g7mF3RoQMBvlUQK8IGvTgFNuYslFSgxXH44EJJj3RCgd0ykYb40j2BS4JGB3rUTrula-OrMpu7w3HBlnR6-ADt9_TXYKFSJ_UtcCJ7T3IhOkfu5uoyvnoQF3Tc2uEP_-UdDZkw4R2Ta1iXGxlAlFj1t7c851KiDuEqVRW-EV9LI_FxnIPiYAQ4mDC6yZAKZeBc46S7mRIxVgDWQP3ctEgGFzZxLc75gRA6IZrTj4DTUQJXEHodExtj5b1sCLAapTM4wHCztLvApQpoTmSC2_YxAi7Q4F9uJS5YoD53T5sd6yeyXO7mpml_NzxwZkH3VHaF4pHPdJIbMAFRFKdCWeMMcaH1PKSXYAABeIWSOw=&xkcb=SoC_6_M3-x48txxXdB0LbzkdCdPP&camk=nUmJqO2E8riyrUHP18SmcQ==&p=0&fvj=1&vjs=3
24/07/2024,Marine Engineer,2nd Class Marine Engineer,Northumberland Ferries Limited,"Wood Islands, PE",Posted 30+ days ago,$40.50–$45.47 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BpbR-hd0ab8OlFFcip8m9ev5T_0Zq089r4AIemDdC7uISe3suBURpbDkYuPVKZvAQH9MgStyZnprx2CdiXTXtkzEJk3WJETQb4hSOEr55GeqbsY-x2Z84khlkL8EK42QYGtZYgw7VFxZgt5t-G92MNjH9-SFBK31n1TfSaccpEpuDU5RE3-9VoxhSD677OHTDsEzrlao3JXbHHkTK8wYB1t4eeMEzyKxxPG158uvjVV_FaGP_0ufgfY85qsDixhHRjadiLXgOdaFzWUQfjEqy8mgL9-gAz-bRJkCBJ8t5ncfCOL7gJqGARMjVn7ySWuCRy6UTPm85_yLs_Uyg6xszFjXNYlxJ2jKPpLFXJAkUYiAWXv6HNlCeOdvOtE1mbjPfKnQd6WZUFxAD74oHQYsNdHkjFpS2Wi3PferrMgRZw7yGYcr6OEmJrQTpddoreZdwoW8PDYY0NSq1cuGKX39kTwSNjB6A6xZVQgdeiUAlJSWYfJqIHOSSdj1ZPqBbb73tkQRTUMBffAu4Y5pxfR1Ys6JZ9oitQzO84OLbP8kdNSdMGqd-CAgrgPaOQsX3q7fvfu1CuqdFkcmxvNM1DcRdNTm6MLFQLGD01LEZJkT9WRsmyOHwvXYDlTl4Rqe16dpXLEMW11DQSRgCB85kX8zzuhKprNikt_uVGnbPo732yVH-TvWMslfrT&xkcb=SoAL6_M3-x48txxXdB0KbzkdCdPP&camk=4HOcmqOLYrDU7so8BbR8eQ==&p=1&fvj=0&vjs=3
24/07/2024,Marine Engineer,"2nd/3rd/4th Class Marine Engineer, Spill Response Technician",Western Canada Marine Response Corporation,"Prince George, BC",Posted 11 days ago,$49.69 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BsAjwpyVurM-r5j7oGABjqFVWy0OcVUfJpvYUnlci_AnaCj4i1nGmAf-AUlOTG2tq_Ad9tM0FknulBCGBV_aFYtPwjLdvuM_u8-XYmsQQTEV2WSept-E58GuzuTSHOegWXsTZl4USKHVmEtJJhSfWq82OQo4xEv8Bjc5RcfHNqRj9SC0mPqr3U-N1cwFW8di9ctTd69lTebTD8Sc-J5gen9R8MDtk3IzlBcO-qBj46WNJkT-sq72GNCbp2usW9OZ0yheWT9SP0u8MMR_hHFg_vGG7B5JfpT_v9UWDIODsqCp65zSqU5YzK1eyn-P25Cs5zeWJGcOPOfcZoFwuVfmiw95kbshM9qEkLQs3UpS-4zY4-QY_GW0tzKo_h7Zm010q_brM8C-EbPhdHXvci5xPKBtCZlg4eGOnOfc3MPbYA2B0wWKALLCg1ctOC0f4CedZIKdOV03OT1qqfxkvohrS7v2CdDlAk40FY7qxmhXRXeFjb6Ug8X8JDq3hraDE1cgrO6fLigp7wIT-qU0Kqmu3seYZst38zGREcIcLjbNz8pQeP1iNkju1Xrke1uXumCVhDus_rZRBjQFcmkBSyI2SCtEGX8t6yVAJ8hnj-nSkAtdeYeyiaf5v7Md7Y0Q61z1HfzR9yQWqP9xqGKBpYNB5Z_qh1V0MsvGBjxBjM-awQO4I5G_Z5SQ2k1hGgUMAzeFCnnyU_n1DaWIZP6L8lyfqyKl9b9uIitzzlh6N6LRB7Av4e9lHH3q0vTj2_xW6lhwY=&xkcb=SoCW6_M3-x48txxXdB0JbzkdCdPP&camk=nUmJqO2E8rg_TaMHFxlb1w==&p=2&fvj=0&vjs=3
24/07/2024,Marine Engineer,Fourth Engineer,Horizon Maritime Services Ltd.,"St. John's, NL",Hiring ongoing,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoY0hngUhKJ5rWeyOqFaiuXkYvpnLoMgmOf31xPLJKJSgoNYqrNvNvvj5CSF0kQAEEdCvv2JLI3zPTAyOjB1AVleVRvYXfzSx2tnECJvYo4axLdTghz5zK3PdCjpY-szgFfiCDwYJqDdsoh9e9yh1ur1jboCnFI0bOZ6M8GPHFTJKL37DlAr9ca93kATKEwzsm-3dLHo4VEUcU4yACSNsVVVz7h1OUEDCV51D9_f-LhzfNPj0ZHXNDo2RjjA3Uys60oikSAEDMT7BDSDWCxiS0rGRl2439dUEr7Gr9ebiosMnyw3pSAH4VIfVMHyhbhwnouwb3kg49zQJcv88z1ti1sj2A7dlSn7o621UV7o9Ju7UpPc4PL_KTPXaac49F3V_YZWLbY9o70nwvihDDMCyU2p1sosPKXSuLkustC6J01OakNIwMT6Ut8vwtZDso91ucPQWIwUy6o3T6BhDIV6aeptd_-6XYOvi29iWq4f_hgB2IbH7aOv8CGV2hVWdvujeHVHWqV71FmqZBTcAnYsG-Iuq4mGwhnci-XwlaVp6SAA_Z3II9rVdoyJYpHO2dGbe7UCTPOac70IQkqjnmIqVNXm9bAIbBBqthHArF5qMnOj6BabG8bR7HxJLovG3Z4S8=&xkcb=SoAi6_M3-x48txxXdB0IbzkdCdPP&camk=nUmJqO2E8rhJK70awZvqGw==&p=3&fvj=1&vjs=3
24/07/2024,Marine Engineer,Marine Engineer,360 Marine Ltd,"Harbour Breton, NL",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=271dbade94f873ef&bb=lxRZTBnXPPS1kJqkGp4VMrsprhxEinvMFvXfT5V2a17VODJsngK5ALVNNbNrkPFhDs9BBF3UYkEqbH9ljL1G6yahIrQrfXpJ78F1WRMwsOboprCGhSU6505Gc_xzJvTZ&xkcb=SoBY67M3-x48txxXdB0PbzkdCdPP&fccid=376841d2637596f0&cmp=360-Marine-Ltd.&ti=Marine+Engineer&vjs=3
24/07/2024,Marine Engineer,2nd Class Engineer,Seaspan ULC,"North Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=4a50605eb064c056&bb=lxRZTBnXPPS1kJqkGp4VMnz9yFDBsyp5No63vkBNeqy0Fm6ib-zawhMuzeyIElhki4OQTtCb9pVGQicbx6A83EsuaNshAFIFvlXoH1WNV7RdQULgIiQLVHXSlEiFuNxN&xkcb=SoDs67M3-x48txxXdB0ObzkdCdPP&fccid=39e239a7200df342&vjs=3
24/07/2024,Marine Engineer,"marine engineer officer, offshore drilling rig",Puglisevich Crews and Services Limitied,"St. John's, NL",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=55635108a4d0c61e&bb=lxRZTBnXPPS1kJqkGp4VMtyuNWIcSyAmcS4Ss1oK4Gq9zhmG7qePogEZ_FuS7iOzMl10neQZG4VfsVgk676Sak-M-SfQZBvBX0MBnsYxkktQxufBo0vRhQ%3D%3D&xkcb=SoBx67M3-x48txxXdB0NbzkdCdPP&fccid=2c0370df86e113d5&vjs=3
24/07/2024,Marine Engineer,Third Engineer,Horizon Maritime Services Ltd.,"St. John's, NL",Posted 4 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BoY0hngUhKJ5rWeyOqFaiuXkYvpnLoMgmOf31xPLJKJSgoNYqrNvNvxi76UohENfaB9DcXTOvt9b2rN0RXbetdhOHtt5YenfKTNNWDGozIsPqaorAJTRiMfCStMieIOV9AbLW_HeBP7Cu4Mnz5O3JQ_LdhKpwTmk4o5u8sh8f8tRR2eCW3OILK2tDsU6ppBOzCM062JT0TnTfJr49qNFFq5_b6TUIp3YYDQaabuagu34LBdMYWH8itpubvwJu_5tvFitkQ52HrX7gkZJKnotlRgP11b4jNjL8wbmmrY5JO-foknN15iuVA-OTcF9xPDhPhaMBU3ZmRXuMDn4fCqGfKFxk1s6QF3zcqumUJ7zisqWuJ-sgYz-t_-HvuZh0izKMyY1XyRIbRWifBOfswxtjMYlIn9LStKGPN6FNkeMJXVfcKtbyo40HxPs6LqTQhW7CPypOdsRDBNVPYnpRZYYRBIPrFfVhNPqo5NqShO9U5ib5hvVwxr8Nc4rd9hXYffo2g0ks-VdqsIb76JMcL4ezyuChwAnbrQbQNWfqqiBgcjr_LPSyScl6RylvXWmHlI9_45PBkEeSfc0KOuPYvjY5DbGVY3Zo3x-T9nSUvukiuHQR_RW-PD6qvWMjYLxMLPSA=&xkcb=SoAx6_M3-x48txxXdB0MbzkdCdPP&camk=nUmJqO2E8riXgpzuQ0qnEw==&p=7&fvj=1&vjs=3
24/07/2024,Marine Engineer,Process Engineer,LANXESS,"West Hill, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=50de180c81f21324&bb=lxRZTBnXPPS1kJqkGp4VMuA40lqSeNM5Q9k8A8-DN9YztV8AlQNgeMRSFM0OkobZmh2Xw-ezo8do7h7CqpQnkQPKPxnXPefjH75qri4hf8JYpOQngvXgz-9yvMarcF0J&xkcb=SoAs67M3-x48txxXdB0DbzkdCdPP&fccid=969298818c0907be&vjs=3
24/07/2024,Marine Engineer,Marine Crew: Engineer,Kingston Destination Group,"Kingston, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=3371b4b32586be5a&bb=lxRZTBnXPPS1kJqkGp4VMrXulz3Eq-kEswtDoFl-pu40tcQrbRgzh9yhkzJG-cWKh587eL0CFPxjRovKHZYANh3bRDSpkya_R_P6_VPzIoKqBQhrTLYGswnblregJsIj&xkcb=SoCY67M3-x48txxXdB0CbzkdCdPP&fccid=f8c20b24d200d4fa&vjs=3
24/07/2024,Marine Engineer,Marine Engineer,Concord Pacific Developments Corp.,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=546f54215edcd7ce&bb=lxRZTBnXPPS1kJqkGp4VMuNEI1zQ7Q8DiL_bpJFn2xRTh5GbFcFPoMSXEp-oehKdhuFpKGCJ2GXHJllMHC-qtj5iWtbHnL6pkl3zCMCJCcP4vLTesse9Q1JHNWR6Bl5S&xkcb=SoAF67M3-x48txxXdB0BbzkdCdPP&fccid=fd82cb275c5b487a&vjs=3
24/07/2024,Marine Engineer,Marine Engineer,Serco North America,"Toronto, ON",Posted 30+ days ago,"$83,300–$85,000 a year",https://ca.indeed.com/rc/clk?jk=c902cfa5fc34229b&bb=lxRZTBnXPPS1kJqkGp4VMstnMVrg60nBN9_wuUloFe_XWCSiwWDdLW6dnYuqwPxzYslDsHYAUsSRE7IaXENhnYMEInCIAfki0jt6pISjcXKcAxkerBNoPWq6xkoru9EE&xkcb=SoCx67M3-x48txxXdB0AbzkdCdPP&fccid=6e5a32280a829576&vjs=3
24/07/2024,Marine Engineer,Engineering Superintendent - HaiSea Marine,Seaspan ULC,"Kitimat, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=18da0cc6b4a4b425&bb=lxRZTBnXPPS1kJqkGp4VMuWW7PM4wX347IIlZygUYmfFUp7hCcHm1e-QZb0tfpzbqLWkuWhJpv13SBxVOCW2lmSNh6b61I9almnLDNtfxpg4qQKZ_pHRLNLU3nwh08BZ&xkcb=SoA_67M3-x48txxXdB0HbzkdCdPP&fccid=39e239a7200df342&vjs=3
