ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Mechanical Engineer,Mechanical Engineer,Orano,"McClean Lake, SK",,,https://ca.indeed.com/rc/clk?jk=f66dae56e04ae8b3&bb=CFTq6UM1AQIjCTPYOuXIOcM9ItC90_-3rgGr0YIureGXXpS1GzxrKsqSO12S9O8_VovLP8IYeD-K79j0FkyCCPx-HVEl525hpDMZuBzDU6wxtdOGeUSWUg%3D%3D&xkcb=SoB_67M3-yMP_qw3hh0KbzkdCdPP&fccid=8c52cf0c49287a08&vjs=3
24/07/2024,Mechanical Engineer,mechanical engineer,Nylene Canada ULC,"Arnprior, ON",,,https://ca.indeed.com/rc/clk?jk=b16d7318ab00143a&bb=CFTq6UM1AQIjCTPYOuXIOTtEp2Znu2i1CiwcwgSEV9vfZqWdn2GgmvSWRXYpDWOW7q_P90XjWm6-hKoZPzTVK7d1oVNuzBxlaCUF0kHA2LgRaBE-8_8zgw%3D%3D&xkcb=SoDi67M3-yMP_qw3hh0JbzkdCdPP&fccid=76d587ce4f41b44f&vjs=3
24/07/2024,Mechanical Engineer,Entry-Level Mechanical Engineer,Sargent & Lundy,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=ff8e292a2d9bb882&bb=CFTq6UM1AQIjCTPYOuXIOS2yENYlVb5AQ9joMlrLHF2y4nSO7cMlU_UKQXdgR6aPnUim0JL5nrB6grRyzMpwYul0PqN2lOmtlXV0s9SicUROuBMbIqK-fw%3D%3D&xkcb=SoBW67M3-yMP_qw3hh0IbzkdCdPP&fccid=edbcef7cb9967c7d&vjs=3
24/07/2024,Mechanical Engineer,"Project Engineer, Maintenance - Mechanical",Vancouver Airport Authority,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=6b6572c7e0df99da&bb=CFTq6UM1AQIjCTPYOuXIOcWu8E0-RMSgleIHVV2g7pyZ28Qo-OdFyc5Y1NnZot1bp21UzW0Uwt4kIGEaKGbElb9k_7tYtIL7uy0346XOf7uVa4jcxWE-Z4VdcnITdMp_&xkcb=SoDY67M3-yMP_qw3hh0PbzkdCdPP&fccid=b5de3c5c688e58c1&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Maintenance Engineer,Vale,"Long Harbour-Mount Arlington Heights, NL",,,https://ca.indeed.com/rc/clk?jk=b7efec8009ac41ee&bb=CFTq6UM1AQIjCTPYOuXIOecmeSTROV7twu4Q2PJUQ4APVbhTtMFVRVBD3y8Yj_4AauA4Ia9mNgBwtwbQXrZPGGcybF2E9hTPr6AkWDJ-zVEDzWzcmK2JTcTNLn7aqhSp&xkcb=SoBs67M3-yMP_qw3hh0ObzkdCdPP&fccid=7bec30406f61d77b&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Engineer,Curtiss-Wright,"Newmarket, ON",,,https://ca.indeed.com/rc/clk?jk=565efc270ff4a018&bb=CFTq6UM1AQIjCTPYOuXIOat2KXfht2HceWcqr26qNrBFR__nUrGoJ2JI__0ffWFt2nUmuEntTJLPyMhkUiRJf-uTihB8Y5OkDyxK56Zn6H82McJ8iAmfvg%3D%3D&xkcb=SoDx67M3-yMP_qw3hh0NbzkdCdPP&fccid=8203bf77b6d24450&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Engineer,Zaber Technologies,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=45f9284eba4b065e&bb=CFTq6UM1AQIjCTPYOuXIOW9Zv3HyVrSBi_f5ENGLCjRCWhQfi97Tk--S8cfePgoQX4VSyQFECGq385DopsGVGMWfi7xhBeDx7qiM_7pxASuiGubOeZ35t9052Y9qxYeP&xkcb=SoBF67M3-yMP_qw3hh0MbzkdCdPP&fccid=66b10a49576d0d83&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Engineer,Government of Alberta,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=032f001c2d97ac80&bb=CFTq6UM1AQIjCTPYOuXIOWl0VGEOWyyoYbd6dueeSLCUHOxTz-pOVC1XutFMW4K5gBokoQ7s2-81yRzl_mLve-K0IUqNXI6RZHzAFqyBz5AGDRdTrIW7fMIgdwgnGlMi&xkcb=SoCs67M3-yMP_qw3hh0DbzkdCdPP&fccid=06eb55e7689c0bc2&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Engineer,Canadian Nuclear Laboratories,"Chalk River, ON",,,https://ca.indeed.com/rc/clk?jk=0437ec9b046f7ff3&bb=CFTq6UM1AQIjCTPYOuXIOXBGi2MY4RHkUuzsU4iC5NKXqXHGQbYxDNucrhx-aa4KO2skqahSaqTupGkyXaAI9_9QF0Y-npzWCva_94i_P9pWGe_vESBe8ez-AmknMokJDYdfCvPQfJk%3D&xkcb=SoAY67M3-yMP_qw3hh0CbzkdCdPP&fccid=a0da53533519eae5&cmp=Canadian-Nuclear-Laboratories&ti=Mechanical+Engineer&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Engineer (Term),Newfoundland Labrador Hydro,"Hybrid work in Churchill Falls, NL",,,https://ca.indeed.com/rc/clk?jk=6711f11a505f4e46&bb=CFTq6UM1AQIjCTPYOuXIOVNL2xphLXA653utfnnPsqQzf5zeWEyT758OibrA4-rOd8C60ztvSgENPcpPhMPNgkIUtjAGL7gEbqjmmAXZmPdTCjoTvLgvuCqsOj0ZGDRT&xkcb=SoCF67M3-yMP_qw3hh0BbzkdCdPP&fccid=e6772b7cb8f19f1b&vjs=3
24/07/2024,Mechanical Engineer,Test Engineer - Mechanical - Trojan,Trojan Technologies,"London, ON",,,https://ca.indeed.com/rc/clk?jk=3a4daf293b5085d4&bb=CFTq6UM1AQIjCTPYOuXIOat2KXfht2HceLl1FXiGqoWB5D0nvZjnlxLSQ7U4AhDfdQEqlZQfeUuvGpx9hVLb4l1u5v4M7OyMFox_CgnS4Rw4oRScMQ-kg_J5teCVVLNw&xkcb=SoAx67M3-yMP_qw3hh0AbzkdCdPP&fccid=9d22ded250d42b07&vjs=3
24/07/2024,Mechanical Engineer,Process Engineer,Magna International Inc.,"Tecumseh, ON",,,https://ca.indeed.com/rc/clk?jk=b946f26ad4f6a440&bb=CFTq6UM1AQIjCTPYOuXIOaOaYTGZr39GzUKqjEovwnA7g6N9m9CjQ1_5z8YDrsn5tRm0Q7AQ7J1yr2juC4RVJaEoRbEnsfA7JLlK9L_-NvcSyGXpOxZWnh9mVih4b9f5&xkcb=SoC_67M3-yMP_qw3hh0HbzkdCdPP&fccid=254ad00cf333484f&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Engineer Intern,Breathe BioMedical,"Moncton, NB",,,https://ca.indeed.com/rc/clk?jk=e70c5270d8dd3003&bb=CFTq6UM1AQIjCTPYOuXIOWPNjd_szWnXMabZcBpYDyJfVmPaSLMRJFTd0Oe6ju5Gk-hYWFRt_EV0gMJXFWizpZskIqBtdlxE3SmqT_1H-wIGrEZpuctW9rQqV3fqYRA3&xkcb=SoAL67M3-yMP_qw3hh0GbzkdCdPP&fccid=264ca646cbe22fa1&vjs=3
24/07/2024,Mechanical Engineer,design engineer - mechanical,Racar Canada Inc.,"Windsor, ON",,,https://ca.indeed.com/rc/clk?jk=d57f7ab43c6813c9&bb=CFTq6UM1AQIjCTPYOuXIOYekHs3IV7kfbBBFW8JkDJqfqQVVWEiD9N9NzKQGcuSgoiQIefjPibzdi2AJrKAkyPlF7LORBcCDUOvf6qVO-OqvNT-P7hXQZw%3D%3D&xkcb=SoCW67M3-yMP_qw3hh0FbzkdCdPP&fccid=a5077f56a35cc2d8&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Design Engineer,PCL Construction,"Nisku, AB",,,https://ca.indeed.com/rc/clk?jk=8b396ccddea50966&bb=CFTq6UM1AQIjCTPYOuXIOVNL2xphLXA6RSuBKx0J2D0YmM6tQhBTaLQZ8swndBP9zyeC7UpN2_Y7S6QOxXiWxfaTIiW21beXeUToFL8juvo15oYt7xtJJ673Aj8sfAPI&xkcb=SoAi67M3-yMP_qw3hh0EbzkdCdPP&fccid=73c309830cebe205&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Design Engineer,Linamar Corp,"Guelph, ON",,,https://ca.indeed.com/rc/clk?jk=1f78ce0ce2248ffa&bb=elx1sx0NS0LDuPTNiEcxsIF2b7qWW9pbDTtA89QAUcJhBCEHfInWdbdwLq69tVvcV2-17X2pWM3JgdFjYFbS_N94OX3lDip1bRRot8ngBMDQjTdfnxd6TtqK-fwO6Sek&xkcb=SoBr67M3-yMKiEw3hh0LbzkdCdPP&fccid=106637296587374b&vjs=3
24/07/2024,Mechanical Engineer,Junior Project Engineer,SCOVAN INC.,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=5f0390d92a9c3dd2&bb=elx1sx0NS0LDuPTNiEcxsEkiULDcVcWLED0U8PbBYNx6Hgk6ZM3NRrTh-kiRG63LiuwNXfOpJ6Y7R_MHzj0bacV9gB7OGDwc1OXqphI8QSgHcuf7ciNNNGjtT0W39DvD&xkcb=SoDf67M3-yMKiEw3hh0KbzkdCdPP&fccid=6673e6afb265339e&cmp=Gemini-Fabrication&ti=Junior+Project+Engineer&vjs=3
24/07/2024,Mechanical Engineer,mechanical engineer,MegaResistors,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=22d6de1badeaf32c&bb=elx1sx0NS0LDuPTNiEcxsOsCzIh40JajfBrbPulzaLWtuEWEeHYXxXvfgAokqeIXjGEQWgzkE5aIgVzsa22LgSnT4YbRY4scB-J3jF5mXtSfxzLHqoWjWg%3D%3D&xkcb=SoBC67M3-yMKiEw3hh0JbzkdCdPP&fccid=d73161af35f9aea2&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Engineer,MAT 4Site Engineers,"Hybrid work in North York, ON",,,https://ca.indeed.com/rc/clk?jk=c4aaa1b650681cc9&bb=elx1sx0NS0LDuPTNiEcxsFiI0TzfLnCvwp_BIZIepiTuTz2HpP0oWtYHei0XBMBXqGUXjjEJwIyCXyeCMvqXLKox-JxoaBJuDYH6gspqmbQSmrb1kmXMBJYSicoflYkf&xkcb=SoD267M3-yMKiEw3hh0IbzkdCdPP&fccid=bee50987f8130d04&vjs=3
24/07/2024,Mechanical Engineer,Process Engineer,IKO Industries Ltd.,"Brampton, ON",,,https://ca.indeed.com/rc/clk?jk=9122c4bfe0b3db7a&bb=elx1sx0NS0LDuPTNiEcxsExGcSGfg4LgIsiI8_VUUsOFhaakJaZOZwVAWyqs91xlgOhYMYyyIT4aYIoYXa8p5i5c0zCx-AW2O5sFGn8TB8w8nwOvkHGGEBWttc5_6qOd&xkcb=SoB467M3-yMKiEw3hh0PbzkdCdPP&fccid=2797a5c9d392078c&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Package Engineer,Equinox Engineering Ltd.,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=13f754a685bf8151&bb=elx1sx0NS0LDuPTNiEcxsJTk7vXICoKsgXjF1-NbVthV7naEm0ArzhwNna3ZLfTY1KudTk8tPpoMHYgwZFr9SxS8_RL7TJVb9moGNBJY0Ia9N0WO5chYs95NEtY7NpJi&xkcb=SoDM67M3-yMKiEw3hh0ObzkdCdPP&fccid=edf80c30b039f1cf&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Design Engineer,Handling Specialty,"Remote in Grimsby, ON",,,https://ca.indeed.com/rc/clk?jk=26fa0a46606b8189&bb=elx1sx0NS0LDuPTNiEcxsOawHorTr0ZqdSLZBUru9ytTXdSzKMwi4JDW144CCq9a8QeSurPB4-H5AuyX_icTN-hXb22AC3_An98hs8xtfFGgLyQM7e7trVETbMu_vj7s&xkcb=SoBR67M3-yMKiEw3hh0NbzkdCdPP&fccid=d942399db57d27a3&vjs=3
24/07/2024,Mechanical Engineer,"Mechanical Engineer, Buildings",WSP,"Victoria, BC",,,https://ca.indeed.com/rc/clk?jk=46dcf528d121daff&bb=elx1sx0NS0LDuPTNiEcxsExGcSGfg4Lgls8qNKlqTvk6f0-nO1bZ2otcrOqU619SvPr0ufcDEfqKv-c1qxte9_z_C1K_BDvcjGzoOfA2Z3Y3OOnFFpWRjLdrQBOudDtx&xkcb=SoDl67M3-yMKiEw3hh0MbzkdCdPP&fccid=125e77713a321cdc&vjs=3
24/07/2024,Mechanical Engineer,"Mechanical Engineer, Graduate",Ausenco,"Hybrid work in Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=f8e0b8be4cb50106&bb=elx1sx0NS0LDuPTNiEcxsFmnA5O174ybnNXYuE50m6y7bYA2a_n9qhlURT5a-BFvPfvaHU0x5iV8LaZxA43Vy_AvW65DvsOsDUP1pDySkerX-1KstIkNpDsliLdiijPo&xkcb=SoAM67M3-yMKiEw3hh0DbzkdCdPP&fccid=c8c37aa2b92ee568&vjs=3
24/07/2024,Mechanical Engineer,Process Engineer-in-Training,Lafarge Canada,"Fallis, AB",,,https://ca.indeed.com/rc/clk?jk=e1325a832ecbf1f2&bb=elx1sx0NS0LDuPTNiEcxsICMhe1fCk6qGSnW7NvBUrDD2FwvBgR98irWZ0ARDXzQ86B8Bpu9u0lyRtV_pCk6QLjqcSJrxr1UmeR5lm8LUccHqqW3YdijtTlM7K8_Kduc&xkcb=SoC467M3-yMKiEw3hh0CbzkdCdPP&fccid=ca0200f8dc41b916&vjs=3
24/07/2024,Mechanical Engineer,Designer - Mechanical,Smith + Andersen,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=8d08371f91dae3f1&bb=elx1sx0NS0LDuPTNiEcxsFuNQ07vychehWPrOLZSPIBGcDmKMD7PLPNTCo_HwysKQVfgXnP-YpgZ6oStjEKbke7PJ5-QfxdB7OS_yOc6PWLCCO0jz3ijbKdzWoD3YA15&xkcb=SoAl67M3-yMKiEw3hh0BbzkdCdPP&fccid=8e6068423f8424a4&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Engineering Co-Op Student,Worley,"Pickering, ON",,,https://ca.indeed.com/rc/clk?jk=a7de27255dada540&bb=elx1sx0NS0LDuPTNiEcxsBCOZmaTdmzX5Pb4njkSFNO06BRFcjjp6Wx0twyyVNZx1Tvy-2SAT0MR6HKSNF_54n-yMjo6mJFroD1rVr5isAylCUHnvkOifOR8M61dG1KQ&xkcb=SoCR67M3-yMKiEw3hh0AbzkdCdPP&fccid=d9805af20a6c196e&vjs=3
24/07/2024,Mechanical Engineer,Advanced Manufacturing Engineer - New Model Development,Plasman,"Windsor, ON",,,https://ca.indeed.com/rc/clk?jk=2ca7ad24dab5b667&bb=elx1sx0NS0LDuPTNiEcxsNPOEqUBRF8pQQZUTl_GIbOhQhmxo4MZh5733jkHUsYW1r5wAI4HrWN8SCsj0Hs8CjQdF8cbHf3CzO72XsUx3XpMWJWAABn1xTGwr_Ak-iST&xkcb=SoAf67M3-yMKiEw3hh0HbzkdCdPP&fccid=b6616c91c73a5f91&vjs=3
24/07/2024,Mechanical Engineer,Design Engineer,Gates Corporation,"Windsor, ON",,,https://ca.indeed.com/rc/clk?jk=a4a79a9be937f3c8&bb=elx1sx0NS0LDuPTNiEcxsAvT9cR-HB6Ojl1s4E2GFhC9vCC7cM6FdRHBGxcXOowo8p0NM_cshMPZFAtdhp6PjW0A3DEbPDFFmvd4LFjgO4yKQFj-cGc3KR2jDfLzTtCv&xkcb=SoCr67M3-yMKiEw3hh0GbzkdCdPP&fccid=a12996b2625d253a&vjs=3
24/07/2024,Mechanical Engineer,Mechanical Design Engineer,Wexxar Packaging,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=e16712826de9ea01&bb=elx1sx0NS0LDuPTNiEcxsLRHJ9ZzFljscUV6B8lWzQcKQj_DbqOSrv2SranbUXydvXFXdbzTwMQXZbezgCWZrZajMVK2WcCGI0VOKrtBTRbeWvNPU51uuqqwoD_A2LZr&xkcb=SoA267M3-yMKiEw3hh0FbzkdCdPP&fccid=27021f4936bfffb0&vjs=3
24/07/2024,Mechanical Engineer,Design Engineer,Gates Corporation,"Windsor, ON",,,https://ca.indeed.com/rc/clk?jk=a4a79a9be937f3c8&bb=rSNIodAVHJERdKAe_Tn0GoTZf1pk6Gr4rY59Mw1qPxE2vxcnqtgN_Euh7QZpmvvdcEpAp5LmZi5-Tm5hFZbQUayQlqKa8GD10JRir8WnR7fK8mz21EUNiSAazZ2chyuX&xkcb=SoC567M3-yMo1VQ3hh0LbzkdCdPP&fccid=a12996b2625d253a&vjs=3
