ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Medical Laboratory Technician,Medical Laboratory Assistant,Interior Health Authority,"Lytton, BC",,,https://ca.indeed.com/rc/clk?jk=5f5b4e46ff36cf5d&bb=tJGzMV3LMf2XY97RgtjlBvwH8VIeIWY1MqgXxsz3gLVJmYScGHqJO_9umfK-oEXQwBN6Y57o6DntI1wrgML3xxy3FCyw8UBE-epUWVBjZLJ4eZI1koAqlKw0Jb6wC31-&xkcb=SoBU67M3-x1AEqQYxx0LbzkdCdPP&fccid=819aaf068231c6d3&vjs=3
24/07/2024,Medical Laboratory Technician,Medical Laboratory Assistant | Casual,Interior Health Authority,"Williams Lake, BC",,,https://ca.indeed.com/rc/clk?jk=4508984bc421fb16&bb=tJGzMV3LMf2XY97RgtjlBlOP-yUqUT1vwUyDKOx5kqEzvCU3THjRL3ebCroYe6mgpA0u6yZewz8-kByDtU4t1-DpNKbQHEcMIiKQeRfCCaYkpMDVNO_6eMzNmFDh3Efo&xkcb=SoDg67M3-x1AEqQYxx0KbzkdCdPP&fccid=819aaf068231c6d3&vjs=3
24/07/2024,Medical Laboratory Technician,Laboratory Attendant 2,Public Health Ontario,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=27068cadc336c9e4&bb=tJGzMV3LMf2XY97RgtjlBg3DBzCtv7YaFlo7ugvJ4q7ofRDjW2YUueY92wt1kLomNf39aDhwqXte7SH-5qpKvhdv3GwfJzi9C0MtIw7tC_a1Su-1hkr0Z6Gqs6vkChZe&xkcb=SoB967M3-x1AEqQYxx0JbzkdCdPP&fccid=734c0fa2088c6315&cmp=Public-Health-Ontario&ti=Senior+Laboratory+Technician&vjs=3
24/07/2024,Medical Laboratory Technician,Medical Laboratory,Tillsonburg District Memorial Hospital,"Tillsonburg, ON",,,https://ca.indeed.com/rc/clk?jk=5152e6cfcdab28f7&bb=tJGzMV3LMf2XY97RgtjlBt42zQPVToZDxdPd1ajse8KRE1HzkmOYBMAWOV4tAOH09zdb5j_p3pBGc8A_MXvi89qzs6z2AsoepPUOi_6uYPrFtAArG8Ydr2-WdFNpjta7&xkcb=SoDJ67M3-x1AEqQYxx0IbzkdCdPP&fccid=d6a30bb0b6474dac&vjs=3
24/07/2024,Medical Laboratory Technician,Laboratory Technologist I,Alberta Precision Labs,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=021497f80d212de5&bb=tJGzMV3LMf2XY97RgtjlBshC5itc-lgzyvsn_VUBLB8ZQtoBlVr1GGuYY9Nlz7SbDBTVKGoR0nlCiKgWzzDk3wC-t1F119IdzXvQT20WjfT27V-oXN779oERqYDrIvsQ&xkcb=SoBH67M3-x1AEqQYxx0PbzkdCdPP&fccid=1003a4fefe0f981e&vjs=3
24/07/2024,Medical Laboratory Technician,Phlebotomy Technician,Lakeridge Health,"Oshawa, ON",,,https://ca.indeed.com/rc/clk?jk=75a456172e46bc64&bb=tJGzMV3LMf2XY97RgtjlBoQXt8fFEyP09WihpE2Hu7dYdfvVkJsaAZYImhUwPFHP6vHMqVOirLbpZJv8qRaF_MEgjKOnOlV9k9Zk_n-qPTKMWQu0v11xkUYBvtLqWtXk&xkcb=SoDz67M3-x1AEqQYxx0ObzkdCdPP&fccid=e6b2e8a3d8f79499&vjs=3
24/07/2024,Medical Laboratory Technician,Medical Laboratory Technician - Hematology - Part Time - Evening Shift,LifeLabs,"Etobicoke, ON",,,https://ca.indeed.com/rc/clk?jk=3d975ab6652ed0e1&bb=tJGzMV3LMf2XY97RgtjlBtisTVVyG40Mo8Oru5Er4uc42uVrLQIgjrdxtKYTvH1wDblBcwLxTabFogwfYhz8_6XqNnlea7wTddHngN0sRp7y1H94b4g5Dkxcaa_bOnmY&xkcb=SoBu67M3-x1AEqQYxx0NbzkdCdPP&fccid=0530193efcb7d8ff&vjs=3
24/07/2024,Medical Laboratory Technician,Medical Laboratory Technologist (Full-time Permanent),Lake of the Woods District Hospital Foundation,"Kenora, ON",,,https://ca.indeed.com/rc/clk?jk=cf26289a1214a7d0&bb=tJGzMV3LMf2XY97RgtjlBvnoAcKJpNhP13nuISl-hsmb1Xp5JkUJM2-8SyEIUvddq5np4_IZEl4tVeFFpGBhzKQFRMW5XyZKcLgY9CnUIjgeVxvgnaRq4wxg-e7KvOg_&xkcb=SoDa67M3-x1AEqQYxx0MbzkdCdPP&fccid=2b029e559c736815&cmp=Lake-of-the-Woods-District-Hospital&ti=Medical+Technologist&vjs=3
24/07/2024,Medical Laboratory Technician,"Laboratory Assistant, Bella Coola",Vancouver Coastal Health,"Bella Coola, BC",,,https://ca.indeed.com/rc/clk?jk=c533bb7cb0932cc2&bb=tJGzMV3LMf2XY97RgtjlBlNkA8nWOAQtPJfIbs4iE5JeWyFH2umHs8Cud4MuKshgyCB98ZuKl3cxt0wwmN_XWpNoj1pUQ-827AgM06G4o10lJHH9Hmll5uR3EMFABc5M&xkcb=SoAz67M3-x1AEqQYxx0DbzkdCdPP&fccid=3513825c36972737&vjs=3
24/07/2024,Medical Laboratory Technician,microbiological technician,Pillar5 Pharma Inc.,"Arnprior, ON",,,https://ca.indeed.com/rc/clk?jk=aab16c0d7f7e3429&bb=tJGzMV3LMf2XY97RgtjlBjKJcQWkts3RePuqQ6CSoDdwGIv3EyO0-brnmY2IYFqXucvL5b8F55GdpyDMxk2pawRKzcfp7DzdRkJ7wKRMmpbY1RyUlA3Yxg%3D%3D&xkcb=SoCH67M3-x1AEqQYxx0CbzkdCdPP&fccid=f57cbeab5d481588&vjs=3
