ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Medical Receptionist,Medical Office Receptionist,Lakeside Medical Clinic,"Saskatoon, SK",Posted 1 day ago,From $18.50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DIpd4cL9SKobnosI3W92RCHQ6oNOqcx0exTOK_xp_BHHgk_kyBroKWIQxwOPWmFCYEDf0C9UNIlT95vajax0PxqpCtG7ayMBvylcOSZ5q3uQ77LFs6T2yTQne0zoGFQZK6xQzi-gI44af-cKGEqnpqNU5mCoykvT5lqzYePs8edix4Sdr7ggDXIef1XQU6CAPe4v8izlkm3KjIoNkTyOGoDM2uDctXfXZCwf7lzENS2jA2elN8majWYwUMVSKPv1z7PSIsWTuCQipPNF76JSIWmeS3UeWpD-wbSsAFnZhAdTLMZGXcDK51LwLaKAOBrXbi1kZVhEQcY-slFX2yp6CyQcCVtU-QNHCX1wlx0hQS4Qccmvw4GTYnWKGY8Nafh8wFKD8Ht_YsXmyuSvh8PHmLX1TnFReBZFK-40cHY_l5XxnYTdECywNfCUxMp8jWpEhEz_dHf_oeXTzEpw2_nlSLrn6qGSStKJ1wxYkfoc6X6ISXYSOp8cgUsnp7h3rIv4WrILd_0Rw5vxl2U21HTkQ9-UPvchaHdROgnsH8WCoEbph5XwIEH4VgVMOwGjy1oFMvQSJ-kxJNrsNdgvZ7kH2l8VlcBjcslpcfwAvAAl3mZPgoCkmBPotP44DBGWX_vTqXwCvvnpGaLBBtvHORs9WC45-jannfPds=&xkcb=SoB26_M3-x3Z7AAVtz0LbzkdCdPP&camk=nUmJqO2E8riC5MpjU42iww==&p=0&fvj=1&vjs=3
24/07/2024,Medical Receptionist,Medical/Optometry Receptionist,Vista Eyecare,"Victoria, BC",Posted 1 day ago,$20–$23 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bpv1ymimEf6aaOCHPPXTY81aXEiVCjnqZdINBIuiyAJO8AC63siTJSqJzveRwFH9140GHXywWH4zh4CateZ883yMn6Eet68bD5rC5a1LmMCjA7gx_NG0LmPYvRFdTRNSOrmodGxUnCkbe6fCmo6yYvWkEOjRO_HWZFAKBRGIfw0gnn3BNDOeaLkcqZQ2O-E16Nyz2b0J2lppFpUNugGao38J9GqcO5xqPvxPxjd26oiuKQzACD95_eCQc8tNM24m2mPS74dXHQ8aX-GzWL3tJWlAvGr-q_6p9gVCQZQXfj93SwdjF5L3io8WBB4zNiLL3Ya5QkhClfyb2KunURnBugcCHKemZT1yxE9mwpSZbMuh_jTHnSduyF9oBv7gFk08pL3XTzjf7APvMFWGMNOQ6iQDY2GJbPXJL0JEbK9EhFS1al--1EOyNCbtYtBsztu4PCHj8hQYS9RORBkiNv-m_FzgO-weFMQ741wCu810K67sVLqWTIqC8nfAjh2HrVvR8Tzi_imumRRhKRwC56OL4HTpJ3sgk8_eMOHDBDxZoFA8Gig5O5EEe4mzFMMo0WRHDssU6BdSsD04FofHSfzLpiH13Qj-FbT5ufjy7Rs74_SYOucWc1WHrZ3XfEjqaFdllXA0qN0FTgs9HcIHB5unIEBZ8dOin_CrU=&xkcb=SoDC6_M3-x3Z7AAVtz0KbzkdCdPP&camk=nUmJqO2E8riGvHGvet6_QA==&p=1&fvj=1&vjs=3
24/07/2024,Medical Receptionist,Medical Receptionist,Big Thunder Orthopedics,"Thunder Bay, ON",Just posted,From $25 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CkJooMo7SNLcayYPFRI9jzPrswnaJNIK0yqD2s22YvyIrZGINrXRejen874pI6wpGdLMgr0UMhNUqZye48oUoSQEyp-uC33X19a4jbOOhhL_mXcMaCuiQOHtJYSjepyzl9o6Yp7AJIF0trjHOfd6uN83dmlVBEUqmKGj-qSRh6XvT9ptCBQWn1cdmspawEjO8PNRiQZiMQ1iOWWVNN2SqlonXWU42o0QKCIPllLeNen9mTokohIXAcry6EMgkqGrHoVJ6yQzp_Dj0uFKKXMgyo9E00MegtKLbqhDB3LDp1825VX3Ef0k816RWe3-O1mLHmk4j8XQpQY9MAqif7XixC1HHeHsfXZzfKhp2vLP7NEHocBBX8c-omX7EHGgtUH9uC_8Jf8cyseO6g7J4RCxbFzBDskmQehP3M01kkiyum5cYZPTpEWU3seaTwiIWENDbD7qaKJ_ubGXN4IumMye53KerUr0wt_XfOhwlX2JKPD6fm5Pakpd10MWNW3J9x8Gg5xA4_twy6Vx2HcbUYGAAVolXB1nZYRS6qMti9617lE7lEHG5iriWWn50MhlNPr3HcLMvH0OynOMWilm4ja19xIHDrf8gOwC6zRCPa40kMGh-v2md9ikHdwoIf0DJPlYbh0xR7bJYdNw==&xkcb=SoBf6_M3-x3Z7AAVtz0JbzkdCdPP&camk=nUmJqO2E8rinUUIR39FFEg==&p=2&fvj=1&vjs=3
24/07/2024,Medical Receptionist,Ophthalmic Medical Receptionist,Clearview Eye Centre,"Calgary, AB",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C22JskeChT-h0oYOZR61yuvF6_1KAQLEHug_ccZz9xP-STK3a6562SrlRcS_-k-TEbFbBQ-0aqzqRuVSXwfmcE6cJRAXh_DeCG8ttTHzNCpJ9vVveKi7MWWH9AObI3hiEf0i5Vpg34mGhSXV1xcZNLDpKvFy88DQztuVtqABlJHNyRXdL1_fyW2iXpCq_Qi2Zwhq-D0WNUwF5EqYx0CvWgidyrKiLjBNOTlWnjFK17ldAI2-4MDWgDw9yhXjpz4i6C6JntF5NGgW9hVnISerBqLUxgxZikKmitJFYAlK1DCPstDwMgH3989vsGksfl2mQE2B38PXJizcYdbBCAeoCsEunH0w0V-0stKRZpgd1JyJFORCr88-Gq8nBTKRh9RSx9L8AQrHhCGSHsZfg1JHA8IHyWJXq5BlTXmzX93XzxccSmddk6jTa19JqmI7ldLPsUQtS_Jx_6rimPG_UIci8mvZuhrJHv-I_Mut5i0DA2LzFuZgd_eKgpgjCNToK_3pN-ZC-R07BKs5l-8LJsCekpymkZ40jNpiRXkvFzKKgG36Iweje7NBOUFUkc2H3-inbU0CktNSeSrO9t33Of4goaMhjzbGGiMhghAsMIDO3f_fBwQJXVQnyzyym8ecz_lnF3_RIkLKMDlgMMP8orhJ_89THVd_O1bkM=&xkcb=SoDr6_M3-x3Z7AAVtz0IbzkdCdPP&camk=nUmJqO2E8riJg7qAr5FejA==&p=3&fvj=1&vjs=3
24/07/2024,Medical Receptionist,Medical Office Assistant,Dr. Ross Waldron Dr. Stacey Butters,"Vernon, BC",Active 2 days ago,From $21 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DjYoFZypGXnb9BYPXwZG_qdIGjQtI7Cq1RRPMgcjQzj-hjKPZnVsSFyYZft9s4aMNnrQ0D1ON5Gt7etT5_SvFVh9I7Ii8JOaIu1w1LwHePOrQOVJC9tCgFO6dK3bnWJ_v2dQ6LwzqlqbnfrS8UpYpzlWIJvWdH8EvIC0r64pgGGIaCRsJs8spvI8hEg6XcAtZEkC3MLG13vYVLUFwzGw53RouRZgqeTSLbTng8FeUfRyriIbdlF9NgH23H2AijyJC0YuN4A1bLRl6jdWcVrNuwLrTzO7V4cNbAS0ZgpZHnJoNLB4byeL7UGWuJRzrhyKZj4ZC7bXnR6xZ-TiQ2aYLjxR_FdVPOhYSrenCud16Ha2zZG7JVn9lMF5kBmNcC_hbN6wEM4NXIF-5_9TxHOpNPWEFNnG6dPcf7JAwrbsXFIBt-QNqvs6Sf2GsboU-fO2r8cua5Owx0BSjtaivuDAUgoOTUHEs43A18ckQL-kGmHrRZO8vzFFYcqjOX_HeMAZmbB3VXDCQTkHf1axKY85C77Hl8lnC6wlSpfrioIS1OkQX7R7xB4lPkP42anAtFhHJQ7tupVy-YmzlMYrkYaT6eyQAPji5R8MOl9Vu0m1hSvNTwskUfU7xZoWS1pfpz_JDyhrnF5xlANg==&xkcb=SoBl6_M3-x3Z7AAVtz0PbzkdCdPP&camk=nUmJqO2E8rj_AT6Xlr3erg==&p=4&fvj=1&vjs=3
24/07/2024,Medical Receptionist,Temporary Full Time Receptionist/Medical Office Assistant,Cornerstone Medical Clinic,"Saskatoon, SK",Active 2 days ago,$19–$21 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AE7UYpvDPCrNx9_ETUyO7sK8D5y8LFfNge0fr1YGGeRycKZrzJn85Jb8ufokiGkzrWo6df9toQgBVQX5BFQoN0LlbAelP7MOWtln38sdqIs5RT6FFMNpeQj_jVn2oPqIR4y7_cpjHd1qLFhdofn9r4ZFZInMYoPFE96l-5eHqEcnyNyxaNB8QRt_W_VP5dAebt6OuQEbjGPmlm9Sc0TSCWr8pXRKUXWd-llC4SbwkU63KHoO3m6jRdR9k84ralHdQMbwdBQyqzAEvaNNrKQO0M9a7mtnnwC_VBebMOvmxS11d01oHHMtMJbW5y9WApZnuRM-rrDp-yI3GMcP8udH4e2aL1OtdSaaA4VMzUcypsOMRANo2KS4oNSVp2CdWQcZw4xX93JAqxfhoLT9DrkjbCzsy3Qj4huKVeBc40Z-E9m3oUgjNE8Evq1xNEe3pmRVr0FfvvtdOX73bR7AiNMmJrHOG6e4d7d2pycssN_aoEvyc5LbjrQsgbpMvEjc3Lifs9YH20R3j8COCgudDQEnfGiAM_62V1tlUxcxx36_NzcB5kcPXj0e79ybl8gbfk8AFr5aQe48F_vYz4NCuBawuY0oapC8895xcRnGVSAhkHgMGn8_MAq5g7YKOAj34Aa23h7u_gbNy-oHuFa7w5Wacj6W5NYxgCoS1zsCrqxRTgpO0EvO_oH__94bwqEJzSxiQ=&xkcb=SoDR6_M3-x3Z7AAVtz0ObzkdCdPP&camk=nUmJqO2E8rjXBZddL8A_YA==&p=5&fvj=1&vjs=3
24/07/2024,Medical Receptionist,URGENT: Medical Receptionist,Richmond Hill Eye Health Clinic,"Richmond Hill, ON",Posted 30+ days ago,From $19 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQ1CZ1uEjG2CPwcHcwhrzZp7qeIFUX-f0Js5vLLabCNtWTvAeSh_vfJKi27N6F596izGqFJIcwCVuLXszLhc9UQLeZjnTskeUzjKu7uaht_Br4ggeRpC3QnCB7f9St3achICwRDi9Zvb-FSYL-_wslGMmr5k_NdhSn8qvlOp1im-DzHaJ01_og52K3k5978dLJzMAG9iTMWwU7d_2ircXYfCfFpNfdWkRQ8UMBmBdpVHMNymmWvx7BqaxfY0iOAfXJCeSbyuk1cnSW1D2K3LhO2eGe7bIYpANX1rF9kT5iiSWMXLw5NqJupOR1VGlsFPFvNgT8y8eocopVAQq4sjShx1T3XY8mb8ELsEwcD-gePmw4CkWbelkZQzz3Wj2D9w79eww7rZP6HOSrVa-E3xfST8vO0VePySPbnE3xYZL0wCPt5n5H6dyQPbl-1c7z9sMsabhLGwmuzM2vh_oKz1SQZajBnv_f0Prb922AUMWU_GcqCR3z2N2bBeo2WE7YIA1_5y2G2cXgQAk8WUMZAKYHjETLKrGh8I5Sc4VW8ySwwVRMGvU6UDgJ-YlB-RMlTJVaZkPj9LMLyNxoTtuzZUJ7EVc3b0fB72XGOitIvQxqq-Ux-6h7FEZIoXK64fNzh71K1XjxtWe-gw3VRiGEaxE5&xkcb=SoBM6_M3-x3Z7AAVtz0NbzkdCdPP&camk=G42KULXkIwOszfJcLI2xlw==&p=6&fvj=1&vjs=3
24/07/2024,Medical Receptionist,Medical Office Assistant/Receptionist,Alberta Cardiology and Medical Consultants,"Edmonton, AB",Active 3 days ago,$17–$19 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bw1MOR8WUw3BiGnTdmtsoQi1MLdKTPZTfIB9q9RLfkaeZnmHQry_WmP9sAhKaPOBS8_UhxsHi3rjho6ZPg8_W42WyUKiCN2neVq1x1VesBZbf3GBRpaB1ma4QFIJ8yrPaOdeNsQ8bG7mg3Etjo5dcJV86Pk8pxA9VHMMv-TyJPB7ZmeT0LR7giTwAhP9uxFNgy7NWDGgSl1NNsDHXsegka_UOl6KiMUaYFui2d16X32MU-LmBDuQ5ITX2XfuCG6PrpsIMEv92u9l-8aypS0kHrYp8yRVX2cArupmxcU_R1OGSHcHhO0rmk3MfBoOX1utWVxt38uM6DUtR4t16moUAkT_GWNBAxjz8T3PyCqcNF5_NfBFnuVmvPB1c0ELxL6nY91en-VHPbXmFn3t2CLvaq7jSgBAGFA5bVggdFsHgIcMVc8FqEH505OGcFKg1k9xLCmvJA4Lp2uBdXL8cR8os5aYLItu0LYCPs8oRgEQaHjh9c16EiA9WyNfMqVIhtIg24YrIaFBZpVDbCBhu_0mzyea_7Vk6-EE_FU-OFqcH3F8ZXFpK8Dli3nruAR0nOUYlEJ2LBsZkB4LG3VE0zE_FzhBkeExT1nvTf2NtcYxkPsJ5_4dvc9a_BvznEf6e1y5XpC4EK6q2MeEv0TFRiMqF383ZMzkv5ZA0=&xkcb=SoD46_M3-x3Z7AAVtz0MbzkdCdPP&camk=nUmJqO2E8rgrtdCM56r_Lg==&p=7&fvj=1&vjs=3
24/07/2024,Medical Receptionist,Medical Receptionist,Oak Ridges Dermatology Centre,"Richmond Hill, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7qXj5P135nIV9Gn4A2Aec4SYcg2nCPNkCfOscitzb23u1SqCkLNIvaub1DDKaqGCyGy3x7vtMlzXgB9yAhoeNpFW4qoiK163ieSgOXRhdq4Ea1gei8EP1A86783aZy4mtN2XnsuTSzlKU3MDFDY0y2bvO0gbn-WkMz0EkqRaYFD5AI-kk3ajPd3-Gvh3r70Y4WoTAv2xEsPvvR4QYiuRBakJQQ4J9Is1Y1tpi8tqpxFfP5iUoMzowISC3f1loA71OiouZFclXhgxjs6sQe-gyjsZxQ-mH3S7XP6aZ833LmrDwifFIKvJ2IJ54y9sxWVVdx0UiCN_qT5t4PbJao5N3udb13jz71o68h04nPZ_1yvJVPb_9BBVzngwRbtShV0FCzZU436z8ffWrU89ie5bjbEdLfp9VU52ceTZ70wjCzhRKp1oBUv1Xdt_lwgGC5M37pXszVT7T8Az7Mn3CcIHJ_ocWLCICYxKpAt-OnbsXe6feYAh9KrZMrQIG2fkldchvvxhXE7YgLYOyMVe_pLW_eouFhUic6p4c6AFRzSjOXSuXeTsDDYnF5mhgoFAuce9k-UFJVPJX5rbDNCUTgAcJZAXFc74Z6n_N40Sfa6cqPBWdr6W7QP3zOcuObmoe5Y7hazZNvSNw0w==&xkcb=SoAR6_M3-x3Z7AAVtz0DbzkdCdPP&camk=f416UQcMBpAQ96yAEhDkZg==&p=8&fvj=1&vjs=3
24/07/2024,Medical Receptionist,Medical Office Assistant - Neurology and Respiratory Specialties,Peak Medical Specialty Centres,"Edmonton, AB",Active 6 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DKnrYRYVzIA5UHceoyyh9F7PUAv-v60VSxZ6dJOWgsk5QOiCVct78tMs5VXiDidpZE01q3EHdePO3SUeeccagPxFkiBy5749fk6J_ylyLnqHjn-H2fsJP7sRhMZvm-Y6sR_Bc7SVUHtBZkk1H_msBjXySHcDxlXTayV3lVgka-FkBM84HbqDlG_HLyy_Jn_T5dk7Nv0aDQq20Wsf_tF2PbJWAlvx8eaymtGdBm1GQu9DGU-EOSGGHag7XGVgiRuCT2PtaQrHPNbaCKBjGstBgOpIWvE5VrdERitUVfF1i7TteeFN2NNwUE3EGBNE6rI7BYxu6G1-65-E_7HB5XKjZec09J9kqB3splkZ7U8w-rbr3yctInw4utB7b24UMteB9G4u49JkrTXtgFh5_zJk3xpNBf0HsDMu9q4ek2makE4SWM4lOCeOvaoRsBRgNpxo8H8Ig6iDLOFc9ZCPFzuT_0eVEzjpLpD27XqV0pjEc6YoFYimQaEayr608Uic954vM_6gWeqwC_mi08lHvrkuRdPUwANmoQdMTXn0zRFQAfNTjElWMxVbrfH3mnGOZ6qlIarLV8zHGbMpb8gPP6v5tX4ZRRhF3vfNLtnN2D5ZZkPj2K7ODUuvP5fwZvS5cu6HDTJy-OZoqLABOcfeVoBhPPWCs4cse84_f9gBI2A8TZZR6lNJKRjmPJZ3AyHt7XBqM=&xkcb=SoCl6_M3-x3Z7AAVtz0CbzkdCdPP&camk=nUmJqO2E8risnz2-bK6I0w==&p=9&fvj=1&vjs=3
