ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Mining Engineer,Geotechnical Engineer (EIT),Rio Tinto,"Labrador City, NL",,,https://ca.indeed.com/rc/clk?jk=78ffac415870f056&bb=gfnQBQQxa-nQ6VX7plfx1lIRB_h45XEnEZ1VZKjeLspJh8SpuAnwCyu8vYb3lahui7gHtmb8r49eaSQkwHbrZMG4Bb0YoNaEscoWMCK7sRwowtih04sn3rlMaCSMPaQr&xkcb=SoD367M3-x45XkwnDB0ObzkdCdPP&fccid=b1e4a7661b111d01&vjs=3
24/07/2024,Mining Engineer,Mining Engineer,Vale,"Greater Sudbury, ON",,,https://ca.indeed.com/rc/clk?jk=9a74c9159e1475ab&bb=gfnQBQQxa-nQ6VX7plfx1hgtMaI5XYd4xSl5bz_09xYb5Gp8QihM8NYYgcDsGMoJwZNsq_0dQ5iDLva5gMIKCryclv6DjEIjviCPN6v3m5rme0jurJLQh3eQRuAb9buN&xkcb=SoBq67M3-x45XkwnDB0NbzkdCdPP&fccid=7bec30406f61d77b&vjs=3
24/07/2024,Mining Engineer,Barminco Hemlo - Mining Engineer in Training (EIT),Barminco Canada,"Marathon, ON",,,https://ca.indeed.com/rc/clk?jk=a0c5dc548aae5587&bb=gfnQBQQxa-nQ6VX7plfx1lAJk_qRJkPhZPPW61SSWmQMa5jwewPa2TZP4Ur3ZCEBoXWvWO2St5rhjSnUJQeuPbLsyfkM2FboIQNV4fzCcj8Se1dncLYjrFUBJ-uw_ppbbdj1H2wNc7g%3D&xkcb=SoDe67M3-x45XkwnDB0MbzkdCdPP&fccid=b658a7fd715716ce&vjs=3
24/07/2024,Mining Engineer,Mining Engineer in Training (EIT),Procon,"Saskatoon, SK",,,https://ca.indeed.com/rc/clk?jk=d3c212e50deb7bef&bb=gfnQBQQxa-nQ6VX7plfx1nbeOoad5HIdG4Z7rs0mtMrMdBtNTelXeUugXjhjXOBU5UnXWEz68bgsTeq-EM85Mu-STSppaT8t0VjwfvyfTHMwUQv9FnoL7l6t0hN3sMvD&xkcb=SoA367M3-x45XkwnDB0DbzkdCdPP&fccid=690b65a8336bcca5&vjs=3
24/07/2024,Mining Engineer,Engineer in Training (EIT) - Acton & Surrounding Area,Dufferin Aggregates - A CRH Company,"Acton, ON",,,https://ca.indeed.com/rc/clk?jk=fdbdf5ecf506ba33&bb=gfnQBQQxa-nQ6VX7plfx1rAHSIYLDMeFp9ntKaLVqRizBsjB_SGCGfMjuMvXEG6Qnu3YSHDimCtfItcw8V-H13pG6bLGZ8AtENU5SqZECCbl5C6TxuXfDbmmunwgbDBd&xkcb=SoCD67M3-x45XkwnDB0CbzkdCdPP&fccid=04119675ddeb34a7&vjs=3
24/07/2024,Mining Engineer,Miner Helper,OSISKO MINING,"Windfall, AB",,,https://ca.indeed.com/rc/clk?jk=8242e10c2db2b584&bb=gfnQBQQxa-nQ6VX7plfx1gbNQX0wczKkD1u_56XJqSAW_XwDIMvwH0SUeaGmI7jg9YtO449aFNMrUHQEItbS_uMpF0iHAWqmgMtzDXqS7rSt9ss3htT8jeSrxQ1FkmgK&xkcb=SoAe67M3-x45XkwnDB0BbzkdCdPP&fccid=f7c1c004d39140f4&vjs=3
24/07/2024,Mining Engineer,subsea engineer,Puglisevich Crews and Services Limitied,"St. John's, NL",,,https://ca.indeed.com/rc/clk?jk=df419451780ecd93&bb=gfnQBQQxa-nQ6VX7plfx1ihIoY4gsrsb1g0VIieciGqN93pU_sqx1vS2mWE4VVrSO5gdabV8JktcypQFJ0ozIA3_gu27AKTT7_b8Yt7ECbIzIxgSPSn8vw%3D%3D&xkcb=SoCq67M3-x45XkwnDB0AbzkdCdPP&fccid=2c0370df86e113d5&vjs=3
24/07/2024,Mining Engineer,Drill & Blast Engineer,Centerra Gold,"Mount Milligan, BC",,,https://ca.indeed.com/rc/clk?jk=449a780aab2d2512&bb=gfnQBQQxa-nQ6VX7plfx1kyxdvqGfSnl9aESILL12oIdgg5YA06pfdXRyC2YAhdX4YQuhvch2hF2u6EDDUsMGx5KDKpvBJ98hNL2LfDKY5FbUxgF7a81wn6AzvW_zgX-&xkcb=SoAk67M3-x45XkwnDB0HbzkdCdPP&fccid=936c2c4518b7a359&vjs=3
24/07/2024,Mining Engineer,Senior Mining Engineer,SRK Consulting,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=77d5032c502ffe75&bb=gfnQBQQxa-nQ6VX7plfx1rfv6ssDB1FfToNRRW8jsS_UzyKhNMc6jN2CnO0BE9YmoJy8cKn4Xk-zBj0OQxV6K2BmTXe-omVTnLMLDRMkPgooYGUQd0gk2KoR1qg6-Px4&xkcb=SoCQ67M3-x45XkwnDB0GbzkdCdPP&fccid=dc67634d45dfa982&vjs=3
24/07/2024,Mining Engineer,Intern | Mining Engineering | Fall 2024,Rio Tinto,"Yellowknife, NT",,,https://ca.indeed.com/rc/clk?jk=52da4cedd5dcdc7b&bb=gfnQBQQxa-nQ6VX7plfx1qnp5ypGdbLATSLOhy5DjMqf1Fo4BIdx-m3g-tPtzE4fxT6NbtLJUtLx95De3LX7phOPmSsxDE84e3ynXn-w_-K5MaGrPsy3gQ%3D%3D&xkcb=SoAN67M3-x45XkwnDB0FbzkdCdPP&fccid=b1e4a7661b111d01&vjs=3
24/07/2024,Mining Engineer,Mining Engineer Co-Op/Intern,The Mosaic Company,"Esterhazy, SK",,,https://ca.indeed.com/rc/clk?jk=c0c369a3321f32ad&bb=gfnQBQQxa-nQ6VX7plfx1tCpJo1_pOP6eAv6jYc6ev7j7I-XwnJP1sWw1lu0PNVHhbuQK7Gr1AH3u0dIjCDmJKL8EW2J1gohB6QWdmAP_eswh4QwiQ1TR4cyu9qTu3Bt&xkcb=SoC567M3-x45XkwnDB0EbzkdCdPP&fccid=a89b80c115113958&vjs=3
24/07/2024,Mining Engineer,Instrumentation and control engineer,Norda Stelo,"Hybrid work in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=02bef6e5aac3514e&bb=gfnQBQQxa-nQ6VX7plfx1rAHSIYLDMeFxB0e-b7cIA2vgHm8S9NhHiE1ksyQQrRPxly3h24HU3x8oINdU0ZgzkV7isdal2Joy0sNjzQvq4xvq_5ZkgcYCgQl8k3xcxlz&xkcb=SoCe67M3-x45XkwnDB0bbzkdCdPP&fccid=51d3c8e715ae4063&vjs=3
24/07/2024,Mining Engineer,Planning Engineer - Drill and Blast,Evolution Mining,"Red Lake, ON",,,https://ca.indeed.com/rc/clk?jk=9dd713b8f5f29102&bb=gfnQBQQxa-nQ6VX7plfx1tCdBhckH-YP-re6XGIFUQb4no-0ctIzk2L5R0pmcyth3DGXK04pJdLRzv6-8Nsvv6YizkWltb1ozEPHedCyz4hOdKxo-91HJNITJvJqVnQc&xkcb=SoAq67M3-x45XkwnDB0abzkdCdPP&fccid=db9c5ab6372378f2&vjs=3
24/07/2024,Mining Engineer,Civil Engineer,Alamos Gold Inc.,"Lynn Lake, MB",,,https://ca.indeed.com/rc/clk?jk=219f9bdf0db10a80&bb=gfnQBQQxa-nQ6VX7plfx1k6jvlYUlv8nomOUBr3r8wPl0k9SN0nFkN0MSqqMNvutoQagSAkPx2yDA5RR0hQV8jXN8r1VAqoLHKudeLAxPzc-ZBepDSzjioRtj82B0NEg&xkcb=SoC367M3-x45XkwnDB0ZbzkdCdPP&fccid=e144299233ab9b23&vjs=3
24/07/2024,Mining Engineer,Engineer in Training - Rock Mechanics,SRK Consulting,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=0515e8b7b1a49cfa&bb=gfnQBQQxa-nQ6VX7plfx1qdPAfdWt-r4OnlkdPT6yrZhxzQ6Mrsfar-yOv4JmjWtgmGeDdgMxhkEDbfmuuYr5PQTctCHwe2FaC9kEXvTF3KQ1m8abdjec8G2Nc0MtXPt&xkcb=SoAD67M3-x45XkwnDB0YbzkdCdPP&fccid=dc67634d45dfa982&vjs=3
24/07/2024,Mining Engineer,Engineer in Training - Rock Mechanics,SRK Consulting,"Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=0515e8b7b1a49cfa&bb=P5bsJ9hVE9oJTQHlHTsHfWfdw-pbsTbrT3xhKolLEOgcedZ1SUg-o0fHbygABMZNfVZql46S82Wd-_pbOLXkqN6UEmevRGWYXhCnk7_yxqM-vCuDbeRj7BfIKYViRckV&xkcb=SoBA67M3-x5OIdysaR0LbzkdCdPP&fccid=dc67634d45dfa982&vjs=3
24/07/2024,Mining Engineer,Planning Engineer - Drill and Blast,Evolution Mining,"Red Lake, ON",Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=9dd713b8f5f29102&bb=P5bsJ9hVE9oJTQHlHTsHfWYvNRRCRL2EwCeGNhlXaZXYQReGCjtXz8aJZJaNlQNpap7rZeW33mfruOJGtwknOmtJENAVMzLLAYOYvJ7g5Gi5yJ9__HcJ_yEVYdbd_MoT&xkcb=SoD067M3-x5OIdysaR0KbzkdCdPP&fccid=db9c5ab6372378f2&vjs=3
24/07/2024,Mining Engineer,Civil Engineer,Alamos Gold Inc.,"Lynn Lake, MB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=219f9bdf0db10a80&bb=P5bsJ9hVE9oJTQHlHTsHffPRzC5G29seuR1XHAEzrLpOJE3INVNbEEiT0Enq6eVeH_ZX0Twt1sUr0r0DXLuBrXcJSMam-hs5AIBeByuc-Uj7pnefRIzV9GU_GcqjdD2J&xkcb=SoBp67M3-x5OIdysaR0JbzkdCdPP&fccid=e144299233ab9b23&vjs=3
24/07/2024,Mining Engineer,Barminco Hemlo - Mining Engineer in Training (EIT),Barminco,"Marathon, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=ed1dd1c86c41758d&bb=P5bsJ9hVE9oJTQHlHTsHffm6xlqf8lXxlOup8cpjtyqiJFAMG9bQ3A2eUoEPwXfhckeFFnq7uaLQrSslzpVUYKIUxMWHKyVF1wJn5ZQ6xkxpXFLRboJ5q4dZ_2C3fhSx&xkcb=SoDd67M3-x5OIdysaR0IbzkdCdPP&fccid=b658a7fd715716ce&vjs=3
24/07/2024,Mining Engineer,Senior Electrical Engineer (Mining) - Vancouver,Ausenco,"Hybrid work in Vancouver, BC",Posted 11 days ago,"$120,000–$150,000 a year",https://ca.indeed.com/rc/clk?jk=011ea1e76c500fd0&bb=P5bsJ9hVE9oJTQHlHTsHfQSUOLXX4ii-32ZGb6rCJz04FUqIp-5CQWSZCvodpFR0LU76GpvDoTNY69af-qLit2FtVUaGeCf1WxD50Jv50KG3sG6NSfVOusWxlfq_eiDU&xkcb=SoBT67M3-x5OIdysaR0PbzkdCdPP&fccid=c8c37aa2b92ee568&vjs=3
24/07/2024,Mining Engineer,Junior Geotechnical Engineer (2024071134),Thurber Engineering Ltd.,"Abbotsford, BC",Posted 12 days ago,"$70,000–$90,000 a year",https://ca.indeed.com/rc/clk?jk=2b96ae7009d2cb89&bb=P5bsJ9hVE9oJTQHlHTsHfUHkH6XXzkyWweX2FFmefBluEiwGHpY3KFwWMRU9lj7AQvinH2TNJjsCWyLRBs3pSv33LFcIfLC3FC39VCtxVS7siQZOyyGf-r0zVO87Oc7A&xkcb=SoDn67M3-x5OIdysaR0ObzkdCdPP&fccid=b10b3f2ff1445002&vjs=3
