ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Multimedia Artist,3D artist,IdeaSpark Labs,"Edmonton, AB",Posted 23 days ago,,https://ca.indeed.com/rc/clk?jk=e7752b32bad256c4&bb=psQ899iOnZCN3qd3uJLXy93a3R7wr9lgpHPCuvHq1eS7yf6wtaB5m8FZ_WpLA1Sq3lhjihrDHo_6kbQPFbDFlo57Gr6xtGnN8iGE8gYkRKVQH6Iy-oam1A%3D%3D&xkcb=SoBg67M3-yei1NAdVz0KbzkdCdPP&fccid=644addd9a44f3466&vjs=3
24/07/2024,Multimedia Artist,Artiste 2D/3D Artist,Keywords Studios,"Remote in Quebec City, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=ef8be265cc3e96bb&bb=psQ899iOnZCN3qd3uJLXyy2i6eRT5qBjuVLs3OmdJ8FB83Qqeo8TGjyK9-LVV3NK4diOoCaYJJIm2qkTyMzxi9K67u5XQ1MdDRNGnZhxVNmg-MuVqRSkDioLXT0wAkJd&xkcb=SoD967M3-yei1NAdVz0JbzkdCdPP&fccid=c26d104f25f1364f&vjs=3
24/07/2024,Multimedia Artist,multimedia picture illustrator,FinePrint & Signs,"Surrey, BC",Posted 30+ days ago,$22.50 an hour,https://ca.indeed.com/rc/clk?jk=e548cff449b929fe&bb=psQ899iOnZCN3qd3uJLXy_rzaPfmqyPpCb7ipl413IZda8j4aUVUcA3cXg_qSeSpvKUJOiLIA0JZE0nEeUjC8GquccML0NHQ4KruJZagfEgGw7Gf35hIYQ%3D%3D&xkcb=SoBJ67M3-yei1NAdVz0IbzkdCdPP&fccid=7ee16a489356c4bb&vjs=3
24/07/2024,Multimedia Artist,3D artist,City From Naught Inc.,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=625f10fbf3e398c8&bb=psQ899iOnZCN3qd3uJLXy9IVjJaotffxPH1jJPJ8XXH0RDVw2R6x0i9U0_li65s07F7gTLI2WcADddzygj-f5TljsT8N2ncrGzRXrgWnza7T_YQuWUCAXQ%3D%3D&xkcb=SoDH67M3-yei1NAdVz0PbzkdCdPP&fccid=ad5acfd4f934b2fb&vjs=3
24/07/2024,Multimedia Artist,animation artist,ICON Creative Studio Inc.,"Vancouver, BC",Posted 27 days ago,"$55,000–$70,000 a year",https://ca.indeed.com/rc/clk?jk=f382bd0b52e0890c&bb=psQ899iOnZCN3qd3uJLXy7Lusfn76p8mrzzBxbm4Ipm40L7bm675S7aWbRONna7oJxbvT1kyVxtxoAxooCQWJjwwNyKpD1qO0sx1BVD2Yv8ws4YjKqDi5w%3D%3D&xkcb=SoBz67M3-yei1NAdVz0ObzkdCdPP&fccid=e69f27d1a3f27067&vjs=3
24/07/2024,Multimedia Artist,3D Artist & Animator,PheedLoop Inc.,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=1adc91f9f5fe1889&bb=psQ899iOnZCN3qd3uJLXy93a3R7wr9lgfJoOkZBc_Wtk5syDGMQGX4W154Yh2CMVkIGQHdp6rwDOn1jnVQNuniIjP5C1Iial2sTGEAmEMOp5VppTB0CClKGukiCHHzny&xkcb=SoDu67M3-yei1NAdVz0NbzkdCdPP&fccid=cfbdfb30805accd7&vjs=3
24/07/2024,Multimedia Artist,Graphic Designer & Multimedia Coordinator (8-Month Term Position),City of St. Albert,"Remote in St. Albert, AB",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=803f40519c1b669c&bb=psQ899iOnZCN3qd3uJLXy9uuEPT2UtK9NCwyj_bvED-TPSGieGYFFMcgUkt_GZrWWMyQxzmkbYknE0Dmc3qKbrF0GT7C6MLziBOYP8stSz0F-NmJE72VGiSNNgVk9gsr&xkcb=SoBa67M3-yei1NAdVz0MbzkdCdPP&fccid=1a7a5ac51a270531&vjs=3
24/07/2024,Multimedia Artist,Automotive CGI Artist,Multimatic,"Markham, ON",Posted 13 days ago,,https://ca.indeed.com/rc/clk?jk=b6d96b9cf2acac8f&bb=psQ899iOnZCN3qd3uJLXyzJyQ5a36LxDM-WrgZbG9UDlmyFRoJfArWrZkbmFrFexNqH903xAVh2mkYlsfx1HT_jdOaCAq07ES6I6Sha6H69jBr1793taGuTi3q8lmJv3&xkcb=SoCz67M3-yei1NAdVz0DbzkdCdPP&fccid=5d0f267c4f882383&vjs=3
24/07/2024,Multimedia Artist,3D Artist,Solution SFT,"Saint-Laurent, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=8aaf837556c13a7d&bb=psQ899iOnZCN3qd3uJLXy7Sg_4oq7tx86bM-YJwIVkSuv_f9tOaAygNLes9NXMSw7oskJkaSGKJZPqA3tJesur9G2fxRJxvge6IhBaxgGxFhUSLDQ8tR4PvlabBV8hwt&xkcb=SoAH67M3-yei1NAdVz0CbzkdCdPP&fccid=d8e87756321f4669&vjs=3
24/07/2024,Multimedia Artist,technical artist,ChimeraXR Incorporated,"North York, ON",Posted 30+ days ago,"$100,000–$110,000 a year",https://ca.indeed.com/rc/clk?jk=8479239ef3e7830e&bb=psQ899iOnZCN3qd3uJLXy-K8XZFXCKMfjexUxIYg8drn1oTWotAaBRbq1iO1yBUBkTwByr8tOP-NlbVnxiGDHW6PetizoSihm-fcfup79wwUyteHy-IUbQ%3D%3D&xkcb=SoCa67M3-yei1NAdVz0BbzkdCdPP&fccid=6561020ff3fe758e&vjs=3
24/07/2024,Multimedia Artist,Technical Artist (Environment),Ubisoft,"Saguenay, QC",Active 19 days ago,,https://ca.indeed.com/rc/clk?jk=1ebb4d1d5a528542&bb=psQ899iOnZCN3qd3uJLXy1_umtISErSc6Jq0mJWAmu2RZd1qQsRVAtOinT4WetEK5dLnSzKnbyRdoVb0qbQ7Zd3PkmyhtYUsVTNoYWThH8PUlUHzxtpNww%3D%3D&xkcb=SoAu67M3-yei1NAdVz0AbzkdCdPP&fccid=237908de095b6446&vjs=3
24/07/2024,Multimedia Artist,multimedia designer,Gill Multimedia Ltd.,"Edmonton, AB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=0ad263e96c150b9a&bb=psQ899iOnZCN3qd3uJLXy5h2x8uWqavT_dKbuiYq0F0qQ46VkvzJv-wfkuv2OQYX-XwjCSG4GbVeDTKjJuGVkvTjfZHCTfSpO1m6BVnl5qg-i1_8pw-yrA%3D%3D&xkcb=SoCg67M3-yei1NAdVz0HbzkdCdPP&fccid=87d4857a4b8770b3&vjs=3
24/07/2024,Multimedia Artist,Artiste technique / Technical Artist,Frima Studio,"Hybrid work in Quebec City, QC",Posted 26 days ago,,https://ca.indeed.com/rc/clk?jk=199b1f7677bddfa1&bb=psQ899iOnZCN3qd3uJLXy_oQ2eioyQ4Dc9GSG1wqGf5lgmYUCttz9wzQ7MpkvgOfcCpUuH1b6PxMiUzDlqJF5mwvh44ENfpjTDuhK3bVsoHNZlNvFEp_tzxEkN_CpDVU&xkcb=SoAU67M3-yei1NAdVz0GbzkdCdPP&fccid=3f8f35c293df913c&vjs=3
24/07/2024,Multimedia Artist,graphic artist,MINUTEMAN PRESS DOWNTOWN CALGARY,"Calgary, AB",Posted 30+ days ago,$28.85 an hour,https://ca.indeed.com/rc/clk?jk=b316685095e119fe&bb=psQ899iOnZCN3qd3uJLXy_coGf7QScLemPhYGF6jF0hrxMo_1XH_-VO9UlnDZKMjCvlMZMRpDCFJLRLzBPIifA2ly3F2EBJUWtvhz90UbCgsDfu7MMg9sA%3D%3D&xkcb=SoCJ67M3-yei1NAdVz0FbzkdCdPP&fccid=c21b62ad7705ea60&vjs=3
24/07/2024,Multimedia Artist,Artiste 2D Généraliste (Contrat) /2D Artist Generalist (Contract),Budge Studios,"Montréal, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=27204ec969a007fe&bb=psQ899iOnZCN3qd3uJLXy--DUGMjQRe3dSh-4Vi9aZwZhLb5rRwqSlqGP_uBlyqR56L50OvuC5upWRBYesheEF2NQtr-65Cy_Wu4qfKaPFu1QFhprII0SQVah8ipi6U1&xkcb=SoA967M3-yei1NAdVz0EbzkdCdPP&fccid=1da8c61df6001414&vjs=3
24/07/2024,Multimedia Artist,"Développeur(se) de Logiciels, Audio-visuel | Software Developer, Audiovisual",Unity Technologies,"Montréal, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=20f20ad8571f3985&bb=-74TT2N74mDB4sffSs0sx3LNG1vhRrOt5m9rFCjVQxHTvKeWZ-9q_9vTQV9Ez-p9oLKYWrEYDPC3CKRWoN8YmMNWU1Z-56M88PBiMsI-t82kLkgL6XMQvJziYZCQKeHu&xkcb=SoAz67M3-ye9HiyVwh0LbzkdCdPP&fccid=880e4714f2ad94a8&vjs=3
24/07/2024,Multimedia Artist,[D&D PC-Console] Concepteur(trice) EU sénior - Senior UX designer,Gameloft Montréal,"Montréal, QC",Active 11 days ago,,https://ca.indeed.com/rc/clk?jk=38ea0b44cc6f2f35&bb=-74TT2N74mDB4sffSs0sxxc3hVcdU8bilpOYxWQxM1KTOxWMczC1h3j5Ecv0N8DmQnK4JLbsAqrAPFPHxJB92V_n2xdOc1XN2b5kakcm60j890YCuDvPmRxlq6CVkJ_X&xkcb=SoCH67M3-ye9HiyVwh0KbzkdCdPP&fccid=7e0d9a513baca44d&vjs=3
24/07/2024,Multimedia Artist,[D&D PC-Console] Concepteur(trice) EU sénior - Senior UX designer,Gameloft,"Montréal, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=895523df3962eef3&bb=-74TT2N74mDB4sffSs0sx5RKgdoJwHnBKC2PmT57diDub9UwNANpkBTquyzSDETI0lH4O_P57gXmSXr_rmkqptUIdioooKVb34z-MbbfKt3wxejGz2OUpZjD6FkuL7kE&xkcb=SoAa67M3-ye9HiyVwh0JbzkdCdPP&fccid=7e0d9a513baca44d&vjs=3
