ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Occupational Therapist,Occupational Therapist,Shannex,"Bridgewater, NS",Posted 30+ days ago,"$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DuOvmoB6kc6Xpzy9NBwThSoUXcX9NM_7yXsVQY-W33sblSzDn--rPzhMcWVwf9puZG0VHHR8oftOmKk2hGtWKnrITX4JVznI4F3il-NcZHLTvsy19op1e2ikwOCbQgfrchbk4Dpyq8gp0dk0UPnXsGQgIkzeqIRV24B2cnufMUwDa6QLQYf5nHIEy8QE9wLiLz0SwXrfETEBUSdVtVSoJ-t2bMa_1gFjY6YHZWPvFEnsaUiFcVLUOe1YpngLWM-hfSWd4M4MBik5jPzwl9euSC5z536dVAwJGHXGwtWNgS2AvZyQHcnlQd6fPjH9HI-18GvWenoCbu8rawK8uNsi3cLC6EZ5VvKmLK-m0nPYL8XBuUaHICForXswyUE0GSVxDH8N0pp1FGybI7aqn4qosMyGKnMq8GAcEqucjfUCi3kllwIA9ThVZULNIMi7mEErkuE7Vg6VJWtovh6zchJlZmFdPcVHPUyQvTFQUeVaARlVnzHRlTMZif5mPGcgAMoDfOHx9xBNL2REqLWYy7WKvsjr5vkLBtxRM02WQhUdqQ7uqk1yo_nGjcYY7TmD20RbeacWU2lOrzUOdOgcy7NhbQWUEaqUSdCdNHtesiPm-KjQzfJAJmv5-OoVeVrlwng4wBfHnLtq5eIzUktbhFreXd9efcnn3JymQ9IXbE80iiU31nGIdwA9Bj1tUF_K-b5r6PVcyNYESA5tVpUz65KMRFmnIa5smCH26vMhHS7hksHqi8u8TfaTaDytpv_IEuH_Ucdzvxbepv5OLW6xckgskB&xkcb=SoAW6_M3-x2smYSsaR0LbzkdCdPP&camk=4HOcmqOLYrCh-F5P4mCiRA==&p=0&fvj=0&vjs=3
24/07/2024,Occupational Therapist,Occupational Therapist,CBI Health,"Belleville, ON",Active 28 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bcran77cBpJzD-alntHAvrhvw-Uj6Ikq1Xkyq-1fQaDGUJ6UBPfwRMjkwBbl1cGTHdrelC0CD5SS2dwFWlAjKIs3HU7ajl5MKhhDbG5xWk7LJXkn2mU24wRN9QjtCVkiTTpreNmQlp2hArRsomiX2wh6lhc1MrkSaqHF9izXG-11x7bhiGAp2SKIQS0QfKlHSsGA9kg2p0nLDwPt8BKzQv2wGwGnj6hClHA8Wp-fwOPR5uxEirRUWRbcC0jmLLc3cR2uaJ8LOGKvgyJqx7qU9jv5H9MhsPlPRREX8jauXSHkwPRG3c9hqK7wR-NzYTLSIRdZY9NdThYoipdSdX1LStB0tu4R1kkQn2usshnm7Dhu8ZYUykYKrso9SjD-TY0PoJcushAgUx1mRI__t-SnpZj7yohfJLayWzPt7DeQSPGyUzDFbuUAg5GwF-_7C5kxcuJWSWGFLTqB_gJIF3yVeE6GQGGIGyEQM8KDOClMNcGazA4DpoxVHVes69Xq7-o_RENhx9uTlbXAuxOW5wyLgKVHVz-aOsAwk7Kq34Lj7koI9P1caHlj9wgqWhwASGI_xf0IpKN8HYKG2rOB--q0ltOPIwLtMMeQfP1TKyqP-N9a9LGJVW_Phsht1xEyyvQizJU3XSpJ_T_W-4EHERjrm0CUZFZVsrJfTOh6BFKElPV2i_VYhbf5OJgkLQ6RN9RzZ4Jc3xMMvXuFJSzK2sjHu29ey4I5XnTRyDhirq7Plv8v9mAn8anj3ocYyquejdmJEdN-qeFLeZwcqSeabFd8_CS6AGxQ0S9baO6AO8w9itSCiJ4WSMAHXgaOFHn37inRQTt-rZPdM_AY91tv2i7o26YiPIQphtTfBIF58E_u2Ht-RradMlmmsXFbWiHz8T45bGl9w-wcGZVCU40k9EUnBg&xkcb=SoCi6_M3-x2smYSsaR0KbzkdCdPP&camk=4HOcmqOLYrA1aJe-J9mPwQ==&p=1&fvj=0&vjs=3
24/07/2024,Occupational Therapist,Occupational Therapist - Adults Program,VHA Home HealthCare,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOxenwut_GG5BaGDPcKeG8gDbtqozETfcy8jjY1r21PefFgZssIaPoIdIu3fgGSIfnqQTQ1KnkCF2FBP_RCyLAfDiOb1hIGMz6kG4il1dK34QofanRaM3RIbt-shlAgdKha5PHgFqfWED-Vz2NneoYmv9hqaJFaY6Pqww9S-CZM6BAZqOZuZocFMYCT7wQKe7W4K45vSxszwcUfISvcqxzas93S_pCCvfCWNnvIgIof7Z5jXNHEZqEINeDp7vaUzplzdsT9tdDbzajcz0-AeJaF6zLNiCVHqznBwu0p9NYjRY9aY5hLtJ-oGz5oFeC8VJBMJERhFCcRYX_n7CiIEbdaev-AtVVgRrpBDCezRA7IU5mSv0JXA6KZ_-8JvvvK-Z70y_ZjtOzdC2V1oxV_SdWa_ZkiVpJo2oV41HTKoT1wLEOwoDZ2QK597cJKSSpYcZ-nbvP0zq6j4tOSjsD5OcWaJ5WovmnRZkleRgzno9sLY_UwtHjOjYbB4w3zAaRI0kglaNn6mPrbcBE-RjvmRyozfhvGpemWKGzCtVHbMu4ygrSU-xvBy-xBT1siRetftCIvKTWytQZorULeEr1xmDbLl-8zEMq1MUexgPf5PzUxnjBrOvDTnF1pweUduS-BK30jCo1UN9l0AgkS9n_FwFBEJ_fgguM_abnV58hfr8gYQ==&xkcb=SoA_6_M3-x2smYSsaR0JbzkdCdPP&camk=nUmJqO2E8rg4FjaBsjbfSg==&p=2&fvj=0&vjs=3
24/07/2024,Occupational Therapist,Ergothérapeute,Complexe Physio Mouvement Santé inc.,"Granby, QC",Active 6 days ago,$38.17–$55.55 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DrdEYlbZUnDu1OP_PVy0FQRXHVV4VPLyWu4h769RapkJkpBP_yf8ffrL2_bBB7HKC0obYLxMpV6ZvYvM0Q3ESCk-3gzTE1a3yXW4y6Q6ogY3MUodisLkc2xmT4ekt75dOvwe-3S-afAbliWxjEiXopWlD1_ey8zCtWfxEj6iqmkPs4KcLnJKwe6QcZmcwjJfwIWCIQ7yhDZkW6s7-biNuOX1FiJMB5j7qLi28N7VDWWhpk6pmGyDbOUIw6M4dv71wQJ_5CRHMtawf5Ue4d2MIeo21RE8jlIz0oXSb0ptcpjK4xKICFxOZfKhNyT9m_ZWZvrMhpoAOcjqLVXRsHrGr9Oj43rtf6QZ3-oVzdj8ZvvNHYxiARZoq1nJfSoAO0L_FXL4EU3e0x7p9Kx57oF1hqu2PfPM9QCg1Rg7RWrWlGjL2x1ZUIgMePwXRJT1vzGiaM-z3Zihtzx2eEIWXFCStbAJDmio1wOqobnapvwxs6w1AYXZq8gL_xDx0xVGrNarxPjbPlyTrHTPvvUhuGjfHO5txXTZcM84uJhxzyoUF_fnAs0kOViQ6s-lf1QlgM68ENbA4ybCZ6H9BaT8yMNo9jZg9CQbFb6gGTOceEkoyshPV5ZaU5V0ynIcVtBId2_XSPX7TUsf7Iyv_SgefYYXXgn8K7estTDpg=&xkcb=SoCL6_M3-x2smYSsaR0IbzkdCdPP&camk=nUmJqO2E8rhV33G8VSWNcg==&p=3&fvj=1&vjs=3
24/07/2024,Occupational Therapist,"Community Occupational Therapist, Early Psychosis Intervention (EPI) – Surrey, MHSU",Fraser Health,"Surrey, BC",Posted 22 days ago,$42.56–$52.95 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUcvEkJretScWwQmphY5MRBvEQBp54sQ_9NoMPnGKLLXtKX5tNhbHgbpkK0fA5C_2giq8EsPLl1v8844UDYV3JcYbuQtdS5gokT1FWZUmGDNmlWk6--olkdd8VyYYSQr3TP_4H_hufRvJgTfP1D542a6ajyPcsov-q9c477c2zEvmbiA9H1838zKFL82smvv4URE9VWdZUCQzPSt3Z2hlE4kppNFinaqJJzgvaiY8XpQ_1S3JYPLoULOcFuHbFiFHNVZgM5Y8JSZlayJB98w-Pbd3MpCNrihzNw9cgZwbIyaO6eMiF9XjVwx5EEvc9k4pXhfEy6Oj9xu8nZu27M9j4WkYP0PGaTGR1rm7SoYPpyrTRZtLbjCf-_sPSnk6-LVmwKVrsKCWypV6r4OsgvHZdgaoif_6sWc2gKfMN35-CwXU3yi8AjMqVA-y98x2WK-iCVhMZOxdKmm65orWIoNHPbqL4DwT69L_iPvCfPVK_ctTke40KWfL8xRS9XegdoURgub73ZpQBNLcfJli5SDxoZmKbQjsOtxzO2gpG_6bnkuBF-NbqQE8jhkDa_Fg9ltOKlpSaE1hmtFCtx4mitccErV5rZfy5JC3esJFimLKeyKbZNoeaMBrRJSzESxt_LzWgPw9sjlamaA==&xkcb=SoAF6_M3-x2smYSsaR0PbzkdCdPP&camk=nUmJqO2E8rg5zFyMZZ1bEw==&p=4&fvj=0&vjs=3
24/07/2024,Occupational Therapist,Occupational Therapist,Lifemark Health Group,"Cold Lake, AB",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cjbk0Vjq6o3_GqvpytU0k_SGwXMtJNBSd4kHJp6GtoQeTjUx9gGHkPgabDJXBye4bUldYP0JpLV_8HyG6wwa3GEqggrbzukGuzwuHaHF6dAh2mUA1sMRPhSQj1G5_jaBXBfKJifQ6gWujgWNI9EpHY3EeFzn3kkSJG72ZOuLbWME1rzdJn266pUBagl8KMzJp-BtaQhsbnOFD6I5J7MPyu8Hgwqrj_xIapVyIWySRVlDK3CpYEnUO5sPTTvLB4GmF603ZZ-vrQZtsMHr5VKgcPCiQ4wjw7Lej1Z1Pl5Re_Lf8YMoCOj9byV5f5ne4GOLUilopERaYz1Q0k5cBPmCvnuuLf5mo9dlJqkSKIFh0ULHOVDFpNVhfemiIYN724yViD3TSqN-YaozmZFoai64U-yeBnxG3gYX80WnEIrjhO7aOM-_-lakB6sps6cekEJqpeD5oUsRxtZZiTbfTSfQdAKP4F1ESUAjfRIAc8zhQ3QWsMFlaPci1uOwSbjTKyYRCKvqAjng39EQg1rPKT_qSXK20COQbH1qe7T11crfYZb98i689TIDh1mRgMYN8UTU9A1zvw1p3wXEdhsOD3OS9G7c5r3uvz53hwpBz1crTctMMiUGo5Txufsi-GGKwP6ZOMlQ9izL542Ab2ETQIzpIqPPFl5RJjJ9A65rcWJglhElHm79JqEzJFFCenj90aITOJuGU4FH2XL7fTi8uInLoPUYX-bYJjtt70VND8UNtcDc7GpeAT68kY-Fc571ZYroLxpnjysXdXTw3cFVJOleaxhPPG-NhjcoNzmm8h_wr8-b_IwoFWfKVZpmVRGKtsGYNGVVAxgpOGgzh5z8WJAbLBPuGKgKqgKkHsSiIYuS53CWj57wl_p19zmFKhj76Iu_1l535ixBDJE8cb6rSwM5r7dhXbSQZuOqV1i0Ik2I_QeQ==&xkcb=SoCx6_M3-x2smYSsaR0ObzkdCdPP&camk=4HOcmqOLYrDgdMCduaGYnw==&p=5&fvj=0&vjs=3
24/07/2024,Occupational Therapist,"Community Occupational Therapist, Early Psychosis Intervention (EPI)—Fraser East MHSU",Fraser Health,"Abbotsford, BC",Posted 22 days ago,$42.56–$52.95 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BUcvEkJretScWwQmphY5MRBvEQBp54sQ_9NoMPnGKLLXtKX5tNhbHgbpkK0fA5C_2giq8EsPLl1rwxGe0oIj1vPxrHbe--rj8E8YsBJgF8WIvjF9oswyoS7Ad1QD4yQ_Ar0Hk7llN-7nSXV1If8l17KtrIVWt8dFczemyXG4hbzH_JM_rj867eIEV3-AP0cy24V431pYqPTKzEaFFBMhILYrnVPzRl5CRFuS_fh-RjAifFvnHUlkoMXgyVh7H-bUl8lcHEJjC5UpqYfgQD6ihsEfLgTimTDNeDwHajizZLqhJWVasrXMMIUGzoAf2EdfxPJu4PMrug0SMyqMWj6nf5StBP5CJ0ghayEkN6mBKaYqFBgEP6m8sg8KUZHGXLhG6dcI2n0jnm9FA4oeG0X-jktZdfOEX4kPe7DheVdJVIEuqNgEdk2tG9WFwubpCrPUgfmldWULP3iQUKmrhYae07kMogIxe5nuRsCVGQEXj8Ic7lD4vez_4vKNkL0f90OMcqlH30KDb8n0297MsrajzFhwfG9Zpmd2dYnarDhn848McqV_K8gQDofddk3ma_FzJEEBT8EZACxIGORJr0rDWYl8bzrrhw7TwcTqbNDysz4xRKm49d0VVwJ0WzJkmCEqsmS0u0efQyVQ==&xkcb=SoAs6_M3-x2smYSsaR0NbzkdCdPP&camk=nUmJqO2E8rg5zFyMZZ1bEw==&p=6&fvj=0&vjs=3
24/07/2024,Occupational Therapist,Occupational Therapist,"PROTx Services - Dartmouth, Sackville, Elmsdale...","Elmsdale, NS",Active 4 days ago,$68–$74 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ChvW0oP6o2yhs3xIlaOOxP5-jDgU4MT7U7nKM0uznf17BdIekm9EZwcQv2VT-0NmnAAJ2yonhiz5dpzVKTcvgtha0TehCnBbfqYcSksfKqTQyYeFYPKNQ2R2UPIPDyC8qqMkS27WEAxk-KodYm5FsEVIYQNomVE6EoUBpjeXlWO2T28eI8T4JwN2QloJOtQ0T51CiOGxrlCtm16SkAsKn8SQlT3ZsB0dSjAcYdd_dejTNS26jTOK0pp1pKWcJoeB3osi_bPpLDDV6Kz04PczF2xdbPIU6y-RPGBjqdBSXB8pviAfE--MO9tyyopIl48gc62p41NINXTqr7IwceKzSMWV1aXSrWJeIYwY_vLtNkOZZbyRzF8Kh_5ZdpOmpIWKs7Pgs_Qig8DqrtuH85vfy_y-HvnTWaW_H1ve1d2h54YxCqUZ5eJxE9Os_4whUiwPrAGOPLFLIf4saauYeCdz8Etj8fFm57pCWW4E6UTQPFbMscKkpkyZkPCpLnUhe6go7U8fb6TcWoSR7zBNJN4YOUEE4ZkjoPYKGLAIDTsmh_orBTHZpme1Aj4trumqxOpyHSgXf4if2g1fTkZvqbGkRtloW4kmrq18l_oGooFJIo7Y1BGY-pReU9iCfxUy3wzABrMXoFP1Id5L-LFJe6w1nJ7-HhOoN5QfWXbmJ_SkAFfQ==&xkcb=SoCY6_M3-x2smYSsaR0MbzkdCdPP&camk=4HOcmqOLYrDsWp_wq3pYSQ==&p=7&fvj=1&vjs=3
24/07/2024,Occupational Therapist,OCCT-Occupational Therapist,Physiothérapie Universelle,"Lachenaie, QC",Posted 8 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cjbk0Vjq6o3_GqvpytU0k_SGwXMtJNBSd4kHJp6GtoQWw-Fu20AFOK1e4OEGpPSAn1XfdSDib1dm5sZ8Nasjdy7n2zsdGTAkmAIMIdoKszEhtBDxP70T5iUxFimczI9ab-7oDltXESMoDSSB5_PS4OTYrP-4XXexq1LjtImSn9EWOK8vyrPADOMDL9K-FwaIxhnOl05NLgOx5m9as8FiyC5p_dq3pdhZUpH47R91GbB-BFQgOuzIsg3RcCFkiQTYxJ4gT_v1X7Q2iCCpLeiVAgSBAfUTzGn3sUeB0FsjjLwjMCYTyYcIuQIOoXKdkqr6SDYBA-a1d_YK9GAdEK5GX55dt0rqOfY2OdU4WkRvgQEJ-RfgHw2I5XLkYWg9zcSQTMlE-_qJC1hodJwKtGKKk7jPLwEQAZTf-u-SMk0LsD-F63aUTxVUHj_8lxZdP6s8UssvI3gNsUEZIx1ydhULLmidGN1Drp5IoiGTW60Mglnt88TWiIE4n4csKMxhC9PTPQBOUZBdmOvaFCR5eXtjMaVsawjMuSbYGYf_BaETGOnDp2-fZa5N9sUIwWy345yZJycx6Lhq79g9qn4qcOtVpJHDxu6y-AokBQZMh5_VzEPgtQvtpEv66-8EG3vyxFARTr9zPki2VborZHnEzXsa4AIpwZ_wrTjBUzQsfzh4E_eklTJbi_JObTerRSgindhe1XY0AelJUkeUbQ-ZM5S_NVzDgQ6XE1zpqEJSzMb6ZPQJx2UvWnosB4aEr10iN-PdK1wFsX100px2wgnBAlpxrygdQfqq0DTFnf3sLVanjnedZR83NrCxgdBgEkPK_0vceXumqFv8iSe1j-A6-jAdS7f8U2RPdbCWk8a3OY3jOGmQ44FDCRUvwnnQ8FGky-hHecShvWfIns8K6W36cGxOCvgnz1gJRDk8v9i2Jh2Yv_5q-9lxdmbU7w&xkcb=SoBx6_M3-x2smYSsaR0DbzkdCdPP&camk=nUmJqO2E8rjsbqlhinQOQA==&p=8&fvj=0&vjs=3
24/07/2024,Occupational Therapist,Occupational Therapist,Interior Health Authority,"Kamloops, BC",Just posted,$42.56–$52.95 an hour,https://ca.indeed.com/rc/clk?jk=6285187298cf6e9a&bb=noRcANAqLaw1G-GhhOTcVd_8EDE_V59n47DYXNQLa7zIsVwnXp-fXmrrEJYZus8MhheteGVD0oIZPrE2pGuVhaaV-XMmvgUIyt3K6llg9cuKIcIssQJ_IasSHKT9dRRT&xkcb=SoAx67M3-x2smYSsaR0CbzkdCdPP&fccid=819aaf068231c6d3&vjs=3
