ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Office Administrator,Office Administrator (Wainwright or Lloydminster),Davco Industrial,"Lloydminster, SK",Just posted,$22–$28 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BwztDDhrgj_SYRioMKZ4bymMZ1rT8ZbvpwzOtywcW9vyRc554ZMmX44snzMFVt2qoaPj1vAmMIVLC5VPAruSZ28eCboLNwECTbHVfGP7BQF-U41LFoDWXG91mgGzuN0Ky16cZo9MNwBMiMg3mTxpvngZpAR_z4VEVEK6QpjYlUiGh4Ucsi6QumeSCrvTTvOBKvZ9pa9JFJqpuI6APFZFZsUPHDbxXSbd9gmtmoQQnggM5_vTg3u5_IMyh4xSUjBp4-U5UE-rWOceEuMfZWUbTV6hBwfQPY1MiiJcu-MR5eKBwNeZIGvR5OfI6jxg_ciONb8uLGTwgSzyQxWbZllvRJvvri-ABJnHok6seNOhFOMHVPVNoROA7mL8mIawoMlaOlikqY3qTyzypEJCKIm6nEDILNnUt1cNm1r-m1qMOxl9TRwlCU1U9Fmnxp_9XjLLf91wkkiLIDptbUtV2alvsIjffwViDkJkHabXWkwbF7z6GayYDGUse9li8GnPGLXNoMZEjWZcYeZrIsGlnktWS3ZW8Axuhj1t8DmaZSQu9nW2h8c07W87HUmbbZybxJyAo8qw8FWPicnKvtNH168ZEvxQu6p5UNlNsXFJ13vqolMldpwafx5uTsdxGohIPxY2vc2tKTxTGltUuioigJ_xK6MAGONHFqvhemBdQf3choaFQ8xR6DAHNh&xkcb=SoCr6_M3-x503QSiqx0LbzkdCdPP&camk=nUmJqO2E8rgwhVdRHWlGhg==&p=0&fvj=1&vjs=3
24/07/2024,Office Administrator,Office Administrator,Overland West,"Whitehorse, YT",Just posted,$26–$27 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BtTOzRF_Z-qonvi_T6JT5G0tl7oDeik4U99Pr18QdtN3DSdc_TGhWGpxrB7S4WTMtKhcXaanALY6sTPBhVMAutAC66e54pbKxQVZog-UeD8jvbcRo1g1rqDDiPwS5dFKuqDxO4VgmjbSeE5Aj3Od3A4HaeU8T4UByC22D6VrkMbd9LzNWIJWHmfSp6_W7Jx5NRhwYnjMb36ZlzXEe3t6Ybkv5dD55zqgGJP8dVy0fz1aSF15nAyhzk15ic-UM6RDdV9-D5FSEB5_OQguVAo08EkbYkfHTTfotVNErCId-NxWr-s8N22ME9fZD4psnYw_GIlFyuxbTp3jemOf0kBlMYEl7khbdCnPEEt9GBYIXagKXAZxmoAG6U5TFpQP3uSb1uWrm-Yy3ZNAvWzNVCsq6WdtAdp3Z5PWLgMRo8nQhSbOfw8mX_8KJX2k0awfJzcsotllY5qZXSzzl6AXwQi4CP8h0cTj8K5yS78oThp-lHgV6csVj1ChYUTRfRSPReGcW_eCNsU18eNPxio5xzcPP6tnaqiq9UKdN9ePGcRLSILJj4Rxx7V8bCwRymBxc491RyU6dJKS8A5u649N3DTG46STD0kLgMekY9d7sgGjkLTsWz2iBAKYCrZTeU_1PxZ3H1FIse3QddywRMnzPlpk6PwyQ4T_YPkM6aWdGOt0ifCszW5InL9zXDa-dCDI7NPH8d-YY8c6HEWb_qXv8xKgDAAdagFjuhE22n-OMQsde7aH4d6rTnpvjo&xkcb=SoAf6_M3-x503QSiqx0KbzkdCdPP&camk=nUmJqO2E8rjWs3J4t4DImA==&p=1&fvj=0&vjs=3
24/07/2024,Office Administrator,Project / Office Administrator,Crete-Tek Contracting Ltd.,"Esterhazy, SK",Posted 1 day ago,$25.50–$32.50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B6aC4OxU6zM4hcRd-VzikqXdTVNcwQdczkDdjo3o6gkrKnEKIyEhDT54OpRQSVrQJKMZrHjzb1wbEtyizpmRdJ2hr6mcXjabPgCHLg5QVKQctJdUGFWYEvNFXkAD3VReoLZzOJHNnIeaQUk8OcQou-kEqkkST-MKHE0SYRqDbus-p8Y9QmUT7vaQ-JqzKECVdzJ7oAeGJFtkXHTDMRO6dZaNlJ6BErWbPjIe60PqGZ69cI4ORwI5pPh44rKhIW54ixWo4k_SEKvM8mCYh41cDr3y2ENhpG70iGyB8OvaXVIlITlkGTnJ9zomXFWDbIo48eWb21Dp7KAK-JbSP3xfkau5ock0dlHZKeqQteST-tvjeySZgQlo-9E4nU9IEd8x2w00qtMoeWsJCq3FiGmDOtLcfWr35KJHdSrMT3LU5lDFIXCx7SAOTw4HwE_KepXfVblxxlISxzMPxX6zBxO5xr1wcBmYzCBgSItgMzO9N2mn_38jh4mcFTDTF850oaR5RytERI2dPzRPvGIR8oDU_rQegrYaXqlRjZqJMoPALT2O95CxyTNQS2iuSlTdOaKEcAwovwRuMY6n0aKWZFkDhGAfBg_V-UjeGkCpde1L3rjVMNBUKYOCkHULZ8WMlZ6YaMRHEEUUv24ivFDn94Ob9A-0Dm2gFf62k=&xkcb=SoCC6_M3-x503QSiqx0JbzkdCdPP&camk=nUmJqO2E8riFgUTp1WHwGw==&p=2&fvj=1&vjs=3
24/07/2024,Office Administrator,Office Administrator | Sudbury,TK Elevator,"Greater Sudbury, ON",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C1Z6JAOiWBEvSow5eH02ru1eaWOnjGJdaTWpv8Tx_-He7RUvg8SaIvBi71QvWOTh-S4EMH_OHR0VAbCglZP2AMoLClXPvPutgujuaNr6NsK8Skyj9b6WK09b5t7nnba4cLHMRQ5UXKB7Vr6PWkfrqsZ47Dmn7VLGiWtcj3y0KyZMG5-lybNgLQMu1lk9v6ODtGKXhOut1m_bO9PtKYwxZrXl1mqZGKjPb7dn8ffgIc8wf9g9m27husxxluPENXOBW8rRlC8sK5r4HQZlm3DCoBuWcjmi879tUFXkU2UaBes3k22RHnwMB8FQS6lPz0EeJNdLxrydVoW-uFsi0OEqLb-XWb5cNPVJC8BjEFW0i5MVNYOH5Yi4JnZWzVlV8DFs0J4ySDqIu-p4r02CyVNnWGKwogV8FaSbP4lDkygklsdNEFSDFJDFcTq75J7YffJi_7NtS5usKL4mXBH_x_JRfqxtkHnPJFCaLOOw2NpoS0q58W65CYSSNS-JOQZKujC6Q8Pxcag9NNbV4wALxV_XzT9rpAbtP6-OfDOjh4mD3hvzu_raCLZN_df_6A0e89DVoRwCabTqUTu8WUhTQnaGvScFy2aTj3c0bEtZaJByM3J05dTSO_aqOSOBm2NGyq0bEfxqRlZ114wSRCaCakfYatgmOX-RbDUe3aRvoX7n4-Wg==&xkcb=SoA26_M3-x503QSiqx0IbzkdCdPP&camk=4HOcmqOLYrA78qrkKAg13w==&p=3&fvj=1&vjs=3
24/07/2024,Office Administrator,Office Administrator,JTS,,Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=317ae135c5fd1362&bb=sT5ATI3WhvQ8-tV10MjW-lIGRntjOXeWTlYbHY7zDJQklt34WMaiuQN6QjpZgA0RSOI8ZRZD7lf40ddJKa5EowjaWqh9GFfHuJr8SqlrUcY2ZUk02-Hi6NyVsJc88UGT&xkcb=SoBM67M3-x503QSiqx0PbzkdCdPP&fccid=6f0337b4ccdd8ab0&cmp=Journey-Tax-Solutions-Inc.&ti=Office+Administrator&vjs=3
24/07/2024,Office Administrator,Office Administrator/Advisor Assistant,Ryco Financial,"St. John's, NL",Posted 28 days ago,$18.00–$26.39 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DmjBWiVncN-hTRnTfPYQFBXrnXqR8gy0VgLLJR0M-BZFP4iCKEic4G-w6KwYYLMoWxeSDa-h81w0ycKM-irtmNCDimSE3ZJGh6GkJKixMustzbWfepmQsZIM0rRDJrvPsC6J3wB7uqsQxBThy-SXdBWRqhDkIa5m3RX6PDTy55an6inYH9mXZ6l5-Udyo_cIBJqY0bOPKxiIfaZpgOZfRda_tJSCK0OO4SBKPpJ5NVo0ulavG-h-FahN7AYSNUCOkWmzlvDLQsso5NkM96EhPDb4Ri1pd9Z0q8tkVrr92O6rlVhNDzkoPTBvU_OOkI4dMxQKadKaH1gw0gVxCo8QQ8fzKmxUn4yLPudqhQdqMlqLbGPsdUnZdkF5kXoePInOoA4kubsTm-6xicA1DWCCrrULmiUM62XLlD78LLY8_tCbwkn3QSObXppfYPtkwbolkJFuoTtMtRVQBX8wmSZ8WkLjV0DLrHpDg_pacfSU9-s6D60F-uK4sMzSI8KPxAE-pBvHnjNpnW8_YGXhYprb2m1gWGyiMeMN8390At3T2cgqM9i09NU2mXTkdmwH_SDGp9fv4c12U2kLy5CZ_hFW3vvPUeWrjMc3CJ97nXTTHIRNoID4b_cOL2z6Ba_GBezfX5bjlucHbzGoBsM3fJQCNKielmP5IXeSQ=&xkcb=SoAM6_M3-x503QSiqx0ObzkdCdPP&camk=nUmJqO2E8rh8c9Zl7t8APA==&p=5&fvj=1&vjs=3
24/07/2024,Office Administrator,Office Administrator,Breton ND Testing Inc,"Fort McMurray, AB",Posted 10 days ago,$21–$30 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BgveQudGRAbA6F3_vJuh4y-PTBkxATfFyi9OM3t0-2yL2PMF9AuL6XFcIJkszsQL1jIrQo1HSyGlTLjcln5VBT1hGN41TKLwrTSr2IDulZytByzkPioi1DxZqjL8_aEoEDRkMTYvWVQ4qLUW2UVBXYvMwNMSwxCnmS8INbzDk25lRPASfeQE1CHVtGrnr_1NnEDuIarRNmH-aXFyneSN6OCQJ_UTic_-ypnCgA-kzTkv6RZZAlOtohdr7fegRiEvdlp9XvQ0qofP9RdhZ_xtruDdaLk9fjS4kMTU9sQ1bqWZ_cgJBYwgJx4bHQgck4MPv4P7WiQmiI5rLMVUv9ZbpBs2_HLRVoXJ9W0hZ-NN4-7d6FIWMrqe_2-puPxoQTZLkw2o00G1J1SZk_amB8VAnsapa5r_RgcSyZlBC2BrZiw3DXCws6JiwBobBMcuQ6POSEizc2BuTfwJCSAEWyrZeB3tX49VyhroBKtBcYCF4xvQHHfyE8u9_55jgy5rqVF7xzRJIGHo3tAFL_gy4WPDcqW1RRF8MxyRd6qonbgaL05zT_vQdgIg9HCGmUEYjI2_pbzIxvJ8n3KpoXzOaroCrWQH5pQNQWFA98EC9Mtvl1nSs2dl3CgVo7janmNLnNMVJRsRH8geJF5uakq1IbQf_Y&xkcb=SoCR6_M3-x503QSiqx0NbzkdCdPP&camk=nUmJqO2E8rhRGaniQWQ2ww==&p=6&fvj=1&vjs=3
24/07/2024,Office Administrator,Administrative Assistant,Empowering Ability,,Posted 5 days ago,$22–$26 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AOUjUQNFwHMjGsi1HPoD35uvKeYRyw-lZ0eizl4BbhxU_P6OnH47Yw7fA-Qt2JHGXDcuRMso6JTGHr86sG01uVBBZSkzA0maoC9XuwwVFULJ1pF9eLHT6vHKck-TeUStTkvQKLQPKVqNT_a1KiaHTOeRjUimRbI5U5n_uj01PUnVVRNHPOD5LAJlctBtmmqmL3dzk8M9qbKcNyqbNcnhNEqvnsVvC2Jh-gY0XqWm6HuMWMVK2P-04VSbxuCm3_3iWriX50fpzt0bWSMrbSVZH4q2LjAYpVZdOf0lw83hekKEP2hSQ-1xvB1FhumpzjNVv6ie6VAVuCHgdNWFXYEv6mvwV-pedttozQ35gJm4PcW9UI1Jt6Sx_MOgYzi95QL86dvazvyTVlFomnSL32tApUVM1zRm5SqKXQWhQWgviyztfWSyHI7WK3ZAw1eaP7nVcbdutecglWflXW5uJNnE-Q5hbYLrhKojIQLqUvBy6bPv3BQRjIHWC2PlwggiEr0gZNqXWo4ov7dEyS8usHqOeus1A88SZzSMvj_BWvk8NWvYZO8vRLqr4JjycSQ2dxbUPh3NQmaEk2QbxzfN4zYnmu5HM3iE6TVMadd7nA1xi0fYGFwkAOOnwEORGo686f2zDSyt69EF-7PQ==&xkcb=SoAl6_M3-x503QSiqx0MbzkdCdPP&camk=nUmJqO2E8rie7vPgD5xD6A==&p=7&fvj=1&vjs=3
24/07/2024,Office Administrator,Payroll Administrator,Medavie Health Services,"Dartmouth, NS",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BxAfVJTrv8cCykM9OhVlfMydtTcLlSuRpYb5_3CDTPwa-Vw2HEpqq0VsfWON_ZusMCaO9Ujz9ybEdolgshgP_TfHvZuMAOvlj9WCIwCy8V1bHJrO_6s6iZVoB3ny5EEuo5vJJ8oZjQxNa4pDziHePJ4gSYhXBs37HOHEeneiJPX048LeYhLAgvW-O4KT2M-3NJR_FMu0O1J0fme-pGRzkF1sc3sR3L8dWeCFVe0aOPr3pHbKQ5ECBR1TUw9KbN-s9m72xCnuZUsZJDjyTujknsa-AFNIyIY-abpb9IiYaMq2QEoy5h1XaN0GhMZt0I0SIvg3LRSk_ZqI3bgqUpkOwu8uXSlo_zQw5aXkbfGDnYtqrn7f7BwUsXEfZSD88UgkUJamy9IB1-kZnSgHjg1Vv0KqNSBrSSOizkelXgI9cG3XOeHdpBY5YFA0z5rjwsDdWvT48kn1LaHt2TNn_u25XWRQYcedfKHGuFlmp2-Rgeh2b5OB9p_CLWleXFHKBfjYZQ72F9Wz8sxLAjCF80yB-XcPHr7rkx2vcTI08NGmyBadKselnYTuj5v2-iHZjOvADys8JOfxkmhI33PQrdW7jXzTcOd8VnkT1bnMky85gN8_Nbo-1_ozRhRHRUkwlb70I7K6K_H7VFOXrkimEc_lBkhKAly5pYRCkV4lRauWoScaLpT_B6pCedRrHolZI48VOMtMCCeYdAUnz8MwpFI-hksQbx5ts9Enw772QCc7yNYQ==&xkcb=SoDM6_M3-x503QSiqx0DbzkdCdPP&camk=4HOcmqOLYrC_PbDEUvkdHw==&p=8&fvj=0&vjs=3
24/07/2024,Office Administrator,Office Administrator,G S Homes,"West St Paul, MB",Posted 30+ days ago,$18–$28 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CPY_4VyJOjpJ7g0C6iLtX9o5hT1w_hJqvO6imqr5dDIPGTLqFQQgXaPLRkHM-ZQxzCOmv5G7tJAZNs_d7_8-zZSqoFUP0svi9Jj0Lov53YlJmYjT60s50b73oEpqqwz88Vv1qiVs9dgTL2W_FVF5RlhxlKJc0qmf92uYqAJRZAQkpbfUXJB3vCVppQlDhHhP6hH7fqohfr7-djmuJ3UhqL2JyjLuFPr4qmFOPDagqTWoSLp2Piezf-0gD_of1262MlMRrL7GuN1d7DdUoIfltEzJu8t8L1gsoTwP1HzNeIHh4lfx3U2mFCXeOf60ogmEeCRJVosz3gGEUhD6OpL233AMCY6_94gedWkOf23AA83dbM_80ThF4VU6K_D1_QgX0mL-GntmkFeT9owaslkxe_Y0pP9wTIDSM1Q7WEpEUK_yRUZ2ocV7yycvG-r7cLeogRMaO0GMcSQ6WUxoe8ICCRXeHkBT574CZ9t-WneMaSHCq2ucesLzeSciRUH4e93qsW6dkKtoSKq_UiG2mZKXt9N8qU7j_Bl9fQJ2T30l3qQBiLHsbWReYPEt_BqpIh3GgRYDPPQHYQlAiUJuxq_biYaazaKAE4Cthq72k6PfdbgYG_flkwQHfrOTeWLgCbOp8YzKF7d2o9ZGNyCDmqM389rc7UuZxvl8s=&xkcb=SoB46_M3-x503QSiqx0CbzkdCdPP&camk=nUmJqO2E8rjQd-3RuNaaXw==&p=9&fvj=1&vjs=3
