ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Office Clerk,Office Clerk,Ricoh,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=ddee36e20b3fc88f&bb=4tkrdORx3G9M3hq98q4dvRjDqIobqpRWxqhK8QkSrq9AoTdbbE_deU-JyEPLsZu8A5ZRB4VYS7eA60J-lC1Vg66UNe081cu_N9Yz87EeuUzVdU5wl1p-ew%3D%3D&xkcb=SoB167M3-x5r0YRgUB0LbzkdCdPP&fccid=c8dda43a22e6aa45&vjs=3
24/07/2024,Office Clerk,"clerk, general office",THE YK CAREER EDUCATION SOCIETY,"Slave Lake, AB",,,https://ca.indeed.com/rc/clk?jk=f29b31a4503ff3fe&bb=4tkrdORx3G9M3hq98q4dvYEZSqI-7dZ5DXQ6QCXLDuRXRpc-tI4CzRKc_-W7Y2WLhKMMkoWpkEloBnu8lc2d82XXIjvYz_CkjYNVJihbiGgzLEHKVeWG-w%3D%3D&xkcb=SoDB67M3-x5r0YRgUB0KbzkdCdPP&fccid=93d73383c92b7c67&vjs=3
24/07/2024,Office Clerk,Office Assistant (Clerk Typist 2),City of Burnaby,"Burnaby, BC",,,https://ca.indeed.com/rc/clk?jk=8fee10dedce55740&bb=4tkrdORx3G9M3hq98q4dvV3HPiMGGnzTuDRv7pUyX2fHcbCdKCJXs3JYXhtneFb2k1dF9ArgcLg7DSpvxRptmzk0LV40pF1dcKy5aWxxLrO8C6MOdRloGM2PsShSPxeV&xkcb=SoBc67M3-x5r0YRgUB0JbzkdCdPP&fccid=76a2154a4730180d&vjs=3
24/07/2024,Office Clerk,Clerk,IGA,"Saint-Jérôme, QC",,,https://ca.indeed.com/rc/clk?jk=4ff61558650c684f&bb=4tkrdORx3G9M3hq98q4dvdwNg1_1u1BV2_1eMioeGY0TRDLbbhRAjDSioUqiQSjqN68FNzAa6JCB_RYVugmrAiB6KgjJKzKQ0YNmGE7VB9JMlt6aZhw_a9whye2qGIvA&xkcb=SoDo67M3-x5r0YRgUB0IbzkdCdPP&fccid=3c02ec1529e7dab3&vjs=3
24/07/2024,Office Clerk,"reception clerk, office",Paradise Manufacturing Ltd,"Prince George, BC",,,https://ca.indeed.com/rc/clk?jk=f8e176b67a848135&bb=4tkrdORx3G9M3hq98q4dvQUL83smcHyYzvrC7cfkJeJBFDt-EllzwToZ-0sGFh19PyITNJbtR9cyMPjCZtcaxuxpZyRkTRNGmIbjkdICVXfUCrQFCDlaNQ%3D%3D&xkcb=SoBm67M3-x5r0YRgUB0PbzkdCdPP&fccid=c2bb10206af391fd&vjs=3
24/07/2024,Office Clerk,Clerk,Government of Saskatchewan,"Moose Jaw, SK",,,https://ca.indeed.com/rc/clk?jk=c12dd820018aa517&bb=4tkrdORx3G9M3hq98q4dvTB9B7ZBYW4gpalQGu0BGxqFv-vStkwnRbQQV7NDknD1TBWYx2ApSwtBizEkfztYYsA_i-iDEbxdXzeRx4kdjcJ5kFYQo6dxVg%3D%3D&xkcb=SoDS67M3-x5r0YRgUB0ObzkdCdPP&fccid=46b05e24085a766c&vjs=3
24/07/2024,Office Clerk,data entry clerk,Flywings Immigration Consultancy Inc.,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=a38b7a81e6142c81&bb=4tkrdORx3G9M3hq98q4dvUngyse7YlNESYWrM2kzgaznrvmcOB0QDfHYM3CSOC4PQ2HFvoPYzfWVI8zB_O7kNUNEC1-641RJn-z4gH7JZUUprG2C_-qMwg%3D%3D&xkcb=SoBP67M3-x5r0YRgUB0NbzkdCdPP&fccid=9507c9213257750a&vjs=3
24/07/2024,Office Clerk,Office Services Clerk,EY,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=ec1daaad92b92abe&bb=4tkrdORx3G9M3hq98q4dvYnV9Xja1e-fx0xN5uOpUh143uhNovS28-o-f1MTCAGiqHb5oi4fVWL8lbX2ULOzcGyTqmympfb-RnEWeOpzK8tjAzkgVNBDsorSetKxJKtN&xkcb=SoD767M3-x5r0YRgUB0MbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
24/07/2024,Office Clerk,Data Entry/ Billing Clerk,CENTRAL TRANSPORT LLC- CANADA,"Windsor, ON",,,https://ca.indeed.com/rc/clk?jk=29dc313563f02478&bb=4tkrdORx3G9M3hq98q4dvf75ZJAs40HriZk5jpOLxeH885sJifa7pPTC9Cd2zrUcaLUunZzAd1--BDJBOqwNN9ZyRdUwgTiouxGxYwo5_dr0Nfruv7WNRoTy2a1ij6bU&xkcb=SoAS67M3-x5r0YRgUB0DbzkdCdPP&fccid=4e7d75ce455c1153&vjs=3
24/07/2024,Office Clerk,Data Collection Clerk,Statistics Canada,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=2dd71789e11b838f&bb=4tkrdORx3G9M3hq98q4dvV3HPiMGGnzTi1iHVHBJvSNCvWsXJ4At_XYnOjTmC8kCeFjyF0iYtaJsD5uv92O5HwS8Yn_FLHVk8pYXylogSUsGRmpHgVAIf_t-_A1N9p45&xkcb=SoCm67M3-x5r0YRgUB0CbzkdCdPP&fccid=015fab4acc81b466&vjs=3
