ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Paralegal,Legal Assistant/Paralegal,Porter Ramsay LLP,"Kelowna, BC",Just posted,"$60,000–$70,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BSXnGJmEagCoTkSfDGPxtnWN_DOlktqSJ3O8B4FGt-Ow0uTDSIliMHUyd-A11mPadXdA1q20duCK3iciVPVviPAshfoE10Nf9AHQIlmY1NilqiCexMYFcCuw9pO0KVm6wuvejUkj3F07TgE7i2EOLcIjdN_1LYgKHasrYS32G7vB2L9iDgMBgqjEEUreLmn4dCxZ8L5jOse-E52bfxmAcC0GTxNGpLU8k82_kmvkXmy5qtMSNUQBr8kq3c8u1n74rW9ziPkGrlSl9ID8zIZ-L5ebTRvqIeal71jfVAVCk41q3EIzQeYZ85r2bDrhrSjFW-zgQh1_XyJsEjpCy0rjgeGT_zKjeNHMSScXUl0GPpSjPraejaaOV5-xIVVZzXHdBxBBd2hUdhmXyAcNBGSV0UUu5vyUphh0yIcZEUSCd1eDlnraF8SLjweGSCypPzzhrFMM-sppi5S7bY44VNazm5Ygt0D1HA-ua9-2Wykg6nvNdWrEmIdclDjEPbbkK0P0GZlra3O8E0mNMUddOJmUV7kX4mRmCfWvVk-fyBV0C-HmhdRLo02oGuqrLvAic0kc4oJgDRXw_IUzohoEO790KkSa3uwX_A2C2W8B-Z5_CxUYF-haIUnpnlVtwraExmG9K8dOdm2r1N1A==&xkcb=SoAP6_M3-ycJw2xXdB0LbzkdCdPP&camk=nUmJqO2E8rgGxRh_YK5pkA==&p=0&fvj=1&vjs=3
24/07/2024,Paralegal,Paralegal,Linds & Associates,"Hybrid work in Richmond Hill, ON",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D_SALIy6UMUU0_jW1-9eUT5ZBrwXXPwY3PJjYxwoERxtq8fIUhMUufaspzcA5xsVK77kP-S63UtzyaWNS7Dfm0yeQNjQXVZ_plnWbyBbts3l9BgIF7DuaLaGRROggmq5OC8JeoT2AOsUPnqr6w7IMh4cHQd2VPy8Gz5GwiIvPykQMlR-OzFUdPFniIOYHieYQhGdunUSh0HgnoPaUE0l7snyocpLIP-Z5TbRwf_vKZHGifHQeWeygY5QmO0kqmVGlN1YudshNtByVO0-AKPJI8X_rFmtL1NdJ8AtJ9NqCGOMd94LqdsqYw7C2t-K3EgH5ABcbArD7idA7r7f2ZsDEZEDyiRVk9A8sCAY-3Uz5XaIb9gQZsAZc806-hb1gATphvZrUiFmFnHCjzsOhhCjth3jfuzv6Y26rdeK-Ju6CCW1u6hisYWNbm3XvCT1HfQAiYqAkEetkwg4r7cGWjrkrUZghjDlx7yGePdpeCzkFktGHWhuWPvOQhkCHdvKyHAx0qNc2d3bI8zoGFYCgMvZ2Awbg9Sif2RuSYBmS4v9f109gldG9lq4Wz4sB2YIysB2wjDKVKRBOTiFmuO5OemhLJPKFmX1HKzoE0yanh47ZmD7BJOxD7zFA8b6Jkxd1pd2KzR_6Mc9q2pw==&xkcb=SoC76_M3-ycJw2xXdB0KbzkdCdPP&camk=4HOcmqOLYrBkJkcUr832Rw==&p=1&fvj=1&vjs=3
24/07/2024,Paralegal,Paralegal,Blackstone Commercial,"Calgary, AB",Active 6 days ago,"$60,000–$100,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A9VgBsY5f88U2SLogog4H8GI0_MtT9mt0Gp4IJUfJHRp8D-pXiYvcMKzDFBy1fB_e7-l_0AZiVGzZ-AvKgYgCfCY8u-rwvEpAdoanEAJU0z89QySZKqaafnPA8M31SIj58FYiVQP--EdQSJ_7SA5cS9hyvQW62J90KxailBMrPgM9fE3juNsFv4amrGc4pL1-y73GMTjh43PhwWkHx7gM6VV_mt7KLkO46IvaapzPPTFpsGF4OCKaPWEHVyeKXtMheLXI84YkuEshXQpSkxnVwXDES534D-d1vXcSvy0mE1u3QgcOqzP-eQc5yZ6BZIFZLO1ejrUrCf0INNR-e6ZQFE90EZSmU3GmRrydKKEC6XHGYhn8YK2Uq-c-_j23YVxKrao-Z3UNbu1peew8zz_YTzQCb3cTkJdfk22bXRi8_ixdLgcCXXEkzkEgWeCe7jVLsnFpB5TDQeu-lTmKP-LWI9h0NDyLh-QOL0lD_5KE3NzN-j75AmcpDcH5urXy2SdfNkXhBrFiHJgoOONyIodGPDcj7XxZK0drRLfZDJEpmVxrB09ETbdoCWf_C_G922tsAyZwvG3b3ijynSyqRuyr0vTHKnmbWKDtSksOQnflOG5patLJbPKxb&xkcb=SoAm6_M3-ycJw2xXdB0JbzkdCdPP&camk=nUmJqO2E8rgF_RFXqXDrjQ==&p=2&fvj=1&vjs=3
24/07/2024,Paralegal,Contracts & Business Affairs Specialist/Paralegal,Blue Ie Pictures,,Active 14 days ago,"From $50,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AsDSCY7qE2vItL9ojhoYRRkce79DkORs92RbO0E7tWMJxMcKxTSrsakz3tmCE_K-BekdhYsbO-7TFghr6MTv9tzZ9j6eFyltk_TC5veJY510eU4enJ3ecotZHbaPUtm1fuxaY5HTwhl3_4CtsaEGFFwdJqiZ92EyO-7v9le1lnTrTtBZB1AuSj0KdfPnDDNtqslsPMlM26tXqsVTKvVtPq-3047tE_qasWN4EJl2RSCThNh3z-2u8w2rb3dkXvtrk5TEIXsizv_U7j0VbKm44W9fdzm19kK0IT5ZgZN8EQ5D6IYyeAZios0r9YYAs7KtOb4EJewBKB6wfwHAxbahyhK4l3D25FqxPDyyf8UW8M6eD_wB8qobUMmGiPzM7RVol5DFeCh1_viLe7dsyedYFwjzFj4yA1WfmdpMAR7xGNmIeb_jidqQXNJstAe-F2VkLGHt0x-zT1lAg9Y17rNiZZn6ruH9gkF_MLMrOhZqXgLjRTZ_iZ-EuKJ21djaSR1rBHtD0IuoldTmBTjMibxbND6unt58sIGwqpRAuePYXakI89dShM14Ro5_bg5BBxV03yPtnMjg5_WDATwDLP68itVvcQBXluUl1p8q8PKUC-l70qj3LCcgresMOZyaL9lgLf7W0Q2VP6Dx-3eUfwBokdvzYfs2SyeSs=&xkcb=SoCS6_M3-ycJw2xXdB0IbzkdCdPP&camk=nUmJqO2E8rhMjG0MzRb_7w==&p=3&fvj=1&vjs=3
24/07/2024,Paralegal,Licensed Paralegal,Confidential,"Toronto, ON",Active 7 days ago,"$35,000–$50,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BE4Rqz7HPGWP6c1HfpSVFpErQeo8fA6_GYZqIFV9u3QSVx0E-d0BZ1TLfYOkth8SEdFjKcCtO0BF7uB3OenyKriPTjQco84nO235esNNR34QELQJcY4Ca8-mNcsDTURvLfNn8RC0CuU8jHiTCT8wCLoo6H0Lhz0i2fb1gTOpZWIcPGLQiESNnaveGGkTYcAU4zCbZEdfKQOeSxFUTAcZwh_gCTdqEUdORGbsF_K4CdV3bGaCxzJthlky0g9rzpoGWoM0bwRUB1seMlV2sAj8lzaPhoxuhm2IT18WwbDulsKOnUgX8Wm5uCNyCHxu8zr1V7w7rKIicp8erjylONLW7R3a6QiMSyLiZsftTUSKBwUsSK6ImlXxEtLYF1cuqE6Rswz6JAiDG7xU0OevTyGGhgVCgby5TB-hFkLGxvJFbRBadOsz8MsZp26JckFj6UeGjkzunw86cuwGTcgcLp_6KT58KPWEVUkErYuuhAySn2cDMshc-wjdjIhPVq8SR4y1TeBKlr2XPnbHZiLxHQBXm0FznONIbTknshtdPuWcjKdgLr_pY7SO5123bj-ldcyz26b033Qs4n5SECNYMMOXWNgJ2tRO0A_0M4cqXtBBbyv-AzPonwjwy15LmZnAnbQpFEmWwHxnCLx7pu6PO66-qE&xkcb=SoAc6_M3-ycJw2xXdB0PbzkdCdPP&camk=nUmJqO2E8rgjV5F4nH-7Ng==&p=4&fvj=1&vjs=3
24/07/2024,Paralegal,Commercial Litigation Legal Assistant,Blaney McMurtry LLP,"Hybrid work in Toronto, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CoKSuTUDdiAyryKfUgRAaxW8hLbu6X3kxJzPcZdTW1YOQ_kz19CTN_vPjnoxq4u1M1jR8ee0EXENonX9b7JL6UT0L3e7HTovYRQiIFpfm7RnasL3sXbYO_qXMaopyMhZOSwyHhUcteY0oFv8zzvgtYkbrNT9bjxhzPr5dNy4PwezsuB-61ACQk8Br7eNb9O8kE5rGe6IJQRDzj6X5CPXnJ3_sZ9UgDw8diKBsZS8k24qUq4RMnWCPTkV6jHzzWXYxEWPPIJk1QM4LAiZWGLmovElJ3UkvaQuVmPBouKiuN5Rjnm5fz0zbyR9S43VVvLcEMo1hdoVGMS4FHTr8BOWFau5CwBg020ayNuHFnTNLt2rE3wyd65ZTlD157892lVC7b9nVWFEIebECzJKd0AgsSt1-uXGG9qGDWt6SP6lap9Ps6mqPnKHaBwsuWLvUgC7QeJGCp23HgXXJAseDMF5fzzF7BlNDjadhfm5gSsE15OglasCRCzI9NSTYRNczmF3kKoqh1BAzQyKnD2hGucPec5kViA59JQ7qoju9-oaRbLgdDCbjtHDfuu6H8Sfvz2rp6D20MXuT-Tqv6qmHMAc_4NVYWnsYVXptDSPQeWADz-f9Vz1tCym2tc018jDFVHacuijP6I634h58A-FKYkesE&xkcb=SoCo6_M3-ycJw2xXdB0ObzkdCdPP&camk=nUmJqO2E8rjknsxd7CEB8g==&p=5&fvj=1&vjs=3
24/07/2024,Paralegal,Paralegal,Manitoba Government,"Winnipeg, MB",Posted 5 days ago,"$53,864–$62,886 a year",https://ca.indeed.com/rc/clk?jk=00f7fefbc9ddaef7&bb=KgYJE0UcfT3WiyZ_ucqq4tQRplI-er64D9fYNV_ar7cEA46OTEQTJu0xzE2lrO0xysAEkaFXCNSle0qnqVh0fp5vX_sCrUl-D8WtlZm_k8QvEbs8Ow9BgdDoV0HD795c&xkcb=SoDB67M3-ycJw2xXdB0NbzkdCdPP&fccid=84928e77c488cf4e&vjs=3
24/07/2024,Paralegal,Legal Assistant / Conveyancer,Westmond Notary Public,"Richmond, BC",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AahQEq-2Z5IDA0mrG37kxd1UduxvXyFnjf4Pn2_UnSFxVItQBJDS5mHriVtqNtf6Q33j-nPG4y3mh7cewqdwilrV4NUB5rcfZEXIcGQtEvq6AYOCRueD_lfWSkUHeM4lyCOLjT3frjL6YGEixEfM95bnTSxwqnngMncuxgIvjvOoCvZQaiAJCBxf8PrnGfFRUE6Orn7Fe69d20_vUtKMhIdjpoGeQGkxJVgbM-37p43tQfwdZqcgoYgZYFKn9fr7hcNhmPdFweBee3Wc_oxeVs-e7xpSlztAQRoqEpAxPUvxnenLjp2K5DkW54NUAOCg6RpPoaF6Z2qXB9XbYCoP1QXyl92g6uE2cfG6NdzOt9PXVifz76OtHfCX6Nw8zBKhTo-pG8Y1bGk8gMyFyOxQ-rwiotqT4wfpsFUH0YfFBwPM7SxVBZ_ppNrpICFjBJPfU5EXir9UULl0YEYVE-tYOMK2ZjdyPyuUIe3u0sHWiN6EMGHsxTVSO9KrT5cOm9qC0bZchz1b2lpNtMgWeiGn9is3HnECYwNjR53KnMvrsc1gJpv-g3rT6H2cNSwVOXI8KiNOsTfd6b9T4_98bodCGK7lN0woHzsH-jQiVSUvfJIExJRXcJcmDLHY9Y-5jpUip3VVmlWHt71g==&xkcb=SoCB6_M3-ycJw2xXdB0MbzkdCdPP&camk=nUmJqO2E8rgkS1QE7QMaHA==&p=7&fvj=1&vjs=3
24/07/2024,Paralegal,Executive Assistant (Paralegal),Winona,,Posted 15 days ago,,https://ca.indeed.com/rc/clk?jk=02d03d4e73d9bc67&bb=KgYJE0UcfT3WiyZ_ucqq4iN5cxILnnJfBLdMUntHrUkR6KnPE2BG5hYLLp80u1T2JSPvvk4BguM7GutGQbeboj8ujTJIw5AH2OiK0q3l0vdQYEffCMO5czkUeHn-WdLR&xkcb=SoCc67M3-ycJw2xXdB0DbzkdCdPP&fccid=37a6d5267661e1f7&vjs=3
24/07/2024,Paralegal,Paralegal,National Bank of Canada,"Montréal, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=7a612e4acd43d3ee&bb=KgYJE0UcfT3WiyZ_ucqq4gGKKDfV0FmwhoA8z4ymEGQmb0qYwsgq1tOBBhPCWDtF_GlwrroXEfw5fDNurv2Y-5zGnlfcXXiVzixpqvMDNfWS6aCyAlldCw%3D%3D&xkcb=SoAo67M3-ycJw2xXdB0CbzkdCdPP&fccid=bb42ba28e525eb20&vjs=3
