ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Physiotherapist,Physiotherapist,Health Partners Professionals,"Barrie, ON",Active 2 days ago,"$90,000–$115,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BKXRt58v5qGt1u4sHekSleHZDkKbrVzM0w3wXVKh7zdOHynyzr5DthHSa1Z6a-pyPv8X-G3CVDt5sWfhPVrFLtUQCFOE-PfDf35LKaVmUUQKfH9mq6kOugc0dNDgzhI6t3iBm8Y8s06kNHDv9xGKbpgBS1XD5Z-APB63VQLLgaGoWIOpTWCcudU4kuXj5EdiXwiuBiVDTJwfv3aM_hfY-jA1uazFoEIT-yh62D4qcvVGOICPZNf3FkdlUQ3IuXd0yHtLNUPjL0eyoDDs_7fOSvQoIhkKQbl6o1F9HuXTUAAPa-ZtHRGITWTPzetUl7abOGhn-sCf8d7TrqhIpqamyEvb2m-ihgx-fScXnsXj7lZhJQPTCyp1sAWlFFyt1DmtXM4BwGSbmGYb3QycE-nHeWgGKrRGSGcojRNgqK-_sIslpDwEcBk-BiN3CNGPTtmAvLw-yTnUO1sdYOalrJGZ_spZfddif4XgE9KKsD4J-3eMBTLxiN7eFSaFtjg-hzjMLTpye0HoG0Gr7AA6VELrUWG1VwNbsSd3AZTCYtNGiyqYmGYi2PmLEfZ_HkW9wWTgqnJFHKsFHd-bbb08K4yyuLTYqMY7e-ewWM4vCzibKru0FE6kdqee8WVTsegi786tGE-o8zXnLUgA==&xkcb=SoA56_M3-x2caqAF8b0LbzkdCdPP&camk=4HOcmqOLYrCl9zWCEpVxmA==&p=0&fvj=1&vjs=3
24/07/2024,Physiotherapist,Physiotherapist,Collegiate Sports Medicine (Olds) Inc,"Olds, AB",Active 2 days ago,"$85,000–$115,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFMDfOOIulsYttf3Z4cjNRH8p3ZrT4oKxwH862S15SL3ybpmn3-UxMx7t_S5Jtm07tAf0JZYgz33GpdwHGlNQwx3VXv-bHScyXypLMGuLBSyAcnb02ttorMgYmnS_J9SQvVP9NGKgY0JKdJRNf4_Kbdh5P8N11-e5MDF3VTOkSS8QdNQNM_OuR5q3_PaAlarSG_SuP8Phx6CQwt-LNwhx3CSMPQ2kIhPsA8jJdHWVAhmCwWGw6fGgMcGPcdokYC_4-wvsNK2OSAmFk2gKIjTqlMBImaggxo8PvNNP48tGmdF3C_qEi82_DcAOT1bAFhEkyFXHZP0HZAwuH5Ll6JlmBHTyoodhN8UUb9QdoAExxBH6JjFURwlJEt891yStA96XfUJnTnp796MFmqibLZgL3xM3qOwPVXnrFZY0yS0MUzI21SZwGraCfHwyKc9sC2mDwK45oKfzJ_soYAyDnbPw4rkeVHA4a0kKUjAWaRVoRl4okUCz3qdS2yrr0nO053PNlGlgmGEKqc-prWCaD5vN1-KqOoLe-Hxb2C7Qc47SKD2mxL-qx5p96Q_Qkne_VMnsGSJXXwN_FBefvn0GOhujRjDz-nlpZah-u1mu_cnKe3rruaTmMj9LWSVPrvegf5vxG93b7CmQxxA==&xkcb=SoCN6_M3-x2caqAF8b0KbzkdCdPP&camk=nUmJqO2E8rhpt4AsGAWtXg==&p=1&fvj=1&vjs=3
24/07/2024,Physiotherapist,Physiotherapist,Horizon Health Network,New Brunswick,Active 22 days ago,$34–$41 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CxZZxi2xBaOqn5KVVlBG84XmzsWf_Www7xTA937HetFs3ygDwn--tk738HV87N5jRB7IhD3-ry5gRifXV2MqNfM1F-Meu06vn7jKpcoFaSZYpnzxQ7nUQNKfbYVn86f0LqmK98d4kPWzOtbT5vd0Z9EYwp15a7qxV4uqy7JgemVvKqq2wF0ZU7YYHTGwgVWk6nVRA3toA2sheNXDZwxBuVxuHvA17tw8nTBj_feOPBfyqWIQ6LTnJL5TcFGkFTMCEQ9maHIdT0vOjFHYTLpoU0FfDvGIpBE_Ixpjqv3Yt3Dx0e-CZ8DleWefM-OE-xQo7ipIi2bI8A811O-n4zmksdP7_uuaHoKFKoj2gUtGt_PjsDYgUx6y9Pi5fjl2UzhJvcDHvi2mwV82HFcTdKjcqtGYhgqImrzO5tcpLmfRwpesJ7uC-zUPHSY211rmpDriuIU8Z7p4a6gT5Ji4GfIBYAuimA_GMHkLM3MNYc8SVENJEaxTXlEeXX9FvOvF-KARwbXyd7N0_Ee2a4p9eoX_PwyN-e1QEwtWZU9tW68iZpMEu6blmG8_bG79THJimkcSr708MSabpNNYNCyUr7Lwgxo88A1zNlsMnLQjWqJ7RfFR3KWNRL57J_dOHZ8U2cWmDdL9IAFF_K3KJ5ydDUKA6L&xkcb=SoAQ6_M3-x2caqAF8b0JbzkdCdPP&camk=f416UQcMBpDWVyHx6eu4sA==&p=2&fvj=1&vjs=3
24/07/2024,Physiotherapist,Physiotherapist,Lifemark Health Group,"Meadow Lake, SK",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cjbk0Vjq6o3_GqvpytU0k_SGwXMtJNBSd4kHJp6GtoQeTjUx9gGHkPgabDJXBye4ZKbzwsRBwrkipEdBFxlNERvizykH7wTHpZvaVlxuKVKAL04cMAEbXhF73EGBQZphJsTX4zbqLGuAwRlMAaBnI9QdtSICmuGEru_dwWGG1ibiq2SgDy8Fxt_LxXozcd0b0sOkQ_f-XQ4WwNiEwl199g2PDSqoz_s6mhZmloXh_ofZ4AUz2wDaftboBLbOkcOCLqzYgjq9DNXZ3KQi_Z4vCw5WIB_2dsgqQVSspDKsUaJoIDtQbNtTYrYb6A3JBAg2XT7q-FjpIJ75EeHLDrHrtm_vj576qXk7Jh_hjCgI5ZLmKZV_iDAl4OPbgNBBq7Kbv0etUbRB54cR7PXFMflwsTOfOKC03Ui7yAIzD2olus8rX-OOpDEYZrFcuaZvTWuafWAI9YXXplgTBzIjp7r_xQtlsUAnQX-s29OpAL_uosd8WEPZgDCl1Wqr7sAiQFb6qkbc39L1mQ9dANTPB8p5A1jk_6VHLLNgfH5lv56nCFkYYb5CctWet72DVsOWXFCR_0I1F7onmQrTzeRPNobHbUu410qEQyWWZ4PnQTw3yFLjbJqREKQ8X5iqlHXDlj5mZxBRFw3lVPPlwP3JlewzOFxQyy0XWrvdkilSKvkisCo5Z3maiTJDMdEXcDzxAgHIGRoK7Y6VVOgJVOyq5gkgot7MbQk9lunN1ACM5cQ5YEvLNKYWsk9nLtiAJOYk9XAwi3MSQY59FZmnUdl1AlSFXoxAxcxYjYD2_PoJm4VkctqkEJ3mJQmkW1zMnMuOjLl-spBGBJ-kPrW9qMDlZ1l1ic03_682cbQXrDinVcALOwsYwJTlFfyW3XEJOPjGhvaSB5RGF4jfx6M4YW5Utx2r3kAMuoa1jnMrUGFtySyvkh6w==&xkcb=SoCk6_M3-x2caqAF8b0IbzkdCdPP&camk=4HOcmqOLYrDgdMCduaGYnw==&p=3&fvj=0&vjs=3
24/07/2024,Physiotherapist,PHYT-Physiotherapist,Lifemark Health Group,"Berwick, NS",Posted 29 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cjbk0Vjq6o3_GqvpytU0k_SGwXMtJNBSd4kHJp6GtoQYz76ZwI2bbuixxQFuRq_w4Odcdgi0X2JvNcdxoj5_XOz0TgilwasjSueX6btFraLOzq8O4rfHRvgCuwxAsPGbuQQCA-DNF-sTHFH053Lfz3BYQO6mUaWcchouiS1xnzVdvbJtZ0uAKhtQXq36-m4IiC9SfRAJNsLgtzyvsXyAbaAU6YLjIS9ERyGUv-DRIILd9RXASuC1b7wnThDIXqzr28f-hb6yFRcNm8dKqhJQKmbChInP48Hx2V7PZNxRFkmKVW5ATg10jeGI68FxphfJHhe6TXjRJTftZihUINrXztG9cjHHjpmUbsmx8UZNxVl4LbiIAxTrFZf5JjCPbvkWBG5NaFVa1zhTeo3BAVlNPOtrfrrsLlj2YcUV8jHGGUmSa5WctWVmf7uemWoXeFgTZKzOkfjmWgTaFUd0yXtSwgr5t5STuP40koK_7WdYXxsHP4BquUCLAHi4l3jIMMqGJRM7MHSb-OkOCr58Jx6uQkJZohIZQU-VJToWK0lh4hJMP0ApUnj25vIRmcPFsKiAj8fkBdD6de0RjIC9cwqsfj-5QFSubtfj3S9QgnuSAB8Ize2Vvb6JO9uInTAkDQCAHLY8qvvIkhpF-KahPvcrJ4jCYqOB1TYG084ae5nkVtfvDQ2b_TeNp2CaQ-RavqYgfjnOoBOJ0KchrpU4HmyW3BY3nu90596hbJSE6poX8we9VyWwP3-F2PwL7-w1g7Y18sbeSZRbxKgGK3nxLDV6PJ7RmYycV5GwayL-PB8B_Xy6OdeHVVuJWgiI9RK6fPNOyqwf37hF-iI6JYGHi1RyG-RoqDUB3jx1Yi0rlkxyQpgG9yeUGsu89m6uTRe3CFd5-pu89CqyOQQ9Ivv-MrhlF7HT1qPzYBvzIrlYgTxBgaKPTz-WdQiDsZ&xkcb=SoAq6_M3-x2caqAF8b0PbzkdCdPP&camk=f416UQcMBpAt0XAWtwHQIA==&p=4&fvj=0&vjs=3
24/07/2024,Physiotherapist,Physiotherapist,Interior Health Authority,"Kamloops, BC",Just posted,$42.56–$52.95 an hour,https://ca.indeed.com/rc/clk?jk=3fae7bb246152e2e&bb=hS4JOjkjJWwycISJcNdFz7yXD-ozxFkPNhBDEm5xiLwgfa-kX_OJtXhobkCCE3Cd6QYnSY3w0xwsJLSG5-4BB-fOr-7qVaflh_hIKYjJf3MqOXKAmyQoeq3kQ3yZaXlO&xkcb=SoBq67M3-x2caqAF8b0ObzkdCdPP&fccid=819aaf068231c6d3&vjs=3
24/07/2024,Physiotherapist,Registered Physiotherapist,Health Bound Health Network,"East York, ON",Active 2 days ago,From $47 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2KhK8PGyqvIyGsR0mu2IAQ9nE62vD1bwzqzrQ_ObNTuOvy84D9X57b3HMeD3jiCpSR-B0sOu2NHcXT9uEPsKa8RfqGGx4zRw3pRnep2M68SBfNZaoPWiGx_dbRbpXowgPBX7wz3TACGKIXE8qwn-A3wsn_52Ko6F--h6H-5XOnzWOikMNDGQpyS0TrzMnZ0CDwXQnRYW1jnO5NljNZ2lJdcEProoS4sN6nfL8xtV-e95IsHvF8awXlRyYWI13WN7nGrbxhv9rHzdJUxfb7JxB2x-4pB_OvSzcAFzwEVSRKiZQjyFovgCktkVdHOS4jgTenPYM7btZpkZLk5MitKS9a4lh2oivaYJYP-aHzX-gwyu8Q5cAcm4oHFuAClZwaxhkouyXt1MpkG9mUi0AeEdxQnj6ZxfV3PVxX0DdI19VY2ALezsaaPALt-C0wLciXV18vgPLdWMmg-rhnuwthtgwCcXxQYvUK_2KEt0uAdlCh6RvVSWyDmJ0mJzqj7JamyH_h3QzyPRvEDnpZUAAMGPp5sk05zGt7kJmNTDaJuf2PtBEaHGkH5Dg-C7m6LjQVWRX0TSAynqloc5x40dzu6Ddepai6wSTEVLOjLGASDpnY0xTTj1BfWSNt6xLEj56NdrPUUFaSVUvYRHOuap0l4a3&xkcb=SoAD6_M3-x2caqAF8b0NbzkdCdPP&camk=nUmJqO2E8rgc8sdPdhinig==&p=6&fvj=1&vjs=3
24/07/2024,Physiotherapist,Pelvic Floor Physiotherapist,Luminate Co Wellness Market,"Bedford, NS",Active 9 days ago,"$34,197–$150,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B-bPOESqdSpLMvmkyw9vmT50szESgOnb-nY4TUlkYkznjeFB_yDuarBJuwullHrnTOnRvnYUY7jIvhrQ_UySppDjyjWY4knBoUowQRyPGkoh_bHxDhTrjAeonhA2UWjrd_LqDwMg1ey_Q-G2sfUvE0NLSAD-3myyP4LpiRGB_JwOjZkS_zXlwmo2lPjBv-M4zM5ezHipRVeKul54B8M_d_Ffi1ViM58IC73e1iqpnKqZ9dTaP2j4sXNNxLGSPkE2NnB0_eIrr-aAOwd1ZKRj-8cmHxEzIpnQrCkxBW-B-UEzNzTxMUd5RRoN1SA5DEIWiHZ9DZb8hxrJJO-cTRUvKUIUPu04SHyRrO7f_P6fDFXXPAz4ae7vGvjdT9hE02LrVDsjwB0PeHESp0LOvGvsLCht2QD4ybW_e54va8nhyAvXmtoONaHMfWxR7lq1UiUZtXpdBfrRbN3x4yVrymf11xE6HSwcEGCcN3Hn5iu6anbru7Qkf5-mUga4_3Hjuwbr5JojWwUMYkvb0jmR5yJ0D0PSOoMLLZYwqt2OnhBMvGnfRoIvqROwOvYqqREz6HZhQYuhHIGhJJV7EExUclxsnOeygLjw_a0GFT2f4CI_5FSMMNEKsZ7JuaXl40szrSAYUpIvuvzRuYXHYtfF5mKk2Q&xkcb=SoC36_M3-x2caqAF8b0MbzkdCdPP&camk=nUmJqO2E8rgqlcCvCe-iaA==&p=7&fvj=1&vjs=3
24/07/2024,Physiotherapist,Registered Physiotherapist,Binbrook Chiropractic & Physiotherapy,"Hamilton, ON",Active 2 days ago,"$40,624–$110,233 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AKOBPuCQlBo-pVB25hvFTLOlKYidHYi06vmVOBSjeJoKb0uHk2mfFK70JPI8TeTBUIpLVnV1v2JiV4vj9bzz45q6JRqisXBljiF5Cz0P0wTH4c2yBCBlA2aISXTK0Jlw29WSooZ2yq2-8htq-IX2rL3tlqo2u16ZYTpXFbypz1E66Mqlaq_q2gGhAFFYvSEbtCd0hHvhPn5sYWIgS4JiVz9yRMEvdu4ifSORxl6HMkM7x6dS_PlF53Lhs98nKfygUijlGrAbAqT8gwKAebHxDg9esRGDukwaHg8agq-ft3Sk6pnLsB3yEubTszEQBIClffyP8WaN9tY5hvLXVR33c_TGWu6vdam0hGcqDh7b0R9NpKfxX36j40ZWwTX9LCHws3gduz59_HozNRby9vk6XD4mVwbaJn1SEQetSN3mN_7YC7mljzDsygZ7tledGM-XnBX8lOI1QQzMFBy3vMSZTN05GdKxVZoQUB0UfWLbfqDbORIPIdmfm_gRQZ_PSHT3v5-Pmfpj7nG3TFPB0l4ivorjYrxNrLWeqs40EyoSFdXCDIeeA72n1QrHD1W8qJU_wieXDgjG_Kvx_Z9RhtfSblvf82_76_x5fN_t25gOkHsKNjpgthN4W5DE1XX-sKBt_5C3mBCpSdM0aMqXMx9EEE5JTxfY1EaaU=&xkcb=SoBe6_M3-x2caqAF8b0DbzkdCdPP&camk=nUmJqO2E8rjJCetViiDtug==&p=8&fvj=1&vjs=3
24/07/2024,Physiotherapist,Physiotherapist - Full or Part Time,Peach Physiotherapy and Wellness Centre,"Chatham-Kent, ON",Active 2 days ago,"$85,000–$125,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApUShdz4OAx4VI3uWedc2zAoMySjhseKirFB8417D1BQa3WgQuaqIls3iZHzGcK_Zq10T64CjG37_gO9pYzgXYHttMYhUU2XEuwAtVDH0Z1IHh9pOd5L7y7S1NvU0muJwHruVHNnmvbZ0VVfq_uv6oPrSub4b1cwdTzMt6ghI31VjYoEZmvnd7p2d59LA8mg_XQQyzd9ZHqr2p2_DeVVI3RX71I6COTzcYjPn5Rbftk8vtEaHaJcJrmynnw3TzyzM8tZVIMvezUii6Os5h8rbTUZ0xf7qU6dyvc_SMI40zC4jWXKGnQZCyBbtZzBVC18JleSxt-f1OESRVszvgskSWux0DeQa3S3yf5IejoHCYGe0CR9PtO54vnrxRg48hoPJr87q9Cr4yJ76Ch-NDsVds8avWS793GPC_zZkHr-pYhDc8_hmk1hvcdeQ_5n5uFQEgfF4jM-mopXk2k_kzvzwUfe8DwcsfZ_JFrSDKoASxWLpCvPot7uXwapgJAME-UxN9HeoZpqPJprjlr3uuQYJUXW_jDuaviJm_Un6yT8IyzbVt3lMwHnMl1djhUTIiSHkWJb2nUc0QxZIAsqao46YTIJXB7CvVUW9lQEtn-sF_mxW_s3TrqfB500e2aYjqcPRgdAFKvOIk7fgTm4EfA6Ml&xkcb=SoDq6_M3-x2caqAF8b0CbzkdCdPP&camk=nUmJqO2E8rj9WtyWGv2AZg==&p=9&fvj=1&vjs=3
