ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Procurement Specialist,Procurement Specialist,Government of Saskatchewan,"Regina, SK",,,https://ca.indeed.com/rc/clk?jk=f8685130e8b68834&bb=KaJGrneIgt6RT-Wj3PM9SUszS8uK0ijwRIwPVMe2N_5qgeDv9y4K6hu2QMe5syi4CrIxuUnmaK_Qihj9qw0LdW6xf2L7BqNSOhqAQnqxNlvpx7vtySsGoQ%3D%3D&xkcb=SoB667M3-yQAGrw8GR0LbzkdCdPP&fccid=46b05e24085a766c&vjs=3
24/07/2024,Procurement Specialist,Purchasing and Procurement Specialist,Applus+,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=b7b04d4fb9dfda68&bb=KaJGrneIgt6RT-Wj3PM9SXr6_UHE8k7NVwnUunRuBPHUyIwG0zzyS45q22IOfa-UXL4EyPUo3vE6lEFRwO_I9D7CWxs4P2m7vgY-XpIJBkD1oYyLO61s56kMcwMJaWGZ&xkcb=SoDO67M3-yQAGrw8GR0KbzkdCdPP&fccid=24b9908d64414754&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist III,Seaspan ULC,"North Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=4e22a83473657ecd&bb=KaJGrneIgt6RT-Wj3PM9SaLHjiNtLhZZdVWd1N8OK3qG1FBVKUsIwhHa-UhQzQk7F9lWpv-2NLNLCDZ8dQCy1nVUlqVGefG8KkweOLyplmz_Sm8BUgQS_4HP_4_lqkSK&xkcb=SoBT67M3-yQAGrw8GR0JbzkdCdPP&fccid=39e239a7200df342&vjs=3
24/07/2024,Procurement Specialist,PROCUREMENT SPECIALIST III,City of Airdrie,"Hybrid work in Airdrie, AB",,,https://ca.indeed.com/rc/clk?jk=55300eee57401b68&bb=KaJGrneIgt6RT-Wj3PM9SdFFS-5R6UR-LBwAgjNbfSjclxmbialTVJHrAs_WcpsyGJtNmD2F-bL7lGSymwfRDPV1VsshGuYcgR6imgnLwqTtug8KbX8YsNFX9MaqMFr-&xkcb=SoDn67M3-yQAGrw8GR0IbzkdCdPP&fccid=fc65c81315369625&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist,Royal Victoria Regional Health Centre,"Barrie, ON",,,https://ca.indeed.com/rc/clk?jk=2bb9dc7a297a5253&bb=KaJGrneIgt6RT-Wj3PM9SRfemWSv8klKn2nOQZP2ZS-HCCWj-K9UEsL6VScybsTztYS3wxKpgCeiNmW9U_79mOYpx0M8z0kTIsHKqNZusPfFUJMNT4s97w%3D%3D&xkcb=SoBp67M3-yQAGrw8GR0PbzkdCdPP&fccid=f0ce85fb00632e1d&vjs=3
24/07/2024,Procurement Specialist,Contract and Procurement Specialist,The Minto Group,"Ottawa, ON",,,https://ca.indeed.com/rc/clk?jk=38015664feb9734e&bb=KaJGrneIgt6RT-Wj3PM9SSey8htpeNa0S738A3bQEPVILBY5zxsrB9Yk1Dl2UFzPQF3YBxv_mutvAvzY0yrsp6wA7eA3Z-h7kIx7c9BpRBlICnFvf2uVrlruN-0k3vVJ&xkcb=SoDd67M3-yQAGrw8GR0ObzkdCdPP&fccid=2e753a418f3f912a&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist II,BGIS,"Hybrid work in Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=899ccf106092def3&bb=KaJGrneIgt6RT-Wj3PM9SU0LvFtVehWNv0zHnD6ryxE9kgLk0jI43UJPXII3oxbmX2yAdUr7m5GLMSyh5B9WWoRvfmNw7oSScOWlYHbtIWwDpP1VfT5L7G_Knwa6qkR3&xkcb=SoBA67M3-yQAGrw8GR0NbzkdCdPP&fccid=84c23fbcabc14d59&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist,CoolIT Systems,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=2b823a37d36e8e64&bb=KaJGrneIgt6RT-Wj3PM9SQacXR6alTj2h8YqNhpevMrUL1HrvrS8d_Ldz4yTdQ_Lkog8W6IfkYBUlFfM23hi_OKmMqsi3wlDxjRTG5R42C5bOBWp-CEsQn8W7PpecH5d&xkcb=SoD067M3-yQAGrw8GR0MbzkdCdPP&fccid=231a210c4010596f&vjs=3
24/07/2024,Procurement Specialist,"Senior Specialist, Procurement",NOVA Chemicals Corporation,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=b69898c6c1dcd6a1&bb=KaJGrneIgt6RT-Wj3PM9SYB2SFAGb0JO29y7rMkbKGS0vmmrkK4ZeHwU_IC4R4MShvqg2__yYRTmBJcW3H9bkPF1YEAkvt14lCzBY7CxpDmZPVTPVYHMZ8vipaiXXAfy&xkcb=SoAd67M3-yQAGrw8GR0DbzkdCdPP&fccid=ec83d2b79e601bee&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist,Raytheon,"Waterloo, ON",,,https://ca.indeed.com/rc/clk?jk=5ca4787827c764dc&bb=KaJGrneIgt6RT-Wj3PM9SckAQELb9OC5qELZsJrnLWjKaq9upDft9YMfUxr9bx5miFo3OF9boi-pcAKV318Hm6EVDFC3q4vmSR7MC2OLvf4O5iRY7lPoUQ%3D%3D&xkcb=SoCp67M3-yQAGrw8GR0CbzkdCdPP&fccid=aa53b551f9df0210&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist - Professional Services,WSP,"Hybrid work in Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=524a3c77d630c767&bb=KaJGrneIgt6RT-Wj3PM9SUAJEtijMOpw1A0fYjCpkOgn9Ild5lWEIYUoFUmgYH2h1yzs7hndX7IeBkRSGhbx0FQwFaRHSZS5KhqzmJjnP26UX99n8dx-dJTEUtRVd-ij&xkcb=SoA067M3-yQAGrw8GR0BbzkdCdPP&fccid=125e77713a321cdc&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist,ABB,"Hybrid work in Burlington, ON",,,https://ca.indeed.com/rc/clk?jk=4409894a5e26a7df&bb=KaJGrneIgt6RT-Wj3PM9SX6yCNy3hDDa-hlg5GcBldrJrVesVIN9_VgC5WJq-6tt2k-yu70iSYLsd5J-bBJRRwvqV3_JrWLauOiw1GYx8Yv3PzeAa3PSvQ%3D%3D&xkcb=SoCA67M3-yQAGrw8GR0AbzkdCdPP&fccid=38b4474838e7b7a1&vjs=3
24/07/2024,Procurement Specialist,procurement specialist,PDO Solutions Ltd.,"Langley, BC",,,https://ca.indeed.com/rc/clk?jk=90efda35452bd066&bb=KaJGrneIgt6RT-Wj3PM9SXPvehGpUBUivEYMzUPvSnjQoqncEYHL3_jVt96pW4UoKw96XCPAwnYkuY8j48HmogGAUh5EFi5wxthgqzybCYPIPCrKDA6ZJA%3D%3D&xkcb=SoAO67M3-yQAGrw8GR0HbzkdCdPP&fccid=e42cd983cc3ff748&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist,Bell,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=f05c290775264b48&bb=KaJGrneIgt6RT-Wj3PM9SfMnibT49rqkwQsaRtRfb7FNjcbSFIw5i9_UguD0blhy1P0RBdMirIWUCVNteRNGbAJ-ISKk4zCw2RYfTfH6ZY_jHc5ibS5rEP3tqkeJ4Ugp&xkcb=SoC667M3-yQAGrw8GR0GbzkdCdPP&fccid=6d9b8e75dfffb17e&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist,CPKC,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=a3c8a60b2d553444&bb=KaJGrneIgt6RT-Wj3PM9SVNAFbHS8jL13zs46QkKqTDbRTuk64bXiSdhZpGK3qP9SDbcOWpuAEHqiLKBK6a2eyeIOhFuLYC8r9ME4irdV9Of3ajdv1MHNQf-bW24GNCY&xkcb=SoAn67M3-yQAGrw8GR0FbzkdCdPP&fccid=e16e92d37ae2c851&vjs=3
24/07/2024,Procurement Specialist,Senior Procurement Specialist,FortisBC,"Surrey, BC",,,https://ca.indeed.com/rc/clk?jk=05b43f560cedad14&bb=7BsjDNEn9hFmWoF_s_74b5l22aq7RnXuuIQst3P10n7oNILJ9o6wF2dY0tMcqvduDltg7AKmVcaP9ZL5v5nqlsk7U5ezRLt4dE8bqCULeKS2-2CuvTZlHbfdkdCwkojq&xkcb=SoCG67M3-yQaTKQnHh0KbzkdCdPP&fccid=b78b6949868c8ed1&vjs=3
24/07/2024,Procurement Specialist,"Specialist, Strategic Procurement and Contract Management",Island Health,"Victoria, BC",,,https://ca.indeed.com/rc/clk?jk=cdb75c470a00ba82&bb=7BsjDNEn9hFmWoF_s_74byFdDuBzz3hDccmIUBkNbCo928aRp3HRKgb-l-rRXpBwji1HGBlxBjiJVLqqbHPnpFJ8Imz24DOu346mXqS0hGmkbMDBPHrT_9904Wvy7T3k&xkcb=SoAb67M3-yQaTKQnHh0JbzkdCdPP&fccid=139e079044c36dab&vjs=3
24/07/2024,Procurement Specialist,ADMN O 24R - Capital Procurement/Contract Specialist,BC Public Service,"Cranbrook, BC",,,https://ca.indeed.com/rc/clk?jk=6653c227e3b8a54c&bb=7BsjDNEn9hFmWoF_s_74byLHGmPEaSUBI514xY6QenIhggL2ekmz_jH_LtMgJhyKdXw70o9dBppUlLDYWVu3pabmV98zKil_IpRkXKS53ZjGbDA7DNRKgw%3D%3D&xkcb=SoCv67M3-yQaTKQnHh0IbzkdCdPP&fccid=65dd05622a756445&vjs=3
24/07/2024,Procurement Specialist,"Procurement Specialist, Contracts",Tolko Industries Ltd.,"Vernon, BC",,,https://ca.indeed.com/rc/clk?jk=bc7589201ab11631&bb=7BsjDNEn9hFmWoF_s_74bziwsdePgTeMh6o6vM97DvekQQQk2ryK5cGHEG8sFsA-fU75COk0Er_6KG30Mo3VjsX8qCjn4BnQAZnSzf-8OljOBA3s-iiGsiSmUJwShac5&xkcb=SoAh67M3-yQaTKQnHh0PbzkdCdPP&fccid=0a7144e1c7612109&vjs=3
24/07/2024,Procurement Specialist,procurement specialist,"Lin Haw International Co., Ltd","Burnaby, BC",,,https://ca.indeed.com/rc/clk?jk=1df271bdd1d342d8&bb=7BsjDNEn9hFmWoF_s_74b5-ZmJE6yWnudk18RhsgFTcTPOjhb7mQYu-woZb4KfcBDV0N571f7fo85zYHLnzKfQbMf0R-hRfRDUEZewDRGDb1p-FICqsBVg%3D%3D&xkcb=SoCV67M3-yQaTKQnHh0ObzkdCdPP&fccid=ed7c37b8c8202230&vjs=3
24/07/2024,Procurement Specialist,procurement specialist,Avaria Health and Beauty Corp,"Cambridge, ON",,,https://ca.indeed.com/rc/clk?jk=1483c9347c3c306e&bb=7BsjDNEn9hFmWoF_s_74b9Lnw-l1rALrtd-tEeIUtOVr9snL30W_pljRrR64WYhZr1qrfLFZxYYpVZsbaZoSFhMH--U6oLacH_6G7dPTOyoNZuwCb94hQQ%3D%3D&xkcb=SoAI67M3-yQaTKQnHh0NbzkdCdPP&fccid=5a68deea843d689f&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist,Buttcon,"Woodbridge, ON",,,https://ca.indeed.com/rc/clk?jk=37f00d85864dfa77&bb=7BsjDNEn9hFmWoF_s_74b4F5_dkNSeZVcJIwyOG1r2GmOQs_-88el5jPZA9RPrN578Yl5mtTszX8XZs48x1vA9t8pLWhvwp3SMwUd-iEnxSpDtkukMU78QoEKyrr39gi&xkcb=SoC867M3-yQaTKQnHh0MbzkdCdPP&fccid=985bb9144a2ffae8&vjs=3
24/07/2024,Procurement Specialist,"Procurement & Contract Specialist, Office of Procurement and Contracts",Laurentian University,"Greater Sudbury, ON",,,https://ca.indeed.com/rc/clk?jk=bfd1866b2249ac45&bb=7BsjDNEn9hFmWoF_s_74b820BBkftRKnCeKfYFTe8y2ozlRl_rT0B6NEqCIINegzQ6io2eUbTkJ-_Itv8vX6Ucla5qPdf4QEsPAXLhy4F16xXu1zj21d1v4CXvb0OfoY&xkcb=SoBV67M3-yQaTKQnHh0DbzkdCdPP&fccid=1401c05ccd102be7&vjs=3
24/07/2024,Procurement Specialist,Buyer I (Procurement Specialist),Metro Vancouver,"Burnaby, BC",,,https://ca.indeed.com/rc/clk?jk=c83b77810718fe52&bb=7BsjDNEn9hFmWoF_s_74bwgTznIbbaDdSXTrWR3IxfujtKygrsnN6277RLRES2mLELY0CCAfAjmBY0KyDIlByCWnT2X5kstvvRqses3Ib1DwXKNxeZC3bVXDwHCrUMxP&xkcb=SoDh67M3-yQaTKQnHh0CbzkdCdPP&fccid=f2087428405571c4&vjs=3
24/07/2024,Procurement Specialist,supply chain specialist - procurement,Alberta Surgical Group - Heritage Valley Ltd.,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=050a0f0813271205&bb=7BsjDNEn9hFmWoF_s_74b-7gtbf1COTq8Z8aQvIvZ5ETfQKg7DZXzhwkRmp8llM5IoTJjvSMOzdFZxdoOHY49_t8STXgoOvsdR-YDKEDXIR6srUUNDJ6lw%3D%3D&xkcb=SoB867M3-yQaTKQnHh0BbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist,Kepler Communications,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=6976d95161e99653&bb=7BsjDNEn9hFmWoF_s_74b87cxpYD4FYEgN4FyCL3nSVOFCB3OtDluxBFnDkjCuUcKO2KiTl1gEk-2oT_MI5kbW9BXJxjTNusKMiDJE3Qh2w8G0Ec1EWa2SXoe7hOWO9J&xkcb=SoDI67M3-yQaTKQnHh0AbzkdCdPP&fccid=2f6e00ad893d0a9e&vjs=3
24/07/2024,Procurement Specialist,Senior Procurement Specialist,WSP,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=7e2f3c8733f3a836&bb=7BsjDNEn9hFmWoF_s_74bwgTznIbbaDdxbOZPw4fF-MZxGkNHW3OoQUPfuMYp8kXhilnhasnujy1bL6C8CoK_OWS2EvDuGubX_l87NrRZpJFAXg8TWn1xf4jpEb1rA1P&xkcb=SoBG67M3-yQaTKQnHh0HbzkdCdPP&fccid=125e77713a321cdc&vjs=3
24/07/2024,Procurement Specialist,Procurement & Contract Specialist,Toronto Transit Commission,"Hybrid work in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=9cf212d02eeeed79&bb=7BsjDNEn9hFmWoF_s_74b35yUCMj_7UmqT6PBiKL_2Qa83NS9fYg8nlSDpyGUHxoi2_xeELDrEG1laf8x7qxcT8yLK_u9HD2bmOkRBcSJOrDpW7sIVQJO5S_BQLJSuei&xkcb=SoDy67M3-yQaTKQnHh0GbzkdCdPP&fccid=27e2c072380e79ba&vjs=3
24/07/2024,Procurement Specialist,Specialist SCM Advisor – Category Management,Suncor Energy,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=ce1edf893e92add7&bb=7BsjDNEn9hFmWoF_s_74b6I2zf6BQKfIfZ9JFQj3THE8M0K-l_YWSFREzMfs2x3UYEGaxBJs_V17HyteYcbfylgmve8CLREBxcLftz_gaVwQVqgNavpQNfHdxGpKW1cR&xkcb=SoBv67M3-yQaTKQnHh0FbzkdCdPP&fccid=7a16278a611dcbd3&vjs=3
24/07/2024,Procurement Specialist,procurement specialist,NORTHLAND PROPERTIES CORPORATION,"Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=235bb622b9b5162a&bb=7BsjDNEn9hFmWoF_s_74b_TXYVO6GzNXcrie-zbnHx9TzfsPlVDmk7a3FqzYhvLaaBoxe-aacP0UY614WfPZabXIXe--RCr6iJrJ-Kcqre2nmA0rKrLMrQ%3D%3D&xkcb=SoDb67M3-yQaTKQnHh0EbzkdCdPP&fccid=cd97cfb1d29739ad&vjs=3
24/07/2024,Procurement Specialist,Procurement Specialist - Human Resources and Professional services,WSP,"Hybrid work in Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=768090dac79954f3&bb=RAL3-lBzMfG39hkw3dXVFxjuEKMy075T1kk3EZjOb-xfcWp1yGWraIWoOV5rj3Aqule-syd6gyT0VcvEJ1Y056YZaL4PwT2UIENk1M6jyJjPJ4s-7mUaXYtlN6i50sgu&xkcb=SoDN67M3-yQU-XQnHh0LbzkdCdPP&fccid=125e77713a321cdc&vjs=3
24/07/2024,Procurement Specialist,procurement specialist,GUILD HOME GALLERY INC.,"Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=580bf2ca4ba367b0&bb=RAL3-lBzMfG39hkw3dXVF2qUxAxfPLolxWOsC_nGBx0YJR5LAm55sBGD4cUT1W4f00S1w-2twT4OCqJywr-NM-XFJvrTItvwFfwbmVBzhnjruMVdLgJHzA%3D%3D&xkcb=SoB567M3-yQU-XQnHh0KbzkdCdPP&fccid=2b793f91464614c0&vjs=3
