ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Public Relations Specialist,Corporate Public Relations Specialist,York Region,"Newmarket, ON",,,https://ca.indeed.com/rc/clk?jk=b6c49dad553cbcd9&bb=M-NC-RgYN3Zx8RjcPyfxF-wtcdK_P_Lu9xLluT_57ft0um4rhqrC3YdWXx_NEYK-1Q01JJZpsLWOdpzMmVtN4w-tZ2Rz5g5FWLRdRni5W5Xq-8WYDqJv55KgCU_315Ay&xkcb=SoBT67M3-yA2l0xSXB0JbzkdCdPP&fccid=f3c54a468b13c9c9&vjs=3
24/07/2024,Public Relations Specialist,External Relations Specialist,Newfoundland Labrador Hydro,"Hybrid work in St. John's, NL",,,https://ca.indeed.com/rc/clk?jk=17342cf02040d603&bb=M-NC-RgYN3Zx8RjcPyfxF4oK4SO0Wm4uLhKJhqipfqeTX2h_Z2lfSgl_y2AljBaOxljfccFnJr18C7vaMAATaVTeQnF4svoX232g0_ihPfeskQmTbEamQUVWOGLyu7u2&xkcb=SoDn67M3-yA2l0xSXB0IbzkdCdPP&fccid=e6772b7cb8f19f1b&vjs=3
24/07/2024,Public Relations Specialist,Accreditation Specialist,Manitoba Government,"Brandon, MB",,,https://ca.indeed.com/rc/clk?jk=3b471ad1ebceebef&bb=M-NC-RgYN3Zx8RjcPyfxF_TY2ZJwCqAIVnGU0UrzJcWzK7LmcVtxED-CC5Avqhxq8n05N9AwW_Bv_3DSUKS2JE1498fk_USkYJNya7e1qALy-wFbKtHnRNVmS1FC_3f8&xkcb=SoBp67M3-yA2l0xSXB0PbzkdCdPP&fccid=84928e77c488cf4e&vjs=3
24/07/2024,Public Relations Specialist,"Labour Relations Specialist, Construction","Ministry of Labour, Immigration, Training and...","Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=a5b018ddb180d679&bb=M-NC-RgYN3Zx8RjcPyfxFzRFuzwUvfEVCv6byQ_V2PS76DEbZ5n5mAN47bY4fBaKeVFvl7eF9o5bzWrnOul2XvEu7Y5lanK_o8Gsp5gcdks2I2qEVCS-3Q%3D%3D&xkcb=SoDd67M3-yA2l0xSXB0ObzkdCdPP&fccid=a15dc958fee9e284&vjs=3
24/07/2024,Public Relations Specialist,Public Affairs Specialist,Western Dairy Recruitment,"Langley, BC",,,https://ca.indeed.com/rc/clk?jk=ffca8b65e08f2d12&bb=M-NC-RgYN3Zx8RjcPyfxF14Opf6KQXuBXt9qlAZA09MqEOaEG-4M6Yj8SHtZC4MKS8_DthSE2AGSGPS4qZB2CCGeyTq4aj2inDs77LBxyXGXix2BMk92Ov4I1Wu9mLmb&xkcb=SoBA67M3-yA2l0xSXB0NbzkdCdPP&fccid=03e232252f9b8ae8&cmp=WMP---Recruitment-Account&ti=Public+Affairs+Specialist&vjs=3
24/07/2024,Public Relations Specialist,Senior Shareholder Relations Specialist,BC Hydro,"Hybrid work in Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=4a9cc0e3e92cf3d1&bb=M-NC-RgYN3Zx8RjcPyfxF5pbH57D7LWr13T9FNwD0I6--3lq0_0lyS_v_eRXZ4cf16FO7xwacAUFa8dNlvel6BowfAOGukVyOe4MIwBJlN40Hvc0PsAtruMO4qmoj4Zm&xkcb=SoD067M3-yA2l0xSXB0MbzkdCdPP&fccid=faec17211a77ac07&vjs=3
24/07/2024,Public Relations Specialist,Bilingual Public Relations Specialist,EY,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=b4465a68b207459d&bb=M-NC-RgYN3Zx8RjcPyfxFyi9t6yDsoQ_QpvOHamgxUbC3hjCdRAVpLGWTJtrEmYKq9uTrvC0M3_CB4kw_Zz207XGxzoot-pvYQ2yhsNwjrn_wsOjVgXDhkjCtYXladpA&xkcb=SoAd67M3-yA2l0xSXB0DbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
24/07/2024,Public Relations Specialist,"Return to Work Specialist FT Perm (Specialist, Return to Work Program)",Workplace Safety and Insurance Board,Remote in Canada,,,https://ca.indeed.com/rc/clk?jk=c26f41447fac303c&bb=M-NC-RgYN3Zx8RjcPyfxF_V1fnt1TcMHXpqxBR4L0_HAcls2lwsMjZwvdbXFGU8ikfB8BmfArfeTjtF0PYktLS3bWlURw3JkvH-5lWIpz5Vf8NLnLRVaZU0tDdsjJ1bO&xkcb=SoCp67M3-yA2l0xSXB0CbzkdCdPP&fccid=8e1c9c7d0e54f230&vjs=3
24/07/2024,Public Relations Specialist,Labour Relations & Workplace Investigations Specialist,Halton District School Board,"Burlington, ON",,,https://ca.indeed.com/rc/clk?jk=a408401c61fde5f0&bb=M-NC-RgYN3Zx8RjcPyfxF1KA3h85A55kCpov-0S67POm5CwZgKnTC6aHokcrUctNQo_72lXwvD6cbXda-hLSgiZUS9-XFzwi1gT2UlfFIojdwGbXZ9C3dAFcLBPwdpVr&xkcb=SoA067M3-yA2l0xSXB0BbzkdCdPP&fccid=72c45cb5b2ed3ab7&vjs=3
24/07/2024,Public Relations Specialist,Engineering and Scientific Support Positions,Public Services and Procurement Canada,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=0549dc72964141fd&bb=M-NC-RgYN3Zx8RjcPyfxF6aIPndkWPQZWO7n8v7vhY4v5mL9Srpoy9fLNaXjhQYF0GlOLhsVwWcx_JPLhCTiT66Pddj2k99p52Y0vR7Gz8u71qbvQONvYH87FKIjP7W6&xkcb=SoCA67M3-yA2l0xSXB0AbzkdCdPP&fccid=42175b0f17a4665f&vjs=3
24/07/2024,Public Relations Specialist,Animal Care Specialist - ACA2 - 105,BCSPCA,"West Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=8fd60fce973c9014&bb=M-NC-RgYN3Zx8RjcPyfxFzSSO53cVUlwymsdElXeGdRWqOmAKkeBYipjytvyEqztgFfCa5evSwBc1XT0laBg-DgXnp53kLdm7EJ7gJoU9s-sv9Jx-LIEcH0OAJN_ZLjy&xkcb=SoAO67M3-yA2l0xSXB0HbzkdCdPP&fccid=8bc79ee5fda6153c&vjs=3
24/07/2024,Public Relations Specialist,"Intermediate Specialist, Academic Administration - Public Health and Preventive Medicine",University of Ottawa,"Hybrid work in Ottawa, ON",,,https://ca.indeed.com/rc/clk?jk=c1fe6f6ac71736a5&bb=M-NC-RgYN3Zx8RjcPyfxFyi9t6yDsoQ_BKrwurTGwFbvjp56ok8G3hNwLFPAHAeEuelhTbg01um4b0eIZoTV3LsWdoBVOjc9BJ36R1tYeCaZkU3XmUn_WxDszSuXmeCt&xkcb=SoC667M3-yA2l0xSXB0GbzkdCdPP&fccid=76b0ce585c203d08&vjs=3
24/07/2024,Public Relations Specialist,Community Engagement Specialist COR 24077,Nova Scotia Provincial Housing Agency,"Halifax, NS",,,https://ca.indeed.com/rc/clk?jk=a747356efdc89ae1&bb=M-NC-RgYN3Zx8RjcPyfxF5fgp6QfkUAEIGcyUPqSln5DGhtHm0lLq89d-GfFB62w6FmlWwcTwoFdh64wNhF9PXJdkhtMTRzUn9gIZUYOhZ51zKHjymiNxa6F0DmTCaRR&xkcb=SoAn67M3-yA2l0xSXB0FbzkdCdPP&fccid=107a0531e5d5116d&cmp=Metropolitan-Regional-Housing-Authority&ti=Engagement+Specialist&vjs=3
24/07/2024,Public Relations Specialist,Communications Coordinator - Public Affairs,Centre for Addiction and Mental Health,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=bf90ee02627dc8be&bb=M-NC-RgYN3Zx8RjcPyfxFzkO12ouPb4L3HlL79j2ZjWIeCqmRpHOJuNdEzXjegqc1k4Y1HCcPouRvj-ngRpPVqREw6DCuVm163QR_NQrQjh10re_vgkAEUcwGt2PPJbV&xkcb=SoCT67M3-yA2l0xSXB0EbzkdCdPP&fccid=b73617af558c30fd&vjs=3
24/07/2024,Public Relations Specialist,Public Relations Specialist,EY,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=3101a06bad93437c&bb=M-NC-RgYN3Zx8RjcPyfxFxgE5fHDO2yyvLxm0CzRjjYcr5Kl63V56aQa6sS-ye9IGufevfK0Afk89XeY3w03Ak0rs4ut_DAvtgPnopXYw_DhgArcu8zk6HpLu1bqrqdu&xkcb=SoC067M3-yA2l0xSXB0bbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
24/07/2024,Public Relations Specialist,Employer Relations Specialist,Immigrant Services Society of BC,"Surrey, BC",Active 5 days ago,$24.62–$27.09 an hour,https://ca.indeed.com/rc/clk?jk=0d3cdedb23f8da8f&bb=S1c5d643x1uOfTfDfNz1DblYg8qlyE4MVfGae1AQ4jWUxmNRQBMaxg7kfxJHyTgFLnDJ5Q4z8cNbjYlWryR3K4UgOHuXiUXCuP5wZmZwtuzG6i3W4hmo0-pf4kSertkZ&xkcb=SoAR67M3-yBLV8Simh0LbzkdCdPP&fccid=a8e82750e2b71a58&cmp=Immigrant-Services-Society-of-BC&ti=Client+Relations+Specialist&vjs=3
24/07/2024,Public Relations Specialist,Client Care Specialist - Remote,"Access Information Mgmt of Canada, ULC","Remote in Quebec City, QC",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=35395d545f58535b&bb=S1c5d643x1uOfTfDfNz1DblYg8qlyE4M8xTOR6zW6NfgpBBBSXTFripPtztx6c9OR9Q-yPORJNWTqGCq9Vl4QIedzZYtialzRfRh-MyXiqIM19rtQL4jqk-KuSKtFt2I&xkcb=SoCl67M3-yBLV8Simh0KbzkdCdPP&fccid=6b681a811b6da881&vjs=3
24/07/2024,Public Relations Specialist,Bilingual Public Relations Specialist,EY,"Montréal, QC",Posted 10 days ago,,https://ca.indeed.com/rc/clk?jk=b4465a68b207459d&bb=S1c5d643x1uOfTfDfNz1DT0TeSXntktKtXnpPn5b-rq39y4kAB0PEJtLgnmSLoUTmk_FMevoLXtfXzQ0ly5cJY8SmbKN-YpYpbx8uWPY83QGfDYjQaRMITur_YlWSrtP&xkcb=SoA467M3-yBLV8Simh0JbzkdCdPP&fccid=1544766d4c2915b0&vjs=3
