ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Purchasing Manager,Category Manager (Purchasing),Kent Building Supplies,"Saint John, NB",Posted 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGvOUIkFcvtskupFtdGIL-0B0hdKZRPlxB0tDJvyFUODjxj_ZoVwZQzz6vKTdGaPcmnP-DuV-tfLyeqGXvMyfTpNdGXxRjot8WqeF1MjsXF34e05vicpNqR7pA36KJ7WD7xh5fj5DYdGWMPqN9IlfObAHsWTrudPr5vbCvA-mb3TpDAmMM9TOKm9w9smqAUu5LBJbTg-MW0auHxXINjc5HbKxwaxwhVIXhrD32Egw7sc1MCzDEmtuaLDasbpKKsGK3RzHx7eBWgmg_0yDi_tM1Wi4r_17VD8yzkRZOfx7Kvgy04TdnlPiM821AG3DN6mOAAU69cuYm4omwJFTCn2AVD7ptr4f75HaXb1pKszLZ40MK70fOm-EFF01QwFKdlDhPFKuz_PVVYNvIn8jbf6x4kflPghQZUAdpjjhPwvgdjybJMd6LtuI84wPAfAcCuqE8VOKsp9Ed92SsDDhy3LuCl0QGbyuCHAI2doadHdtjJ3HKoX0LIYI_9_5YlN4o71Cos59GcRbliDVd2aski3EMiP0e5D7xbAek12f-gl293S3_rTy_HK8-Hb5S5LQ249ha5EXJ_Xu9gL9vwwjr8dkA9nLx5KUxRRI-WXr_IUGn0NPM50ET3Xtl6rYTpvhJyIDKA718i72ic7tl17jZ4aV-&xkcb=SoAm6_M3-yf3SOgF8b0LbzkdCdPP&camk=nUmJqO2E8rgnTfxGs_b9UQ==&p=0&fvj=1&vjs=3
24/07/2024,Purchasing Manager,Purchasing and Control Manager Needed for Growing Home Builder,Vinland Homes,"Saskatoon, SK",Active 2 days ago,"$60,000–$75,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BfK3vKNGmnF9ol-ty0WxbsJbFcRQNLVth_Iv7lT5mU__l3-HMlmpKkFsx01h3uCQdlTR-nw8PGDr95cTwxbALty2P3kvHg4zA3AH9kniupyvqevdkyCSo-UYh01cEJ-ywCgTzT_iMJlkXF58_Lqu5XLR-1PWwjUC4G0idurizLHDC5EDsj4vJ-9HFu55CF0_bsAJEL03NPgWYxOZS2GPyhRWAutXERJMiY3Rt7XnbFplYo4X238clJLjQQj_kCwL5CAUPLHd8-cau5BLdGobQaZzCV6FwmkcDK8WM4J_BVjtn2bPy8bCaXqgEP8R4cCm1h9JYzBmAYEsG8UnsVOQ9n6eYI9ZkTUos_nRVN8CVxVYjQbZvycEasiaLDc8P6OWr76nqngtnBU3B_TqdMGbU29R93LWTi6lMKNj0eBVu4kgEQ7NQFOt6ik3BLyBMpSQGi4JKVR-atDR3tA-Hk0--RiqhygRCDLbR4nHSvwfLk9OfFaNXg8J49NhRbsDbNkNr1FOAcysA9nTa6iGBBxsKhQznaDoRLQz_o2mDlvVL74hMGWW1jwWQWSwZaKwAGvbeiiS4EcXzNmpKuaYdJDhH76ru_EOah940sEDUFjLnmBbMCUFGG2vJlsi4VKxzmQIcnf3dB0uf-KRT-Xhn3CDd2PXCLF9n1Uu-QFYvZRzIh4r9wR9gBGD0o-t_Bb0r7m1o=&xkcb=SoCS6_M3-yf3SOgF8b0KbzkdCdPP&camk=nUmJqO2E8riKFK53O8CGCA==&p=1&fvj=1&vjs=3
24/07/2024,Purchasing Manager,Purchasing Manager,Fit Foods,"Hybrid work in Port Coquitlam, BC",Active 2 days ago,"$80,000–$85,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DJfBW-VaTQsEe7HDGN9RMPDjmgez4MGzX89J_rJDY3-LUPQZhoYvLSVhinmKR-OoJDq9rDtJk2S9XN1dJN-r61Igjebd_ULLIZZxtJg8fE2iN_fRxJBUB0f83SRm_Zrvuo6NB6g9sRVyt_Uiw7hgxqyc1bKizn1RUQRT14EKPuWS-FRCrUAdnSJRr2dA6q0HQaH_WO3tckwp48bFQkuPUsKpBo1KBp1GrNPMVpJU4eW0-WSXTlN9LfyXMoNjpZt1SXwJBJOxhx1W8hPrBCI5uFVbSTCYYfp84qrTVonNKH9psdD2JZpTmVc0G3kGHIgzB9OkzJG-Yx6WCubhxhaBjsMkCAwWyymL5B6FfEhFzGm8t3AFq6-NA18hU_CuxbxUkPrU_8c_yPB8tWkR3zr556EeC4hUgj65A_xPB7ZmR668Nro0iPNYaeOgQbXLQAbL-J0M-9UC0iOnOTIQnz-ub-iLUGQofbyDZgoHvZgZRERJH8hm9ujJRtOGqDWXu34BPF8ZuOnJ0NNHTCH0Id5XE2UZfBz0Qap-1Dr5hM_uAFLRQDp3yM5s2clwvVvFbCG3uFT-WHXc014P3bV2-xMI99eObsV_3bqwy1wetM24hOYdFuq5-r9wNtJXqJ8Sw1j1w0io9o0CzlAGyb_zbF3S92&xkcb=SoAP6_M3-yf3SOgF8b0JbzkdCdPP&camk=nUmJqO2E8rj502mO8wxubg==&p=2&fvj=1&vjs=3
24/07/2024,Purchasing Manager,Purchasing & Inventory Control Manager,Logan Drilling Group,"Stewiacke, NS",Posted 30+ days ago,$18–$24 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aw6va6EofvPsm3mkVSj4rFrQHswzD-UJiBaaVcpuCqnuzw1Uszk7nBa1IN9mmf9yAxj1EvM8OwVfYtypk0BsBu7fyyyvpgBSDO_01wmzHACNljzZOblpmxgfmGo9Njj85pzDPkuesoTnQEiQuwG9S0ZnFUslC2pLNvhYk-QoYBQQHz4omEt9PFllgCSeASpn5hatqW82YqC4qqJ91IjJfFN-VVNOwCuQwJMFJlkihcYxQFPoF7ICYdYCnWqmA-KsyEOH4f8YcrEY5REFV-hx5I56JiOkh75aM8JECpKTqrjQh-OtcQUV5ugVQtY4Ftcj0Hs0J_HWrJSwelscY9M3-w5V2cKGja3Rn6udw2WOr_nQ6fmn1xUTB51KoZV3mdb71jvs4DQIafVtU8WHs8UCSV05eUj7K45hiZE-dwkWLnIGqAPlgCzVa_jbLMFSgPm0i82_3PUOFEYCfvki2gsb3IRvLrFVIQ3JhGwZZShHOfgltRF47ZkiPlDUp6mO6a83aAWkZwCIB9X2KkfxUspYe6zq2Bv24Srceeq46YF8V3BO-8BuF5ejEk4yZ41F9XmdPmzRJXlsklRLjZVArtYOqEGWPufcyVcsqVFqCEHzTY5P47PxPfGZWPoD0HhEdJ-nKqEUNnOV1ReR00n6iZzPTzTi1CyoAA9j9YeNjW2snA2Q==&xkcb=SoC76_M3-yf3SOgF8b0IbzkdCdPP&camk=f416UQcMBpAo5XSLNeXERw==&p=3&fvj=1&vjs=3
24/07/2024,Purchasing Manager,Purchasing Manager (Hybrid),Ice River Sustainable Solutions,"Shelburne, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CBZnhz48I2yvTGiF6JBJDJS4E_HvRsrYNm5SBVsBkuGKUdvQxTIJPApbCEpxiAJuQ9tcCgjWPqmVXM8lUChUukQcoqVILWeqtMzmzlrZPtvsmijxQNw79mU0bIlLwfvRKGtjGFnVwTYuNNY0Clk7WCp5h5YFxq4nRDVnFFMoBn5aYFuj5UfHpz1xF7-29wJhjwLthhAi7JJ2WGbaFw-zpEDSYF-PErluId2sry3DQQU80SKk7VxyUaoEQ805iWK103Id4o3-o2dytgRQiURN9VEdZd37TlbMAlPVeld01BJJGN5ttGU_z_NWDIrlKXpcLXD3ZZsGsw1qMq9viDUiuQxQBYwuaui5oWX38Udzcsl5s8qpDwvsK0aK9Q8yWs3SEbhyqeSORbWKFqSiuQa9dBsFsnDLghPLq4P5sfhbad5WWqilyTdcXkR8TTzBiAhMp43L9ZoZjQ3XR2TJhOqboOzd6j7QPsUWyQ500rfJQLEQlFtteys-NFs0sPl0BzJcgmYM72O5JgGvBy2yxYmGFXqf6MyZ_vobn6qe3MQt5-GlJThdvnThL1NloyySKy-9rpIMzgDft7C2Uq5EQE1ZgngEFfq3qRDkUvp6L3n23Kyg7Cc4cjRiFxf3S6pM0_DtapeDX8SWrM-oRjEPyugjFebeYzAkxZTtxhWlFXJ5RMHX83xIOIqWm2&xkcb=SoA16_M3-yf3SOgF8b0PbzkdCdPP&camk=4HOcmqOLYrAuVyiSCKkOMA==&p=4&fvj=0&vjs=3
24/07/2024,Purchasing Manager,Purchasing Manager,Del Industrial Metals,"Brampton, ON",Active 5 days ago,"$80,000–$120,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARYx_eIVoiP6MfchFbWID6r4rHWAvLvmqfUoBb8SeIqKAmb9yzbZP6HWtufytgqTqlegApU-74aY8V9vvWMCGqgTq6R9O7gYO3Bzc_JuuQQp3iAnEru4HZ3GQQKu0PMaRVlROMBLHneo1Irxixsk0B5iskSLOLs_LAe13ZPFL0WVVKLVAXGEdT1df59O_z_FUaU_ZpaCAZN1iLDPm3h8alQGPiinKuNfa_yGn36ucdKGOyDgklLwVKl99MYDyS0Y8AOU3MFLZSqZGk1AKG-1YRY5FXbXbE2kUK4JvCcWg2tKEcge0ZWrlM5J5trjvCY8NRbHbTZ01fkgrPOiScae4yHxqgGrCABJcQIxCvA67SZTWJLJZRBh4tTRzVriAmbRIcNSVWwDcA0YZIFdxV73GZzUUOxAwACpnwoyMLYb2jMcVkbnNdPC2p2PUv8Vdwvjwx5IuaHO2O0IRQIyGAuDBCOPCYOdb7hew8cyZZofpeelh96F1_168hlX6a6W5E3OhqT7tGtjPUwF3aQ3OsV9AdM8aXPsRa7Spf-AxS_BMkRvrd9gmjlcjfjd9gnacX0EklAnhFcgAcXHAbCPEdc9mnMr1MdePGOgfdbKvYeNjXQ95iRSMFDvbPVCODbFcwDkU=&xkcb=SoCB6_M3-yf3SOgF8b0ObzkdCdPP&camk=nUmJqO2E8rg2qgeVON_AxA==&p=5&fvj=1&vjs=3
24/07/2024,Purchasing Manager,Sourcing Manager,Peak of the Market Ltd.,"Winnipeg, MB",Active 2 days ago,"$75,000–$80,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ca0PTA2dP61vKVdzRXbk8BFbnqu8bv5ZrD5BAX5kd8MGpwAon5sWfGHO26ILtO7Dr9frf71PqRaUvSRA67wsYPlyg31D7MoJfgjD7ZhvvYM8W2lk1iL_7LoIKfLdKNOC2NyAYCq9AkrGGyv-nwd_sfdinMU6SVXTNeLp874jqJc9mLw1SnL2kAxyu1RSg7o6eBzmIO1C1zrGojhhNkUG4ZpxLI2ufyR7XO1-rb5syeZHWIhe8N8R5nvBt7IKjZvVIqnEOpRuvwrgjS6AGa_2VrldmHwLz4dvL8JRSB1-Poa6nCFxPUldzJYCQPjPH60ciczIQXflsLBYLExqHhaiLOw03OagfTlSKMluJFCedu5LhNlcOjSzoaQnxXLCgKuAqBeoVb07TqqdXYUjR98e3Hn6fl4A33CA2rWOfmwPQJwbmSnqJHcZe_VwojUXCCqRAuzulyv8lS8JdF9FnVeDz4HEIsswjEZ7GhwIVw8Bo7j5yqXM7RDdTOjTV__Ei9qS5-6sx3c-kjzKKtqsLVl3Ddbl4f8G3iOWVt1ZTPh1OsRzG3vw0GHnfegl8qTscO1It8spDXHBth4Kt_vK5gNVxDGkACQu_ebWAd557Ci82xHrgSFvMrzabXYVj4UI52QtA=&xkcb=SoAc6_M3-yf3SOgF8b0NbzkdCdPP&camk=nUmJqO2E8riJkhFqbtqdbw==&p=6&fvj=1&vjs=3
24/07/2024,Purchasing Manager,Purchasing / Inventory Control Manager,Pal Group,"Winnipeg, MB",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A2vyAJtcEFTL-KlmWyBxF2H5-C4L8X2xEf8xislCbcfC_Bc64frPMzTkKM4OdWsi3_aBDMeKuuaEzzg14JagpAwk73BopR8qPU2naWZrpOVN62aKGGw9Mber1pVyJV9q3slMiwvKTag2MqjXTWJpOzSvHyPR3HTYrBjb5-Gn8n1VjtVzSWA4w_Pvf2lnBPzsvKS3MUUVYSlGN6F_hwkHEfJAzY4nUg5cpuMybOkzhMqPusXXsDpwx26O_IEfAc2CJFzkPFNisJBX9YtuZ4-WF0Jfv9q6H-Mew4CrAA3eG1V9y_3XRb9j-EEr5Jfb4fWCMiYd_AGqDaPsYAFhKEY6PffVVmw5x2iYCbVA4Y39gAdMY6xYv5LkYVebhPSiOvn3BQNr0Ctu19zELsoCmz3pQ-py6UmqGyXT8GCpJzB2DtALVb9-j8LSQR5F3B1MQkw9Fo6ZPtL0OV01ywoh14JheDrcGsCS-OWRB-Jvfm6DQyRdrcWSqRsMzl_7Cw4L8TEmXQcIcNUo1uQa71TFU3CQht8YZ2-ImjTL55OlRaTf4QvtRNwzMv-Sb4YzN5mVM35kkJjMcPvylWVzewSekyM0UHevMlwRUbns_xB8IPJiLoQgIg-DTx3eQHnJMP_UnV7lqI8_NgyE18wawLNMWU-jmO&xkcb=SoCo6_M3-yf3SOgF8b0MbzkdCdPP&camk=nUmJqO2E8rjplCmfVMWJng==&p=7&fvj=1&vjs=3
24/07/2024,Purchasing Manager,Materials Manager,THE ECONO-RACK GROUP 2015 INC.,"Brantford, ON",Posted 5 days ago,,https://ca.indeed.com/rc/clk?jk=930ee20e35c03763&bb=fJ81RD8gyEPft4ZRrL7GL64fSNoH4_Pix8p-_I0fULMZ_swZxDMerfULQ62VR9ld3vbgSFA2Ocgau1qsRShl3hOr_vseJ1nKDUqpTbSUjxpupqwGg12n-3lthLr-gTzpAvidKmcXN9M%3D&xkcb=SoC167M3-yf3SOgF8b0DbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
24/07/2024,Purchasing Manager,Warehouse & Procurement Manager,Draganfly Innovations Inc.,"Saskatoon, SK",Posted 5 days ago,"$80,000–$120,000 a year",https://ca.indeed.com/rc/clk?jk=03b3ac49cf91d378&bb=fJ81RD8gyEPft4ZRrL7GLxVDlPIRxOStAZvE_765w61ENyYemQ_oLA8IdFmiccV-8YAGm3Zozjm-R2ewVyqd0ERXMJeqxqTchl0GUruSdVFcNATyWGRvTr1ODgZ708x7&xkcb=SoAB67M3-yf3SOgF8b0CbzkdCdPP&fccid=c46c199b2fd5dc7d&cmp=DraganFly&ti=Procurement+Manager&vjs=3
