ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Radiologic Technologist,Radiologic Technologist,Nova Scotia Health Authority (NSHA),"New Glasgow, NS",Active 2 days ago,$30.83–$37.54 an hour,https://ca.indeed.com/rc/clk?jk=6e1509e864e4bf9b&bb=IvS3BQDkyeFRShgRezBmKcqr_k8WSa5yroEjgXqxM3HbADEbqXppZGmfv9yHMsWN4ppjcO1ATE9t8RzZQyJpqjehqoloUe2lPlFy7pwAuFprXpDnhzReS1eexLDQROL6&xkcb=SoBV67M3-x3GGXydaR0LbzkdCdPP&fccid=fbb425fe63b19206&cmp=Nova-Scotia-Health-Authority&ti=X-ray+Technician&vjs=3
24/07/2024,Radiologic Technologist,Radiology Technologist,Saddletown Radiology,"Calgary, AB",Active 5 days ago,$38–$50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DTHlElxENPrEdH1TZR7fys9GTVhlI9rEXCCqGW5xlGCTF1dXy71e1rjXtW3V_5xMHh5T9GXeNKsGMFRf8xF8AndCMFchYwmnaa7UzNyiEEzZTevK8j1yOiTXXCACp4smAOu015NHIMc6UOMhbd9cpD0KwoVAmyrj147-QtgX4I0w8Z60pn8-tRyx6Bni-MhkLrarg2I7bb4sxRiq9bjHYsB8QrNp_aDg7BzUtXVEoYBs26IAxT6rt-jVsI0MRdvbOCkl1x0TuXp-IwDi5wh7UXb6ddiDawTYiPaWDJDUCR30fCWomZFAptXJQaRFJFL6brTwoX0Rboc2wiy1wVqFTnN8usrxaP_OnM2Upad6uLLzdX61qQ2IjCRuDoNSKXTPqdrxvgzCpbykx_BIf4w4dkWcDsUzWBfDjpvhxDGicbPwBbMS06EzpVYatY_BWfpY-mcULJgfKxKxiLQ6SHvHW57XaKyCoxefQt1LI5P8Cu4ZdlAlCr9kgSsMsdw7-qggx4XujvhZ5QDX-vBvIgH3HQHcVWRns1GRd5XTRL012SLFBS-wk3PsIV8yg92xe2_BJXa5uwFJl9zliyoLu24fjeypg9l1ysqNzIzzbnmTMT1ZZGa48t5mYrrjrmKZC2C5d_QuStu9_YtyDg-ha7u80M&xkcb=SoAV6_M3-x3GGXydaR0KbzkdCdPP&camk=CPChkbYSGj8eEash4zpKDQ==&p=1&fvj=1&vjs=3
24/07/2024,Radiologic Technologist,X-Ray Technologist,The Agency | A Two Twelve Company,"Grande Prairie, AB",Posted 5 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BhZgzskyxyjx3rDWxhNSQc29P2NWz6GH1yXnX3R6JT6eBLJ7CpsAfRbuuvW8kkcnZkGwgaacvDqs52H30wFd5sIzF1bfVnTKJu-ybPR263xvEWcCi5W9BCBlFT26tJNd7Onv5738iiyY2y6yCGvYbCqdrv5yeGD5NpLeJ8Q79spNjBN_DP7y6CB2AZQetesQ-E_jjiR4eVgknIAnY5APaRfE8hP9wUg8WSASUnzFCLdCRPVc0638TaBHDIkPMRQiVO0uK3ai28_sPCytFBoznyC4Ulb0ujriJVh_mJlxx1z9Kwth_AZh3cOo3fuif_lrp1_mqxwwVJ_wcxoO5HmJbwMn8tmCOF5asAOW1YFEq6q_wXRLVO2QlEzpZr5xGgolx4HgQ3XZNJvlKz_KW2cKjVsHwIjjPD4R6CpyOnpQCmpiZcCSYrxC_rQxNIea-fo4EzNbt5KwcD1Spq-XoD5BN_FX61QU2Mi_ZNimGLIUuHRY6tFTC9OmlUJk1LaHEewL7VDteyeUDizhykgqEznkNlJC6fKZyPH33VH_ZuaQGYCnAk5GVcOJSTuyMq-94WzSGwR17sbPRP4hMcOq_0KsFWA0El4GTDa1m-0SoVy9GDQlApO3Eph9ZL0DSkaMmZgQOpgdd7212uEzMGeJWoqXM9y9SuHONSPcIrnaT-4CTN0XA11VSQGyBynv7s6zDwiPquhnTU-7bo7Q==&xkcb=SoCI6_M3-x3GGXydaR0JbzkdCdPP&camk=nUmJqO2E8rg9vEGa99RUug==&p=2&fvj=0&vjs=3
24/07/2024,Radiologic Technologist,Radiology Technician,Bill Nelems Pain & Research Centre,"Kelowna, BC",Posted 1 day ago,$40–$45 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CmCBTn8SJmAQomOYnxJFHpzp0SSy5mqdBYJbAm5SBRAgYgcA1sPspJnaEDWavbvwXCy7TrcaGGKCsEr1fXvIzjPHeT8tJqGCUz2sXPgiabz24wwOJBKMw9QPPIFiOBxhJ_rxcYQIsZ98ryyfEndiacFgk3NnJ6-wNnJddS5ciKxcu70q2QVC8xmItkf_D5ZGRpTuZ7s0S33NMpeifuN-AI_tacCDOC63J-LhneHmak8Owne1Z1lrzKrgoubLOO9VSrpf4O64ZUkYZvD8q0hPlAEKzUyYuszTEoAwcqtMo8bWz184Hqj7W7hKPXTxJOD8T7wVt8IiZZxH6412qFoxxd00hfC6OlIHffw9fAPnXazduOxbVRCi36aAUhPQT0aF2wcvzkekMTKk3ucGU9N7z5sG1xE7AUFffDgjoPRk94SI8YOknGwDUohOCFzR92v9rv1PzRXe22wMrLq8wZse550zlk78XbrtiNTgyoYhUb8o9qOmphVt5JPg4cHmZXlxQ4BA4cP_bL4zkxpQZM7heomHI6Tw1PIJH7I0cQVjZW2vk1lwO0DodPsSERrv-XAFzJMXmluRmYGAvXKrfGADQJ1ge9xTa6sRPLtppls8eijdWTJgYZP5CNWlpey-UbDcgoGILBzNCRU7vfJSiC9XRh&xkcb=SoA86_M3-x3GGXydaR0IbzkdCdPP&camk=nUmJqO2E8rgR7MsA54MZ8Q==&p=3&fvj=1&vjs=3
24/07/2024,Radiologic Technologist,Xray / BMD Technologist - FULL Time,ORMDI Inc.,"Toronto, ON",Active 2 days ago,$36–$42 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CTOu7wS-TrJkoJZXZ_aJLEoUL1u24T30fAIpAL7BpkOXTxseMdnkPEP3O-FtU0Aa-i6R5YImLRcknob6_A16SZL6Cfvnyzf2RJZxPbUfUmcZja8aP2hkdQlbqCUH0GVSzfHB01RLXBlwLJC_oWusyv6MSq4s5QSaM6NnEDh2fK8gKLML-5og2SizBpUJcRw5AYfYhetz0W0K4DLN74tuoBgvuj3JYlvoVTEIunOJwxyvYwJxW_gbLLfUxVUDmqP_4zZPeg23pJ6iwiOALWih_iuX5Xup2OqRA5rpXofhiSDBzOMlWNLqNbvpEm4pRh3sek1ALQ1Bvybl7qs0EBUCXgEMtxKZEZb3e1WUOzjDJ_v-2VomeDYQzbew1IYbsM2p9BFbD7pJeNPRj6Ee5bkwHBBWDZvHmt84a229SRG87eQiGhJaMb_UQXLwhVmSe8Xg41xj8G8qsZd3FvwCSIjd84B4uKkEmw3ZmB38_zRsIAcj03IVlmV-cMfl_nhJxWcg4z3HJwvqIz3bALxB7rzHmVnDXhNyBl3FKe5y1y2UEfYadkEWED4daycnWGrBeHWKz5vC0VxEVTz4d7h59j6gita7Pae1qvJz2QbslCHM4cape1JXikU1Fy9MTVNHTvMZejPCaLNp-waDg20rW0dXs-PRXBY3L_Mow=&xkcb=SoCy6_M3-x3GGXydaR0PbzkdCdPP&camk=CPChkbYSGj9S3rdlqjW-nA==&p=4&fvj=1&vjs=3
24/07/2024,Radiologic Technologist,CT Technologist - BC,Goodwill Staffing and Recruitment,"Kelowna, BC",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ApAHs1JBhvBxq92yZ2PPqiMZUpnYX7JiVSeYI1pd_i1aJiN7DtPYf_VC9CmTqZ8MG6hDhJKvo5g4hifl-HLVWcwvooVzmxAXwcKKAc26R4ikJlp3LYy3s3qB1dGebda6wFQ2iRbO4yMDNwA_qw2zfiknwqTYUYQca-A4sxbNaEV0_cofN2dHe-vXe1Ynk7v8EdaFBG9ealaOJK13LxBqL8kM8nHcOvY8Y3XDv14_gD2ywjDQMn6CqPQxZH91rSPSQbUtnZ9F8cpGanaQ2ubmHCWQ2ruzFWAslqGkVzp_yIpJt2yUyBdStwyHoJJTxUcD6WtZsug0eeBI8Kj2ddBFijSRIF-BOJF7OoFWljmsdg7ndk0Id5moK4TRGixoItZGmhtASnX3NiCkZIiUZd2cEqy-bkGBq_7Mcqc7JiPVYDOJkuC8NFLw1W6FZyVi_AtiqsgZWW42TQPtQoIwOIJjo3bAydkalVDebliI0bz8oMwWCOBJC-8NY--fy4wE6Qw3veixMXk5g9ewIgiGsZsBlcbUQv-_x9zjAnhEj2GEQHtLpAoVGvON8hM-WIyMokHdoCL9y5xcMBpoQjoqz0_5UlonxtZCl8DLCk37ZxDvLIcyQUnCQFrtymUPWKpHviZSF1xRdHqJTj93Fu5K7Lo32vlIBOOZPMpCcOx3oYwhsUbfPVdAd65u-csIZ7u8r_YUdTftMHa_OX5s9gLASG2Nsh&xkcb=SoAG6_M3-x3GGXydaR0ObzkdCdPP&camk=H-lBaXMUocJdOWAA6ZLrIA==&p=5&fvj=0&vjs=3
24/07/2024,Radiologic Technologist,X-Ray Technologist,Greenstaff Medical,"Vancouver, BC",Active 2 days ago,$50 an hour,https://ca.indeed.com/rc/clk?jk=b5d5b23623c71c28&bb=IvS3BQDkyeFRShgRezBmKaUWijZ_uwukU-uftv1IPYwl0BSp2P4lNi4llCwKZSv5YDb4v2LKBRwD2F0Kka7hbjME4bKUdvEwe92TsjQKfl_a1URwmdyVu3bfrFhRJJVf&xkcb=SoBv67M3-x3GGXydaR0NbzkdCdPP&fccid=3537eb1bc03a62bb&cmp=Greenstaff-Medical&ti=X-ray+Technician&vjs=3
24/07/2024,Radiologic Technologist,MRI Technologist - Weekends,Prenuvo,"Vancouver, BC",Posted 30+ days ago,$40–$60 an hour,https://ca.indeed.com/rc/clk?jk=fdc539c281959fe9&bb=IvS3BQDkyeFRShgRezBmKTNCJjo3Gtso7QnMW7ByYiN8prpcv6wYQUgmTyiqyz2XSkfg0iWa2RxJp2IkS4cgIJ52hxNi8nGE530csMAiuYXqbzpGb6f-pvlXnRvsB_YA&xkcb=SoDb67M3-x3GGXydaR0MbzkdCdPP&fccid=1498af9d8d57b540&vjs=3
24/07/2024,Radiologic Technologist,Mammographer - Downtown Toronto,Human Integrity HR,"Toronto, ON",Posted 21 days ago,,https://ca.indeed.com/rc/clk?jk=92a1fff59e09a0db&bb=IvS3BQDkyeFRShgRezBmKQH1_xD0LzKOLM4Yy6g8ag3w9236sPq_mDjRQRrptGEZlLdhbyr21MQ9NQA5jHsAxBpcs6vOpuKQbPAupxio7Qthk259bV2GSvgtmpQTBzWA&xkcb=SoAy67M3-x3GGXydaR0DbzkdCdPP&fccid=553cd127b6cfdca3&vjs=3
24/07/2024,Radiologic Technologist,Medical Radiology Technologist (MRT),Infini Health,"Calgary, AB",Active 2 days ago,$33.37–$51.75 an hour,https://ca.indeed.com/rc/clk?jk=73607e9b2f9654c7&bb=IvS3BQDkyeFRShgRezBmKbq3Iuub-d6O-8rhpUSy7hX5sx9Yac0Fk6cXx3oG922NyECYLE3fqIGDuaKSNPwIJ9G5xSofVwU9FGxNk1ac3mbs9MysN4l9imvwLKVDazP0&xkcb=SoCG67M3-x3GGXydaR0CbzkdCdPP&fccid=e0df59f51f2d7933&cmp=Infini-Health-Spine-Center&ti=X-ray+Technician&vjs=3
