ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Retail Buyer,Retail Buyer (Senior),Turnabout Luxury Resale,"Vancouver, BC",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ALsDbpEOH6hX54HbRVNeiquEp9KcvmJVcPbK7aatH0uCrml3HGKc1sfcJSI9BGJFow6AIgxUa3nOKLN0o0ajY6DV4X-txObBN1iP1YZ4vWfcSjsQTK9yHwsFkEG8IfMXSqay2IhrvXFyGwjrmYd3T6PGoqRmJLXJL_2tQJzYYr-WbECWHiMR5ekcx6KEOHz4izBKZWDQ6b0lktS3azw8VpEqw6kNkYJ9V8rSo9sSsjo9SpDg6SM1nMP1KSB9MUQ3LbBejZjxTmnEjqPq1yf87XIbqWZuHbsZSBgnrDL3A4re9-M-fmYfTJ4AbzLGPTa4Bj2y0hPMKxg8WuHkHA-Ism07j4u3O8Cl112tCo5kd5Yo04zXYbioWq8NzDQaQgKLWW5PEZKCYS8NqEVFpY6LCirhtKt-DkjXt3yzD0cmIuyyFNhYaFO9ktGzogwdcc0uZMUDXn_TuSt6_3nd7AXc4cAHBKkq-U5Ledd8Je5zf5yzUczcMtKfXLHsvRWoMioUo-ahn9KG10cDOCiHafW24186_MzCJRUwQSqxPBtS0LtKi4lLTSai_u--cKdf5sqAsH9ElwhxfnIavPMPrnLUB81bVke61xQPZmf0qaFRwssRSXb_gkL9XnmT0HT8Lc9ss=&xkcb=SoAx6_M3-yoCgvSsaR0LbzkdCdPP&camk=nUmJqO2E8riQx0JQJ22O9g==&p=0&fvj=1&vjs=3
24/07/2024,Retail Buyer,Assistant Buyer,Ricki's,"Hybrid work in Winnipeg, MB",Active 2 days ago,"$38,000–$40,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CfyYlI__tlkjCoS58FGIB8Z1u3KhpgQ1XWA6YK6UevnbyXM5wi-o8MdJYQHG2OrQIGttoN3stOoq2iYaGsXbhuY5b0HXquORFhhGN9aNs6Q4peTTq_TrYTOeqBBwHWe348AGR91OlWE5Qc1dQVMYIWCrb64heZR-Oju1gq02Vo7xnc5mpWMDvlrM9vRhrGBYNYOnOMaA-Qr2EbegA6yy73uHuy_Kdx7O3oLiQIUlVdcGFVBDA1-oIB7ZVVB0_CsPdFj_a2DVZa7_QYGBbJV1XnRI5e1h9iHhYu-ZS8LKgTbbIhwnN1YbGdzWjXezC1MeNaFlEmnFQ1Z7CO_1fM1YnWUCHEdEr41tnKkjpmftNv9fCnpZTJRZMGJ88VzVvhlpv_n46jIbsbzVvv840YyTHHP6C6It-XcwlX8quFizkVRi0RVsvu5y4VJZl6IDXhUo4DWHu-6Se85ldRQ18_mJCdQaACtzTJinnKAyMcnhNiby_veEdSFyv2H6whWiSLyyaLMVLFnfpS6RvVrN6-g5kfwCNc4D7K5Bmj5IiWj6d2OyHTJrf7ElMkNVbgwFvEmUmoygeVWvdNXYbNTUEYqP754k9eZOyjcq4JeRysgarRN6ljtlSoKaBOTL-rW9ZYSJjTahqP25ciGA==&xkcb=SoCF6_M3-yoCgvSsaR0KbzkdCdPP&camk=f416UQcMBpAQrxt-CzMFww==&p=1&fvj=1&vjs=3
24/07/2024,Retail Buyer,Luxury Menswear Buyer (Contract Role - 15 months),Harry Rosen,"Hybrid work in Toronto, ON",Posted 21 days ago,,https://ca.indeed.com/rc/clk?jk=c1b142aab353e843&bb=bXYvH_4K1d1rZxRtYrhhiJ7aUfMsbAUnn5W21TTF77c2AfiPcfMXnfZdUqHl4kYfHFwclG4OHNVwU0uisFORaCtZQxw37XH6VfMJJigt8luMH-_q_6cRpqYRnoO3KEG-&xkcb=SoDs67M3-yoCgvSsaR0JbzkdCdPP&fccid=228887a37a64b156&vjs=3
24/07/2024,Retail Buyer,Assistant Retail Buyer,Capilano Group,"Vancouver, BC",Posted 13 days ago,,https://ca.indeed.com/rc/clk?jk=e62116b5c2fda6a8&bb=bXYvH_4K1d1rZxRtYrhhiGz7WWDa54Q3_WylTlcK1v_75uy6CA1CEnnqFV0aN6yOWZGhvlCaKdhRvCz5OTnlv8qCxrwI78x4Pf2Uhnle4onjXqLOZBFxtXZGvf47tvLG&xkcb=SoBY67M3-yoCgvSsaR0IbzkdCdPP&fccid=606a813dede48e46&vjs=3
24/07/2024,Retail Buyer,"Assistant Buyer, Women's",Roots,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=93eef212260f6780&bb=bXYvH_4K1d1rZxRtYrhhiBrrrGRGCDLQ4vUXodAv0H-CCcCrXORcXH4_bv1mJoSByrCPZZS-naiTiLW0g6DvjMZYJrKDQk79VoxvdHnMoi6S-Vbb5menDQzFIP1_qWDu&xkcb=SoDW67M3-yoCgvSsaR0PbzkdCdPP&fccid=6e80dbd03fab8a1f&vjs=3
24/07/2024,Retail Buyer,Junior Fashion Buyer,Laura Canada,"Laval, QC",Active 5 days ago,,https://ca.indeed.com/rc/clk?jk=f1f9565235a10ec6&bb=bXYvH_4K1d1rZxRtYrhhiE8_OlebX3QzQ-9PUkOHkWmZuaNRLtkqs0-9cVsl5jgrOfGZWTsfzPS_81ojMq_X1qquzWkm06oX6jsrX2Vg0P2aFerUIf_09vv-10DxRiNp&xkcb=SoBi67M3-yoCgvSsaR0ObzkdCdPP&fccid=9bc304a0483000ea&vjs=3
24/07/2024,Retail Buyer,"Buyer, General Merchandise",London Drugs Limited,"Richmond, BC",Posted 12 days ago,,https://ca.indeed.com/rc/clk?jk=2e40f4542dcd39c1&bb=bXYvH_4K1d1rZxRtYrhhiCUb8IxMDH1XjuV6xbdRbN4FpBnYkPivOQIkg3AXxdfSVLBMehFrwl0GKZhL3S5iBZQ38OlF-_XekqRQQiQ6q5gyYBUi0K1SibjDaz1mphzz&xkcb=SoD_67M3-yoCgvSsaR0NbzkdCdPP&fccid=b18852622016e1ba&vjs=3
24/07/2024,Retail Buyer,Retail E-Commerce Specialist & Jr Buyer,Sunshine Village Corporation,"Calgary, AB",Posted 12 days ago,,https://ca.indeed.com/rc/clk?jk=a2e347477e277786&bb=bXYvH_4K1d1rZxRtYrhhiDfOoWElsaD06ONQh7TXqjx8al1PpxaTj2jd1Td0kO0wnRdzIn_7RmogTMucIV6cPslOgFGTak_VUXJ3UyYOGSM54I7PzVyApCPkskW-IdoY&xkcb=SoBL67M3-yoCgvSsaR0MbzkdCdPP&fccid=33a2cab01b5a6480&vjs=3
24/07/2024,Retail Buyer,Buyer,Well.ca Inc,"Hybrid work in Toronto, ON",Posted 25 days ago,,https://ca.indeed.com/rc/clk?jk=e99619e99e873808&bb=bXYvH_4K1d1rZxRtYrhhiCwblKbBwLz8Es3c2F175t1mKHLgnDk4BA4HMGCpiM2P1p2tiPmJfMbLkh0qba8j3t0Chp6rPl6pzhTeFRxo9himDU3uM4Q8eUCvJlANJ_u6&xkcb=SoCi67M3-yoCgvSsaR0DbzkdCdPP&fccid=0408feb09a3d3012&vjs=3
24/07/2024,Retail Buyer,retail buyer,KOKKO Made Enterprise Inc.,"Vancouver, BC",Posted 25 days ago,,https://ca.indeed.com/rc/clk?jk=ff364d5e29325895&bb=bXYvH_4K1d1rZxRtYrhhiLBVJTEVKwEXAwFx-9pieGwum1mY3_ZALDOOam-A12hytOUti8wUIXqivdiq6VO6c2Knlrwkvf4smF2qaTVDyZsjFB5bvI3e1w%3D%3D&xkcb=SoAW67M3-yoCgvSsaR0CbzkdCdPP&fccid=1cd369c7ead92b26&vjs=3
