ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Retail Sales Associate,Residential Sales Associate,RFNOW Inc.,"Virden, MB",Just posted,From $19 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CtYUJDhaPGZrpkUyqTKU-cd9JZOT7FmTMv-qVwWKg6OEVya4sa3jgEidPYaMR6hKs_u2pAvS20PyL0jK_BLemLq99lkMz_8qzbb18vRwGt3rMjXlJj-knh8rmWGl85kg-dJWFFJDhh-SGUNS7VxY1V-2ZZ--X5FCFfkj06Fi10-_iFbIWH_yHiyXFLZnJl-6jxJ3yyAKpfaHSWuVRmB2xq7b5BwqO3o3W_di8Li2UG8gc4wxXNfGhu3ixEGgwwlUORczvlpmRdE2ntEPVciBgUx5gr4PuD_H4AoaqgiqhBN6qy8yVZfd_RfhoHWSmlPI84ij4FFWKW_H75gvQqOgrySlLA7F3bcHAhbLvdCnolTPvlnbySFSw63v2LUoKuBU6MSbWfUbbJUOi0c5VFWJ8rbXMbKznXQEkOUE9ut_qj69JhcGuWrd4kH4l4iX3MF1JOm80YL7_L4kK2X8p1xcTa_kBQ2Qn5Dg_AM1carK47egxOWUKErxfNWSHup2znxN6uSCQx3gk2IhitZFlahtP7RJNeHXfp3U6e3o4qh_Ec5JDLHkONiXX4XjDxfkmd3RV63z9EvLWllCYvG6WdymvpTWCkz80wdxW7wcQ-9MVENmx_UcMtn6CkMgXWdIc9AJ1cbyZEfEDzEvVLSXES4AFZrcaT87u-NRk=&xkcb=SoBl6_M3-yXcq-gdVz0LbzkdCdPP&camk=nUmJqO2E8rjwIp2a3iuqSQ==&p=0&fvj=1&vjs=3
24/07/2024,Retail Sales Associate,Sales Associate,Energy Dodge,"Kindersley, SK",Active 2 days ago,"$60,000–$150,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5kGVzCt6am3Ip5ghhld1TqQ9-vT5DFa6lHgq4XeSuQ67ywo0L0F5V_wWRdknwanYpeQE1PvFLL2LQpOoGNFSxPgssPRktFf56XiJ6bWPpQRyQtKcFW-T_W05WFZxTq3xrTvivgZAm_WKht4DrEbnO6fzS8IAxTZrom6eL9jB8JIEYVJdn8OnCZf1ZohSB5ku4thYdDqy4KXck0n8pmvoWrcW3kcJYbkh5nNU0HYMFbqHHq0ckXx43szjREhVpAV6gBtP1N2F1bvumKMfnJhuMnH-_pdTqWOyxEiKup0FDvtTGSYqXm6c786nUAht_UjVpKa6yO4epX6g35yJMRUQqK8logWeo6FMrlPbbgDaeXS36nEorTWMs86cF6trlfJdyaU6BSbwWcDbzFo6ckFSNd_bbJGPIcpqPBh7rXvawZ_RpO7GtH3zFb8sgxkxB2b9G47Gjs3S4d96LmR2-iW_DDA6OyTJN-58K-gt832l8q47jFSIx4xVlXVfPbMhHsabjul4YFQRxq-w6darju5HX6JMotQhIwn1XddvbnPvPuzwo65tGKWY2JFXi6d9N5On3c6RFrwF3wU1ASffuJgcNxO8ah8XkpwH9ZXMNlQgRQYB_5aBkTtI7OkICCJjCMbedWrB-WWjGl3eS8PUTUUUN&xkcb=SoDR6_M3-yXcq-gdVz0KbzkdCdPP&camk=nUmJqO2E8rjEw98e4p0LaQ==&p=1&fvj=1&vjs=3
24/07/2024,Retail Sales Associate,Retail Sales,KWC Mercantile,"Nelson, BC",Posted 1 day ago,$18–$19 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CsxSQbV2n00mBkaumA9CE335WgvSoWITwAvEcfHGZJmG3waLssFC1IwhZm_crYpYDnlrhROBt4Pp55KTQHIQ0KVGsQsfwIo5qw35Q3TXs4dmcXJ70XOqERsE284mKVY0UXhk5Xs5cSNwYSnXA56RbmnVo7d0GyTZjiAYTEa_LNj4nCClurGT83e_QDCXtMxEljA2wEfe8_BnnLibbsf6xvH2975aqoMaPp_KgLkSacuUEzU-H308UtOZ7F9_NULFq18vXzg-UK0PBV0zX5gnT-ryqysixHVlqNiv-O8gxJ2ILLZs1sXUrklcW5z8NlBZyVJDCu4dsvV5jjw4dzTVlGzLKzNbF0kDFgYNg4rsz6U9gwXLh0OANeJX4C58G0qvM2o2QJK2dfK3W2dfZaiWQMhyqJ8883Jgz4cDR-mrc6xfbiqn9-ASg0VfvYKDu_R62FuDJ8-fLZ4aANKWRXn2UFNZbGvJAKeV24iNf0oXWHLqi3gvvF5FJripSwGnasUvel4ZdgNwg4lsFPlJp2wuMSW9BinykEFJwioODq4MGBcGWefG9ZpGYJPRh7gD8OWSlCj-ylj-W0qZfFok9zT2Zia4v8HsMS58DnkgcB0OcCQZ2lbvff8BawjFmoMSkkQSxvGpxbbLbIng==&xkcb=SoBM6_M3-yXcq-gdVz0JbzkdCdPP&camk=nUmJqO2E8rjfoghpP90dDg==&p=2&fvj=1&vjs=3
24/07/2024,Retail Sales Associate,"Retail Sales Associate, Laurier",Virgin Plus,"Quebec City, QC",Just posted,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CFWQzF_0hBIEs-zDWFyI5tiDK7nNqkwaHFVQbP9PXVS6e3ShpfxblNEIRyWjoBnoXCDZK6On2wAYady31-SPytAD0dswxAmtQCM1kNCR17_TyyzNffHdV9H-pihlNyqRifHm3-HlmWKExCTAxxeMI3neHToLfzt2JHC6clvQz2zAq7Ad_fXw8U_Ry_h8R_4AuOSc5dXpU5ZOsKDKjItTXb_FKX87CIAn8PHnZy13gKPcj_j3V8h5SFpKx5Eql5f3UMGLTJO4x347QqkHmkWG2x0T1HH_833jY5r_athgcF_CqyJF2UtZDDXZlxtbE1Z4H0-dXpBW43bZNVl_OMKjvo4MOwBil1KJoC1JdEIFPY0Zg9NjN5YNpeYWfBiFgg-1Md4cVEQkQHMOxCvvyk-MS1_J8C33kZ1EAlZTIUHYrBbeocY5aBOzlRH-LEUKglwyMe81zkz-ZkZRoyu0mPppUwr3bByycGhChisHBUYc2x8_XzUP_-KYGVLndir2LLLvM-bHQXuesySnEAvUpm5M4UkdcT2Do05vAljNAu24OWJaV6MZMsRLtn_nhF43Q4QVqxKmt3If3q5bHy10LxIfIa8_8EuME4JHoWDqJVN1C0R4Pp1fhsP7938MBaRWdOHkNffxiYjZSL9vDOLa-YzFKm0GbhZE9AC3U=&xkcb=SoD46_M3-yXcq-gdVz0IbzkdCdPP&camk=nUmJqO2E8rhzSnuyZ0OgLA==&p=3&fvj=0&vjs=3
24/07/2024,Retail Sales Associate,Retail Associate - Richmond,Aritzia,"Richmond, BC",Posted 30+ days ago,$20–$30 an hour,https://ca.indeed.com/rc/clk?jk=4e15056ac77b0d48&bb=ZfOHOc-djGrLsBhyYH5Izjinr-8aPQitTQf0UVx9nVt0D5jnTU3aKUhf-LqUhkIUundtQC1ZVk-qatL4Cvw6p0pUE_YeCp9vH2waDx9a8v3Z4PXKmkyD16DQoREWBzW7&xkcb=SoCC67M3-yXcq-gdVz0PbzkdCdPP&fccid=230bf53df7c46c1a&vjs=3
24/07/2024,Retail Sales Associate,Sales Associate,7-Eleven,"Medicine Hat, AB",Just posted,,https://ca.indeed.com/rc/clk?jk=09cb812e18a514a4&bb=ZfOHOc-djGrLsBhyYH5Izlxas4HwqQizmZ_waz9Xc3FDbeKIrUiI_SlMfH0byznIZi3uRn6k5IE7CpF9YgtmtKr20ue3Br4IUJunVOf0r5TU5FqdPm4ORA%3D%3D&xkcb=SoA267M3-yXcq-gdVz0ObzkdCdPP&fccid=e22ec123cbb88199&vjs=3
24/07/2024,Retail Sales Associate,Senior Retail Sales Associate,Laura Canada,"Victoria, BC",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DcQWipzKJBd13-7TefyT_eLslu9jcEDwBXWloOWdxUDBRi-P-IZGa_yID_INtj2eur1_pezJN6Lzx40uVQLCL45wn16JJFsms_qVtvqTqcni3dbOFnwINmptZNlDrwsXcogAcEZW8YmmfRdv0I5PwxRclJatoJiheGh_B8xKyFQgjGOX9JEkCv2GrO8rHHGbcwGlr3SvViuKGBXwmI21v-5A2NUc9_3cSHx8LdS7XmWf7GA81OwKSBCTQbgwURG8g2v6wq3b_Umfk6OzOfqPq32RHhfnZBVLXB0f5RbnMuSjoxSjAn8uVoEq_r3Hd7bbQZ2VTgqdArP_DLwohF-RdE6r7U_OEYnAwrk7XSDBuIcD9X8Ykk9SCsQkvRKb41nS2vuyK2k6e5mTFPY-jMFyt9UC-26LpIk1OEebotgHTN-SfP-Lzsf2gdjYBeRiiS-c6_FqfvGVYTu4XHV6FvnubCH6qp2Tl_ZNog3Kj7ofj8qPmIV2Gueza9qcFWfejgcsPOVpARHn4Ao4rv4p-sT2B52w9rTmnGLQtX2sbIbop-EC5I4ktV92flNTV258d1DNEZrjh911slmR7IAXF0vTFLjAacX6-AuxpnN2YYD4A4bkuQulT_EGVPCOEjkVPI5mU6EMB5yZB9jTrdbpjYOLP3&xkcb=SoBf6_M3-yXcq-gdVz0NbzkdCdPP&camk=nUmJqO2E8rjQArUl7OUegw==&p=6&fvj=1&vjs=3
24/07/2024,Retail Sales Associate,Sales and Design Associate,Progressive Countertop,"Walkerton, ON",Active 2 days ago,$25 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BOCnxhmcdSg1k1yHuBZsvJ_F_anwR0U2Ype45Xx6G0GRwwvOc-3cZ8wELR3VDMlflGk-08Lih3bZIHCIYg1u8MkBGZ9mkdS_JlNeA7gd5kC9BtKEp_NPftho3-gpsi-WqC4EGbwa-Ak2g0JoW3r7ofP1GC83BdrhstYMzhyHvvEV5KS9fdwsL0Zk_d0GXkPZ4MENt-aGAsIE_kqGjSBFH2tAipXUbga-WsqIgdSIB20b2RLKVUhR4lGzOsBal2q-YR3tfluB9814VHcrXigFLUmHBi6oZkj6necEnb4mDaNeHtF8782si86mdm9MM_0r9QUIB_KlNvSBPJpeCwlc1T4luCWMwc-KaSf6aRyVln0cLbXsap6DZF9BjmfbdN-HmE3Qx3feHlQrWc6c82RC8eG3oiuATz1WxvOHD3iaRPDm4lAnaQxqTpNjFK_6k9Hpgp5INtoODwptb_oO2YK6bnyTDyVCHXfW33cBKehN_9SVU7DfNItlZ9GGURmcAYtZRco9W9-na2jfdhBW2Z67fwdNigxJ-S3BVUpzWY_XSivZCymSw-Vm7c4arBqOm0N8tzNp_mnMyQln-nkozIauipgjhjebkih2sotjRmWxhZzlP8GfFE-evGw004C5mKqRTixTfRw6tlbtSBho9Ioja_R8m6n7MNxURhc7JSTTMsVg==&xkcb=SoDr6_M3-yXcq-gdVz0MbzkdCdPP&camk=nUmJqO2E8rh8OPOYbwLPuQ==&p=7&fvj=1&vjs=3
24/07/2024,Retail Sales Associate,Retail Sales Associate (Seasonal) -Oxtongue Lake,Algonquin Outfitters,"Oxtongue Lake, ON",Active 5 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D7p0cEJxsts72COXIZiS3bPFagSqYLGUKzTtaCNzAXQnxuErk6HFNNpTIsjYKJBflQj09RnqBy8YX1ALLDcVfaNvl5grImWrAU_Y__kWhZoi48SwqoUsYVWzn9LeSXmJIUZ7pZTcipId-zqF50bAsMZLCo6Ki1TojYfboZDWiIHyWz3cX7O1L7aKEq6kiyfUx7QPXt3D-ZeSyqLrvJFotAPOBBzgUcnm5d2FF1POmyVca2XIQkZuNUnQ1hnl2S_D9icd_K7ILr3ojBJP3Tzuq-1s7xqhYurbjpMabufoZ_quycT8NBZucxJUq8FNeee_jht0IKV3YFcuMQt7GoFAY113AYLi2_XUkQ-b3WlhLq11yLA3x2FZ2x9gqaI5z5poJsMC0glrTH7LhI4G0Cow_ldD9b9dD6lXk_YgappUuuTjCmQ_9ZSyK6PJnqgoUGmzZPvYYGd2mzYIia-Of9q46sHWg30K_nnff3Oaylf474_2KqljhaelHacbLFMy0_564KGcCP5i1Himao_KfPlC9ATvfCRKNyr_x_n0xIXVbScw3BJWK-O1IvL6zlx9bPbKaAw4RV1eiLv28DLpZJb6PbFv3w60SEMyFIAv-qg-0bclb253OH4XXe_n5aqnZ_DWiYiKSy0nCRLrmVKE1pxVymZX99wZGpB4ayRBqeLCU7ptRJlujH9QE5U9sYt-cxeyVwj3Qg6vYMEQ==&xkcb=SoAC6_M3-yXcq-gdVz0DbzkdCdPP&camk=4HOcmqOLYrCbbdIkGzmBaw==&p=8&fvj=1&vjs=3
24/07/2024,Retail Sales Associate,Sales Associate,Tedesco Electric Corporation,,Active 2 days ago,$16.18–$16.90 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DoN2p9BWbqtX0Dl4B88Uw1IxI6m2EBosjaOkpnrAVlZ8uaxcgJLLtHPp0F8OOI7KpNq_Ik7UCeAd29VgWs6boJ6T_iFCNErF41gkjLcVOGSq_oDg14Bt5t-wVgKcPzbLj8NXDh6QtB_RPPDzQkdrDoPbDnXciFopKLUFdKzRPNDJD3D37wVon22imUHqqOHM-2qIExJ7a-KnSbQcrzb2treZQyXMnlzozN83sd8qhRRgC0TQIGMbnX2_f7UApUi9f57bil26_MmJini_B-Sb3L0xzKM8DV7uepI7rPBM_FnwPxbatnIUJ2HAGeON3S3E4HeLn2b_NbtfeQp9fw1P_-KbgqmSxFd2zuWUBTAV0OL6Jy6rTWmTOxLrvlAlbZGy7Q2heUMB3UPSiC3JlNnYDMmci01qHAFCNclt5iixzWXVHzNioDOcthBtHGw-0qc_iMkQ84mxsL-g8SO1vczehKq1n3QSKj-0EVWyOFOEykG7fE3eqf1AmtiVj-BWw_kH3VUoIRC7qOb7sHokuy-2pt5r0d-7pKbR1VV5GI-hHjDX38f-lqNWxS9-BPnpZZaY1hIMJkV5s6ravNsDb1Ch6POEU2qxjIA9FUscvorYLAE275KK5T92KcTNbkMW5OpnOKFfvXbQc7_Q==&xkcb=SoC26_M3-yXcq-gdVz0CbzkdCdPP&camk=nUmJqO2E8rhWU6wO5Yw7aA==&p=9&fvj=1&vjs=3
