ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Sales Supervisor,"Supervisor, Sales and Services Rep",Grainger,"Fort McMurray, AB",Posted 12 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DeoIjzO_BQPMH4FwXs5AYprG8Dc3GgwfFOf8RP4bXaqiijBnKI9WSI4_2Ss3yliJcX6N35ep-NolvjzmTZPLGtngN_-RNqC8Zv9cJcHEOnL0FZvnscS-Fqwun1vWVMzIyve23mMcN2dTsXriTaW_eWmOrrjzVYuP35wnc2gUogimEQSR2oloNOIfHo3cfzPRD7wKPgK47gMpCaUgJqMdVPmmzm4lnXTs2_BdWWmo5oY-sQwVFB0HGC0jA1ZUVWoN2P3OMj7cpburi_fE_gPMhBN5PLVcFt-H9h3fxGeeAr_ALfzegkvgvk7ibAWofzInP0_99imhMTHd3Tfj9oJUoqFNDP3zOVVATbHVuOgcsGJylVGliON5YvFtaLIY29d39-KsTZ-zlP8-oqIsCFmohuAkUHFxVCySy9DvMuNjhQN87LPcU_Z5vX5bmVeBzEQZZYF71FaMxiHOYitW5bOyhu_zJPvf7Vz0bEwbvAbgVjPaN4N12hORxrcybPiMLZEYDqkpJK_eGOq5exLuuvo2VCgqAmBPN6xjXlwSDyaHKSkHhsyXY9NCsvcZh3XlGDozoA-Q-DHofBHIQah6zej7lmg9ZCyyB9wssYPrAEbrGwyd_CSmxT5V6Z&xkcb=SoAx6_M3-yoWgQAdVj0LbzkdCdPP&camk=nUmJqO2E8rh5t6iz_9eNzA==&p=0&fvj=0&vjs=3
24/07/2024,Sales Supervisor,Commercial (Multi Family)Sales Manager,Innotech Windows + Doors Inc.,"Langley, BC",Active 2 days ago,"$90,000–$120,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C7-2QHHKN5-dBKiSb1XQfJRuhqzGtHcOSB0uDlt15XbYlqwulOPfSORDPzn-_GUQZxFk1YAZ9PIJ01WO6jslSi8G88g3vXI12bVwsCYkkCdLXhbEooMIH1f90mmP6oxtQpIZjfPHWK2HJAhoh2YyU3hFcKqVz5tkLOXbEln0-cjVbEyE0hI1VIFSSBlOnyLKf-C79KMM0lV3aIyUVSp9cGofQu2sz5ApPtlARrv0LeiYmQhcqr1_HMhxqbYevup1DDKFKN4hraO6aKrEj1OtSxNu0X2uYm9tVgLMNBUUMVhCCEi3j5nZqAdxC7wOZi4SW7yHI1VNiAy1W383qBOlEi2XoyY044BW1T-ZWYkStk4ZPWNHQoZGY2N6xZ03h6qw1R5Tdji9vtSLDUGCC749LFRXweK5joJYcFT2OtQNmvRaTzcnqxNcCjCjTdZi-5u_VA2mlpuHFgdvgIfEAEaqAbi5kK5QpvKcB01CylcHSAU95nepD4-kqXarWdr1F78ulLub-U7iXqcE8azb-ZT7Ja2WSN9xxnTBKtk_h5JqMpal6cdA1PDv_AY6FckiclHBnqkpLCsz-i0NE5FTdm1JA5yJv22ydaT9vv7laMeugpbykm70nxOEQP6lRx3WNg4r01MMhJbf9j9VeTj1x22k7MePB0okq5fMlTLjN6aKfIp1Vd8x7Yd_e6&xkcb=SoCF6_M3-yoWgQAdVj0KbzkdCdPP&camk=4HOcmqOLYrCEcFJLukCc0Q==&p=1&fvj=1&vjs=3
24/07/2024,Sales Supervisor,General Sales Manager,CYV Chevrolet Buick GMC Ltd.,"Woodstock, NB",Active 2 days ago,"From $100,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BIimfkWk9g-PjEb2Yn_Qodp-wjtb3cpqc0RwtuQUu2uQDkw5NDptGCuQPgOyJJlrFH1_s3avwNZsL24XNOvBrMQxOrpUAtSE8Vn53e8N1iBafv-lR2-yr0LKIFY0S9lup8AZ8UpZ7GLx4uhsu69oi-CqFDt39erYawZXft1ru2gYvfcIZH6BLMmslWoA19PKA5n5iEvjpKXvSrTydGL36OWR58gUCoKmlnyN9Jo-5-LTKFQrdH-w8LlOPYwKV6A58sTGog9K6EDikzEMNPGvFccqhCdDIlpqjRJOl95BM2DXP1jTGlN2ASZoCW6_g-JbgbMo8MYfJJ8Kz2zBPGuLITi4lmjzSj2Ecj4wb1XcUOao-ivBYYaC_b2SA6p7yq14XW7pirlSE5tRr5YuAIyVCdTfDSIBdD1qrQ-wUUazm5E_5qobWCuHlUU1U3oAgPVLCch8GolZcQDxLMTyKgkiSjJCrflA3Oo7isZ9f8w_XsfFRQe7yxBX3iixlawPDTHRtpja6vzMqsTj7KuQb2mfxCLJ-_xVm6-6guegAm8gi7txRuD33T8NXgRook5adg1Be3GQxK1oHaMOJNlJxYJLrtNUg5X8WsGWyp2YR2bxospVHcyUWs3iTtDQk6-JKmKTI=&xkcb=SoAY6_M3-yoWgQAdVj0JbzkdCdPP&camk=nUmJqO2E8rjUkAYgwG3xWQ==&p=2&fvj=1&vjs=3
24/07/2024,Sales Supervisor,Territory Sales Manager,Uline,"Airdrie, AB",Posted 27 days ago,"$90,000–$130,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ad3giXQyOqSjtuCazZCjThtx5L7e01X6oDYMq-RePRDa9A_u5E0j25JxxHdKBK9IjCUJ2bm9BzaM8AXPM8kZ2jqzrYrZy-_VvDhPiK8OWY_ZGOF8neGwPHBAvrKJelb5MCFWcjA8US68vuVMcLXtdfpNUUmJkmoDRr0ORZkbgrsgztse2yao0pIZehIeMy94ypA4U157q4gduzm_m8rYHW4wUptfhqHBLDdBrZdVzYa23Bn4hbcRSVjKEPeUxzvcTe1ydm4AHhvti1GO3_FAaq9iRrlzKWjIQH-pNnIQ6P7IdOJwApK3-XKn8N5_PHg1RdvnclZwO9A21bKtWXZAHP_A3P5i4A39NEon4VYKLdDgba2E8gSmupNOPvDvoc5Y39cj7iu2klg_5fqbw2AAFKbRowJWiqiMVd2byz3onX6CeLnMv8subp8eKaTrNSVd-Eh-B0asRTDwKWWiDBdyIjUgl96TVh7k39OTM14oFlRnjW49SVqTbkUpHoBtHyUtge3w8IouM1VhvjGpD3oOv8_qThQTs8fQoxyR5SqoInbWpc14w9In4QrZ3UeTPT1OmbiuJ9J6QcwbzJgsKMVFP5G-iUe3ENjpzug_HvGOULSxeMtGcUSKeCmPpqQH90N1N6yZWVRalN-651hXSDOXxVhZHqjBCoTPoF2Pjj1zKAOZZB3wboHFHcBGRnChvu38tec8cIIfuTMPI9npBiLpGg&xkcb=SoCs6_M3-yoWgQAdVj0IbzkdCdPP&camk=f416UQcMBpBN13FdLk83rw==&p=3&fvj=0&vjs=3
24/07/2024,Sales Supervisor,Applewood Nissan INFINITI Langley - Automotive Sales Manager,Nissan INFINITI Langley,"Langley, BC",Active 27 days ago,"$100,000–$160,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CEz5jDckRa5xjOldVBd3DNg8tWBc6vuOKwrq-JWHeWHhW-h_KM8iP9ZwY__YZAf3AraTlnMHVpfApGfNdvXMgzM6Gmpdh-l5HsSoNVkORuY5wowBKA2uM9zHbRrZ8GD6TM1gvs_-IZXNLu2JJZvJfoGfPBcnbcYblp002CWGOZyMptgqY7EVxokXnLsmQNKTgQWlRRholQ8fTqH22VaR7oGJv-X8tF-GbKB37fkuy3ndvPdXkIZPgY4D2ZatezwNkaJYi2u-LTwd7kGRhnj3sK5vlWODqgZBchVJ8bt16IFXzBVyDXO1f1Cp6J2EGxjH9vwCzbE_9uIDHw0exE360LHB1-TOy-xY5UHprqacQYWMRaeAHY3WPXtSfIGz-qitT4Iekt-Wo8lMesb2kb_t9Fpytx0tzhIvnlOsab_IsNoNXkOEmZbGX4xgkyaBLcsVFQy6yxz97FxHx2x3pogoof2FynvKm1DcTr4TY49EmumPHYPvWiFzt3PPMF0jbuc-svswXicZChqyuCE3STiy2WODK-L8ulSP2aWy4BDcwJ9aXXzvhhZxI7-kFeWofJ8XCOpHZWV96eKbsfzL_D_WlGM06CFXz8jyofhJfWzd9DNFdaocgFwrA60napLdQAKUurN4zfiV-ad-aCUVMM6-Me-lmjamC9OvM=&xkcb=SoAi6_M3-yoWgQAdVj0PbzkdCdPP&camk=4HOcmqOLYrCJk6f3qlPJRg==&p=4&fvj=0&vjs=3
24/07/2024,Sales Supervisor,Sales Manager - Forklift - Canada,"Zoomlion Heavy Industry NA, Inc.","Mississauga, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CPpAHAB-1fs-m5Rk_o_jChiUzi14UJ3XHOR_cpRtA5PZ8QEmudUPSfK0CpNUd1cbC7GM_zMRSkWSTAHox6nQ6BUfjOarvKoHXss3alxaeHyXXiSQvrhC35dnne7FMb_tPEXsszndkQet53RZVQaT8KmlBglx_E6Mp4Rh28g00ug9oGtgU-h87VMs8XWuzGQGNCgnhiDHvwZeGVTFoQLMItERyag4KUUqYF7aUmZD-2ZBE4HbpjHpPYe71nGFGsQf4QXJ8hwljdcpNKpvpqJBXmDZhGTjVNcCkb6mkLcG10oh8DBHJ65mhw4favOwhRQyFT_S9ep_EFCcbDJPsj8W-9KkGOel-T0EzcZ1TksDqQ7nMAXADYouE0FFPy8DNhDdfFku7iSFd7sdOReXA7DTInbIyPFZuxeqgVUJEfm_-vaqnJx3Obp-nY1QNH0pPxtaZ4Wph0PoPRqngcBALSq07Z9GvcuedyLztUdp1yN4eoVz_be7DOycNuGkXtOTMXvGc3_i4vksboi4mKIQdxA57taMPDB8aDodxl2zG2s47JNcgWpvG2Fjb8KyzVj4FXFEn8gBgltnLKtaxLXinvs3O2iU9IVuvpgxdXBlZwOcCmo33THqW40ERG_IQVfoWJq7GCwzOgfroBhP5EikUyv8qQiPxwo6fOEHI=&xkcb=SoCW6_M3-yoWgQAdVj0ObzkdCdPP&camk=4HOcmqOLYrDaeaVF7fVGwg==&p=5&fvj=1&vjs=3
24/07/2024,Sales Supervisor,Regional Sales Manager,Westman Steel,Newfoundland and Labrador,Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BJ9P1stU6mdu36ZWtaliPM8INqP6glQn9Fzs9K1s3cnLfiai3mTx_3XdOLTRxOFuRw9_wMYlOn4i_pK49ZdWS45-5K41ZYPhZAEZF7GloZlikDZwFp6JzxLn45SzV2xPY_B_26lnOtbEOXXzYbqBUViFc0SwvBpD_FGfwgfqLTCnJ1YmarUyO4Lq9tnyPcBKMTfG_MkCp1fwViIEIw89GpDgsYWQFvI4LJgtAlxWHOXLvKRdEFCJYfiQ7rf0-WhylcB0_6tzwiKQO03U_R-DpUn6PW1GhlaTCJfD6hB91IMwbtgCMUx9A89js5CzVjFG_rsXaWs90OV3jBY22NJAt_iSxHSOW-cXDHBt0RfVpYDru13Goj3y5ym0RTfteRWZqFMbqaknj2Id9e86c1Zug5aLC0RHXCEHecQW92Xft2Kw4A6iviSqBwK5X50Mz8x4SGleYMHiHSudJveRUHOV2KxrCCZ3sWzFU_YSdg8p1gS-stpCY72j18KCi5AnAl-h8tnCMNCiPKpvROXk5COZjKGAWhQbXaaWq8DkFLd6JrpnuomXC3CG8phyQk99bP1sBb6kdWkyE7Isz0x1plakRgpdW6Ey2aFxpesfoOkxbG1o7xA6DOpJ-bL6AtSiZ7oHqAyDRvBWSaRg==&xkcb=SoAL6_M3-yoWgQAdVj0NbzkdCdPP&camk=nUmJqO2E8ri11JNCBmvXEw==&p=6&fvj=1&vjs=3
24/07/2024,Sales Supervisor,Sales Manager-SMERF,Sandman Hotel Group,"Mississauga, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B75gTfaMAbEiTS5gGdJJq445mqoIocEgXFH_beal1rhn1mv1QNQh5BymwTFBWh9cdV8d1VyiTtpCGXhOFJmFAGtGAfKV3H675rv98jIrZVxRcoYp4GJwAJAL45Q0taoB5ohShlbYNTY4YDDYQVrK0ihh-zHhievQtY8_wFJG3XJPVUwBkJQPNn19lLkKX6XWCDcBq495iGFI2uqdaez0UAmfVIxIJ8PKb5P7DQvMccFBIrTOwJdDe97jLy4JN3621QjyvWXlu29sJZ2krTPhRwcUwe5joolmd-uXCm4zkV9V2hxxXTsCF1IzURR2ht66Ulu0QqF7UiaG0Ioq3l_pBs0bOCzdjz9XexLsk4OCpztwOQdyoMe7HJF9ccGGyaD9M8ViKeE7IhwwhiDRbtFfEZQfZ55k-r7doRJWLgWSeahlWCGTZHrgae5EIk2vniD9vwBoS8PDKv9jaQ3R32yTbFFxA9o_8A4a5fKwvPe7IqN374UpaCTqX9pKkqcvGXEZXlWY0msqyuLWUvNd4TOdXpoV0we8ZZu_bmJrVo38OWEbMfwEgt48itGHpLYoLNn9nQomxf9tv_-d4h9ztPQsfI09fejMXe8QqToXD4i12f-TBJkLBXEEQt3xYQRfW5YebkLTiTxqHs62wizkXZLWpqlOijjKhC5S7LUcKy_ZuvOb5r1uW0O0PjV2BVr8G8wEZgfqHmZRdOTeeYxdZnNGg2eeC_s5g63QNVQ-teVbf8Ah0qsli1x9a5XaPulf4Ayw3I1hUQCnjxPiK-lGXo_bbiEOxzDvyjCaPezgybYYiQQLCn0bju5xbn&xkcb=SoC_6_M3-yoWgQAdVj0MbzkdCdPP&camk=4HOcmqOLYrCjf4nJ7koqTw==&p=7&fvj=0&vjs=3
24/07/2024,Sales Supervisor,Pre-Owned Sales Manager,Guelph Toyota,"Guelph, ON",Active 2 days ago,"$120,000–$150,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bl3tEbJQW-nv2TvzW6caEr27vCpUhIVrErDyIQXiSBiL29_yCGIQoaVPB0FU0ScXxE5mXILjyzkCirBDxTUfE965Uk5AsHQhLxkl5og2Gq7eldxed2l2a1w_DKtmWtglts7Tvk3Esej5xhKliTEHz0O8DHDnopuPXNCgXGJblErn44TxUw7EmB2CQKTnx1qsjYLm5hxTeHF9FpeiBwzGdVk80aiBGGYoWHvNGEYPYmKtXQInPY40UbVpeuxv-G8E_RX0TMAgH_H8CW72zwDWYVmR4oNbr5aECpRyQb1Mhg4LypLX4d5AvWm7K1BqN2syg1wej2BYz7PNIJcSsJS_J8Ij7O2dP2AylpJGLFkLFLp-tAgw3Jb-eX4nI0NUtMznTXkE4pcP-8Z1FBGVI6Ug2x83Nu-D84J0hFU4NeLFSO9mTJiA2bK_0-NEpizvjrzSO2bJ60IEobbCCHdLGu54u8lTz2cgD7QGO4BRfCwXsdoRnMwDv-N2f7_jelRvVx4khoBA3s3G4-fJj9pj6Bv16c64GFEIoe1ZxiH4PYHp-Sy2i9tv64DEtctmcKEx-KmK2sG-4UZ_yA0sPQcZ2_cynYeBioS_ydrg2Xb0xdUz3jRCe4uFeYoXc_gpaWHK0SnBPeYlaeIQuv-w==&xkcb=SoBW6_M3-yoWgQAdVj0DbzkdCdPP&camk=nUmJqO2E8riSn0fkXZz_pg==&p=8&fvj=1&vjs=3
24/07/2024,Sales Supervisor,SALES MANAGER,ORANGEVILLE CHRYSLER,"Mono, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0ARX-axVt18CQXszZNbocjUMAraFHl0RB4I512Z7jcoMv8KVQ01pCpJsMPT0e5iCAIHRAKAL-JgFY0U0P8VCDRM7x6u5_7N6M_xOWKrizq_qpW2P8eeVNhb4u8DqZ97DFavZXFOYgDdDGGWShqaGgMXqUhUn-t88enB4rTflkPLyQxKi858DUigA3s_zo2zjXoqHqHRriLirMYvdQgBgQTInNRwrN05IXLUfkASg2uJhCnGDEwpumSbD6mWmesCSQxrNHL4wVSAJqTvZ5QRtKDdRpQMAwK5ZOJ-tf-uBdZDJD5OiJm_St4HHLBkbw3_ALrTnOX_4plqDyM1LJMl9lufx0m_RUeKMwqgsJkLXo2nCZqAs38oJSQkGQZy8JtbcYqBL6MxiYwFj47B3w34-gHx-t35CcMNdu2B2WOF1sPRZH1SnireLGXw7OuVSM_jtiwgMyD1uN_FrOvpiq8bNAR3nET3kIzpmwuuhkkodtWffu_qGMzgCh6g6wBt0XFG7VuwjsAhQYWGM7c0jVyvHPGoK2hocbBwehvRPAqQFzQ-xR8AJBs9a4z5TuRnXl3MsYzbIdFSUftK7bsvlMoNRaLr_xmPGlPDidoaIdfamSGlsBQWDdGWTwykSloI277YV0VipFYCMrY2NLi3m9toPH_2jVqtVEmbRCs=&xkcb=SoDi6_M3-yoWgQAdVj0CbzkdCdPP&camk=f416UQcMBpD_K1M7Whaelw==&p=9&fvj=1&vjs=3
