ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Secretary,Secretary,McGill University,"Montréal, QC",,,https://ca.indeed.com/rc/clk?jk=86380aac27fca8d0&bb=wyO_FB3qzbn-nGGaS3j2pWKgchKN5IrzTmYAnhsStxtDp4Up0kZC9DgA9KCxmsQP5PKR1RRHlXuUggotYz7aJEfTpm-8_o5vkrIwy4kSPcVIL9UoI9Vttm-G-0ZYehkV&xkcb=SoC267M3-x7QalwnHh0LbzkdCdPP&fccid=367ae0b0728910f4&vjs=3
24/07/2024,Secretary,Secretary-in-Charge,School District #73 (Kamloops-Thompson),"Kamloops, BC",,,https://ca.indeed.com/rc/clk?jk=7c236978a4e0674c&bb=wyO_FB3qzbn-nGGaS3j2pacPRf6k41bBaIczuWAah0U3OTTSD7B_S1tQNb9kzX0l6YInv9yn5xeUaO8NW3gGhHhGRpMZsTkTHZCi1OD4-HuwqEhTVi6JUsUNMwHqu68A&xkcb=SoAC67M3-x7QalwnHh0KbzkdCdPP&fccid=8ecbc2b24e4314ad&vjs=3
24/07/2024,Secretary,Graduate Secretary,University of Victoria,"Victoria, BC",,,https://ca.indeed.com/rc/clk?jk=36671a57d0d358f6&bb=wyO_FB3qzbn-nGGaS3j2peCeQnPIaCs-LdZL_Ppii2WHrBztnZq-aGEa0r4RXQ56gi863e4ilD94Qzh8jvqDOBPzKEZqpZRD9eK5A75hUDyuoldzfw_0FYJZ34C_EINc&xkcb=SoCf67M3-x7QalwnHh0JbzkdCdPP&fccid=95737967a35b2629&vjs=3
24/07/2024,Secretary,School Secretary - C2425/085,School District #63 (Saanich),"Victoria, BC",,,https://ca.indeed.com/rc/clk?jk=54cfe83a74e518ae&bb=wyO_FB3qzbn-nGGaS3j2pS_0hX9Fjy2Ygp9tYlzZGq7pTW1cGUASob6ZRY49CbqEj3pZ2o8396nkpDWXKuMMXn4-y3K5pbwZBzO4WJawhymQfhycWmYOiZ6ehnlUjyAQ&xkcb=SoAr67M3-x7QalwnHh0IbzkdCdPP&fccid=16c7af166445770e&vjs=3
24/07/2024,Secretary,Corporate Secretary,BC Hydro,"Hybrid work in Vancouver, BC",,,https://ca.indeed.com/rc/clk?jk=fad8e2663938bd2f&bb=wyO_FB3qzbn-nGGaS3j2pVYoRI8GGYklA7ecHlfSghybBQBCgih_q9-p_RFxTk45KUNp_AFbqkkSISvUSlIAE-j4SZCPhYTNDhWUame81_-TVmbDxlb1j5KDeDYGyDSa&xkcb=SoCl67M3-x7QalwnHh0PbzkdCdPP&fccid=faec17211a77ac07&vjs=3
24/07/2024,Secretary,School Secretary,River East Transcona School Division - Bertrun E....,"Winnipeg, MB",,,https://ca.indeed.com/rc/clk?jk=30edf7cce9a8ca3e&bb=wyO_FB3qzbn-nGGaS3j2pfZhtaHxNl2ZveKrc-8B1517YJD9ymUwQtzJbpXWTBenkkx2PzdXIYPCoFHaeZVh6EzeSsJoGwcdk6wjP6C4UhfN0NUF8NbVcrkzHFeiDt09&xkcb=SoAR67M3-x7QalwnHh0ObzkdCdPP&fccid=9d438f451df7cd24&cmp=River-East-Transcona-School-Division&ti=School+Secretary&vjs=3
24/07/2024,Secretary,Secretary,Vancouver Coastal Health,"Richmond, BC",,,https://ca.indeed.com/rc/clk?jk=5fc3d750490978d2&bb=wyO_FB3qzbn-nGGaS3j2paEhjj3BVVNgOUpMzhBbnkNfje3N6_ZfcUd0aMAPu_jSU30wS_oGmijsztzn6qKAkf9YAnIAfXwr8X9jlQKDKSHq3aHq8Ed1fS7IaIbmhdND&xkcb=SoCM67M3-x7QalwnHh0NbzkdCdPP&fccid=3513825c36972737&vjs=3
24/07/2024,Secretary,School Secretary,Prairie Land School Division,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=7e18a05a561270f6&bb=wyO_FB3qzbn-nGGaS3j2pZGqhMmDXGz39MoiN7YvlRkUPF62y4427N0U23YR8fJeHKPXwzcy2VtuxH7JvNVYaTY7c2R3pwciQGTm1Bq9Fqy3u3bAEbA2MoRPKSrUPyA_&xkcb=SoA467M3-x7QalwnHh0MbzkdCdPP&fccid=a90cb72fbbf5fbf5&vjs=3
24/07/2024,Secretary,SECRETARY / RECEPTIONIST,Nunatsiavut Kavamanga Government,"Hopedale, NL",,,https://ca.indeed.com/rc/clk?jk=7713330759c9b7d8&bb=wyO_FB3qzbn-nGGaS3j2peUSOdWp0fSa7bG1yzka9KE8USkebbtj58OikShoMP-5r8sdKuVjloO2LW4XL9RbvGvZIl1o1s26W-qa0Jnd4TJ8iuSU-Nut8HqhjcSnTLuo&xkcb=SoDR67M3-x7QalwnHh0DbzkdCdPP&fccid=a2187fa2fb5b6ada&vjs=3
24/07/2024,Secretary,Head Secretary,River East Transcona School Division -...,"Winnipeg, MB",,,https://ca.indeed.com/rc/clk?jk=936319cc6a264b4a&bb=wyO_FB3qzbn-nGGaS3j2pUauvO3eZyN8Zvnxa1buMYE6VUzeqtI8gASjI9Cz8spuI_A466e2BDqcGfEJmEBsZWE4RjeRD5VOyaKueM5yQk983BTyNMbR546RGOkbScla&xkcb=SoBl67M3-x7QalwnHh0CbzkdCdPP&fccid=9d438f451df7cd24&cmp=River-East-Transcona-School-Division&ti=Secretary&vjs=3
