ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Social Media Manager,Marketing Communications Manager - Part Time,StudentRDH,,Active 22 days ago,"$40,000–$50,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DL1AFYxOr-1DbTH7hRYGhlEVVuQlBL9kp9DqY5c2Kdn5SgcdLI4MngHYnTOIRwQLhFnzaEemanuesjEtKf1SvDfYFYYs2jx_wz8bq8pZWihuZtycYDXmgCXnCN119dRaNTuflmBxiFjqRvHvZ1fEuLdk6FbRJdnB45O9VIvwMt2sNFqB5qDTfXcC8pmXxlDNWizhP4z7d1tmT37u7ktXjZOn_yEbqId9JdeKmtAmadNrzsTqxkC2ILjqoA3Vu90OWnOTjMPHChPAjxop5VX7vqjcI5koWAb7WUV1Mx9fWfiETpnsI7K3tJ2AOB5Ok97osIHIJmA8kozz3NdrTReNU0w04v5gjNIMeX6-2Z3mcURBJWRZeDof1-_IZGeQwQWccl1X02-9uXBKaWLFHCACgIf7j2faGEZDkrK2JxvOEIR3OzoetlFMvf11uBHae4zc6iv51RSS4J4Ozg5kNgjeJP8_odBoyfLwIT4FjKhOoeDtKNfX1degUqd3_FZda1xXoNd6CN0Gac6tDZhM0li7XMfNaACY2CylhLuug0yLK-NQC1TMgfsLGjvJDLhiwvdpv9lpEifAnUxLq4jlDbVkdxNRhcozAqwgl9Zb1Dn6hUZLOKc3vGV3QKW6WjR8loDOgA2h2jtowGUZffVPmKvkJ_NmG4qE-CQa56oEqy5C5AuMIDDD7Z6-uk&xkcb=SoCJ6_M3-yBZ2CAJAb0LbzkdCdPP&camk=nUmJqO2E8rigI8MSg9jmLA==&p=0&fvj=1&vjs=3
24/07/2024,Social Media Manager,Social Media Community Manager,BrandBastion,,Posted 13 days ago,,https://ca.indeed.com/rc/clk?jk=10a3d53df14ebe9e&bb=5tBdurOF5JiCDdr9dZc1cDPN6bMKYnTNEz8vT80NLJh5AsHvvs269X6LoWXFev3njYYv9vm6N0E4aqkBU5B-3RG0L9poSv8M_TiuWADmIZQZItJf8AKKVOTxwpPD-YUj&xkcb=SoDJ67M3-yBZ2CAJAb0KbzkdCdPP&fccid=ba104d55d73800fd&vjs=3
24/07/2024,Social Media Manager,Social Media Manager and Content Creator,Brighter Click,,Active 7 days ago,,https://ca.indeed.com/rc/clk?jk=4045a49331dac324&bb=5tBdurOF5JiCDdr9dZc1cLrXvQdLbjrpjHMltH8lSH8MWTx-hE4JM4wDqpe9z1HBhIsHElbccyueSzljnh-SucTUCjKLYrnUW1EDAWSh9cQdRwRh_6amvNB41iGkEhHi&xkcb=SoBU67M3-yBZ2CAJAb0JbzkdCdPP&fccid=2e99917dd9bc4e82&cmp=Brighter-Click&ti=Social+Media+Manager&vjs=3
24/07/2024,Social Media Manager,Social Media Manager,Leon's Furniture Fredericton,"Hybrid work in Fredericton, NB",Active 6 days ago,From $16 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BWn9rHr2Fgzy3WjO4GMbCIGvwAUBOqJtXC1m6tXvCyriNMunWU7URNZwyKytxgHiRgWHgWzokVP_pQBJ4KszEZd0Qbq6jjQB5laRh3z3NbRlDQRWO7rWUCnzvOk2QER4aHLsybqvS_CUpniaZFgVcjm-HIsLdKUfx0kMzQ_yK_TkLNy6sL2-PA_skLk316Y-SrQTGlxRigbRw1M_L-mzp70V7lFQvIHM7BvATDTjVo7iNhxmgDioIYBh0BL1vd9pO3ww3tovDGL6M_jg2T_aRWvzILy2C8aGbuNa_8jyUf9TdqL9Et4o5NzZ1zLAbGerA9I5nc1cM0iMizw9DVIeLVARfKW5ICTj5yigxgrCWL7V1VtLkFPsXpFDORoL_I7uETgyejn_mStCyfVM80gjvsPhxo6X0sYQWR5h65Mj2crDRebZmLiY8C_QP911AjniVegliD25qLaHoCWzp0pLh83GZ7CpFkHKKAQNbZHFQJgGqmbSmHR8rPMnEsGlk13YWwOpTRVpSSSxI8h8ztqxxrWUEphKLAsSngqAJgHhvkRLAhcAp-MojnjQa12haOuEtZmJjEGCGYJN8L84OX90LWIzdIFBrVQeSflcqOBf6czLb24Dnt4rtIz8Sa-BIjDoJO0qbnOyYalA==&xkcb=SoAU6_M3-yBZ2CAJAb0IbzkdCdPP&camk=f416UQcMBpBDsjvm6COA4w==&p=3&fvj=1&vjs=3
24/07/2024,Social Media Manager,Marketing and Social Media Manager,SweatPals Inc.,,Active 7 days ago,"$40,000.00–$53,576.45 a year",https://ca.indeed.com/rc/clk?jk=43c872d459bf66be&bb=5tBdurOF5JiCDdr9dZc1cHzrLvcDdLgdz421WkI5Xuqc0DVBeMp4ymCxg75PaxiKeuKn9sVorFRSF4asOzogWlVN0PGr0LG4A7yfEm-dqts9CX65NP6iSwqHdkEIWcxM&xkcb=SoBu67M3-yBZ2CAJAb0PbzkdCdPP&fccid=aa7fae450d1e61cb&cmp=SweatPals-Inc.&ti=Social+Media+Manager&vjs=3
24/07/2024,Social Media Manager,Social Media Account Manager,Social Mediation Inc.,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=2a500cfa0018c9b9&bb=5tBdurOF5JiCDdr9dZc1cNdDkBMGbQrbIUSGTnwT94IEce9i2hTCrj_QKCeHYthfflCSl3tVCkoxQRqYCGpkXkafX0RZzkSZnCf51Ptfl0haG8hlKPeEAgJ0exbluFLY&xkcb=SoDa67M3-yBZ2CAJAb0ObzkdCdPP&fccid=578ea201d13a3fe2&cmp=Social-Mediation-Inc.&ti=Social+Media+Manager&vjs=3
24/07/2024,Social Media Manager,Senior Content Manager & Media Buyer,"Creative Education of Canada, Inc.",,Active 5 days ago,"From $60,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BYUoAikOuZsBimFM2lMdHlDDSyaXGGhnKF3_YwgyjKEGJPtchHxdWJXqZCzl-XNPuW0rYLbzfSvKHcMAFqPQlSZ4x0xih1TIr5kounLW4Im5BAXen1a0zoESF_a_oJ4za1pyb1sNpeFJtU47SjiR7xQjP0Q8AO5v50By10dkLVtuIjo9fcUvV2aTz7Ccg1roJDYMWV9QQWufLbn_isN08S_w7wCgTPlAzzpz6tR-tg8mScZ9TmGjUrHRb29EokBauWyVE40Z6mWX1uRYN1Lvu0H1jJmhR_3MaO4WviIXCYZ8dkewUh-grM-tZLpURnMkQ-MFe1UP7m7If4BYwG2J2gI3rjtrBdS0zbGgwCddO9x8aVmHXayHUJTj6RJw2L-qu11400rrZ7NEaqlQaXFKVsJwvdp7MjumtZtaPDflF8bfGuU-gmdwEFDwEby_YO-AhD7l0tLfIRxHiBRO3xlRyQTGo80QDOBsj9jQPIv2h8Wehr89dtXrKgaXVfRCcO6q1RGqyxmV7B5EmDfjNzF7U5VVNGoSGYEI_rCBxEg1hL_IobigsJ2qkVeKF2l5tmtPZvroa2o3fIxhLQuBFhPLnb2Rz4txQVdSIrlHLXfmwS6DQGZai5SU503F5V-9wdo63A71t3mvAZL5i53NsHzdHd58mPMOQJ9SQ=&xkcb=SoCz6_M3-yBZ2CAJAb0NbzkdCdPP&camk=nUmJqO2E8rhQWeJwYpi4Kw==&p=6&fvj=1&vjs=3
24/07/2024,Social Media Manager,Sales and Marketing Manager,CTC (Century Tobacco Company),"Montréal, QC",Active 8 days ago,"$120,000–$200,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Axmz258N5nP-AAU-syunlEUDcYL0kDa39NcfIlh0E4A1XJfYmgHFy-zetKJ2iwdlGnoTTgeyWi0pV0O3_ZYbCDOfiu8aHEb31mu7TwBBX4-7gVq7ufmFGbsuxCE8Yqa86jQ_Zmd0DPThvdHapKlH4FxpK9KS4r9gz3P7JEMsrikqE2u5MNd2g8F03jNvLLs6fH0h10QmgxJ_sr2dUycBfys2nLCx7NpJioOk0vj0p5ouTU5DEqPnYk0t6prG78AWq6ou8bvFl8_7Uqf_qKjjjJcwy7K9bNHadgSoGQM1xtDIp4xyOd9Vi2OIwB7Ym4W5sZr3GQcYentWCR_bEaODSVC0WWdNN0cYLogyQm6W8kV2h3jHDtTyCsAYAGCgxlNzVd49Icd7YRZKLdIvnvW3NlJ2thYcT1qUy2biVWuj5AeXK5bcsZMUIPoZNxqmzRdiLkO5wMrhs8HoqgNOLMRk7LS2mBggjQTQFp4Vm0YPHIT95dgdPt5pNWJS_hTTvR1DvhkjtT-RMN4RfYHPOJZXkRH_buadOXfKam_8caVCWN8xJcxW-mCPowp8Kim0_buuiR9866u5Ry4nOfM-yaunBN20Flp_bSlW52t_i0j36cfXe89yvLC7Avcnc8O3O-ttV8tu8newXkZpYEiUZIna9i&xkcb=SoAH6_M3-yBZ2CAJAb0MbzkdCdPP&camk=4HOcmqOLYrDOCTvWUEUrrA==&p=7&fvj=1&vjs=3
24/07/2024,Social Media Manager,"Assistant Manager, Social Media",HarperCollins Publishers,"Hybrid work in Toronto, ON",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=49543d57c5a44117&bb=5tBdurOF5JiCDdr9dZc1cFhNMWhNQtlzB1axkMs4H0Opw0OvJN4WMH0Hc7vo8fvP-yxIB43FdSNrZ3Bg6i3PWgv3qEn8WKeIxEvyqwWur1BroGZ5eGaole5C9VPc3Uyh&xkcb=SoAa67M3-yBZ2CAJAb0DbzkdCdPP&fccid=6b444107c149db6d&vjs=3
24/07/2024,Social Media Manager,Marketing Manager,Kozak Ukrainian Restaurant,"Vancouver, BC",Active 2 days ago,"$45,000–$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DGybv-ER1HjxNV5cBb04QXZqsuId333iyNLY2ds3uNz3dztAWCBmQ_4qigg_F-sOPLUbLHrpvq9Im0Dw2POr4tly-mV6AAmAcfgwnYoo2EGlghgtwiXtKTO8IJOzBHAlZHnPKvYrZCCnIxNnLXxpjbetgFzZtRPVU0MqHhodd-EqfCU-e7OOeovYSjF2aiXjx7zzEwF0fpqEYTWfEz2Y3LaDf2L3xzqsANeV4AwBwQaHhDgoEljxGPdzgynq6ISmOuwzaAIF8DjQ7RamnCTvsyxQMQpl8tWgX-reLGL7Ec_cWVMPV2lJfH-UH_pqbYZ7iCRwBMFVOgeLirf1xD-NLSpry3fJkxOf46gmcvoKkiXHO6ypSmoBHt9-UI8Xdp61ZBq6HLQQ1ckmQGCo-UxDPcrlZvZlpR_NMbVxf35PmjbiLn7p3NU4i4bKTtqA2T3x_n--UocSEzdt78t2mzHbvYI0emx3a4256v1ScFoszBGF59_-lpqbzfkE0VglMBX1t3-ryqONT0Q7m_3zl6HkKjOjgbxkZhWETHk5IhihhTRiagJZJylkPR9QtFNhs53gniBp3u92Ub5bBJFV0w2W8Fdt-aXEI7a8N0XPUaF3lQ3HLBQSbO1hrgfEW011YAk8j0fTrjJaGa-g==&xkcb=SoBa6_M3-yBZ2CAJAb0CbzkdCdPP&camk=nUmJqO2E8rgp4fDZQLM1ag==&p=9&fvj=1&vjs=3
