ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Software Developer,Software Developer (.NET Full Stack),Canada Life Assurance Company,"Hybrid work in Mississauga, ON",,,https://ca.indeed.com/rc/clk?jk=9291168a87b0395d&bb=WQHETSSC--k0b-8pedoLEbPd9v-E4rib9W1OpAoMWu4CTcyZQv06gj02s3x7ULFKmotW7MJukJyQAOx5nD7MVPYL1X8hQwLWIo2stEYhpG7KXwQbEyZpGxmO6VFHYs07&xkcb=SoDR67M3-xy-W9xSUZ0LbzkdCdPP&fccid=1d6ec442ed82ef80&vjs=3
24/07/2024,Software Developer,Backend Software Engineer,Black Diamond Group,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=0ac11adbd0b62a8c&bb=WQHETSSC--k0b-8pedoLEew_DFgFSjzByswhXL40SWaOHMKenqU7-tti2rJKROlang01xOIND5zEiXKovH5ri-LcCSHUCP_b-UFtzd_pLJNd6jwQTg1voH8vTWQZ9t5rrIdRBad_xeA%3D&xkcb=SoBl67M3-xy-W9xSUZ0KbzkdCdPP&fccid=d2bdb708b9f1694f&vjs=3
24/07/2024,Software Developer,Software Developer (Hybrid),Calian,"Trenton, ON",,,https://ca.indeed.com/rc/clk?jk=c68623710e3070fc&bb=WQHETSSC--k0b-8pedoLEcN0yEdTH8lC6xhj_9xwMWEsw6tdQXmytyD_qGHEnvSYsF1ihlDdSuKEToExYkYLnx2zkHvuOxKt3jA46VFPsDsLUedqOa_gXqGZ1WzWIq9H&xkcb=SoD467M3-xy-W9xSUZ0JbzkdCdPP&fccid=5638f28f70e69923&vjs=3
24/07/2024,Software Developer,FULLSTACK DEVELOPER (with Nodejs),Atos,"Windsor, ON",,,https://ca.indeed.com/rc/clk?jk=6740e4a3c81c1698&bb=WQHETSSC--k0b-8pedoLEVXKfvWh4xlsWCLWf2ayKjDQinTvGyYVSrQsj2AsTzPzgnBSSmWVY5Q5UYBljbxTBwgOduNHssI1G9fHWdQq_Uf5kDsg3hvgS-idLxtNS-eP&xkcb=SoBM67M3-xy-W9xSUZ0IbzkdCdPP&fccid=ee6a99db163236c2&vjs=3
24/07/2024,Software Developer,software developer,ONTARIO SKY JUMP,"Windsor, ON",,,https://ca.indeed.com/rc/clk?jk=9d3e905e19e68570&bb=WQHETSSC--k0b-8pedoLEeqbUtRQdWvLyYbfYaVrjWIF5OJHYBQfMPQgxCVLtvTnXBrd4eeI9H55oZwgxjl8kwyFW-AWOZX_ymMmRDWbhkmO-MlHZspOjQ%3D%3D&xkcb=SoDC67M3-xy-W9xSUZ0PbzkdCdPP&fccid=cc833b6b830375cb&vjs=3
24/07/2024,Software Developer,Software Developer,Fidelity Investments,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=bec2d83202c568f9&bb=WQHETSSC--k0b-8pedoLETxifkdumV9QxrtNzzZIVn_FCfDlHK7KWXz0Z9cRHE-CEIcTjditGm7of0gAmuiXlyI_m_p8QQtejdjGvfNhiIEP0oPCubIteA%3D%3D&xkcb=SoB267M3-xy-W9xSUZ0ObzkdCdPP&fccid=371f6257caa76972&vjs=3
24/07/2024,Software Developer,"Software Developer, New Grad",IXL Learning,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=00103f7641598c34&bb=WQHETSSC--k0b-8pedoLETkG3JFCS32ZX5BGyB-ebiH_A15xfGxxCE387qX883cKpqMa6wZjaPQP1jrijyaa6QGf065ZgiZ9tAtBtVC7n045ENvGFweNUbLNn9T3IY_j&xkcb=SoDr67M3-xy-W9xSUZ0NbzkdCdPP&fccid=94036c5004c09ecc&vjs=3
24/07/2024,Software Developer,Software Engineer,Scotiabank,"Hybrid work in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=f4bd595c630657c2&bb=WQHETSSC--k0b-8pedoLEVXKfvWh4xlsrI7n10sj2381iwLLkfdgOND1nazetdZW0oWsMJR0UozOGz5DpED2-6BzH3wY2OufkictccW7UJ4eE2_4vIiZUQ%3D%3D&xkcb=SoBf67M3-xy-W9xSUZ0MbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
24/07/2024,Software Developer,Software Developer Intern,IPG Photonics,"Kingston, ON",,,https://ca.indeed.com/rc/clk?jk=6f9a1626cc9ec43e&bb=WQHETSSC--k0b-8pedoLETxifkdumV9Q7qoaK73oXKyxAYl7zmYl37NRD0L6dQj0smya5mqXUgTfSg96FMI5ukRKVPleN0Os7UcEIqeHBgATTqAqtClzjrW-9yu9u2pA&xkcb=SoC267M3-xy-W9xSUZ0DbzkdCdPP&fccid=a2e364d48ba480e3&vjs=3
24/07/2024,Software Developer,Java Developer,Scotiabank,"Hybrid work in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=2158188226265cb9&bb=WQHETSSC--k0b-8pedoLERw19EXuHPDlvYCaaF1TNIyk4N8ZjpJYIH-komH6k1bHvAOwnCjFPjaEqnrvAA8C4pK0nOKK4sicUJxHdubSLt50jyVf2t8e2Q%3D%3D&xkcb=SoAC67M3-xy-W9xSUZ0CbzkdCdPP&fccid=3002307a9e5b4706&vjs=3
