ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Software Engineer,PowerApp/Power Automate Developer,Crescendo Cloud Solutions Inc.,,Just posted,$80–$110 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aer-oVEiRL59_L0QZhIalsPmigRpfvWto5I_rT5uV8AG6PTpaThhoR5ZUoQyF_FQbiVM5I2hOGrJCOTZfTvzBUoadVOnLEi_UEX-bl4K_aMFIYBeozLcJtDnv0OtpXKjWD0dYC5IbEbthjF1m9pRhJqG8RKok12HR9zI0xDDLLzvZXgXyPEiZ9PYwJXWZgk4dAPKS75sofjkEEWz4XltO5FpqbNXjA0OdFaf_cD56fajaTWMM96_jDVkLmBvcUG2AZS_9naWkeHV_zonpIBreFoTU9xzmhxxYY7QhIG9vBleK8bCZFx6sTkEWYoKqgOX0eos-rhwHtjr5qkLSTNxlRikwPnP6o4yMIA01tS4oBKZNJMlTEFG1Jc44GQoh8zzLj8fREkpaKZr7h5-PFpMRhh6bev2K_FZs0gQZJQfaFt5RgumB1EqKhLb-dqmheacHo1xZTIAwfPVWifZLpvnjB49PTcBmlceN2gikPPRZLbhiOphOM6_U2UxoRWS4hdOMkGzUQeSMwDT1VI2GlFRsntSM8x821qQUUMeSi0SYEwV1SEEIWVsjAoQO6WNrviz4c9nn7zCDebWN_xkpw6GFZoFasdrb8403DJL7ehukKC8Ez-YWe-ctoBqubLOpt7QqCiKAuZf4G0A==&xkcb=SoBY6_M3-yM46bgVtz0LbzkdCdPP&camk=nUmJqO2E8rgG3lPY7SDOaQ==&p=0&fvj=1&vjs=3
24/07/2024,Software Engineer,Software Specialist,MSI,"Montréal, QC",Active 2 days ago,$55–$57 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0A7E6BG5RR4yQrnfOxbtY_ob19QWhgthpUMzQ9KQZMte745i3pg5fYABcj6-_JrkUgXQ8atgOwH1-oiM5xjuk8EHspv-qQIlrZ-T_k7KBNVuFTEEXkF6CKVL5gDGv2U-9sLPNTxjWbx1ut6Op8ZAnzNOZooqWuz2yK6KFeYjm2Evm0mBhn84L2KMSBKGU1Un24wQaY_plqgocjxUx048G_TPnwuehFvJavxZxImlFiTC2eS7Tu8O-dtWW4Tc8lgjVJkYx7tM9_EbOQ4X4HEFEWgCmQ-ld5N6DcqwxS_aSywS0JnmpqtiEt_2ovzJibK6wz0Czljfhc6BtBDb2YsrTnb8PyGWu3xoUYEphEnlSTZo3GD8OakE8bympRbOMfvPf3lTAqW54H1LF0Xb3m5ZVLVte0FUr7xVE4B0iYm7aWk2eZO5K9DJFYdsijXRMLByCwGGcYVibsiNh2N2nEfEffcvSC4KEtRK60VEXdjiTl6n8vsDJzY11eAlitcOwKK4OgvfORlMrGujo-FsBQIUxkg_Y_PrZqIxUJht2-cs9wl1E3Av_Opohwmk2XwYW0nhDYbg1IzZxrTRGgG7lrklrq4kOKf9tVpv6QXVPGUdrd0z312EaTkw9bi6uQ0zKtocokg42Cs9P2McVS1iVEi8_m47jck3-sAH6uqbidD9IvrWQ==&xkcb=SoDs6_M3-yM46bgVtz0KbzkdCdPP&camk=f416UQcMBpCgmtW8ZZr9Vw==&p=1&fvj=1&vjs=3
24/07/2024,Software Engineer,Software Engineering Lead (Industrial IoT) – Edmonton,Any DataNow Limited Partnership,"Hybrid work in Edmonton, AB",Active 2 days ago,"$120,000–$150,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CY62-G7QrWgP7nns_X-v4YrwTLhcDGs55KkCkNHqvJ32cJ_4maMh_19hmP3yYmb7EN-RaIXsTs09o8qZU6edn1umNsg2aUY4NhBA_JiS-879EqpNZ-_1vfHTrCxP1zbLUCDv9bs_4WrhohXR23DyyDxPJdpqSI1kgT2AJpsZyZlXhvKoUHw8JpfEge423eavlz6aFbIqyGitdo0s9YbewPCyoBfPHeTzOGQVncwQIW27KYa2yp6YMuqMzGt_7yf_-c4teUw4OLEes30Jw6J_vVU8PnbcR8lawk4vLqbx05TCK2qRtnrnHYgcvRfUXkceacskBSUwqYdIT9bDy4i0S5lcoNJviTvejCO2Qu0QY_tZfMNtGQB8Wrd_wn4j9kPLqZKd-CAbGrP3fzPjuujg2dxpItHzD8d1LVgsrrCSQXPJGtRggNfUmvVg3M5wMMUZGlJyhfWVf2bNeBY98Uguz9TXsrH0-glanH0UVXxCGQOKTFs610nflwB_CXqofZezrRRe_sg3TsiZq9iQWsl3dlAd1rHI-HIZ4Bwr0Qs4LE4T4Rj361fKNhm5pESxAGwjnhltILn_hjO1X2OD4lS_5g_ugmEhuHt9uu9tuIzweVdc_TemLarnPrwIWBMxEKJlMKvScVJhZgtU_juKfhhdNhOY1huTnC3olJUb7cvwUM1GCqP4zHuk7rMt7zqpqTSvtj5lRQodBwng==&xkcb=SoBx6_M3-yM46bgVtz0JbzkdCdPP&camk=nUmJqO2E8rjlEfkSaVMOwA==&p=2&fvj=1&vjs=3
24/07/2024,Software Engineer,Jr. Software Engineer,Arya Groups,,Active 7 days ago,,https://ca.indeed.com/rc/clk?jk=9924e22aa373d907&bb=N6xdhXRCxLCmApbT5afClhWydSZ9mNVTE348YYg4DtZuAzlikc1QfBeul7RtRuswXmrc84745FvtPbJ1BdzBStOzutz-6yzd8o0sFWRha8HSvlYO6mgMA1O2qBr9mNMl&xkcb=SoAx67M3-yM46bgVtz0IbzkdCdPP&fccid=b45c7265958a71dd&cmp=Arya-Groups&ti=Junior+Software+Engineer&vjs=3
24/07/2024,Software Engineer,Software Engineering (Integrations) (Full Stack) (On-Site),FleetOps Inc,"Milton, ON",Posted 30+ days ago,"$90,000–$110,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0D47jSqLN9OBFUfxjYFGW1iQzB-xFrELb-_YPGEySiYUmOetIFZsFLpQ5TxUudWqefOXcCUGVmN91Q9LuTITY3y7nbTubLakQMyzPhQo3nTVj9oqpLeqKfc48oetLgHGjagJbYVoITiylwDn5RzzMX1vBuOvqzx5BVNAQvdoo2VzwvbGSnqHZMJkuQX0BM_3w20TFD_qgR6GBi76CCsvqEDznIX7VN-Og9ZcOkZK40rZUeyTMW4nyXIa7ogF4j2ohKAvVVoxClaBWXWVsmQCwyc8Fdr_0yVzmN-PZmSmGLrjySirNznMAKGtAxeGXFhzhmBtwUwNdpac3Cwj0EebRMuNsj4mO9bO_1sqJGECtFvOYvbhRQfgivv5q6S06KqNs0mukCwFYi0Pp_CNbiztvQukXbBNRXi6rRQiFysTkBa2yItffXbK66UxWPHcZcKKwsnzlPQVW7lkcnS1sgA9lXE9nVGRnd47uoOX5CyDh9xVKp-3DVD55mH-N-BlWV4nKqUBeQWagLsru0oBvBPK6Fhus536tBAmow35rqmbASdC5JNPf6EhJs4vpWLpSF6LUKB9Tyi4bRx806lOqdVGHmKf_CSgNBT03tShPlMsPEEa8tWjerO7uoffh5qGZ8uv5IKbAEwe0pXO65il59Q62rTAgkmRkxDQYLMg7v8SGkJGA==&xkcb=SoBL6_M3-yM46bgVtz0PbzkdCdPP&camk=4HOcmqOLYrCMf207kX4bgg==&p=4&fvj=1&vjs=3
24/07/2024,Software Engineer,Senior Guidewire Integration Developer (ClaimsCenter),Cognizant,"Remote in North York, ON",Posted 24 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CtvmMS2gh6TFcPtfg_dSoYlEhoKWvWvhdJKzal6LE4pdXpcOz9KDpq9s-JFk5qrCZqr3zvwQU0xlrOzIE0n7nQD_RuH18CLUKt5qA_JXcZeaa8dTye3mq9foRJbNA03WA3Ql1j4tWgFjP4-z7GFzubfNsApZNVcDpTvCYqHX4wla8RX_aDBgNsx9KiIBmlQmchEXgOd-06RUjCOPxlBvkkRHrgl79X269H3sMJ9qrjx0pSWj8uIs30h-jK3PebtnKi4ckP1pJKzKGTKVcGbEozBbKqz-vNEbVHXRGI_LpurEs50MAT2aGfQXyKD7ymIriwCaHTLptdBQt0_50F87dHjW0n5QR3Qgc2n7ROyuErlX3ui0eO8jJzyQVjfbAjIqDN01z21eb8aNeO3md-_Vp4YY-cInlAS0azDaHuI_ThNHehPRcuPuQT9nG2Q0xHU38_mD2Kgk0gLsnIuJuyITblRYtjESnxMBL3flBpHpguD9Mr4h_woC1WSBHL04VJgqb1X8EAoyE-tOnWI8MPd7vRK6JO6Zh4hYYNGP353kFhUZ97gzV9UnpM6R_89x0hJjvOJgI--3hvDnL-5e9J6hUYVWvXA77ULwTKbKV_SBCqj0uRv2TZbtM39pWCV2gus7iJytjTSxLvSw==&xkcb=SoD_6_M3-yM46bgVtz0ObzkdCdPP&camk=nUmJqO2E8rjyRTwE_T7sOw==&p=5&fvj=0&vjs=3
24/07/2024,Software Engineer,Software Performance Engineering Consultant,CGI,"Halifax, NS",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C5CHqeNTca67EiijSVZWCcwZkgnz3YlsnPBTT72TAGLKYuiZoz3pyS6TpFF864Txno7qlbVYLJ1js-uqPUReig_qBI-N-uphREoKb6E_21nz_z1qLB6oKFKSAk04R_ZeOFOAQj_Qb0wOfMFzRL1ttXNXi8ULFTs9mCtgEDoy8SSvxudzCuz6oaxL-VpPeCs1MKPPWmok9fzcWI1nUknsfuLACancwlv3lLFke-zVKH3Fkz1bqO5n6KHlCvtG4Pym44v6QBa3e4-oUT54Aok3JvoaAoyxzNtXe9TeSbCczBg39TU7ebQhtcDXKa_rvQYeO8lN2Agcvu5BX_ERo2HbReJnWe-TygDPkpupvOMiwxbR9Va-Ts_DXeIo2U8D4xRcigPFV-6Pr_5_BaR4UGwJWIwbHGv1yAHJg4d5RHgPsO3gciZGl_eLBFTxVEvPBuM8K_TJp7EfNJNJiFQhXpEV3cmDNqp-lQI036Lchdw3H3o3hS1CS2AeTT_cuZsuEl9yeoZwzHWczowlE9760gO_Cz_4ZW47dgjFg4bdaTbEvzCXHxFAdiMQPAqcoS0ISBGZf_SToRvYqeUULbP2Bm6Jtcg-NA9tLX3TATIf3EHtb1tTGwp1vOhOlXFY1n9_bozKSoFkKucpnAEY_le_TT9a-HP2E5p-sRzPy279UGKYasqyOmYroqzvgcbocuNgIZZt83TrIbmxKVkb99zZrVOOu6iN-kLLeYi2pwrgj-i-H8jeaNsVDIX1dP&xkcb=SoBi6_M3-yM46bgVtz0NbzkdCdPP&camk=nUmJqO2E8riyUywQxSCnyw==&p=6&fvj=0&vjs=3
24/07/2024,Software Engineer,"Principal Technical Program Manager, Infrastructure",Ripple,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B8L7sKXNaL4fjpDCqqJBYoENyl3nwLdELdrAhpiy84-8K9ICBNnLk67apw7S4qjrrXmJ1aJVUfuGC4yh4tdmFO9BTEU9d81c1wu2Y40S4A4NMi6DznBLuC3uoRmTU8zCHjG7MDXlyCdhRa-AzS54YlqWudjggxL7XHkoR7rTe458Na-qqe8E7r7utiYXIXzNdHjsiYFAYTQSZKm3kRIGPO2zo_gWgmD8510-fqwQecN3-rpyBC9tK-XUUS4zF7q4Bxh5-SHnFFi_sF4tQvxbiOyNV622hJPWIh614h8UEHX30BbBBnqPZezOMZiCNLOBIU-N03x0vpjzdpDRofAvhd2ziiZDNew8Ho82iqw1i3OITXLLw26GYFCaVhWn0MCD-_kq8Oj8_FbREzuxojmJYOnTKB9CRYZzZZrEUDpT3sgiDv1z_EeiCgFKe0nxBG-I44dgz2SBb52bQbxl6LBBx0QyofRDK0JinwLvb5cFnylEUde30iw80gIpBpaJJG0zwUZv5zz3hYTj1kzaS0q_QrMFNSp5NNhny13MuIz0_xh2_evu4YzvxUlMtsskHaNgRDQvryaJJAaLxsWRdJPpJOkhgp-smu3Dk=&xkcb=SoDW6_M3-yM46bgVtz0MbzkdCdPP&camk=nUmJqO2E8rjEY3dVa5gMDw==&p=7&fvj=0&vjs=3
24/07/2024,Software Engineer,Backend Software Engineer,Black Diamond Group,"Calgary, AB",Just posted,,https://ca.indeed.com/rc/clk?jk=0ac11adbd0b62a8c&bb=N6xdhXRCxLCmApbT5afClkNSQqIXb-mnH5sjVpicJfZSlPTfiOItTypfKwcE7w5PeUa-nKUVa924LTuLAUvRLquZDewQUKfDLSJiIcCmAPVIQQwNCqsd4XjGIsH2I9fS0aLOBjwe-C8%3D&xkcb=SoDL67M3-yM46bgVtz0DbzkdCdPP&fccid=d2bdb708b9f1694f&vjs=3
24/07/2024,Software Engineer,Software Engineer (Remote),Lightci,,Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=07f3896bb55a7dcd&bb=N6xdhXRCxLCmApbT5afClsixo27kt41tglyLxjjhM2wioowcuO2XuLs1n9rjrhePKeNpw_aJV4O5ZpTjL22_LPMwFSixNsFT1bO3lh9c1b9UcvfWzmSdmmIV_fgMSc-x&xkcb=SoB_67M3-yM46bgVtz0CbzkdCdPP&fccid=d4ccd61ce707f1d5&vjs=3
