ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Supply Chain Manager,Supply Chain Manager,PK SOUND,"Rocky View, AB",Active 14 days ago,"$90,000–$110,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C_poDH1UVSmaA4qQzBugB4Hyi3tuRfst-wF_F3Noc7M-LkqyFjx1Bxcn3cJvFzNAch-3YmaWax_7rqT2XHkCSK5a2FKZbeHAwhphf2qIOFtnBmHcZrmw0wdYI1ag3D_OGPLNAKMxz2STv4hQed25lGgBb_oRg7dYII2wsGfnHeJSLHCliFOQXcaK_D2g6MGuWAGs1wFZYbkUykKE_C3IvSk23XdxxTfkrq9GVajvWvsdb3sOiLwHOsZouLxZysLfOVEMaEZsFkGYqu8WhP7iSKLybtS62b38AZfn7wB0hJ66paVqz0lsleA-wRbU5LR3oIuAwJgzfPf0V6qL1l9nEvJxxjY3STe0K9o0eL2bk_CLh5-EiZd1c165UGm87Z0Unj49Emj16EZ6RFsKuFzHXYvSVRPeruHDqBta9lpzY6U9jBbWTH_8mzEXKz4HYJ137iF40fxWKANysJvrX9gbES_yH5gb-zs5iWZip8NM6sM3AuB5iFF2StQkv6m8qj92Q5aulSNtXrGjBkGzwCFNmLzwlPm-n9uy1ZcIy3qc7kCF1PyhebjVugFlxLek7wkbdun3Fdz1IVl2PxkTY8H3xrhawpYjfqQm9IxulsrpNnYCsjxy0KSa-jq0JW4rOpqSbGHUuMSSNvMQ==&xkcb=SoCR6_M3-yfdfQy2IZ0LbzkdCdPP&camk=4HOcmqOLYrArgpS7zSZGwQ==&p=0&fvj=1&vjs=3
24/07/2024,Supply Chain Manager,Procurement and Facilities Manager,Rhenus Logistics Canada Ltd.,"Mississauga, ON",Active 2 days ago,"$80,000–$90,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Ag0jemYjYg8AsbH77x7HkZhbipfn2UmoL2WQXrcmJ9lSyRMW_nFCaC565RNZsMM12zzJxRnQtUZG-DcoG8Nu-iuls_XpeDzvMxGEkOpeLdHKN_Qm2hbjji3KHKB1aawAO0UOG9UW5FhrJlaGpLKtoA1xRLGxfKUwJwiBHVDS43zWSlG0Vx7a54V0VOqKh2KtI-CR7exYfPW8lLrOvvnU4AjjND3FdX4zKYsDAuKDpIJMOt7VFbQuO35rh08NJtVacRDPSlc53zLHlTHf92e0Yew1kUxI08-snqVh0wpOJDhUdDjPefZiTpfMYq-s8VqkbxsJDyq5TpEGyDBHV7s9ELz7u7zho-5v3H8nrvk4AyIfcf3GTOtg_G9gUJe40BmsZ7z_-BBofHdrSIod0-0WUvTfrZ4u1y_b6QQwAsyxCx_3ISWpypW0kI3slzRhPGADB2JNbfD3xLiVAShzViGQ5sh7ZmICqdB0tBtQsOVj0CYG6FrsAskv2EbxK06z2s9tTb4-3DCcRWROXhsd3s-7rl3PWFM60J-OJR7WHFCEjEnKXMv2LW90PXGe0N-T37gXc6fGiWp-JOw5WMx8UCWUM1sFse4iFTXX-dFC4BOvKN7eM-08TbrAqii3tN1dOWpCN1XVY3DninR82w5JZ5nguqTYM-TuHAD1jAETI3J4Wb3-Vgxw-D7uZc&xkcb=SoAl6_M3-yfdfQy2IZ0KbzkdCdPP&camk=nUmJqO2E8rgCN30sFacOCw==&p=1&fvj=1&vjs=3
24/07/2024,Supply Chain Manager,Supply Planning - Supervisor,Natural Factors,"Coquitlam, BC",Posted 30+ days ago,"$85,000–$95,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DFY1soFsoJqXKJOdv7h5uQbYJrWMTkZNcX-rOBttDHyFtUNebQX0etnW_tgB1mk4EJ5UiOLIO_y52HjYyPAJe9dUZng6P3aStDSO46r55a2J8BWRtDljHbF8hPr9z7-ch_2fpQY8NH5DSb1CpLRBfTBLGXqp3Y063MrNEDzLe8emGvBUL6efoLJGM1QA-XyvrkB3fggnzMvKNWz4meX2uJyT2GCXK6N5Ayt6kgFWIxWLB1wA_rBZrN3fgn12eqBBTuqGFhthkJF1TbJffGqbIHxyFFtwEaIjQvxQ228aFFPQ1kCeOarbcDDeLzgHykrt3JPJ0zPi61MpZvW003OWiKGpwWiRjdgRXhv7Y8aOf4TJdhdLaRfwZ_QtnLARe4ISiimNMqA0Y3SXPkQxd0gcjzqvlF7OzmOO8aiAr3GqdmgVD8YMrWqHWSVuBAjQHMJUMlSztTip-SM91a2ut5t2vx4rBhNCeff224V_IffknwikE7jwjFOombTe64cz-Go_l4CrthvxQITt3W1ziHHlkQpjlRgidg4O1z24a_34Pk9k76ZNGLWQCi7Ifod4dV8RcWmX28vf_jqny951nW7J_Fg4yXczflYDOMTh04Dl7cLe_Ev5o6gOxZMyp0PIn1ttfXwRCPV2N7LseSw9lq0DNyjDXEyRRd4khlT_PH9y74MeZt1SHRBCVOTicQFRTvFhXZq7nes6AOpnUH6IPEvj4h6i6OgfffpF1SSWS30g2RxvPhtWAJCiv8xytZy5CTiX2AuZeaevRecO0P0iUuAOOc&xkcb=SoC46_M3-yfdfQy2IZ0JbzkdCdPP&camk=G42KULXkIwP2MhVh3u1uIQ==&p=2&fvj=0&vjs=3
24/07/2024,Supply Chain Manager,Inventory and Supply Chain Manager,Biktrix Electric Bikes,"Saskatoon, SK",Active 2 days ago,"From $60,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AzriSCoZd8Op_LiKZSPTva1cDTG9xiFktjgEQzOYlf0p3V7h2EMOJTsTj_qXg5Jb3qgSLrlPa2ubMxtPLADllpm3bCIWLr0K11xr1BZOaC44mPlwMUlkrH-exrnjF-FcEIu24KemNK8Y83B87H-LgOszaAHt23qQX9weAB981Iazvkl9VTYVZE6_fA7z4p34-X8GnHOgq2Dq33cq4wz42dLxgDGcJ0z7vcGeNPfFJigpvAt-ObF5igftFnzkEp9sOevk3mv7R5Tj38v3XFxtC2R4tltjm0-NmBXkkNZOtou2vkuIkWdv3nM8b2T86da3TosCvy50wR7qPo1YXaoqsvdehb4kEjShTealO_BlEN3H9XR_ttfALMxPx9Ljdr_FN7W_tGZm1vGdNi01Al7zpOQqv7Fd_MimCDIyI2llyXI1lkUcxO2QYxTqVoMWXs-12_ukAh_ZVVmahX6k1sv3HOE4jkmLT7Iyt8cpBmZoCzLbEnCMfLJqiCbVsTuYp5MVpA6-FeXj_90-nwhGzEBn9xHljCUK1xlZ3089ZGF_XD_w2RYL4qhYtgjkphnSVX-rJqVY2GB-04TflwQ2FBpC1BwtsYb2UALqQ38YEhykj7gUwylYErcn5UDwlx_te7KG6MwXxB9V-uRh4foXOq9nG5q99EZluAC8s=&xkcb=SoAM6_M3-yfdfQy2IZ0IbzkdCdPP&camk=4HOcmqOLYrCH-CMiNdG8nA==&p=3&fvj=1&vjs=3
24/07/2024,Supply Chain Manager,"Manager, Supply Chain Planning and Performance",Sofina Foods Inc,"Markham, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=84d466d99140990c&bb=0Vg3X2sameDGkmpaZ-0p6YzlLOokaBbJ9X3UcNFRGOYb-YTPiLduj3ktEn176ZqOEzHJ5kW7FEGpSSVYjl8IabelnloiNBzCiyMooQLjMB0yXq_ABOZq2my1BtECCDjJ&xkcb=SoB267M3-yfdfQy2IZ0PbzkdCdPP&fccid=2391ff5e98bf3892&vjs=3
24/07/2024,Supply Chain Manager,Operations Manager,Prairie packaging inc,"Saskatoon, SK",Active 8 days ago,"$100,000–$120,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0B8Gf2KrZvOg9zLCMxANniJ4-e71qNQYR0Nl64HAsoHFzy2AcDUi2TdUBk6-7zMuAXd_bDCVT352AaPI3xRxk0ZkRx3E3cWB4qCq14vdgAKmzCyNJXkJqt_3oN0kGjQBq6NBg9rsQfC_WfcRBzLCrHeGvE7tzJmbsf9nu5AuFNZI-RSzbYjE12tWS_lwkzL3QFpL6bxaVnpbfDBWAvtIxX0Ln8-EOOnJgegFNTJ6NuZHaXd4VlTETBVzTY40YywnxD04q1rVuYCGtD5t3-e84u_zi_-Gr4aEkvo6E_0Q3LoOfK8_aocwF89e7swIzkE4hBjvtfGyby69oll43DGOZ1XOfeo7ZIHivNStfz49YWjQ2xpDS1l4A_HvJNqs_7NE0fioq-maqihq10ZSmTDF83k8mTiV4zC03KbOO-O8W0nP2MqM74T7OVd7MNI06UiMqnhU5fMIUH319gwb7R0KxQun-P1RbJxGSOe6w4H5kwkcdzfRhwQdLkDHWdR6N0mpPLk3Wf8d1LcVA3U-z7ykToj-CKSJMaiy4f4gMvHIWTn7w3J6_-Zw5O7QqefPGnATrykhKYgo_ei6eWYXKjq76Yb_WR0eCxy2Y2udbVbBAmP3LeTA9cwA2WRSksO_WMhAyFFc7vGpL_Jyw==&xkcb=SoA26_M3-yfdfQy2IZ0ObzkdCdPP&camk=nUmJqO2E8rgdseCaxd9p6Q==&p=5&fvj=1&vjs=3
24/07/2024,Supply Chain Manager,"Manager, Contracts and Supply Chain Management",University of Northern British Columbia,"Prince George, BC",Just posted,"$94,000–$106,000 a year",https://ca.indeed.com/rc/clk?jk=646dd435695a1b66&bb=0Vg3X2sameDGkmpaZ-0p6bHFwfgWtvT9d4RkKqWB08k57pKpbzP_F-7Ss51GwmhiK9BPGaAfW03C3mcoxtWVajPV6ZqCPDk5prx6_OGUACHsmZZ2S6Di7fvcYN0G8aDA&xkcb=SoBf67M3-yfdfQy2IZ0NbzkdCdPP&fccid=494e13c5e4479a64&cmp=The-University-of-Northern-British-Columbia&ti=Supply+Chain+Specialist&vjs=3
24/07/2024,Supply Chain Manager,Frito Lay Product Supply Manager,PepsiCo,"Lethbridge, AB",Posted 30+ days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BGX0tMf9L03vwqIUJGA-wKlNMGKqRHHAh2o2KLQfre4viwT7JnbUxJhHZBu8VZViIrgecfSrvDm0zMJxYjtguVrRQLhCswGOiXWC8WSeRfsA06ZxzD2TyVAGJ0-UWDW4qpyJUbmmgFJ9rA1mZubyG8dUr4AgyEw4Zk8tijbeBqNaCdy4iFBMeb8VFUyJEA3wwCqqabMMN5qIDfi5MP8NosBKSsjm-cbUU6M3crRJcLeGjuPQY2p8SeUihSLBctx_ugRva6zBX6mN6iyfJAIac6Ngu3YeWX3LtBuxY9b6V8Rfkg8g6G_XPLtg2IFkhJNYyGklBNxxXVsK6PZA4EkYPSyMhc7xdYdCWKunxlkmcaRfpGvpVoRgJ5NzmMBGgyp8p-mjm984B9vtKVe93uURx4d0-Y8HEU6U6UUedgXssc2L_xJegfe83o6ckpquoWogr8xCt1NjREdUerIEAtgb18wviA20iBUNtuUvyYYrcJG2Ka5bzuI8DedtgORZP_WzByEeo8gY49HfrhQKtEtHzQS1V7WsCyK12otKFcuued1ZyRmUmcG6aUMkjGaXsTgBjYETCLFiOjYruikspwY_SHuNaZYs1edKbxfgRNkmBwO0CDIKgVYjBIVjMrNZCOLWIpWRQjNpKh5YcXXCZkz9rvclu4dzyGlxK09nnOleB6KzUWLeH3oPzwjga8Nbpb6xCHCReqCmrSNUc_3nlKUUZQC1SA49jK7sOdn1gvyTxlUi3SB8r4Sc-M4FVmmQx0RA6X8hq2wZXts47Em32pXZATfrOnpB89tCB1bGWc1-fu3z33y-QjiiInxBkGbI-VJQBRgswx6swzH3bFzJy6uEY53UgmUyuhs1veec6EJ9wmyqDXcPJqvbSn&xkcb=SoAf6_M3-yfdfQy2IZ0MbzkdCdPP&camk=H-lBaXMUocIh-94nh-gxkg==&p=7&fvj=0&vjs=3
24/07/2024,Supply Chain Manager,Sr. Supply Chain Manager (Start Date: July 2024),Lumentum,"Ottawa, ON",Posted 2 days ago,,https://ca.indeed.com/rc/clk?jk=bd131d66e2bb786d&bb=0Vg3X2sameDGkmpaZ-0p6a142C9Yc9YSq7RGjoEFyqN5Xo-pBE3mxFJjcjIih4AhmX0880x6LPgv2fBsTvLvgEa8YYE3KU8tN7bUYVzl_5igPOOGRG1bZAcF7OXG46Gw&xkcb=SoAC67M3-yfdfQy2IZ0DbzkdCdPP&fccid=4fbc4ebd829fd708&vjs=3
24/07/2024,Supply Chain Manager,"Category Manager - MRO (Maintenance, Repair, & Operations)",Atlantic Packaging Products Ltd,"Scarborough, ON",Active 12 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Bb1IHDUen6ny2VSX51XsONNMfOEjYHG_h6HSlbh5-WPGfhPioXyf5niUPenkSibO48A8HdwSevHQRLv2FResONA1pnB1Bnz73e0bOtoy19epO8_CXHYMGOnZG-_cVxOAfFI-daSkQ8O20n8aaemvsVsC4wVBdxbWOiYxhHOuUMx2oY49x8amviVMlrm56zSpyehGjrjP6TGptp5bjXqdJQ4gTgP4fwPIdp9nhKiI0Wp6EzSEXxTs_fU8KxG2MmVksya1t8JEj3rDj2vobZgH2Tar9oNXIDMucv-4GtX7s7qJCAY2vtiTQfW7IozSCl-y2f3G4ReVIkK0Ti1Z8ZNssgBAoZB6q8pXlrEWuorQnWYceXNehzg3xQvBDTApOGf0BVoB_aB94XA83mty3L62XmcQEKRPVq4jztDjgyly2SqVRW17YAumyPdFlqwL5cfBFJAfnlCSZABf56ND0mc0BuevuBdzQPQKkudUqLjvHvMnqf3YDlofefNxMeZDSYXlvMinbvoALaf0MfXYycbmU8LP2scKXJQPezzWwDmJtpoyN2NVamOfUOHIZpJLv3fBnVAwAizSl1g08XQSLf13om6xPOI9gs7oagdj-qMwE94LmwPMVYuCiGMKKsnMz2kSrl3cNF0Qs0Xckg3JwHBlZPJzOZQ_yOhOEpONh5amKod5obExuHb6itF4VxlcF5FsblUoeFv3b1aWn4NGA5JF3gPGFwvdzEqdkkCbvqYeBxPqcF6URd-7cRs0qyWXW_ZCCIKT23LeFqpLmW08B_ygy9T5bDzYfAzBK_lJP6WmrChUSQAJRci6S0aM2Kuw7wwn1i2DXXCoV-4NunoN2lqrVLM1dg2j_CIcrGdjYQpF5JBAYWjPu8XBq3AnmqIsl-2sAOEdVv_ui5YmfkdozyTkGhjUG7885xYV4U4ucuPVKJEUgKkxHkPnvxVKw2ijpXF5w=&xkcb=SoBC6_M3-yfdfQy2IZ0CbzkdCdPP&camk=f416UQcMBpD-4hmZaeNFGQ==&p=9&fvj=0&vjs=3
