ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Support Specialist,Primary Care Nurse Practitioner,Greenbelt Family Health Team,"Ottawa, ON",Active 5 days ago,$60–$66 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BPnUkZz8B--xk-ORdN7EEW4nLuop97_u4_FkyWjZvMZj4K6f2HmjxSxUZTSsMdeDlBDHGvAd0Z4kXMrg7TS1GsKzEN9b-cDxi4zzyUPKOgZEhTAY-JDJX6Pw9e4cY2NBlkc3Nsu_owyA6Rj_YXbydWh3zU8MBUaHYjhwKo5fyPxMr7oY5xx2fqjuHJTt0qewVG-vD-wzKG75_ANaYf8HzbEc-z41QDXVAP2NbAa6bPhO57Py_68QuZreK2eCPXuk6mFLLD-Px3m6Fk2v17v8zpKogVqKjJLX_luPHpH1ZWuWJVvN_vLk8rJMJj2pZ0Hl8ImJJMyzuhxs4c9ZePYIqLFy0_Mm9KE6QzZWudNPx3KDvjchFFgtTHI_waoAxuzj8chUuov-hIDFn1NgknQ2b9aIdv67NcDu8dr3i6lDJI0kBAHcEpBxr0ilIgUB75vIp6gi31sfFgl0EqKZ8oKCv7-8x5XGPIHnmDtHeGhWizoH_FYHblIrXazht1yWu2-SY6jEC_MEReSJwSmZTjSfyFr23iBsAeESXzxgh1PJUgNZ_OXgKPMkHQOH2aBUE6uDQUShwUEiH9PRUuXKbTWc7MUrCNpf1w7axmjI8MGeOkY8iH1-w13DbGfrokY6KQzm8571cYYWIFWmj8MKFayqWj84MpmOZPw6-4q7V2LQURyRebZQUU6TIUWPcNW_gCCUE=&xkcb=SoDS6_M3-yS1hVTS9h0LbzkdCdPP&camk=4HOcmqOLYrCY5hchqjy72w==&p=0&fvj=1&vjs=3
24/07/2024,Support Specialist,Registered Physiotherapist,Shelburne Physiotherapy Centre @ New North...,"Shelburne, ON",Active 14 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AzQ3IlBrUirfXdS_mICnsPrvbcXR6BxmpC9PbgeSNPso7sjFCgEk3iNBAXT4idQ2SH_BgmZIyrBtBEL3B_N6DL58y-a3IUbpH2ksq9AESXczKFw9VLapintksyGvg4xLhBsuebV0e2dfFoiVI11kfPR_4WXkfiTUEp-bQIOy34uxl7exJW4vPiz5-IqDnEzF20OsAKe8DpaTNc_fbA2nf1aSeCWuLFi46FA5-IMjQUu7pVFrqvxBgPufUFWvYm9eDHf3fAozkicFAmLc8J5aFtuvvrUPw6NhmrVrDwz1BEBL2UuKOu4d-5pt9SFiqT2SvPr3jWw9eowPkcp_xtWaw2RpevqFUnzaQycAoxBmwlxnIy2twhJHiqhS68UvDiTUiUaVKfdNM8phBMbRIhfYxx7FEsTGeFfF6X2fuzKPpN4PaMZEkChlVU4ihM2_ZGo04xm99LlmBhinCMswhd4lKf_b_3qNJnDfgWE9sFSljkdjUJnhy-cNyi5KnJ7uzWLxsWN0kCXWFlyVvs0IOy7SK7PXixJV0xHjLCUzJwRJvvluDqZy5rYeDF5NQqPMTLfpBbhx4Lz3BhJ2pvj2Yr4q2HoqEgGs3nfKRZ28_29kjdHrZv2Oxyb3GmcFTBMPfIUJT_t-9hShuHADfSjSs2ZNYUGZ1tSHIO-NFvHM8XCyhnJ0fgZxy5a8o1&xkcb=SoBm6_M3-yS1hVTS9h0KbzkdCdPP&camk=4HOcmqOLYrD_kQglCKluVA==&p=1&fvj=1&vjs=3
24/07/2024,Support Specialist,Customer Support Specialist,Wave HQ,,Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=908fae1a4223681f&bb=unY5ea1xW9pJZrRuISP7-VuWCv-4mfByQgyJx5IYbeFZABpITtFql3sLNhf5ip_ICFdszjbnWWbKnVU4ps3O-21aUTmAh2A1GiVi0GKX41GowfLaQ96KStWNJbXjTOlc&xkcb=SoAP67M3-yS1hVTS9h0JbzkdCdPP&fccid=fe9a18444985b13e&vjs=3
24/07/2024,Support Specialist,Labour Relations Specialist,Aboriginal Coalition to End Homelessness Society,"Victoria, BC",Posted 30+ days ago,"$70,000–$83,200 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Aw8ssv5scWB0BPeMVSwcESui1h6IXk8zdAqvfaqf5s5OwffARwNPrA9XIu3mkgvQh1sRnH-lrHAPtCqbHrDGeVj1ZDR2ZFlzbsWGmC6-qG_kmV9q2wju1DqtrpOJWdvjh4RX14lieZuVJREy2aL84KbkHGaz1r5riy-DxvM0g65GaQA9-ljqJP_mzF-36VtKGk0x3UOGMfAJbMsFB30KpuqZssLjTNi1Fa7oUBJhaz7hjgv5eQBMa2qMkWHt3e76k5jvxFfbeJpA9uv3FzVFBBplfAfb-z0tbCK9kYJfbouSY2364K_48xJS3BkJaq4QJtaYKjbj05en0j4xaD1uHeMBeYqKyK9Hqr-hRFKAjf7Skxbn6mG2IkTRp7-p5ngO7lHixm6JJUDbChe5a_vCjLv9x5ji2Xle0aQSXDtw8N4q6kzDpuQriBn--5Yi676jLlh7I4za4-l61UOI4METy2Do6_NtKq4mOcYyjiflnA6_IVXD37QxDh5sONKOy0ZVFNleWysFdGVtQHUmkJJfcySgJUIe_gtoLyJ8xS9d9ejlysEhrki8DfglxMFGmBs4xrNB6XIyE1RLUAFHyfBBr9lYLavBFjuuAKFRWF3o2wVe8SIh1Ixs14wLkWSE4HqY522D-_mk2R7y8bvWtAplRBPRYKMyl1iaezGaJ4RviAwzIwxziF1A3jRR4Cz37X3XvtX55skjjB2A==&xkcb=SoBP6_M3-yS1hVTS9h0IbzkdCdPP&camk=H-lBaXMUocL02MdKqpIo5w==&p=3&fvj=0&vjs=3
24/07/2024,Support Specialist,Industrial Energy Specialist,Saputo Inc.,"Port Coquitlam, BC",Posted 30+ days ago,"$106,000–$115,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DyYvlsRfpVM5oNzC108Qe52zOx054S9iBQd4-pSKG2_-Ad4NTlqnMgr_spR5XunLy3f8XFAlUMBKK63eMrJ8vB4VVDLRdH0LmczdPD5UtviHkBwgtO7SnvZ1hTd0Y5dfrrrHMnwUn22RJIrqZ0HVWBJoFn-6ano_ggwl83CybjLW6n-V20X5F6jNhqO141MYeodnu82HllFy4mbxEHkf4Cqzv-c2BIgJNVEAPBtwhrFoLtbsd1OafGBYTjrDeel26tq2_t9ICYx47pkx1Gl9L8P3heNXjSaVjeLac20cHAl5BH6Oj0lEfrvcgsn2ZURnxdUczcxF5zt1rXdyNq-SnCQlgBoNrNmlEAyZaM8CRFS0PD_k6x9TomNu-H6PZdjZOQEoqOwIXdd34nyf001Csb_VM1-CkrVn90OAchtLb2gWutSpUJSxVdcI6g44b8M5GA1ncgR4rP4Pg8sFIM2wlrF-_F3felnx9k0YzEqLE3rEJw40b9BDPb-soXzndrJLIFr0t1MOwIs2QrYfdaw5mtXI6KZgE61e-tc97-yeIYEswm9WAawSgO52jxcq8NtD_dYjr_nh8-t5I14tmryrMFR6oxeE3cVrAuAr5HOyu1nLNrPD_9-v_aAvGoLLoaZzPSLk01T7RtrAd5oDix1MJZwPwkj3KF6K_f_v2evyOXVh7MrOc64r1sA-nf0Im1GuW94TjmRVbm6EEAa01JZqXeh70CFyAi_fI8jADkLmTLpy2AiADC9Hgw00jAPeWVHSKqluSbNc55ZYz-Z92RcAMk3WwpZodhfsLCKkK2vCpYNHCqzIpX-5Sa&xkcb=SoDB6_M3-yS1hVTS9h0PbzkdCdPP&camk=nUmJqO2E8rgzHhIIlg1QQw==&p=4&fvj=0&vjs=3
24/07/2024,Support Specialist,Support Specialist - (Remote),FreshBooks,"Remote in Truro, NS",Active 14 days ago,,https://ca.indeed.com/rc/clk?jk=b0057b16eee60b4f&bb=unY5ea1xW9pJZrRuISP7-a_Na4H4ah1UhJUS3h-bzULeExCRgIg8NlLx7w8HaKM0i05uS5_5TydL2u_q6lfokJ5MLnEELMk3l5fPkTJp1pj9j8ngY2LGRSMMFe-kXD9p&xkcb=SoCB67M3-yS1hVTS9h0ObzkdCdPP&fccid=785af18d53962443&vjs=3
24/07/2024,Support Specialist,"Support Specialist - (Remote, Canada)",FreshBooks,"Remote in Halifax, NS",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=bcad6fdd3adfa490&bb=unY5ea1xW9pJZrRuISP7-QYcsYizQCp8u0Nf0C-Hu09FzLViqN52VuAaFmkCmjWd-i1QL66-1NPMwYHDJxEgHZg69r89pkeWuex2uz-s8UhADLyeiyw1Zd9OuPmimw1z&xkcb=SoAc67M3-yS1hVTS9h0NbzkdCdPP&fccid=785af18d53962443&vjs=3
24/07/2024,Support Specialist,IT Support Specialist,Bison Transport,"Winnipeg, MB",Just posted,,https://ca.indeed.com/rc/clk?jk=a6755fdd824ad206&bb=unY5ea1xW9pJZrRuISP7-ROgRArQ7qPWUu9Ys8F6LhnsvHvhqI1KltBLPDjkwO3-OB1dOSgv30h6Cdx38W_YNOMo9ylpiEz3c7ZbXfAGs9ReLMwRNGROhPp7IRytCpZ-&xkcb=SoCo67M3-yS1hVTS9h0MbzkdCdPP&fccid=900d9947a57575de&vjs=3
24/07/2024,Support Specialist,Senior Technical Support Specialist,Sliq Media,,Active 6 days ago,"$80,000–$85,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzCabS46HUPCTa0WpUbFrqxYKy4vUOGL_2ZpILISuiDY5_g5t2bsuoUWjych0ow6M2asVhYwHI4pdIY-DfGXmceN7-pA9c01VsN86ewXz-eJ3IF11PZTNdltQKpsUndnYbRr7NoUvfGKiOyyUKZ7zuFN7PrMbH28Q8XXsHIAUDnvJ6HJfZ4pxRyIC6d1YWUZH3hjT7vtz3HnHzV5nwG2XhQ5VVzFw4k2Hmxvy9zOMyXIb2Ge0jKL_H0WWMl76kUGdnmoCW5HrbK5T4oec2XTI7KwvVcWGugZKI-wznM7A8ufvlgj6axmbGPwoVssWEU-4ACciokmLgNzwgXStEDtX6Q1ubYJ8CYP3tQ-xnVvQ1d1HrFEA-V-j0dLAsG-T0HN1-AQMFxs0ZpsKXXL4iGHC2Jb5y5HKjidpkaWsk2HbFH30aXR03i7o9U9Zbuaf8_MHz7U_nA6PY96SPc3O068itAl16pDYgTwam974WT1IWi2i3QkN6zmNQZD7JmqAcsxG__z2iGdjbToYYf2ObvCtxGTPNOIW0RT66Pyq9QCFR6rAzMUa0xgXWQM2QJWxnS_hs5PHu5Gndg4tIIZI_pDLlCMyOkYgX7pPxahsRlbtn4aGhEyXFLrizm1OXlC4JJO7p2jGc8r9fjvEWCiCctZfcKyN-ssQ-GdI=&xkcb=SoC16_M3-yS1hVTS9h0DbzkdCdPP&camk=4HOcmqOLYrCnfzSzwu6LsQ==&p=8&fvj=1&vjs=3
24/07/2024,Support Specialist,Registered Clinical Counsellor,Lifemark Health Group,"Kamloops, BC",Posted 30+ days ago,$38–$55 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Cjbk0Vjq6o3_GqvpytU0k_SGwXMtJNBSd4kHJp6GtoQeTjUx9gGHkPNdVfo3gjTQ2MmOmNHKzUrifrVqu1rWh9v6SmlPj_MRkXsPgAZ0n20d_Y43TuvHmuXrMtfuzoIF26k-CRFYcD8ftXqSC06SIGBA7vM8aS0rQGtXrov0OqWqMf_XkI_atwPv1q0T6hDKwen41ezN6UjpKzrehKNXK4e5OMb-TFjOkRFPnRfKmcGuFUaVxKX8bvy1lsj1_Aqhr95DnPjYfWqdCS8Lx1t7QYQ2WDCWx59nDvUyxzRSJ38VJiv7uzO0d6cA-ffZVLhNfV1KTg-X9Lh7rHp_xgJrQfQuXXfgLAd3uabNPkKyPF3MRBkLx27HHsrAVElQ7BFDU6umMsrid2UdJN7UXVdmwHf3eLJ681M_-3HtYwRKafON5FxYqY7VcNga-23uXjDcXkosFTH_1SdmrSTjfAj9qqRvddGnrR8yLF0nmfIr8ogvzF9EPZcdV8dn6o6Eon-IkGOKptoC23FfwBXsyaRMqhAn-xwuxuKlD6hd8k3PW4DI_-1tad43CK6Jjf7wn1o1oVC7GvNqSaDxQHjqP0jMqhBMMtq19Y5GDRdUXf0be31OJmAYTAf3WvjSjrdbOjX1DTchaHkY0pBu6qgsuiPIUk09a-Qn9Es4bu8zBklSwxqEsSV2tSQDQMyS44ag3u8IjKaYYSBU3Rf8nBylyGfb2z5BbA-dJPR3xUYokl8AdjaEW9dvmdnuV07rPRFup3EhUdbIanHubCjgsg2pWz5OnXje7BZ8caJFJVohkWjMnf3cYwTdU27Mn4FUSedfEz_v9Hqqu-QhpaH_eNtzWXvPG_89aT57kvwMU3D3sY1TsUjH3RAKIeNXIs9doUoi9eaQg7PK3Q1IBRWnw6I1I1fLdUEy0UJWH5YDX_oy5AAXggog==&xkcb=SoAB6_M3-yS1hVTS9h0CbzkdCdPP&camk=4HOcmqOLYrDtgXsbuEmUpg==&p=9&fvj=0&vjs=3
