ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Systems Analyst,Systems Analyst,Canadian Natural,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=d2c4f6a449ffd20a&bb=pa06pYxmBbsnO78jeV0zzjm0Cr_4fr1LgYq8y_e8GEj6qxCwJW8HEKFTu9mvoIQNyDLSv2IJpU7AtjVAvDty7fDAK4HvTA5eE1-VmdHFGQzW8WlDYFl4Z5rjzLW-Leq-&xkcb=SoCV67M3-xzBHTRSWh0LbzkdCdPP&fccid=c0bb7be52e9b90bc&vjs=3
24/07/2024,Systems Analyst,"Systems Analyst, HTCS",Wyndham Hotels & Resorts,"Saint John, NB",,,https://ca.indeed.com/rc/clk?jk=7a8f5063bcb303b0&bb=pa06pYxmBbsnO78jeV0zzvJ_GhER38ltK8-gyfTcrBwoqcDEHcrK7WeDEkqrEtSZBJKRG6gwG9MwYpTEFSPrPxZaToqiXOyVQuuMhR_vc7WqgSyhxW-x7Q%3D%3D&xkcb=SoAh67M3-xzBHTRSWh0KbzkdCdPP&fccid=991fb5b4ad2fcb61&vjs=3
24/07/2024,Systems Analyst,SENIOR BUSINESS & SYSTEMS ANALYST,City of Toronto,"Hybrid work in Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=5ecdd0817a05adfc&bb=pa06pYxmBbsnO78jeV0zzsYqRiAcrD_AlH0XexjzkkNePj2y-1Lh6GrswebIInraDEmYfZfXXD_21uGsHACC52DKqJQQ1F790hCVrOztVH0XKcDL_SDKaX54vTyZtGpz&xkcb=SoC867M3-xzBHTRSWh0JbzkdCdPP&fccid=f2087b51205d4920&vjs=3
24/07/2024,Systems Analyst,Systems Analyst,Queen's University,"Kingston, ON",,,https://ca.indeed.com/rc/clk?jk=6192314b94df9546&bb=pa06pYxmBbsnO78jeV0zzuV7FBTqtlIZBPbPNfqS4slKK0DrvzUqsXYJZvxPqh11R88lqvmfMK-8Eexkg0QM49CYeemJbTyXHg0AAj9DuQ48_lGH5G0TLOtW8khsSXpX&xkcb=SoAI67M3-xzBHTRSWh0IbzkdCdPP&fccid=9a3c2740bd1a3164&vjs=3
24/07/2024,Systems Analyst,Systems Analyst (GIS),City of Saskatoon,"Saskatoon, SK",,,https://ca.indeed.com/rc/clk?jk=f86cf9197336c5b9&bb=pa06pYxmBbsnO78jeV0zzoTwb9pPiSnve3ofnKn_pKCfagOBhURBkehjxV26xVXekUuqx_0OqulAlYI7F8N70tEkf9fNskDPlx0cfXQez07wdbJL6VmEsVW4uPUH_ooc&xkcb=SoCG67M3-xzBHTRSWh0PbzkdCdPP&fccid=b8a0282cda4c463f&vjs=3
24/07/2024,Systems Analyst,Business Systems Analyst,MD Financial Management,"Hybrid work in Ottawa, ON",,,https://ca.indeed.com/rc/clk?jk=efdb7acfc1af3195&bb=pa06pYxmBbsnO78jeV0zzo0zE20T4dDS7VLx5aBIUWMoFU6Z66zZz7SBCfz-2VwrHJ0Gm89btBimVmsALdMcjnbjdqlqgoo8nvB0o_hW10Sgu5YZY2K9Hw%3D%3D&xkcb=SoAy67M3-xzBHTRSWh0ObzkdCdPP&fccid=147aa8770a0d5fbb&vjs=3
24/07/2024,Systems Analyst,Systems Analyst - IMIT,Nova Scotia Health Authority,"Bedford, NS",,,https://ca.indeed.com/rc/clk?jk=c4e13add7f75c562&bb=pa06pYxmBbsnO78jeV0zzomqsmF9c21ZcwkdE1ymDBd7skr8Gwtl7owU08au4B1c08a_L7bUgyyITE1kdNL533cHbahWY17E3BTGSgANw3FCGod8a2faBvIB_JINcNdK&xkcb=SoCv67M3-xzBHTRSWh0NbzkdCdPP&fccid=fbb425fe63b19206&vjs=3
24/07/2024,Systems Analyst,Business Systems Analyst - Systems Trainer,PCL Construction,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=1e7542579dae2197&bb=pa06pYxmBbsnO78jeV0zzomqsmF9c21ZXJ3FIxefM2Ze_EvM9ljlljBNC0JZ60Is6JJjq2RTvZWZyJtJW_BNPfLhNHBHxX_9JQLdRvdHAgE6kjGHBJUf_uqVwmwWtQ2v&xkcb=SoAb67M3-xzBHTRSWh0MbzkdCdPP&fccid=73c309830cebe205&vjs=3
24/07/2024,Systems Analyst,Senior Systems Analyst - IMIT,Nova Scotia Health Authority,"Bedford, NS",,,https://ca.indeed.com/rc/clk?jk=88eeacfa21dd1d0d&bb=pa06pYxmBbsnO78jeV0zzpcbqnuOnRK2y6uQfgIkoV2ivtXs-OOTcyq6wBcEnFpmcBXfYFlxxIcdqQFURWOJ4OVtlpX-h7mCjydkq3LujwUUXd-pX3KrlCSXn-33mSOK&xkcb=SoDy67M3-xzBHTRSWh0DbzkdCdPP&fccid=fbb425fe63b19206&vjs=3
24/07/2024,Systems Analyst,Data Analyst,The Winnipeg Foundation,"Winnipeg, MB",,,https://ca.indeed.com/rc/clk?jk=f5717fd81fa0b8a5&bb=pa06pYxmBbsnO78jeV0zzrYM6OMLN8dI6G8vY9Jol_QZjVJl3GyDU8KtsTdeyaV6jwnWtlFlzFcDXH8dJ49AsAzOrk5Q9qmJTAL-1-Imr6W_8xpcNc8ew80OZfuSdJxpyRv0KB_Cez8%3D&xkcb=SoBG67M3-xzBHTRSWh0CbzkdCdPP&fccid=03f5926c546f2a1d&cmp=The-Winnipeg-Foundation&ti=Data+Analyst&vjs=3
