ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Tax Specialist,Insurance Tax Specialist,Westward Advisors Ltd.,"Hybrid work in Vancouver, BC",Posted 30+ days ago,"$135,000–$155,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AxvLTjbLpgPxPb57UrnX5wB-N412Yh-55bk-F6BIxXe_UKr5cqDsUkk5Tce-5kqEsX5jVXNtP9vw0QiOU0PeTyPKLHU_LEqSzXsLw3J5hWTtn7Cnans7qdu7S_aMsEL_CCy6UgInNygwLS31FQRaFZGzAl3_o3wx3p-9gYaVBpJs201f1352iFEQYmTZx5xqHXwRz1PEHrJgX2dPTP3kImXB9dYsnvZkyRkKye0JxQ7zguwPekrwlDt19X1YVv79vI_NXu-RRl_Q_Qu_e-Vm4krZgbSeTk1o3eqfKiAvGd-P1yyY8lFnNP08mufK1eGgtLSJRVpSUuB38zlPWqtXMBJOI1_623ay0k8v-V1uXMi_d51RQeUxFR12TsldA_oyPxBuJHJum8tgUHWotRLVhJ5ACIZRmdg7jkO-8WHPMPoO05MNSalUCl1CUripPMyJ62CClY6LnLs9pXtK7l14Gczv7ctXSXKKKrnvgfTbyEXjcOgtfnM7pntT_vwYBUB5q5J3rdOs14gPzKrganec6igho7U74FUIIL0xqwVz0xo2j2Vz6iXCc8uQFv7mvOkFfc3KpbvXMnXKky4qDWhY7fZ83Ri6YDeQKZ1TCSBSHNFpHpiftoxmeFnys7LBuGA8y83t6Aw6vfzA==&xkcb=SoCc6_M3-x_oJux1Mp0LbzkdCdPP&camk=nUmJqO2E8rhc8nZDFyJXFQ==&p=0&fvj=1&vjs=3
24/07/2024,Tax Specialist,Tax Accountant,Confidential,,Posted 1 day ago,$28.38–$31.08 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CV88fJP5x15UJ0JUlEAHEjVA5cbgJKnfeNFpix9tv0iUY3nXhkxQ5uAO7-VCJKx1ybsQJN2aOOmmr5Ct02WySDqSHJshc1Z0eMLm9KUccJ3tXpiqFpHDYN8HKsLZ3XcuMoQkt4DnLB1734TilJ1nGZDpvkfB1P_yYnmrQOInXlF0npzsvlI6wKiXv3AOkYZRHUh-Gwi0Yq7NVgIPbTE8F-79eb9Yi_muECEVMmXboICsNyJFX94p7pcQ5QmwGRSB9hN785ExXHl5CJwPeFAwVuIevwiv7qaHGDx7W0rcZ0EfeHyAJrGvEtTSrSo_Brvu8TCR4jwF5CP0vKA1kpxDuDItIJ8UEgIjCMtR4eTN0BjU8XSZnz8RJ7Op2Kg-7_oDIi-gdvNoxeUlEf5RnyUypKlWWkeo0TiRJCjUjlCVkrGSlHQYirDTXhHHKPowfzqLCR6ZWbIur3JL1oYbfuNiH58kuhoJsrUMI-RmSFRLqLDvu7MuaXpM8tbKi-PloJxqmczO5z3oIBogs-DpV9MsVjVj7BNVuPn4DaIjmcUY9dbV3YXwEeDTDHa4-wIebLmK7p3VQZbCFvFr5qmN-ydTTbDKJeLVcHUoJ13ANrOXe9a1jKedFUVqjYsjrgCroVO6Y=&xkcb=SoAo6_M3-x_oJux1Mp0KbzkdCdPP&camk=nUmJqO2E8rjRWYCjKlzt_g==&p=1&fvj=1&vjs=3
24/07/2024,Tax Specialist,Online Writing Tutor (Document Reviewer) - Remote/Work from home,Studiosity,,Hiring ongoing,From $17.50 an hour,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DQ8wnOKjp80ilwojvFoHlZQ9fT2zt9dl93-tqIHr1ZUKSzXdpXCZ47BdLhf5MiTQntAl9lYfWyCmgS87e8geGixHRgpngNUu3_I5HZiuz0M-HjhZFZsvqTjEDM8z1Oro4KhQSBOqTMEoPsacL4wJA3c0HVZmEW_uDCrVMNmFJ1bLPp9B_muapdS_JspC6Zv8xxivB_DiwRJRZqTWZmB83ACj7ae0JvMMpsjVb2zaMDjRw49rDPkvRmQIEdG_PvAxJbBzGu7iippiLKNZgdjRJYJSwEiqOBUF-kvzYjxLIs4bWUYarmeQWaO41MnuGkhoJybz-2_7rCipX7UMxj-QTA1IQO8wEszWBxgDRMnmjnBJmcgc1md2T3gPDBipT-Gnq6JPs4RjH1yABrxYKUTe0lKLzQDwB3CpoxHI81YHyMkTzJlWKcrQ54RscKURggpnN0ut48DeJuO3EMxKvn7NTX4ZiRM9zckqT0fAZG3UVV0OL1qxHycTZDO8uMabTUCd2myP7K4YF-8F1_2IhIjTbmivpJ5CSdW53zb8MuPT3IjyZHMAFKXSg7q-ctH72rdfNtiBRqYe-YA-wpZzDgMYR2ApMZ--B92fVxWI2XhUBOuWiDzmd7dHeVnKu06bhSfN0bKFXV8GRAVTVWeUjwL_zh&xkcb=SoC16_M3-x_oJux1Mp0JbzkdCdPP&camk=nUmJqO2E8rj8SkqlbbZjMQ==&p=2&fvj=1&vjs=3
24/07/2024,Tax Specialist,Life/Wealth Specialist,Aston Insurance Solutions Inc.,"Port Perry, ON",Posted 6 days ago,"$50,000–$70,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0Dfqlwac6bQT7xBg8jCdIAMpahqamdWX43pK4MxRDvHjoaQFvJD-ynRzoQBvuWRmBMkL-Qgm-tETMkl59hSAGrLnp7depEJ7gSfuNG23L3NfBJVxubUoKbcBFfqUbStQzqgIPD3A4X5LxAdc-V6G06GSed4jyv5JOWwnw43tPy6PTuGqree6fU6X8PLl2LHsj8yGDYRxAn5H-yoJ1-_WisvTTKNQtvDZPvT6gGuOGH1IYy4irDvp_6faI_jdaVytHCcNIdZd5Qy_aAUhCpR-z4epOUPgyyYmZr2bkrY8cQocf84OkCI1mTn57XnpLE6yz267gffIEEwYqc2xU0Gg_g9Xw842B3w2aDm15jT8YIVWkGPrSFJbVuBnj2nODaE0x0AzMGRaWW97gQYv-b13sgiugqwoE55dSiWRDTjw5uXj9fNF09Bqn933BX99KG_h89QuYyIcDKITg9Q97pnbWqR0Jyme79Q60ya0n90nbdX6Jh-J16BXcabnfk6VlFbEs6jDlijpQMLYhJ4PAqHWdRsFeoFbcvEDy0QxNa-EJs1M9Dbsv-Ey_qDGIUpY94Lrl1F8BOA6c3ALoyq3pXn_ah9kPQEK9nIm_RGSuZp9fQag9WiOvvguGQQFFqBoe2Z4p0nXlIIOmLAerRhU8TFDyKs&xkcb=SoAB6_M3-x_oJux1Mp0IbzkdCdPP&camk=nUmJqO2E8rhBf49cN9Dsiw==&p=3&fvj=1&vjs=3
24/07/2024,Tax Specialist,Tax Filing Specialist,Wave HQ,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=00be29de85424aba&bb=th5Kx1GfdszaI-OliSlGfeFS3_Rapw8wvLUyei-bAG66a6kqkEzYAzdGMuGAYd5Y9MRk516jVgZleE47jPsv4EsrgKRIX926r_6vbFQqC-lJgdoFXBjr9j1K1WToiaOG&xkcb=SoB767M3-x_oJux1Mp0PbzkdCdPP&fccid=fe9a18444985b13e&vjs=3
24/07/2024,Tax Specialist,Bilingual Payroll Specialist,ADP,"Montréal, QC",Posted 6 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BdBocYeX87Z3tbYO-a3tIUonBsExDdYt9uQcyNDOozXqP-6GfjacfgnJd8vJ-A5Hjy7zq0ctlX-1yO28o-p92awTk-huZ0yb-WhqC9ntnmDgTy27-UjRJrQoViAtgsmVVdgM_8Boun9RmszLT2cZrzaYvCqo0I2dz6zTtiPx8Y109Z7_5SvQXAzQqpjbjzBtOuhD-27uxtUXPWbsohTzmY2sAuR7Dt8mrYsT6b1-5eABcyi7GCiaYftzokJajNPNAyAvFRtT6ZsoNHqJE0QBM4dMmDH2Vwl0iKI3SJ3aFrl8DGWX-yFZxaNU-RqzVpbed1MV3yQfADIJnF0beudtv5ptgl9TqO3cX3pR1HQOs2ERI7ubL8NRUgeg4vK7geBess7gZbqBO-qPuBYZezlH2n9k3NXnZ-sS3ap2PrnQQ60fAHpqCD9NnlxtG44G88zbDMSt_5d-N9lM03hF8b1OXvrbCF65HVpHyZzdDLvFps7T_iShl_p3vPqI1-chQkD7a-9HzrTnfRVck5hUqPM047t_jG0BwLGRgbW4FOqNdvGJf8nCScQSoKcUfo__81hY38ABcC47Kuek5eUAkQw_z-I1siEQJDNV3sz51p-JD4qivJj3AuWVdxVkro_lh8J2EA6VQ5Wpg1Yg==&xkcb=SoA76_M3-x_oJux1Mp0ObzkdCdPP&camk=CPChkbYSGj-FCrLD6Ne1VQ==&p=5&fvj=0&vjs=3
24/07/2024,Tax Specialist,Tax Specialist,Rose Tax and Accounting,"Hybrid work in Barrie, ON",Posted 4 days ago,$22–$26 an hour,https://ca.indeed.com/rc/clk?jk=8edbf52f111f1349&bb=th5Kx1GfdszaI-OliSlGfetRPxbOLnb0B_JtRdAg_uCYs5_TNxMYEcdfMa8agfn1DVEVuxgzGnaK8oyGCvfvcWwLRk86bJSJE4G7uKApy5Dv8IiAHDUQdvBvg7ejhtwV&xkcb=SoBS67M3-x_oJux1Mp0NbzkdCdPP&fccid=252e11a8228bf949&cmp=Rose-Tax-and-Accounting&ti=Tax+Specialist&vjs=3
24/07/2024,Tax Specialist,Tax Specialist,BMO Financial Group,"Toronto, ON",Posted 4 days ago,"$37,500–$69,500 a year",https://ca.indeed.com/rc/clk?jk=ee378f1c398bb22f&bb=th5Kx1GfdszaI-OliSlGfZLcIwYjK5WyCmLjnvMG5NTf8Zy4_QiBvp13hI72pi62nPR8EzWqffyfCGwRodv2vOVGNeXrmL7uTLQB88qQQ2Y4C-1nFMCvjQ%3D%3D&xkcb=SoDm67M3-x_oJux1Mp0MbzkdCdPP&fccid=3a429036b3725efa&vjs=3
24/07/2024,Tax Specialist,"Specialist, Real Estate, US Corporate Tax",KPMG,"Toronto, ON",Posted 1 day ago,"$71,000–$106,000 a year",https://ca.indeed.com/rc/clk?jk=aeb975d71b1fe593&bb=th5Kx1GfdszaI-OliSlGfckKXKmvPuseVRW54ywKhkVCpvLUd9kzbOkBqyNeBzNLcW01sZxjXSzYF7Z-GL1hExbJKaeD0OHHxE7nT-TdS-irnlfrWf8Az7H7_-MZIbyD&xkcb=SoAP67M3-x_oJux1Mp0DbzkdCdPP&fccid=2dd390c3a48a7ed0&cmp=KPMG&ti=Real+Estate+Analyst&vjs=3
24/07/2024,Tax Specialist,Foster Care Givers,McMan,"Calgary, AB",Posted 30+ days ago,$109–$110 a day,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BQyod5lfnjHOmEs_jXI4hKcOdkDy7eW5hlkwODSXsfTH3-9MAAYjZ_avQfEx15cGJmqksHj-8fSpPpM4sPm4xKJRZfNMpiOj3lAagjJyHiwRKWIaTAxF1HOhaQFzUqFFrGp3rXFxAO7rWm-w4bmuzIOPfbMWLdAyS83h6CgErzb8oOXzb2iLXJYV56ZCZAxqpsi02vFK4Bbpn_YpVeMSi_bLzT2cc5pY2RZs6QE_lXq-Bfhs3TuNSw8VA5hSv0h42iYm8G5ld2nE1V7fHxsrExi_g2qUXSVN00CITDj8j7EluNlV9cJpDkySAeLmPTHZofGcQbeUP_MCZtPbcE5D3iXhc6W5JS4Kfve38oDX9uPDck4ulpDP3ZVDJOsHslt3omiON66jlU5G0W-Rte10_S8LLuMXJ8fSZ2ziGlR6BhZ5OpsyVGkBF1e5YOPW3A-1EDlDjmbUzLPdboP90FRBZRFlQt7TXuwyb9sOh5BHiXbdeSUv2ur9VpCme8ur5AU7_s4zohPMLbOMcPViUfsIY9cAC48MNQjS31fqYH8YSJMMHngVJwnmOVfEVWW9pQvNhhFXXlNtKPUbfEOyUHuWEfX2xByYnZ3b9aIBlD7FST8L1G263xSWgC5UMks6Cta658iJjlS2U3P33BjZqyBRyOHE8uFubLXE9YiW0c5jsQZRQs5OeYZYoa&xkcb=SoBP6_M3-x_oJux1Mp0CbzkdCdPP&camk=f416UQcMBpAm-lCPvQH7SQ==&p=9&fvj=1&vjs=3
