ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Technical Support Specialist,Senior Technical Support Specialist,Sliq Media,,Active 6 days ago,"$80,000–$85,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CzCabS46HUPCTa0WpUbFrqxYKy4vUOGL_2ZpILISuiDY5_g5t2bsuoUWjych0ow6M2asVhYwHI4pdIY-DfGXmceN7-pA9c01VsN86ewXz-eJ3IF11PZTNdltQKpsUndnYbRr7NoUvfGKiOyyUKZ7zuFN7PrMbH28Q8XXsHIAUDnvJ6HJfZ4pxRvSsyM8BlG08617p8wotr4g-ozucrDWGfhbkDguSg6FMrhYXZCgalHeREpi9iNHi7uFxoih_Wfr-1toRZMlOc1n8zSdrgUBBTOoU28t4efMT0Ok0FfUbf3Skd1qj9hJqD7UYBDqYQt4iV2oV_XA22-Pj5FrCCWzsBzvoHfAKVUNVnoC33SfZ_jYo89EnqrkXlh9Drc27kxDIV-PK1V7NCo7Aqd9pDhiwcHS3x4_jsdWdHH5wY1QiufRXTn3ygSnk-PBN1usakJ-lAWjFnTiPeO5BOWcGjULBMMO1qpHitlli9p6sBj-IgCbqNXO8H59nIfl5SasCAnGRUgkMjNq3VCRwk1rizQMdKa67fTrhDciG5VFjHpf9NpYeay99eLTIs6OWXLf8vJMxlsAQou-RjcD8g33Y9b1ik02F4gSo10dQMY5JTyVxdesr1JavjvYBNx9xElSl8DcPLaDAKSgTeFG_z1xTvAIgBf5iNO9YkQar3kCiOomxPyw==&xkcb=SoDh6_M3-yR-54TS9h0LbzkdCdPP&camk=4HOcmqOLYrCnfzSzwu6LsQ==&p=0&fvj=1&vjs=3
24/07/2024,Technical Support Specialist,Senior Unified Communications Specialist,Compugen Inc,"Surrey, BC",Posted 30+ days ago,"$100,000–$115,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DR4GiK6CUKhkGG-NaBlbw_pIURb9Jhix8hN__aZXgF68yK75Ij4T_e_BrNeMX-crQPD_e-jQ3s7OXt25lwj8L04VxcsQOpM4_eG3ey_L67t_pyHwZARBzU39QY_9ecxJkc9bgwl6Aa8LeLnOGW6L1UfmCViaC2WzzTu_d5HuME7qhVTKzdAEkjUI_DMmjj26mgCBeafMzP_kmSNUnM71lvxGxhnGGGLFISKr_SfJ2Z5Jrv9pkj6y0-TGaxTEj0kNZ9RIoPob9ZihbgabvmCNenC5B9e6UC52QtSP4juPdrmPAZyUNyARtARIYkYFTMdH-zDWrGXvios1OgtYzQbhAS3rQbU8aPDA9lmOPh8eCDkf5-o0wKBqrU4b3mvVRmKve9-ATlVFWXsJMXw3m0fV-iMXI6Gc3cMmQW6VnnQ0-Zo6KZZX7802XzU_zFDy5Yec3XGqe7RUczibtlS9UspcJQ2uTtE92eqWzQBzITZLKMOlALYHXFmqcEnDo8RyHBlIN6r2sCB939BhI5uR4_8usIi6LQbF1HY0jtemz2VjeoXT36GO0TSyApGP1qrR_uvZSeWdBGaXbjHitKBBU79iXQIHSGRqfLZ0Enq5he1u236PJLAY6BhyintJ0JBw57FBjp7qBIyYgmQLxIF5w9GrIoL8E6CdlAGANThRcw-94-JY0o6UbVOzgSfdmONPbqQcxPEOSLQ6Pr_bH5MxurJ5RqkOEWJEYLIXqS_9x3jCLNosl-pnTiWN8g&xkcb=SoBV6_M3-yR-54TS9h0KbzkdCdPP&camk=f416UQcMBpAQvRrrMARA7w==&p=1&fvj=0&vjs=3
24/07/2024,Technical Support Specialist,Customer Support Specialist,Wave HQ,,Posted 4 days ago,,https://ca.indeed.com/rc/clk?jk=908fae1a4223681f&bb=x6DUFysWjmKeo4oYb1uMsC-WL1aB2BT2SWPbANBWTDByHLPB9REqHjRJV4nqG2CUY4yM0q0cbQXbEfkOIGgvy9TxSOZyweCoMOI7TrY3mmp7w6k_1ISeAt_6Wo91j5yG&xkcb=SoA867M3-yR-54TS9h0JbzkdCdPP&fccid=fe9a18444985b13e&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,Banff Centre for Arts and Creativity,"Banff, AB",Posted 13 days ago,,https://ca.indeed.com/rc/clk?jk=57d96634551bcbb8&bb=x6DUFysWjmKeo4oYb1uMsHokJJkFlYjfaLvQQNN_mtd96QrkVXKU0c8zbjRyrT3gXVldwdWxpRgIcxda0xG2AMEVN5EMEn7Fcj9tJMOdv-HnQmf_x80kyDOVx-ekyc-p&xkcb=SoCI67M3-yR-54TS9h0IbzkdCdPP&fccid=2cafb5950e5f5b2d&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,Colliers,"Hybrid work in Vancouver, BC",Posted 13 days ago,,https://ca.indeed.com/rc/clk?jk=42add9c390b1936f&bb=x6DUFysWjmKeo4oYb1uMsCOmo-DydfBQ8n9qvo1f3QCQdOjV_JiUQWeTdmyyQbzGI2rd_LxC37Fsc_F61gVj9w0H1uqm4-x02qzjvCM8V9UQGaJAJdFSN5Ts-wZO3x62&xkcb=SoAG67M3-yR-54TS9h0PbzkdCdPP&fccid=1a9a1146f8fe1ec1&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,OTTO Motors by Rockwell Automation,"Kitchener, ON",Posted 2 days ago,,https://ca.indeed.com/rc/clk?jk=7313e9d82e3edeee&bb=x6DUFysWjmKeo4oYb1uMsF_j3SfocCuKXc3wMKdDR2-RG3LXHWvR-jFuEyaTruI08SiFRdpFdq-a31qTStLNmE6Cd2rreCBQJUhBbwrsnAa6x5k6VWfijY-wKe7asYvk&xkcb=SoCy67M3-yR-54TS9h0ObzkdCdPP&fccid=9dc76bae084cb8c5&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,ThreeDify,"Ottawa, ON",Just posted,,https://ca.indeed.com/rc/clk?jk=5a07e396ce9a2de1&bb=x6DUFysWjmKeo4oYb1uMsInVl_mDV3ekNZ8FRQOfkyXQHdAHk-tPzjF41-0HSKWuqGIUXeygYwNrhtmOi7hEzoPmKx0iAjgYf-4R0NwVo2ettIZBRzZqgMqT7VF1mbKB&xkcb=SoAv67M3-yR-54TS9h0NbzkdCdPP&fccid=442b0248eb20b41d&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,Hansen Software Corporation,"Kelowna, BC",Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=afc96d7a46bbc531&bb=x6DUFysWjmKeo4oYb1uMsLGEzsHCDNf4ioavaPTF410Vsf3LDcBwBI_AjOQfmomz_XmuDiOovsidyykuKZec9LH8uVkMOyA0fz5Y6FcZ5-Zm5qVSQydEyvTNjSUn6R4v&xkcb=SoCb67M3-yR-54TS9h0MbzkdCdPP&fccid=e1731c05d93d24a1&cmp=Hansen-Software-Corporation&ti=Technical+Support+Specialist&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,H&R Block Canada,"Hybrid work in Calgary, AB",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=be260b2587e8dc42&bb=x6DUFysWjmKeo4oYb1uMsO4EkZQhuCGEw96qVKAAuvnTYjIP5N3mgCngjazddPW9x6Dr4L2JtgBvZTZadN92wt8C5-9xJiQtVkUx2LEaxy1H1qVPVsynWiM_-gnQSPFV&xkcb=SoBy67M3-yR-54TS9h0DbzkdCdPP&fccid=afc674fd0eb45fda&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,Versaterm,"Ottawa, ON",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=7140d020da5ef65f&bb=x6DUFysWjmKeo4oYb1uMsMV-FRVk1BgCV5uZsjk5GPHXg83-7g4MRxWnbyc1PYpmLKL0IrGyAvIrgwul8drOVdVQQYlH5bICtptre8c5He-nrg1VrwizIySDf1KMRw7T&xkcb=SoDG67M3-yR-54TS9h0CbzkdCdPP&fccid=098fb8bf500a70ef&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,Scoop Solar,"Greater Toronto Area, ON",Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=3ab95390560a69d1&bb=x6DUFysWjmKeo4oYb1uMsGOH3xDpuhQZbqMBrf7pueKqUp8tXJK3ROexvj5n-NCQ67l6twRn7HOslaedJ-_5yeCbRmUK5BagspJU2ECkZdAKwKPbPWERXMVw4dCa6liN&xkcb=SoBb67M3-yR-54TS9h0BbzkdCdPP&fccid=98f55f2093d20563&cmp=Scoop-Solar&ti=Technical+Support+Specialist&vjs=3
24/07/2024,Technical Support Specialist,Senior Technical Support Specialist,Forbes IT Solutions Ltd.,"North Vancouver, BC",Posted 2 days ago,"$55,000–$70,000 a year",https://ca.indeed.com/rc/clk?jk=1a6cb9748a75892f&bb=x6DUFysWjmKeo4oYb1uMsNvRXS6ft4GsCLRX8rphZrjDHOhhDAlPOAfykO93KLzFOlFdTpxMIeMlJRIJYwAX2csKGMWMmtKPYwt5UI8ZuehxilxzWjIbWyxKGNfCbnGZ&xkcb=SoDv67M3-yR-54TS9h0AbzkdCdPP&fccid=1bbc6aa1e93abcbf&cmp=Forbes-IT-Solutions-Ltd.&ti=Technical+Support+Specialist&vjs=3
24/07/2024,Technical Support Specialist,Technical Support Specialist,Connectability,"North York, ON",Active 2 days ago,"$70,000–$85,000 a year",https://ca.indeed.com/rc/clk?jk=42ad07fd6b07c76f&bb=x6DUFysWjmKeo4oYb1uMsEmKKHAajVq-vWiq61yaXCxagvFUIIMFCgOS3-KiT4fi57dEwqIq1jm6PY_dvNIC9Nf3n65fO98YKhkMcazL8K68DxqyC6sIxFK_eM7JSnKh&xkcb=SoBh67M3-yR-54TS9h0HbzkdCdPP&fccid=7835f16b3aafedbf&cmp=Connectability-Inc.&ti=Technical+Support+Specialist&vjs=3
24/07/2024,Technical Support Specialist,Customer Support Specialist,Modern Campus,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=2d259c54fa8a0bb7&bb=x6DUFysWjmKeo4oYb1uMsCOmo-DydfBQ5D0cvfM2UezRPgh1lV4UXv7gIIUytlTotoZ62YjP6E0HJsyJmhDUxsBgT-G6HjvwuNVCO4kgQ3pOt-JT_h95eIvBzHQkUrQG&xkcb=SoDV67M3-yR-54TS9h0GbzkdCdPP&fccid=3a07c685a2b4b3ed&vjs=3
24/07/2024,Technical Support Specialist,Technical Customer Support Specialist,Teleperformance,Alberta,Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=1da89e45737a48ab&bb=x6DUFysWjmKeo4oYb1uMsDSnKWJpcYCtV6XEZirg5_nZc5Z3SzEbUo8f9nKs_VdT58cztc4Wdh13NE0n87Bk0Tacc7UZStyhrLYhijwkHpPRnUMI7Jf0JyEotO_e00x_&xkcb=SoBI67M3-yR-54TS9h0FbzkdCdPP&fccid=02e72612c7c0d1ce&vjs=3
