ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Travel Agent,Passenger Service Agent,Alliance Ground International,"Regina, SK",,,https://ca.indeed.com/rc/clk?jk=9a2d7b5e8615ff3a&bb=hIDYD0U_hkvHKhilAb0pdbH3xbJP-4vIWUc-zU-7UMgScDcf3qwofC4jphcchQVBnsWPJOQ1jkpngxUaFtcsJkGOXVE5VYUXa6BgIckJ9U8tR0fe7su-uzAzNpN3wSlB&xkcb=SoBF67M3-yFUT7AdVj0LbzkdCdPP&fccid=fa18d4206a5de3a6&vjs=3
24/07/2024,Travel Agent,Ground Ramp Agent,Alliance Ground International,"Regina, SK",,,https://ca.indeed.com/rc/clk?jk=bebbde56c7a523c0&bb=hIDYD0U_hkvHKhilAb0pddvWYiScLqwgQQ0uTvAihetkjHdkYkDjqtxyr4XyAwQSQi5A0K71tF0-0FNUgfU_mTEx884t1ptIBajEF-bHItCiFzVv8-J7lzKDf-uSllS4&xkcb=SoDx67M3-yFUT7AdVj0KbzkdCdPP&fccid=fa18d4206a5de3a6&vjs=3
24/07/2024,Travel Agent,Travel Consultant,Tourism Whistler,"Hybrid work in Whistler, BC",,,https://ca.indeed.com/rc/clk?jk=154641b55b93ddb9&bb=hIDYD0U_hkvHKhilAb0pdaTLcJTsVmfefyrbiovjsqUA7Rq_KerWeqD3jKTL28j6ghcFvFBwaJrq_jO3XMHt_qlHLSNC4zAZDXz7dD2Xg499U9oPc8zf7EuEM9iWEMGz&xkcb=SoBs67M3-yFUT7AdVj0JbzkdCdPP&fccid=b69155d15f9bb1e1&vjs=3
24/07/2024,Travel Agent,Registry Agent 1,Alberta Motor Association,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=ca0c9e44adb25192&bb=hIDYD0U_hkvHKhilAb0pdeAAIreV4I_Zz9goRRI6FEouMeFb1qPtVjw4vFfYuCTLutxikzuQ0VKomyAFBBYr3QM06J2Bnt5unAYIuj4DtN9bWss_UoCjfIrPbv48MOlB&xkcb=SoDY67M3-yFUT7AdVj0IbzkdCdPP&fccid=e6c501a44445ee31&vjs=3
24/07/2024,Travel Agent,travel agent,IC Travels and Tours Inc,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=fc7d164e7716a783&bb=hIDYD0U_hkvHKhilAb0pdcn0JmRrUfrC8ioLfIVPk8PJN_OAAVlyjbzYgVatUPIa3zrsRr6XKqKEqlTlYE7JMs1uzz-on9pb5mu2QgAgP6On1m0KqRB3Qw%3D%3D&xkcb=SoBW67M3-yFUT7AdVj0PbzkdCdPP&fccid=27607ffc421fd933&vjs=3
24/07/2024,Travel Agent,Charter Travel Coordinator,B2Gold Nunavut,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=0d4256dfa8796a84&bb=hIDYD0U_hkvHKhilAb0pdSSlrfrs4OcZZgOuspfkb-Bqhh7iOVTPlNy4Un-AO7p9j7-yj8hMH_srRFo1Qm2VzHCvz65tmL9OG3cLvxjHXEeSZvaDv5_tpkASGU-k44zI&xkcb=SoDi67M3-yFUT7AdVj0ObzkdCdPP&fccid=a790598d8930959c&vjs=3
24/07/2024,Travel Agent,travel agent,Royal Star Insurance & Travel Ltd,"Edmonton, AB",,,https://ca.indeed.com/rc/clk?jk=990044080849c91a&bb=hIDYD0U_hkvHKhilAb0pdR3-ymEE4nJt-HRyMaviG_tWfLLRUcWjgGMGJwJUK_duRygbbqTLTdaWWJgSmVeOPSQTVseGrpBP9GlGmYql2Ba7xGxkPNBTqQ%3D%3D&xkcb=SoB_67M3-yFUT7AdVj0NbzkdCdPP&fccid=ad8661bef06bbb19&vjs=3
24/07/2024,Travel Agent,Travel Agent,Odenza Marketing Group,"Burnaby, BC",,,https://ca.indeed.com/rc/clk?jk=cf1c1fd849832a3b&bb=hIDYD0U_hkvHKhilAb0pde7XJrJloirbgkJTXBdJv_qCl_Wk8_2t4i8hGwVJpo4ghilAO9DVEuMcNWjVOEoIRUlLw90bXvi9StzMP7ti-e8CMKrmZge6WKLcv206yxW8&xkcb=SoDL67M3-yFUT7AdVj0MbzkdCdPP&fccid=0fb86ddb07be1bb7&vjs=3
24/07/2024,Travel Agent,Work from Home- Call Center Agent in Quebec,American Express Global Business Travel,"Remote in Quebec City, QC",,,https://ca.indeed.com/rc/clk?jk=7def288429f4ade5&bb=hIDYD0U_hkvHKhilAb0pdZBHztrQd3swAmex-fSYhsrY6SVCiwyYRjosw8XwghPRqVV1IxUl6i9Zt4_oSSrRPiNtknNL7nbSHa2ndrW4f-IwKkcbzqT-9JlHxjF6oCZE&xkcb=SoAi67M3-yFUT7AdVj0DbzkdCdPP&fccid=65a610215742c669&vjs=3
24/07/2024,Travel Agent,Reservations Agent,Four Seasons,"Whistler, BC",,,https://ca.indeed.com/rc/clk?jk=20bf01f2824028af&bb=hIDYD0U_hkvHKhilAb0pddFo38I_1PsdwJdeS7TSaWT-rJNjfsOoeBZk2FJP6Bf3LXrobbvp-bd7t0Ym8YWEWiw0zn420Ij8S0Ua2uYu-sXfsySr8q6k7A%3D%3D&xkcb=SoCW67M3-yFUT7AdVj0CbzkdCdPP&fccid=9474516a9efc22f2&vjs=3
24/07/2024,Travel Agent,Ticketing Agent,Travellers Emergency Hotline TEH,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=3b0118983022d122&bb=hIDYD0U_hkvHKhilAb0pddMDGdJuQ7qu9PNdrewyrCeObRqwzWVbcwDLcvyHOSucwS6eZfZGsfmGT9zenHr1WD6QGB6Cg1wm8PwWLTIsxZe3SQJ9LWlGQBFE8U2jUUEU&xkcb=SoAL67M3-yFUT7AdVj0BbzkdCdPP&fccid=e46a39b6993c8826&vjs=3
24/07/2024,Travel Agent,Reservations Agent,Chelsea Hotel,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=ded4fc350e3b90ff&bb=hIDYD0U_hkvHKhilAb0pdanApLU3n5EBUlzgfurJwQKawPnkTsQ8lt1VTIIG38ZGeVNCJm8a5A7FkurHN2keYnyfBrddAy1L7K2SbdkgUZqf1Or4wVbNunFUkAOBeZzj&xkcb=SoC_67M3-yFUT7AdVj0AbzkdCdPP&fccid=44cd9d8597f4ca95&vjs=3
24/07/2024,Travel Agent,travel clerk supervisor,JK Travels,"Calgary, AB",,,https://ca.indeed.com/rc/clk?jk=f9163ecf9f29f8af&bb=hIDYD0U_hkvHKhilAb0pdVMIFoBWAktgYb9KiAN4tKXsaT6a70tykiIXLBs0G7q9l2xhdXHpZZ_m_IewMJWOlHu_dgBZLJvQYaTrJhijMb_BvpwIXWHq3A%3D%3D&xkcb=SoAx67M3-yFUT7AdVj0HbzkdCdPP&fccid=f409e48e22e3ba66&vjs=3
24/07/2024,Travel Agent,Guest Service Agent,Northview Residential REIT,"Inuvik, NT",,,https://ca.indeed.com/rc/clk?jk=cadd6a1fac76be9c&bb=hIDYD0U_hkvHKhilAb0pddFgZEGrqC9UPhbDqVpswZRIVRLpZFyjGggqLMHBzjWPctMSTxefdT9KKClre4YVxPIvEarHYUzkg3MBjLMvlDdmF4sU32LoHwfrlENhDXAj&xkcb=SoCF67M3-yFUT7AdVj0GbzkdCdPP&fccid=a7c7e9991eeae31b&vjs=3
24/07/2024,Travel Agent,"Travel Consultant, Canada",G Adventures,"Toronto, ON",,,https://ca.indeed.com/rc/clk?jk=9090428b601c4bb5&bb=hIDYD0U_hkvHKhilAb0pdVya28EHaY8-nrYoebxZF7LzVa0tE3oouYykztbAQtZRA61TwLiTWY5cyvL5A5BLoKL7tfjbHAglpjNG68EHaB8AECORPZW5A4UeTslxEPHG&xkcb=SoAY67M3-yFUT7AdVj0FbzkdCdPP&fccid=477b2a4839f9fec6&vjs=3
24/07/2024,Travel Agent,Travel Call Centre Agent (Remote - Ontario),The Travel Corporation,Remote in Ontario,Just posted,$19 an hour,https://ca.indeed.com/rc/clk?jk=2dba20ad9090cd33&bb=soPZ-ARd3eLI1f5Ll197cRUpzXX9PRhAm__H6LQ_0eRju7d3lLgVfPrzi7WI6BRS6JxZOct886zggJaiVwuSSFAXjcPBB98Bjofw5HTzbX0xk0Wu7ZPfzaDZaaKXgKE_&xkcb=SoAA67M3-yFqJVTS9h0LbzkdCdPP&fccid=c9f52d92efbafaca&vjs=3
24/07/2024,Travel Agent,corporate travel ticketing agent,Boulevard Travel Inc,"Calgary, AB",Active 2 days ago,"$48,000–$75,000 a year",https://ca.indeed.com/rc/clk?jk=2935a95106124255&bb=soPZ-ARd3eLI1f5Ll197cU1UEAvYshpjF1acDKveOffIpaX2TxhStK2st2QfsTNlAE5Whdz8yv_sKn77TFH69pg7oudiuOnhULaP6S8TBmpEJpFBXxf7VUXFbdIsqm42&xkcb=SoC067M3-yFqJVTS9h0KbzkdCdPP&fccid=8860f191f7a768bb&cmp=Boulevard-Travel-Inc&ti=Ticket+Sales+Representative&vjs=3
24/07/2024,Travel Agent,Agent administratif/ Administrative Officer,T&T Supermarket,"Montréal, QC",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0DlqzJTh6qR_G0WmtQGqqtr3sbfukAyQRDYn88bi9LfAci1GeY3x8UFr-h1qU4vt8uSL5c1aMgUWphqudi2eatllZ17YXmIoPmYcLTcUqRE8z9NWr-L5PAkjnoG6ViK_SX5TWCXDli7Xc4-LKK-gxdx9iD2KHQOEriA2ZpLMnwCfFIboBfY5UBUYF1fzAgWLBF7_TfkVF4iMLaR6-oGMVKa7MUHRQ3YstnKwtxh7Qsoo8j1hdGxMEZkf_Zt9xlcssuC40WwBg6guutwRQF-OjuPikhAv7QNsn384mFNFWZvoIqrFIAtPViQrtTAyP4UnfuHn5pGFdq1mKbfHlImate-i341F4MtozVa_SJ4blp_jl8vRIA7tl4PDoFufmK6MngIlZVufXfn1yyWa60n4kCRNfP5LzlcqGcVx1auDXQODFBVE0cyg_jPyXCE4rpTeBzG45kaSisxmRAr0TuuvJbK4lpAtkgdW6b4ARWtwiW2jOLLwB98o80tMr5t_E8MtoKIyxl7YnBTyDaBcD-CUxQChRlaWnbjMK0Au8Qg3pYKqQsKUfLovAItZI9VfCPNwuFUr760kUybLzfSt9AI9-lOd8eldwAQIcA-B50J4xtBCZ1xRtq55FQpPgA3WcnttO3kuWzt2kn4XRhZN0Qn2Wa-&xkcb=SoDd6_M3-yFqJVTS9h0JbzkdCdPP&camk=nUmJqO2E8rjWkvNut35ilQ==&p=2&fvj=1&vjs=3
24/07/2024,Travel Agent,Agent(e) centre d'appel,Groupe Riôtel Hospitalité,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=7b0bc5691325b5df&bb=soPZ-ARd3eLI1f5Ll197cSJMENW0o8n5DkjKAnN5aNJIbJ_5ar3fhl0muD97i_SxP0vcbAJGse4PEeMwFRPdG8z2RKEGYUPGRtV1i65sW9tmHaMfEFjSXaXuazzo1TsW&xkcb=SoCd67M3-yFqJVTS9h0IbzkdCdPP&fccid=477c18fa6dc89c9e&cmp=Groupe-Ri%25C3%25B4tel-Hospitalit%25C3%25A9&ti=Agent+De+Centre+D%27appel&vjs=3
24/07/2024,Travel Agent,Travel Consultant,Tourism Whistler,"Hybrid work in Whistler, BC",Posted 1 day ago,$21 an hour,https://ca.indeed.com/rc/clk?jk=154641b55b93ddb9&bb=soPZ-ARd3eLI1f5Ll197cZY1HA7WGlUuEP84Wz2eeSgbj6EkPjc3eONULZIdgvNySfCZksv8PzoEBuGhq1SBDK1BWSW4uHBB4ZIwKvUzuywUh9Cnox6NIE4RnT9Scfpi&xkcb=SoAT67M3-yFqJVTS9h0PbzkdCdPP&fccid=b69155d15f9bb1e1&vjs=3
24/07/2024,Travel Agent,Travel Agent,Dhindsa Travel LTD.,"Surrey, BC",Active 3 days ago,"$33,500.00–$70,651.22 a year",https://ca.indeed.com/rc/clk?jk=1b78dd23f4388268&bb=soPZ-ARd3eLI1f5Ll197cf0qyo-x1FgK2g092Y3Dfz08im2YEorM31EdO_6MU7aurpQ-iITZbNhaB1vX5BGfnLuYrIhLzNXUs64lOEs6uNwq7dAMbdT0rqCToVY_aeEr&xkcb=SoCn67M3-yFqJVTS9h0ObzkdCdPP&fccid=f6fc0696422a23a2&cmp=Dhindsa-Travel-LTD.&ti=Travel+Agent&vjs=3
24/07/2024,Travel Agent,Sales Center Agent,Sunwing Vacations Group,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=02f44075bedbd3e0&bb=soPZ-ARd3eLI1f5Ll197cdEW19bkuphK5Fg2RZD2dxd2VuF_N1LRM2UFvrNFhmgrDpSWJoqry49haXylVBK7krhskz2aq7OwMrGtj98UTv1_P-_4q814d_pjg-CvLbds&xkcb=SoA667M3-yFqJVTS9h0NbzkdCdPP&fccid=8a2ee058bc272a3e&vjs=3
24/07/2024,Travel Agent,Registry Agent 1,Alberta Motor Association,"Calgary, AB",Posted 7 days ago,,https://ca.indeed.com/rc/clk?jk=ca0c9e44adb25192&bb=soPZ-ARd3eLI1f5Ll197cRUpzXX9PRhAeUchBnLy3fPrt7pCi_GeYfo5bL6kqwYE5NrLoevADXSiK1m0k1pIG4xjK6sMqtb0YFQVj2J3SEpZjYktFOkUR6s3CriWVwEp&xkcb=SoCO67M3-yFqJVTS9h0MbzkdCdPP&fccid=e6c501a44445ee31&vjs=3
24/07/2024,Travel Agent,Work from Home- Call Center Agent in Quebec,American Express Global Business Travel,"Remote in Quebec City, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=7def288429f4ade5&bb=soPZ-ARd3eLI1f5Ll197cXuvKDCsWUXFf5l53F56c1oc8KP05b-TZR5rsf5h6O74eHVejXkBDbZOg-_R1zSN9H5H5WeJQBuLHhpi4JyHQCn90cPYiWItCCPOb9XckzYo&xkcb=SoBn67M3-yFqJVTS9h0DbzkdCdPP&fccid=65a610215742c669&vjs=3
24/07/2024,Travel Agent,Charter Travel Coordinator,B2Gold Nunavut,"Edmonton, AB",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=0d4256dfa8796a84&bb=soPZ-ARd3eLI1f5Ll197cfWc4EsmFgBa6si6zuU_GKOSAQMcxi6IUaPo2G263lDaihpi3aaLgyA2WJf4UKjI3AelOEB-kpyg-8dxej96qqRgedBtEkiuxvMFDMjUgPUm&xkcb=SoDT67M3-yFqJVTS9h0CbzkdCdPP&fccid=a790598d8930959c&vjs=3
