ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Video Editor,Video Editor - Contract (Ca),SaaS Academy,,Just posted,,https://ca.indeed.com/rc/clk?jk=d93897df99817c56&bb=buCcTbBJtc4PkgQWkdfL_e_cA6gB492TpkixGoNJRuBjVDdZZypUfAeMY8yBvNs-aGxb0g5KKWV4jGwnGqmqR-mZtBzmDb7FiJoS5xs4CsYQi8s-8TrjcGTQ8xW1ndh0&xkcb=SoA267M3-yeZr_AdVj0LbzkdCdPP&fccid=256fe7ffa27ba51a&vjs=3
24/07/2024,Video Editor,film editor,Acre Post Production,"Remote in North Vancouver, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=3ef3d5c6636ad63f&bb=buCcTbBJtc4PkgQWkdfL_dbkbP01zJfhCP5Ss3bQqCwW0VTfqGw-2YqoxSoGlLPbJUpWmvJO_bGwILuOtHRXAiFEfVLA1b-LEphqP-HlNbMD19ZeYxLJfg%3D%3D&xkcb=SoCC67M3-yeZr_AdVj0KbzkdCdPP&fccid=5884a3cdcaf2129a&vjs=3
24/07/2024,Video Editor,Videographer + Video Editor,RTINGS.com,"Montréal, QC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=4413366acc011e79&bb=buCcTbBJtc4PkgQWkdfL_XwJ5UEPtIkHazu9AvZSORHQlweZ6CYJke1Vr9V-vKFDQmK_MryU3hmAtKiPhYtHqgS45pBufTijnk8g_OmT660w6mhhCiQl-8rEe01pOH5v&xkcb=SoAf67M3-yeZr_AdVj0JbzkdCdPP&fccid=78ddb4b96d652410&vjs=3
24/07/2024,Video Editor,Video Editor - Youtube,Goal Guys Inc.,"Hybrid work in Vancouver, BC",Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=3639991ff4079b68&bb=buCcTbBJtc4PkgQWkdfL_dzUSymLvWNS1F5u7SFOLFEkTzzhUjANlzPzLL7P8bpxuu0PZhEfQsaEWO592klrIOaL-J11vwkeABqOELlH1A3X3-7Xbv8vVlfOWTyLpmKm&xkcb=SoCr67M3-yeZr_AdVj0IbzkdCdPP&fccid=dd616958bd9ddc12&cmp=Goal-Guys-Inc.&ti=Video+Editor&vjs=3
24/07/2024,Video Editor,Senior Video Editor,Leo Burnett,"Toronto, ON",Posted 20 days ago,,https://ca.indeed.com/rc/clk?jk=df3e8c49f96ccdd6&bb=buCcTbBJtc4PkgQWkdfL_TKS4CCwXJwlLJbMg2l3JK8fJ8AJzr9NlPeTXBkEECLPoDrHZ1qN6jI956e6H951LF23qUcOKfNhDsY6iBn4EG9LDgnTePdUJg%3D%3D&xkcb=SoAl67M3-yeZr_AdVj0PbzkdCdPP&fccid=5ee084757f8a188d&vjs=3
24/07/2024,Video Editor,Content Editor,Seven Tree Media,,Active 6 days ago,,https://ca.indeed.com/rc/clk?jk=ad7acb1562a359cb&bb=buCcTbBJtc4PkgQWkdfL_TytbsY-UaOCqBKX6nXFi5g91U4wFGZG9QkKTt-Q1zfvPbEcbusoJpzNw4TWOSYrxNEXVMoZKJjw0ldFwFL-n4jBYt4krhJu0_7PwiP5-VOa&xkcb=SoCR67M3-yeZr_AdVj0ObzkdCdPP&fccid=372a80a181c2f305&cmp=Seven-Tree-Media&ti=Editor&vjs=3
24/07/2024,Video Editor,Video Editor,Brand Guruz,"Toronto, ON",Active 3 days ago,,https://ca.indeed.com/rc/clk?jk=03b668686445f68a&bb=buCcTbBJtc4PkgQWkdfL_QHfCt8VRb0vqsfGKd9llacoolKSM04Cj2iSGgM9F49cZoCxUwZ3xTIYkLsetrj8kjAcm5arW3T1awzf7dSamXnOWXDUiy5iRdyaiNjgHYEr&xkcb=SoAM67M3-yeZr_AdVj0NbzkdCdPP&fccid=500de471d13dfc58&cmp=AA&ti=Video+Editor&vjs=3
24/07/2024,Video Editor,Video Editor,SaaS Academy,"Kelowna, BC",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=94f56d8e938455e3&bb=buCcTbBJtc4PkgQWkdfL_Vfw7c9s_5gWjlUZOpH8HyaDnNCG8m5utM_H7QUYaPj3iI5vEvt7qmoDid8j_0ly23IRSBsJRjFuXsKgWY5fJ5HU3ygIMuLhyRxtjiU58KhI&xkcb=SoC467M3-yeZr_AdVj0MbzkdCdPP&fccid=256fe7ffa27ba51a&vjs=3
24/07/2024,Video Editor,Video Editor - Freelance/Part time,Paralucent,"Hybrid work in Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=bf66b7a8efe86a05&bb=buCcTbBJtc4PkgQWkdfL_crGghhUtO7J9KALxVEYiEBaX0jnk7ZSNPx13bQjtjW8dVOOFl1Telippbk60cFjDoc8dAQK1_nyeQkfi7CebJgBg83SpKT70BmT3Lb-LS4w&xkcb=SoBR67M3-yeZr_AdVj0DbzkdCdPP&fccid=e3f76715e1937e83&vjs=3
24/07/2024,Video Editor,Video Producer,Lenbrook Group of Companies,"Pickering, ON",Active 2 days ago,,https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0C3c_0EzI28JgVIAH9cGk-ZVeMcZsdU8Bp94fbMIc3JLcdECN-caHfq2zLJ7552b4cKcvcGFTYEUH-qHSXtsxHJs-Z7-1EhLwxfnw-ZvCzO61ZhfWTUHdi2UM2yd5f-ooGUKc0yKKOJThQkK03x4r0JFfiKoU3r02yi0I7jX2r5tcmoHzWO_3aeAkKDVeCoAB5QMyEC_OI1yM6VFABmq75d-t1kvGrQVZfpsBwgz2KnlCqUyQibzgn4T-zEFWFxuV1a0z73M3d36xvm0bGF5v7Dbk-NvA5iKz7yW4TmpFuZkXnrITJ_noeNrIE4ir68sV59feLoZP-ouV29o9QiNS3G4lrWrkhf0iQN1QMYOcMeJHHeaMDTv4Kl2CFn4bY1RjAzqjGQUMqXsFFwq-jeVlUoVI_1Od_C04Q-7SPEq3GrXdbtY3ASvw_at4vwXL5gd1TJnmPnPmCo8kSRK1y63hNM7Thapp50PYVK-WVbmBmSBazQYgc-1a6DXVWyLbZ2n2iHQ1js70XAsXMcBhw780LYiUPIPJS6vivliDq-zscKRO-PXxgvPsE2JgzIGJoXuafhJ4HUjrurOXBirIENPHAGnoAcp4jyJnxlqXF06EmgFE23MKfdZnwd&xkcb=SoAR6_M3-yeZr_AdVj0CbzkdCdPP&camk=nUmJqO2E8ri-plwjNtLNkQ==&p=9&fvj=1&vjs=3
