ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Web Designer,Senior iOS Engineer Team Lead-Canada,Bellwood Labs,,Active 2 days ago,"$125,000–$175,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0BbcS2TMpnX8ta2d7VziHXbD-4yrELM3HcMBz1N5h3AcDD7p4bxdi1AklRejL8ozg5M5m1dZx_k3B-EF6rFhW8zeXZiDAsFs-j3_shx2zj4lX2X0neeIkn7-evHofnLFtquQMAM_-StiNg0G5Tq6osi56aFDaegmJtbdtlGmBOppSzInArA4I6w-u5KPmTNuDNEB7xKkRJAkIvqnXGVpClqiST9-uAtn9eWBkTwqq8RmNnzPzHsrecM0j4iAdmkEbuX3r3YEoGDiTBy2OcB55uKPnjti7iftqPEg3H21N2VJ2Wfp9RlRuKJVYPw03MyjOO9CPnGSB9F2wY16PlyO7f9jIwp1rHORMKzLPwjWTHvoWlysqHIi2XIsSTqhtNNFLqs0f8yf0jOmFKONV41b1CgYL5HFgmw8ao4i3AIuiVp-0_edpaYJSct4ahN6fafhE2hySlSgaSNIAic70ruSAcFrusz3ClF1ctknfz68h6Yo0u2ZI2azAXTbnD2AVoNR9xA70LA3qoKJlFVFDDH7hzZzYOynrOt9l12N9VtixANI1kKe0w6m8x39-RDciBGOdAtG3SBPW_RgyCUQMZjGs8D78BsdI2sBGsqimzfzrLQKSf9s_EUGW2uIg7H84MNaarGdCwRVkP-0IH8bnvFmbUCaL99fmm5MeSvfgaFvOYaVw==&xkcb=SoBj6_M3-ye9kMSKB50LbzkdCdPP&camk=nUmJqO2E8rjp7nMb-gl3hQ==&p=0&fvj=1&vjs=3
24/07/2024,Web Designer,Website Designer,Empower Basketball,,Active 24 days ago,,https://ca.indeed.com/rc/clk?jk=c07743d7fb57750d&bb=0N8u0mm9ak4b8cvOw2NO1e32aIdaPa9No8nqEfxPD0jfqfjOWMt7NeTP6gBkSUBHOsB-e0JurB-ebbnxdNDbntQeDLdmpX97WqUrn5Dmk8xR-QQnjuDAueSY_GS12--G&xkcb=SoAj67M3-ye9kMSKB50KbzkdCdPP&fccid=807a1ebd61ba4464&cmp=Empower-Basketball&ti=Web+Designer&vjs=3
24/07/2024,Web Designer,Graphic & Web Designer / UI/UX,Decentraweb,,Active 2 days ago,,https://ca.indeed.com/rc/clk?jk=fdf2e8115fbe6806&bb=0N8u0mm9ak4b8cvOw2NO1Z9X6ctD2ge7gtmMji8zhCpGpoonRRSiDJAfsquJZlC1A-A2_VzPnAUxCEkDOOXIGg0lw7CfXZtNT5xj0ucBV_fr-8fFcMBoxeKhd8H_viv5&xkcb=SoC-67M3-ye9kMSKB50JbzkdCdPP&fccid=b18ad08bf38a498b&cmp=optimal-secure&ti=Graphic+Designer&vjs=3
24/07/2024,Web Designer,Web designer,B.C. Furnace Service Ltd.,"Coquitlam, BC",Just posted,$30.50–$33.50 an hour,https://ca.indeed.com/rc/clk?jk=77357ecffa1cefea&bb=0N8u0mm9ak4b8cvOw2NO1awks0P7zEMxK4HbuBEtq3JeCeQ8gJjAAFtA_vWEA6YsuMnbBf2WbZeJBrLtDI2r8GcBv5se7pxwpaRY1C5kIazryjnJTN90Ww%3D%3D&xkcb=SoAK67M3-ye9kMSKB50IbzkdCdPP&fccid=481eb15d48c20fd1&vjs=3
24/07/2024,Web Designer,Mobile UI/UX Designer,Goodself,,Just posted,$20–$30 an hour,https://ca.indeed.com/rc/clk?jk=fc2807fec3495bb0&bb=0N8u0mm9ak4b8cvOw2NO1SYqenKc-PWtb8uUFUeTUmESnEQKOZjEYAZJZad3d9LAT-do6cIk2AaJkmYRI8A_JJL9ESr1kV0g4ccMFZX7zJoD9-0hzslRb_GZEzzXM16V&xkcb=SoCE67M3-ye9kMSKB50PbzkdCdPP&fccid=18d6a46dc5789002&cmp=Goodself&ti=User+Interface+Designer&vjs=3
24/07/2024,Web Designer,Web site designer,Gentle Dental,"Langley, BC",Posted 1 day ago,$40 an hour,https://ca.indeed.com/rc/clk?jk=c2be31e993d419a7&bb=0N8u0mm9ak4b8cvOw2NO1fDiWWUdvYAwsU--HxNgZLI424qKS4kWb8eKU2Pl7vjuxlMNg2lQvVxfMlrSrhCYY8ZmozJe-x3NVlR3za5iqHSlzHJ0Rq2JSg%3D%3D&xkcb=SoAw67M3-ye9kMSKB50ObzkdCdPP&fccid=10a8425e94c0092c&vjs=3
24/07/2024,Web Designer,Website and Ads Specialist,The Rag Factory,"North York, ON",Active 8 days ago,"$60,000–$65,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0CkTk0hWctrFeYMuCVYZI9xHCyFU5Jfo1Jsewa6uAOgOQrKa4ysBCRGzbaVVwWUjoDheAIoZtolA2y43eGQa00FBWNRB1bNDbqg9F94sZAfVoEnxJchso3oUK6JAOU4j1BWXn_XPU6aoHltLberZxyAp7Gi53a-NQmYGW-dCgG4IJkx3JQCWhZ9rUEx0C8ScJ27cM4reUphjzpDIswvx3l7c5MF-ZFUVyEfiiBpEQOwodM1iplHa7BthC-a9cX8BTzAulZlZKg8MuNX-tTN847fGLkdvbgyE6JeMV6LugGb_OEBSj2AaLGZugDCl23cor7FJsEvMeDno5k_KdMjj-to64lnofuXWNuVX9jLPJ_apwfMy_3pX9ivUnqTa0Gt5ZpTBngtYfQYpmX-OFiXGDHlY9H9C5uxInuxBIEAAlUPKoTMHWL1naUgz4pjRfTyVsQEfJ4QQ9Qy22mfRldBUmh8xz_qkZ7OWo_Yko9PfE1u6TaX5w0obNkdk_nNgLfpBiMJ89G_ov7QLooEmdQPwNRQKOmKRx1BJHg2S_vbyse0X32_aOqTjaPmLqhNGSE4EKltomC8LXWwhSJEwkpQ9-DOVbh1xixkRnEJmYoKsl8gcKXnVurheqdrhuR9C0_s44SvJL0OWKacLQ==&xkcb=SoBZ6_M3-ye9kMSKB50NbzkdCdPP&camk=nUmJqO2E8rjQnBr6lrp1aQ==&p=6&fvj=1&vjs=3
24/07/2024,Web Designer,Web designer,The Web Titans Corporation,"Mississauga, ON",Just posted,$33.50 an hour,https://ca.indeed.com/rc/clk?jk=7786c3e65daccc4f&bb=0N8u0mm9ak4b8cvOw2NO1ZRuHUIM_b5E1Zz5ZxNAibgmqnAVGxI9uHTR5QQ_bfHg3m6jt4Uaq1y40wXugl1RVKJtzjweNzPME-AChYuYhpfuZJAKSmFlbA%3D%3D&xkcb=SoAZ67M3-ye9kMSKB50MbzkdCdPP&fccid=ff5169f29116bf7e&vjs=3
24/07/2024,Web Designer,Responsable Inbound Marketing,BusterFetcher.com,"Remote in Quebec City, QC",Just posted,"$68,000–$82,000 a year",https://ca.indeed.com/pagead/clk?mo=r&ad=-6NYlbfkN0AvDS0qnKC8XdVN3hPYf4Rw8MyZ0AcclMJ513gwYKX_L519GWCHQ0XXBmkpIhYPOD7hjyq8WZPbb_F24yWyEM3_u0EKOy1YLUBm-2JBFasmqzSb57KJiSKXwXR3my5hPUpTCCu-XQcEwnN-gSsh4HYHSvugENGSIW1MIj5fwC4wJkyXe-BjKYcoxszkVHcSDYHeGor9-jMTkMocrr4xFvzkuVzqXIzeEBs9V05xgfP8HrPtTiz-uPWAnW4cYcckxWePtJyG9z5eVfoB05tgcT0BC_XR9LaLK9GYZc7reSxPfG3Ng7u-muv8HskTxVWFUAVgiCFwkK9B72SPKPvknGnYT6LbeK0xtpeeOQeQNHyhxzshf4Zwg1A0qvka5w2s4dosz-fSn5lmWMBQ6Tt5zliDY9M4TWmand3WUYdDamGMxiJ9y9GcTbYiE33aXG526xI__VAzpqibMr5FO_QoqQ2_7OUZGRtafzDZAuZxd8_4KwjsOErfk5gJ0MdHllH-x8gJwUoDaHVmcf9JpFzvB99iJTjgafQQUBOl9ayX1_nsUdmxE4hZbCGk_W8hW3RQP_Hv-iIyqn26n04OucjLZqW9UMxwq4E4ckjPTMZBKElo1pAo4KTYVu4VoBKPxloErWO__QiKC-Xhxz07STTmeB7rtEedqw9ImpIQuIClIB77CnyBBKOn0sMUHjfAKr_1XejayHMxsilZlvGUz8MGcu2m9jk606MYT9j7iL2EbMo_pyLadtmLWe8EhgHNFuyauHQ=&xkcb=SoAE6_M3-ye9kMSKB50DbzkdCdPP&camk=xqnMBGaf-K-8PG3NSKZxPw==&p=8&fvj=0&vjs=3
24/07/2024,Web Designer,Junior Interactive Designer,Opifiny Corp.,"York, ON",Posted 6 days ago,,https://ca.indeed.com/rc/clk?jk=8c64a0693bbe5723&bb=0N8u0mm9ak4b8cvOw2NO1ZlGdxhZ7e8WTdd5Ab0m3bgNXQIqH0VkTHYD_K6dlUITbUjkWdFDbexQSP4TKzOdruZAqxGH1i6MNBpHeTwxYZHPaRFWGjI_7QX815hHR8C1&xkcb=SoBE67M3-ye9kMSKB50CbzkdCdPP&fccid=7610b46bafb938b3&cmp=Opifiny-Corp.&ti=User+Interface+Designer&vjs=3
