ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Welder,Welder Journeyperson,Teck,"Logan Lake, BC",,,https://ca.indeed.com/rc/clk?jk=0e6c32e2646591cc&bb=QjWhh1yX5rn1x5CWlqXbXhfIGYSYfNSnng3tRRsXw8agxM5pX4ZgQgEzqyWI7aRTNTZJefQb5xmpXxdTrNxr3lv6Q_4KMPHYsENX9E91aM7xEPAdiJ74Z2P-hHny7CtQ&xkcb=SoCQ67M3-yFi2gwYxx0LbzkdCdPP&fccid=3b3560e05dbdfdeb&vjs=3
24/07/2024,Welder,Certified Journeyman Welder,Gibraltar Mine,"Gibraltar, BC",,,https://ca.indeed.com/rc/clk?jk=8a9946cf9dc5e561&bb=QjWhh1yX5rn1x5CWlqXbXgYxxrwGipCArxAcfs1ejMOnL1tQdIKrGoRtfxG5KDWdAenKsqPldFYf9lcyDfEBUZOUxwlgZQNQBIAhij5OSxhpSZGjCBACV5i2lsMCcwIf&xkcb=SoAk67M3-yFi2gwYxx0KbzkdCdPP&fccid=f6463d31840f1daf&vjs=3
24/07/2024,Welder,Welder,Ocean Steel and Construction Limited,"Fredericton, NB",,,https://ca.indeed.com/rc/clk?jk=43ba44f411b8cf9c&bb=QjWhh1yX5rn1x5CWlqXbXtJpF3UlyMu7T24wvZ8sZGRvD6tMCvjqMZawKGIhyhUx7RKj06b-3micLdGTw59NmE5IdrqlkvL5qX9PC2Nuu-QYOxgAt8QiIzGABM5Cp16v&xkcb=SoC567M3-yFi2gwYxx0JbzkdCdPP&fccid=f74a9a5ba32f1f4c&vjs=3
24/07/2024,Welder,welder,Exalted Construction Inc.,"Cambridge, ON",,,https://ca.indeed.com/rc/clk?jk=0c1d9e9128b6c05a&bb=QjWhh1yX5rn1x5CWlqXbXg7WJbkFIusPd3-a44dlJiRRhwi4I2Wws2tM3owL7DRjLCzxUX7FvL9ujnzYDPOPPHesZXiTNwZpW8YnVfOTKZFywsPIE_13FA%3D%3D&xkcb=SoAN67M3-yFi2gwYxx0IbzkdCdPP&fccid=c2723c737fb0e4ab&vjs=3
24/07/2024,Welder,welder helper,KING WELDING REPAIR INC.,"Brampton, ON",,,https://ca.indeed.com/rc/clk?jk=b9952e7361c569ae&bb=QjWhh1yX5rn1x5CWlqXbXm_0QJ2NIPG-kHSh0yGr9oTgdDyiX6KuiB30urxGHLKDX737eH6ix1sOpIHAZoiOUWiht0BWudXYPLrURx1wYzFtdK-UuldfeQ%3D%3D&xkcb=SoCD67M3-yFi2gwYxx0PbzkdCdPP&fccid=ea3b66e6abe257ef&vjs=3
24/07/2024,Welder,Welder,Puglisevich Canada,"St. John's, NL",,,https://ca.indeed.com/rc/clk?jk=1dc934e6e1ce10fc&bb=QjWhh1yX5rn1x5CWlqXbXtxU1tZK7dW-Qkn2qAZMj84wvcWzT8BBlBIar13FW82dtoMUddjFghl0HszoCPOsW8Knh0aCvR6_PPd8uY--9WRVCErvypBUuz1lI1UQTEMT&xkcb=SoA367M3-yFi2gwYxx0ObzkdCdPP&fccid=2c0370df86e113d5&vjs=3
24/07/2024,Welder,Welder/Fabricator,1300-Applied Industrial Technology,"Kamloops, BC",,,https://ca.indeed.com/rc/clk?jk=bbf84d320a606db3&bb=QjWhh1yX5rn1x5CWlqXbXtRiEKqMBZgQhx0-Bb6K6DVRTmJocBEvBnderF8L10-q-uinHetKPrW404Wg_3U7s9fkxqN7uu7fV3MzStMgGL1O5FArPdm4LHls4HMdnEH-&xkcb=SoCq67M3-yFi2gwYxx0NbzkdCdPP&fccid=e9d60c2d312598b1&vjs=3
24/07/2024,Welder,Welder,GFL Environmental,"Squamish, BC",,,https://ca.indeed.com/rc/clk?jk=876abeddfbb0a877&bb=QjWhh1yX5rn1x5CWlqXbXu0elEeJMwV15ZRn0mNt9hz1vkB_yn03bvaclmndWldX8z1NwixOKKnjyXxB09xhfNxf8bTmX0XgFlmT0sXs_oMXTLBmeO1s9ZJZHeJ-IPj_&xkcb=SoAe67M3-yFi2gwYxx0MbzkdCdPP&fccid=35d1d37f6fac0933&vjs=3
24/07/2024,Welder,Welder,AG Growth International Inc.,"Oak Bluff, MB",,,https://ca.indeed.com/rc/clk?jk=2c3c4dadaa483971&bb=QjWhh1yX5rn1x5CWlqXbXhh8YiMLoauBik0yhVIvgRcvwy85DLCEHDsKYK5i2ZLEfXYx6wXaGgbxnk42mkqQ2WxuE-R87Hp09mPd6QOmiehRs5y9X-kHMZGNEXKwENc24sQmPz7SHxk%3D&xkcb=SoD367M3-yFi2gwYxx0DbzkdCdPP&fccid=53ffdc201e253a16&vjs=3
24/07/2024,Welder,Flash-Butt Welder,RailWorks Corporation,"Saskatoon, SK",,,https://ca.indeed.com/rc/clk?jk=0eb633d639643901&bb=QjWhh1yX5rn1x5CWlqXbXoKsGE1AIKnpt06QlN9Cy9r74hgN3zsoTS9FMihIFYwUG5ER83cKnTgH3DsxGOvvhznR90pUajeYXJhxAAaoX3QfLfqF17lE0lb0hJySHSrC&xkcb=SoBD67M3-yFi2gwYxx0CbzkdCdPP&fccid=7125ca1a4cc90147&vjs=3
24/07/2024,Welder,welder,Pamal Trucking,"Saskatoon, SK",,,https://ca.indeed.com/rc/clk?jk=51fab507adfa4219&bb=QjWhh1yX5rn1x5CWlqXbXp0DzJGp_TKOa75EMShlqFewnE8qD4Yqg7QKKAd6U5qUudCGe3SE87oISgj7OcfSF9BQtMRfLOOckEnv9YchkFlA6PZcx4i0IA%3D%3D&xkcb=SoDe67M3-yFi2gwYxx0BbzkdCdPP&fccid=217836d126f11ba1&vjs=3
24/07/2024,Welder,Welder,Britespan Building Systems Inc,"Wingham, ON",,,https://ca.indeed.com/rc/clk?jk=1cb6b77994672d3a&bb=QjWhh1yX5rn1x5CWlqXbXtRiEKqMBZgQueqE9ajZ6TsXR5g7CUCFtr9iVbrVjvZi0UYmrj0RCZI93ZFmOFVLilGFsP1AZSWe-VUeMngnB4lmkOKnk5WcqtcjS7_eJ55P&xkcb=SoBq67M3-yFi2gwYxx0AbzkdCdPP&fccid=dd616958bd9ddc12&vjs=3
24/07/2024,Welder,general welder,Seatac Transport Ltd,"Surrey, BC",,,https://ca.indeed.com/rc/clk?jk=750f48cf12ab1f83&bb=QjWhh1yX5rn1x5CWlqXbXp7fWbt5QjnyLaguCg14wHKVmj-geDZll6fvfrEYDSDTWyF3J6WVjxsX-PGIWjogcryLFSok0Rxro-dthIQOlqI08kLaTO24VA%3D%3D&xkcb=SoDk67M3-yFi2gwYxx0HbzkdCdPP&fccid=6a1c965c3b03ba97&vjs=3
24/07/2024,Welder,Car Repairman/Welder,Procor Repair Services Ltd.,"Humboldt, SK",,,https://ca.indeed.com/rc/clk?jk=9018ca2b5622a6f4&bb=QjWhh1yX5rn1x5CWlqXbXkzdq-9PnSHDR4CqsyYGE6lfUdOj6OY8FnqQVzSa9DheYIPDFhm7w-Eva4FkRmb81cIhEH6Ro6B5InUqj4qS4u9egPW0yq26By2j9qcH5kYC&xkcb=SoBQ67M3-yFi2gwYxx0GbzkdCdPP&fccid=3b2b9c7e98c0f15a&vjs=3
24/07/2024,Welder,Maintenance Technician - Welder,Vale,"Labrador City, NL",,,https://ca.indeed.com/rc/clk?jk=ccd5756e5c1c5bb6&bb=QjWhh1yX5rn1x5CWlqXbXqHKAclnPoTk7EHLlbBajIaYmx9UoGc4fQ40FvKab9xwpwTR55VZ7EBvPWXNIDB_N2rgAPU02JkdIamEaRfuJWd-wIA6FtSu3T9vf3OqnRuG&xkcb=SoDN67M3-yFi2gwYxx0FbzkdCdPP&fccid=7bec30406f61d77b&vjs=3
