ExtractionDate,jobCategory,jobTitle,jobCompany,jobLocation,jobPostDate,jobSalary,jobURL
24/07/2024,Writer Author,Writer,IMP Group,"Halifax, NS",Posted 1 day ago,,https://ca.indeed.com/rc/clk?jk=e1e224dcb44be1d0&bb=BDK71QRgvSar1XhgdlhS4QJ3mKxfisqRXMWxi-HxTBdAAA4c0c6PAuqBj-wzZUwGRnhHPOVpE0IWZf_A8fAyb3sbCJn24Wt_uKamSpOkTGJYIwwGfudW_RRKS5R0-3m3&xkcb=SoDu67M3-yet4VSsWh0LbzkdCdPP&fccid=ba7d94faed2f7137&vjs=3
24/07/2024,Writer Author,Medical Writer,Alimentiv,,Posted 30+ days ago,"$65,500–$110,000 a year",https://ca.indeed.com/rc/clk?jk=b4de604873b42aa6&bb=BDK71QRgvSar1XhgdlhS4V6G8vIiLVYv2fUPRINXz98tK-gwDTecbVELjIneRr3s9bjFbDWMbvFIrXuIVGqwz-Jt3CSQSHD4WWMQGA42xUWKlB4B9pOTf2zKxRGft_CR&xkcb=SoBa67M3-yet4VSsWh0KbzkdCdPP&fccid=dfe344fd30931322&vjs=3
24/07/2024,Writer Author,magazine editor,Darpan Publication Ltd.,"Surrey, BC",Just posted,"$60,000 a year",https://ca.indeed.com/rc/clk?jk=bee419ad0699b1ce&bb=BDK71QRgvSar1XhgdlhS4VD96iF7vkwU9manJtisaHfAUla6Divn21T0BjYFC07_FVXDkYbkigpFvvKJ2uYXNKLAYCB9H1PvIwGPtIhZWKpm6RyXaoIz3w%3D%3D&xkcb=SoDH67M3-yet4VSsWh0JbzkdCdPP&fccid=2ca43cdf7fe00544&vjs=3
24/07/2024,Writer Author,Editor Writer,Canadian Centre on Substance Abuse,"Hybrid work in Ottawa, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=29cbe8a62330f80d&bb=BDK71QRgvSar1XhgdlhS4cHL7j43id1z9TxCEAys05fs6OXX9ykK0Tw6hfWFLHLULXL9CNak3x2bnebkEM7G9lNw1r9cc01eN36D4W2K-grnFmlrAwPCeiyVldFDXBp5&xkcb=SoBz67M3-yet4VSsWh0IbzkdCdPP&fccid=d80e6d197b36fda6&vjs=3
24/07/2024,Writer Author,Movies & TV Articles: Shift Author,Screen Rant,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=ccd939523e5074da&bb=BDK71QRgvSar1XhgdlhS4dyUxHXe11vC2snaHc0VPf0-RFRofrU6Rxr7CJ5BM1wLQv_oFNsHwvM1ozbdvdw8zQAgFIBD5vSb-X7KHE8CbvO9JNcOkT1o-yYRxCy_9hvS&xkcb=SoD967M3-yet4VSsWh0PbzkdCdPP&fccid=e61583d322babaac&vjs=3
24/07/2024,Writer Author,Medical Writer (Medical Information Lead),Inizio Engage,"Toronto, ON",Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=a990564e6679513f&bb=BDK71QRgvSar1XhgdlhS4cll1CoJ2ptJ40ii3ADWL_8y7gPYVtrmjwJjAgQUYM3PcLK3a4HkXdtjH5kyRE0nGoe4IUcFgFLY5GJJvM_BB_UdHTHzJww53sKMF0f6MI3g&xkcb=SoBJ67M3-yet4VSsWh0ObzkdCdPP&fccid=2cc78e8a48e6feb0&vjs=3
24/07/2024,Writer Author,Freelance Ghostwriter,Reedsy,,Active 1 day ago,"$38,000–$50,000 a year",https://ca.indeed.com/rc/clk?jk=50a0d708ca8503f2&bb=BDK71QRgvSar1XhgdlhS4UR7qGW587gpVyhW7nSe3sJWBIwHU_UIQS6s1KnCvhDDkKdYXOklQLuk__d3iX2OER0DDLqG5JaDnjlcGmtmokA6H4-ggQSpja89B9c_1m-A&xkcb=SoDU67M3-yet4VSsWh0NbzkdCdPP&fccid=41f7d3bea1451225&vjs=3
24/07/2024,Writer Author,Senior Medical Writer,Worldwide Clinical Trials,,Posted 30+ days ago,,https://ca.indeed.com/rc/clk?jk=75f8000ed8ba0396&bb=BDK71QRgvSar1XhgdlhS4bEE2tkfIEPVkKPT6SqtlADPyBXFy4HbemVE8Hqw3NyXy2KGajCX2XhqLqXtaiOxKWslQ7IaKVMuyHnIaAaGAgogA3eEFJljZLFT4w7iSbMG&xkcb=SoBg67M3-yet4VSsWh0MbzkdCdPP&fccid=bae0514ffbd778df&vjs=3
24/07/2024,Writer Author,editor,Parul's Artbox Ltd,"Surrey, BC",Posted 27 days ago,,https://ca.indeed.com/rc/clk?jk=ae9b9bd51f8ec9a9&bb=BDK71QRgvSar1XhgdlhS4c6hjKSg-VcfmbTDWqy_6IddWthOCnqyNtr-xze_dzuKfwuYICR7a64tiUax7tyAY2qdvXE30t_89kYJjuHUbaHSATf9fVIa4w%3D%3D&xkcb=SoCJ67M3-yet4VSsWh0DbzkdCdPP&fccid=672e39ee17f5fcd5&vjs=3
24/07/2024,Writer Author,editor,JK Photography & Films Ltd,"Delta, BC",Posted 30+ days ago,$31 an hour,https://ca.indeed.com/rc/clk?jk=03b4b7628575c939&bb=BDK71QRgvSar1XhgdlhS4ZSkDaaKXLy66fTgOz1p7CXJZR0sHZ1Fxi1IdjaoIqu7KeySH5dILe-77bXpajHsYdrm-MwpgaxfJHk-i9FebJ8cXAyQbi0tJQ%3D%3D&xkcb=SoA967M3-yet4VSsWh0CbzkdCdPP&fccid=320388b10190a700&vjs=3
