,Job Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,administrative assistant,"June 10, 2024",Not specified,"June 10, 2024",Lighthouse Group,Collingwood (ON),Salary:$20.70 hourly,9317034032,https://ca.indeed.com/viewjob?jk=ae46bf6aef3f8a1b&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Collingwood , ON",$ 20.70 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9317034032,Not specified
1,administrative assistant,"June 04, 2024",Not specified,"June 04, 2024",N & G Trucking Ltd,Surrey (BC),Salary:$27.00 hourly,9308832564,https://ca.indeed.com/viewjob?jk=6847648f0c5195ed&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Surrey , BC",$ 27.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9308832564,Not specified
2,administrative assistant,"June 11, 2024",Not specified,"June 11, 2024",Canadian Drywall Construction Ltd.,Sherwood Park (AB),Salary:$15.00 hourly,9319145077,https://ca.indeed.com/viewjob?jk=a29f6cf2b6132096&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Sherwood Park , AB",$ 15.00 HOUR hourly,Full time,Starts as soon as possible,1 vacancy,indeed.com #9319145077,Not specified
3,administrative assistant,"June 04, 2024",Not specified,"June 04, 2024",BANDIT ENERGY SERVICES,Blackfoot (AB),Salary:$18.11 to $30.00 hourly,9309260508,https://ca.indeed.com/viewjob?jk=8e09aef454beef78&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Blackfoot , AB",$ 18.11 to $ 30.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9309260508,Not specified
4,administrative assistant,"June 11, 2024",Not specified,"June 11, 2024",The Ottawa Rotary Home,Ottawa (ON),Salary:$19.60 hourly,9318142054,https://ca.indeed.com/viewjob?jk=9669ad81ada61469&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Ottawa , ON",$ 19.60 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9318142054,Not specified
5,administrative assistant,"June 11, 2024",2024-07-10,"June 11, 2024",Brandev Properties,Montréal (QC),Salary:$27.52 hourly,b0907604,https://www.ziprecruiter.com/k/t/AAJ8pZC9-qZsPFT0LwIxmYhe77ykn9SAl28vwp-YK-jIN9i3bxUCN3YIcxbeYQyp0lOxB9nFuOEJjIC7Q90IyfbSsyV75Va4FTLQA2f76MGWPbTFsev-ds6Kpl7tIr0j3Ln_IS1qvcIhcOKZ86MpT6jueOXvP88rLZDnYo-hCNOGzyeDqnwkkqvMm9SAIyPoC3MRECsOn4aHH2WRw_rxyedb-MyqkYFLHcgueoNl7yyaSKvG5EBIOrw_PiPskFkZN9XvK5nEmSGUIcURyGhfReEo0CJwhbZLc4cyWhFpfwFWSPvRADoMcw6ZYGNd90VIpMJh9ZdQnEUQB12wkP4_ZyHT,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",$ 27.52 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,ZipRecruiter #b0907604,Not specified
6,administrative assistant,"June 12, 2024",Not specified,"June 12, 2024",Astra Concrete Ltd.,Port Coquitlam (BC),Salary:$20.00 hourly,9320427195,https://ca.indeed.com/viewjob?jk=29f746b899c064fb&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Port Coquitlam , BC",$ 20.00 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9320427195,Not specified
7,administrative assistant,"June 07, 2024",Not specified,"June 07, 2024",Government of Alberta,Drumheller (AB),Salary:$24.22 to $29.59 hourly,9314201335,https://ca.indeed.com/viewjob?jk=3d88d01fa7fbba3c&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Drumheller , AB",$ 24.22 to $ 29.59 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9314201335,Not specified
8,administrative assistant,"June 10, 2024",2024-07-11,"June 10, 2024",Back in Motion Rehab,Richmond (BC),Salary not available,ydnizU78Cz,https://job-openings.monster.ca/administrative-assistant-casual-richmond-richmond-bc-ca-back-in-motion-rehab/809e9ea1-15c4-4277-9601-df40e7b5ee97?mescoid=4300749001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Richmond , BC",Not available,Casual employment,Starts as soon as possible,1 vacancy,Monster #ydnizU78Cz,Not specified
9,administrative assistant,"June 10, 2024",Not specified,"June 10, 2024",Team Akio,Montréal (QC),Salary:$15.25 to $21.00 hourly,9317255984,https://ca.indeed.com/viewjob?jk=b34f860b5adfbf33&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",$ 15.25 to $ 21.00 HOUR hourly,Part time,Starts as soon as possible,1 vacancy,indeed.com #9317255984,Not specified
