,Job Title,Original Title,Posted Date,Advertised Until,Job Date,Company Name,Location,Salary,Job Number,Job Applying Link,Additional Details,Location,Salary,Terms of Employment,Start Date,Vacancies,Source,Other
0,administrative coordinator,Title posted on CivicJobs.ca -Administrative Coordinator I,"June 06, 2024",2024-06-13,"June 06, 2024",City of North Vancouver,North Vancouver (BC),Salary: $34.63 hourly,95215,https://www.civicjobs.ca/jobs?id=95215,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","North Vancouver , BC",$ 34.63 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #95215,Not specified
1,administrative coordinator,Title posted on Jobboom -COORDINATOR OF ADMINISTRATIVE UNIT (M--A),"June 11, 2024",2024-06-25,"June 11, 2024",Conseil Cri de la santé et des services sociaux de la Baie J,Nemiscau (QC),Salary not available,3260184,https://www.jobboom.com/en/job-offer/coordinator-of-administrative-unit-m-2425-0002a_cree-board-of-health-and-social-services-of-james-bay_p3260184,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Nemiscau , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobboom #3260184,Not specified
2,administrative coordinator,,"June 07, 2024",Not specified,"June 07, 2024",Timmerman Timberworks Inc.,New Lowell (ON),"Salary: $50,000.00 to $70,000.00 annually",9313982589,https://ca.indeed.com/viewjob?jk=c24b27a1103de185&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","New Lowell , ON","$ 50,000 to $ 70,000 YEAR annually",Full time,Starts as soon as possible,1 vacancy,indeed.com #9313982589,Not specified
3,administrative coordinator,Title posted on CivicJobs.ca -Support Services Supervisor - Public Works,"May 30, 2024",2024-06-20,"May 30, 2024",District of Saanich,Saanich (BC),Salary: $42.61 hourly,94994,https://www.civicjobs.ca/jobs?id=94994,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saanich , BC",$ 42.61 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94994,Not specified
4,administrative coordinator,Title posted on CivicJobs.ca -Strategic Real Estate Coordinator,"May 30, 2024",2024-06-18,"May 30, 2024",City of Victoria,Victoria (BC),Salary: $39.52 hourly,94997,https://www.civicjobs.ca/jobs?id=94997,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 39.52 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94997,Not specified
5,administrative coordinator,Title posted on Monster -Service and Administrative Coordinator,"June 12, 2024",2024-07-13,"June 12, 2024",Carmichael Engineering / Ingénierie Carmichael,Mississauga (ON),Salary not available,40592en,https://job-openings.monster.ca/service-administrative-coordinator-mississauga-on-ca-carmichael-engineering-ingénierie-carmichael/c9c92653-7d17-4270-9220-a43fb7f2b829?mescoid=4300692001001,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Mississauga , ON",Not available,Not specified,Starts as soon as possible,1 vacancy,Monster #40592en,Not specified
6,administrative coordinator,Title posted on CivicJobs.ca -Strategic Real Estate Coordinator,"May 30, 2024",2024-06-18,"May 30, 2024",City of Victoria,Victoria (BC),Salary: $39.52 hourly,94997,https://www.civicjobs.ca/jobs?id=94997,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Victoria , BC",$ 39.52 HOUR hourly,Permanent employment Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94997,Not specified
7,administrative coordinator,,"May 23, 2024",Not specified,"May 23, 2024",AgeCare,Calgary (AB),Salary not available,9291750940,https://ca.indeed.com/viewjob?jk=63d277586b2612be&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9291750940,Not specified
8,administrative coordinator,Title posted on Jobillico -Coordinator Return to work Job Details | Purolator,"June 07, 2024",2024-07-06,"June 07, 2024",Purolator,Saint-Laurent (QC),Salary not available,13766772,https://www.jobillico.com/en/job-offer/purolator/coordinator-return-to-work-job-details-purolator/13766772?ji_visitsrc=136,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saint-Laurent , QC",Not available,Not specified,Starts as soon as possible,1 vacancy,Jobillico #13766772,Not specified
9,administrative coordinator,Title posted on Jobboom -Coordonnateur (trice) administratif (ve) (DOMAINE DU LIVRE),"June 12, 2024",2024-07-11,"June 12, 2024",Les Éditions Flammarion,Montréal (QC),Salary not available,3183544,https://www.jobboom.com/en/job-offer/coordonnateur-trice-administratif-ve-domaine-du-livre_les-editions-flammarion_p3183544,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Montréal , QC",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,Jobboom #3183544,Not specified
10,administrative coordinator,,"May 24, 2024",Not specified,"May 24, 2024",The Salvation Army Community Services (Calgary),Calgary (AB),Salary not available,9293947983,https://ca.indeed.com/viewjob?jk=4e3236cc894d9b85&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Calgary , AB",Not available,Full time,Starts as soon as possible,1 vacancy,indeed.com #9293947983,Not specified
11,administrative coordinator,,"May 29, 2024",Not specified,"May 29, 2024",CPA Firm,Maple Ridge (BC),"Salary: $45,000.00 to $55,000.00 annually",9299159464,https://ca.indeed.com/viewjob?jk=dcfc080619f63974&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Maple Ridge , BC","$ 45,000 to $ 55,000 YEAR annually",Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9299159464,Not specified
12,administrative coordinator,Title posted on CivicJobs.ca -City Clerk,"May 29, 2024",2024-06-19,"May 29, 2024",City of Medicine Hat,Medicine Hat (AB),Salary not available,94959,https://www.civicjobs.ca/jobs?id=94959,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Medicine Hat , AB",Not available,Term or contract Full time,Starts as soon as possible,1 vacancy,CivicJobs.ca #94959,Not specified
13,administrative coordinator,,"June 06, 2024",Not specified,"June 06, 2024",JNE Welding,Saskatoon (SK),Salary not available,9312643045,https://ca.indeed.com/viewjob?jk=8f2503be7b6827a4&sid=cajb&kw=cajb,"{'Language Requirement': 'Not specified', 'Experience Requirement': 'Not specified', 'Benefits': []}","Saskatoon , SK",Not available,Permanent employment Full time,Starts as soon as possible,1 vacancy,indeed.com #9312643045,Not specified
